software_name,category_id,category_name,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date
rustls,CSC-005,TLS/SSL Implementation Software,Yes (via aws-lc-rs),Memory-safe TLS library with PQC support via aws-lc-rs (AWS libcrypto for Rust). Enables quantum-resistant TLS in Rust applications with zero unsafe code. Includes separate rustls-post-quantum crate.,Open Source,Apache-2.0/MIT,0.23.36,2026-01-05,No,Critical,Linux macOS Windows,All industries,https://github.com/rustls/rustls,https://github.com/rustls/rustls,Modern TLS library written in Rust. Memory-safe alternative to OpenSSL. No unsafe code in core library.,Community/Commercial,Verified,2026-02-13
wolfSSL,CSC-005,TLS/SSL Implementation Software,Yes (ML-DSA ML-KEM Kyber),"Embedded-focused TLS library with ML-DSA, ML-KEM, and Kyber support. Optimized for resource-constrained environments like IoT devices and embedded systems. Enables quantum-safe communications in automotive, industrial, and edge computing.",Commercial,GPLv3/Commercial,5.8.4,2025-11-21,Yes (FIPS 140-3),Critical,Embedded Linux Windows RTOS ESP32 STM32,All industries,https://www.wolfssl.com/,https://github.com/wolfSSL/wolfssl,Lightweight portable TLS/SSL library for embedded devices to cloud. Supports TLS 1.3 DTLS 1.3 with small footprint. Includes wolfCrypt crypto engine.,Trusted Vendor,Verified,2026-02-13
SignServer,CSC-09,Digital Signature Software,Yes (via modules),"Digital signing platform with PQC support via modules. Can create quantum-resistant signatures for documents, code, and timestamps using ML-DSA and other PQC algorithms.",Mixed/Dual,LGPL/Commercial,6.x,2024,Yes (via HSM),High,Linux Windows,"Finance, Legal, Government, Healthcare",https://www.signserver.org/,https://github.com/Keyfactor/signserver-ce,"Open source signing platform. Supports various signature formats and HSM integration.",Open Source Foundation,Verified,2026-02-13
strongSwan,CSC-010,VPN and IPsec Software,Yes (ML-KEM experimental),"IPsec VPN with experimental ML-KEM support. Enables quantum-safe VPN tunnels for site-to-site and remote access scenarios. Active development for production deployment.",Open Source,GPLv2,6.0.0,2025,Yes (FIPS mode),High,Linux Android macOS,All industries,https://www.strongswan.org/,https://github.com/strongswan/strongswan,"Open source IPsec-based VPN solution supporting IKEv1 IKEv2 and various authentication methods.",Community/Commercial,Verified,2026-02-13
Signal,CSC-011,Secure Messaging and Communication,"Yes (PQXDH + SPQR Ratchet)","Signal's approach includes PQXDH and SPQR Ratchet for quantum-resistant messaging combining X25519, Kyber/ML-KEM, and double-ratchet protocol for forward secrecy.",Open Source,GPLv3,v0.87.1,2026-02-06,No,High,Cross-platform,"Defense, Government, Finance, Healthcare",https://signal.org/docs/,https://github.com/signalapp/libsignal,Double Ratchet protocol providing end-to-end encryption with forward secrecy and post-compromise security.,Community,Verified,2026-02-13
OpenSSH,CSC-014,SSH Implementation Software,Yes (mlkem768x25519-sha256 default),Default key exchange now uses mlkem768x25519-sha256 hybrid PQC. Combines ML-KEM-768 with X25519 elliptic curve for quantum-resistant SSH connections. First major SSH implementation to deploy PQC by default.,Open Source,BSD,10.2p1,2025-10-10,No,High,OpenBSD Linux macOS Windows,All industries,https://www.openssh.org/,https://github.com/openssh/openssh-portable,Premier connectivity tool for SSH protocol. Provides secure tunneling multiple authentication methods. Default key exchange now uses mlkem768x25519-sha256 hybrid PQC.,Community/Commercial,Verified,2026-02-13
wolfSSH,CSC-014,SSH Implementation Software,Yes (Kyber Ed25519),SSH implementation with Kyber and Ed25519 hybrid support. Provides quantum-resistant secure shell connections for embedded systems and IoT devices.,Commercial,GPLv3/Commercial,1.4.22,2026-01-06,No,High,Embedded Linux Windows Zephyr,All industries,https://github.com/wolfSSL/wolfssh,https://github.com/wolfSSL/wolfssh,Small fast portable SSH implementation with SCP and SFTP support. Designed for embedded and resource-constrained environments.,Community/Commercial,Verified,2026-02-13
liboqs,CSC-016,Post-Quantum Cryptography Libraries,Yes (ML-KEM ML-DSA SLH-DSA BIKE HQC FrodoKEM Classic McEliece),"Reference implementation library from Open Quantum Safe project. Comprehensive support for NIST-standardized algorithms (ML-KEM, ML-DSA, SLH-DSA) plus additional candidates including BIKE, HQC, FrodoKEM, and Classic McEliece. Serves as foundation for integrating PQC into applications and protocols.",Open Source,MIT,0.15.0,2025-11-14,No,Critical,Linux macOS Windows,All industries,https://openquantumsafe.org/,https://github.com/open-quantum-safe/liboqs,Open source C library for quantum-safe cryptographic algorithms. Part of Open Quantum Safe project under Linux Foundation PQCA.,Open Source Foundation,Verified,2026-02-13
oqs-provider,CSC-016,Post-Quantum Cryptography Libraries,Yes (All liboqs algorithms),"OpenSSL 3 provider enabling quantum-safe cryptography in TLS 1.3, X.509 certificates, and CMS operations. Supports all liboqs algorithms and enables hybrid key exchange combining classical ECDH with PQC KEMs. Critical for quantum-safe TLS deployments.",Open Source,MIT,0.11.0,2025-12-24,No,Critical,Linux macOS Windows,All industries,https://github.com/open-quantum-safe/oqs-provider,https://github.com/open-quantum-safe/oqs-provider,OpenSSL 3 provider enabling quantum-safe and hybrid key exchange for TLS 1.3 X.509 and CMS operations.,Open Source Foundation,Verified,2026-02-13
SSLyze,CSC-018,Cryptographic Protocol Analyzers,Yes (detection),"Protocol analyzer with PQC detection capabilities. Can scan servers and identify quantum-safe cipher suites, key exchange algorithms, and certificate types. Essential for PQC deployment verification.",Open Source,AGPLv3,6.x,2025,,Medium,Python Cross-platform,All industries,https://github.com/nabla-c0d3/sslyze,https://github.com/nabla-c0d3/sslyze,Fast SSL/TLS scanning library. Analyzes server configurations.,Open Source Foundation,Verified,2026-02-13
testssl.sh,CSC-018,Cryptographic Protocol Analyzers,Yes (detection),Command-line TLS testing tool with PQC detection. Helps security teams audit TLS configurations for quantum-safe readiness and identify legacy cryptography.,Open Source,GPLv2,3.0.x,2024,,Medium,Linux macOS BSD,All industries,https://github.com/drwetter/testssl.sh,https://github.com/drwetter/testssl.sh,Command-line TLS/SSL testing tool. Checks protocols ciphers and vulnerabilities.,Open Source Foundation,Verified,2026-02-13
Cryptosense Analyzer,CSC-025,Cryptographic Agility Frameworks,Yes (PQC readiness),"Cryptographic security analysis platform with PQC readiness assessment. Discovers existing crypto usage, identifies quantum-vulnerable implementations, and provides migration recommendations.",Commercial,Commercial,Current,2025,,Critical,Cloud On-premise,All industries,https://cryptosense.com/,,Cryptographic security analysis platform. Discovers crypto usage and vulnerabilities.,Trusted Vendor,Verified,2026-02-13
ISARA Radiate,CSC-025,Cryptographic Agility Frameworks,Yes (Core focus),"Purpose-built quantum-safe security toolkit. Core focus on PQC migration with algorithm agility, hybrid modes, and enterprise integration. Comprehensive solution for organizational PQC transition.",Commercial,Commercial,Current,2024,Yes (components),Critical,Cross-platform,All industries,https://www.isara.com/products/isara-radiate.html,,Quantum-safe security toolkit. Enables smooth PQC transition.,Trusted Vendor,Verified,2026-02-13
wolfBoot,CSC-026,Secure Boot and Firmware Security,Yes (ML-DSA),"Secure bootloader with ML-DSA signature verification. Ensures firmware integrity using quantum-resistant digital signatures. v2.7.0 adds new hardware targets including Vorago VA416x0 and Nordic nRF5340 TrustZone support. Critical for long-lived embedded devices and IoT.",Commercial,GPLv3/Commercial,2.7.0,2025-11-27,Yes (FIPS 140-3 via wolfCrypt),High,ARM x86 RISC-V,All industries,https://www.wolfssl.com/,https://github.com/wolfSSL/wolfBoot,Universal secure bootloader with HSM integration and PQC support (ML-DSA). Suitable for IoT automotive and aerospace applications.,Trusted Vendor,Verified,2026-02-13
Windows Server 2025,CSC-006,Operating Systems,"Yes (ML-KEM ML-DSA in CNG)",General availability of PQC algorithms in November 2025 update. Supports ML-KEM and ML-DSA via CNG and Certificate functions.,Commercial,Commercial,Nov 2025 Update,2025-11,Yes (Trusted),Critical,Windows Server,All industries,https://www.microsoft.com/en-us/windows-server,,"Microsoft's latest server OS with native PQC support via CNG.",Trusted Vendor,Verified,2026-02-13
Android 16,CSC-006,Operating Systems,"Yes (Native API support)","Native API support for quantum-resistant cryptography including PQ3 and TSPHINCS+. Upgraded TLS 1.3 and Adiantum v2 for data at rest protection.",Open Source,Apache-2.0,16,2025-06,Yes (Trusted),Critical,Mobile,All industries,https://developer.android.com/,,"Next-gen Android OS with native PQC APIs and updated TLS 1.3.",Trusted Vendor,Verified,2026-02-13
iOS 26 / macOS 26,CSC-006,Operating Systems,"Yes (PQ3 HPKE with ML-KEM ML-DSA)","System-wide PQC support including PQ3 for iMessage and HPKE with ML-KEM 768/1024 and ML-DSA-65/ML-DSA-87. APIs for third-party apps via CryptoKit. Quantum-secure TLS negotiation with automatic fallback. Apple services adopting quantum-secure TLS including CloudKit Safari and iCloud Private Relay.",Proprietary,Commercial,iOS 26.3 macOS 26.3,2026-02-11,Yes (Trusted),Critical,Apple Ecosystem,All industries,https://developer.apple.com/,,"Apple's latest OS releases with comprehensive system-level PQC support via CryptoKit ML-KEM and ML-DSA APIs.",Trusted Vendor,Verified,2026-02-13
Juniper Junos OS,CSC-007,Network Operating Systems,"Yes (RFC 8784 PQC PSK ML-DSA)","Supports RFC 8784 for Post-Quantum using Pre-Shared Keys (PPK) in IKEv2. PQC signatures for software images using ML-DSA-87 across ACX EX MX QFX SRX PTX Series. Quantum Buffer in SSH for cryptoagility. Hybrid NTRU Prime 761 + X25519 key exchange in SSH.",Proprietary,Commercial,25.4R1,2026-02,Yes (Verified),High,Juniper Hardware,Enterprise Telecom,https://www.juniper.net/,,"Network OS with full-stack PQC including RFC 8784 ML-DSA image signing and quantum-safe SSH.",Verified,Verified,2026-02-13
Palo Alto PAN-OS,CSC-008,Network Security Software,"Yes (ML-KEM ML-DSA Cipher Proxy)","PAN-OS 12.1 Orion release supports NIST standard PQC algorithms (ML-KEM ML-DSA). Features quantum readiness dashboard with real-time cryptographic asset inventory compliance validation and inline remediation. Automated cipher translation instantly upgrades applications to quantum-safe encryption. Fifth-generation quantum-optimized NGFWs including PA-5500 and ruggedized PA-455R-5G.",Proprietary,Commercial,12.1 Orion,2025-08,Yes (Trusted),Critical,Palo Alto Hardware,Enterprise,https://www.paloaltonetworks.com/,,"Next-gen firewall OS with specialized PQC hardware acceleration cipher translation and quantum readiness dashboard.",Trusted Vendor,Verified,2026-02-13
Fortinet FortiOS,CSC-008,Network Security Software,"Yes (ML-KEM BIKE HQC Frodo IPsec PQC)","FortiOS 7.6 provides built-in quantum-safe features for FortiGate NGFW and Secure SD-WAN. Integrates NIST-approved ML-KEM plus BIKE HQC and Frodo algorithms for IPsec key exchange. Supports hybrid mode for gradual transition. QKD integration available since FortiOS 7.4. No extra cost for FortiOS customers.",Proprietary,Commercial,7.6.5,2025-12,Yes (Trusted),Critical,FortiGate,Enterprise,https://www.fortinet.com/,,"Security-driven OS with native PQC IPsec VPN and SD-WAN support including ML-KEM BIKE HQC and Frodo.",Trusted Vendor,Verified,2026-02-13
Check Point Quantum,CSC-008,Network Security Software,"Yes (ML-KEM Quantum-safe VPN)","R82 recommended release with QSKE (Quantum Safe Key Exchange) using ML-KEM (Kyber512/768/1024). Default MKE proposal configures DH group 15 + Kyber768. Supports quantum-safe key exchange for IKEv2 site-to-site VPNs. Remote access VPN PQC support on roadmap for Windows macOS and Linux clients.",Proprietary,Commercial,R82,2026-02,Yes (Trusted),Critical,Check Point Hardware,Enterprise,https://www.checkpoint.com/,,"Firewall software with ML-KEM quantum-safe VPN key exchange. R82 recommended release with active 2026 updates.",Trusted Vendor,Verified,2026-02-13
SandboxAQ Sandwich,CSC-001,Cryptographic Libraries,"Yes (Agile API liboqs backend)",Meta-library providing a unified API for crypto agility. Uses liboqs backend to support wide range of PQC algorithms.,Open Source,AGPL-3.0,0.3.0+,2025-02,No,High,Cross-platform,All industries,https://sandboxaq.com/,,"Crypto-agility library with unified API and liboqs backend.",Open Source,Verified,2026-02-13
Cloudflare CIRCL,CSC-001,Cryptographic Libraries,"Yes (ML-KEM ML-DSA hybrids)",Cloudflare Interoperable Reusable Cryptographic Library. Optimized Go implementation of ML-KEM and ML-DSA.,Open Source,Apache-2.0,1.6.3,2026-01-22,No,High,Go,All industries,https://github.com/cloudflare/circl,,"Cloudflare's advanced crypto library for Go, specializing in PQC experiments.",Open Source,Verified,2026-02-13
Mullvad VPN App,CSC-010,VPN and IPsec Software,"Yes (WireGuard PQC)","WireGuard tunnels with post-quantum protection enabled by default. Uses ML-KEM PSK for hybrid quantum resistance. OpenVPN support removed January 15 2026 - WireGuard only. New Rust-based WireGuard engine (GotaTun) live on Android with desktop and iOS planned for 2026. QUIC and LWO obfuscation added.",Open Source,GPLv3,2025.14,2025-12-09,Yes (Trusted),High,Cross-platform,Consumer,https://mullvad.net/,,"Privacy-focused VPN with default post-quantum WireGuard tunnels. OpenVPN retired January 2026.",Trusted Vendor,Verified,2026-02-13
ExpressVPN Lightway,CSC-010,VPN and IPsec Software,"Yes (ML-KEM Hybrid via wolfSSL)","Proprietary Lightway protocol upgraded from Kyber to NIST-standardized ML-KEM via wolfSSL integration. Now uses NIST Security Level 5 key sizes for both TCP and UDP protocols. Hybrid cryptography approach combining classical and quantum-safe algorithms.",Proprietary,Proprietary,Current,2026-01,Yes (Trusted),High,Cross-platform,Consumer,https://www.expressvpn.com/,,"Lightway protocol upgraded to ML-KEM via wolfSSL with NIST Security Level 5 protection.",Trusted Vendor,Verified,2026-02-13
Tuta Mail,CSC-011,Secure Messaging and Communication,"Yes (TutaCrypt Hybrid ML-KEM)","TutaCrypt protocol upgraded from Kyber to ML-KEM compatibility following NIST standardization. Hybrid encryption combining ML-KEM with X25519 ECDH. Enabled by default for all new accounts. Over 50% of existing users migrated to TutaCrypt protocol. Side-channel vulnerability mitigations applied to encryption libraries.",Open Source,GPLv3,Current,2026-01,Yes (Trusted),High,Cross-platform,Consumer,https://tuta.com/,,"Encrypted email service using TutaCrypt (ML-KEM hybrid) protocol. Over 50% user migration complete.",Trusted Vendor,Verified,2026-02-13
InfoSec Global AgileSec,CSC-025,Cryptographic Agility Frameworks,"Yes (Crypto Agility Discovery)",Analytics and SDK platform for crypto inventory and agility. Enables automated discovery and migration to PQC without code changes.,Commercial,Commercial,2025 Release,2025,Yes (Trusted),Critical,Enterprise Cloud,Enterprise,https://www.infosecglobal.com/,,"Crypto agility platform for discovery, inventory, and automated remediation.",Trusted Vendor,Verified,2026-02-13
Futurex CryptoHub,CSC-002,Hardware Security Module (HSM) Software,"Yes (PCI HSM Validated PQC)",First HSM to receive PCI HSM validation with PQC support. Supports ML-DSA and ML-KEM for financial and enterprise security.,Commercial,Commercial,June 2025 FW,2025-06,Yes (Trusted),Critical,Hardware,Finance Enterprise,https://www.futurex.com/,,"PCI HSM validated Hardware Security Module with native PQC support.",Trusted Vendor,Verified,2026-02-13
Arqit Encryption Intelligence,CSC-025,Cryptographic Agility Frameworks,"Yes (Crypto Discovery and Migration)","Automated cryptographic discovery platform for post-quantum migration and compliance. Continuously identifies encryption assets legacy algorithms and deprecated protocols across networks applications and cloud environments. Selected by UK NCSC for Post-Quantum Cryptography Pilot under Assured Cyber Security Consultancy Scheme. Available as SaaS or via certified systems integrator partners.",Commercial,Commercial,Current,2026-01-22,No,Critical,Enterprise Cloud,Government Enterprise Finance,https://ir.arqit.uk/,,"Crypto discovery and risk prioritization platform for PQC migration. UK NCSC PQC Pilot participant.",Trusted Vendor,Verified,2026-02-13
Samsung S3SSE2A eSE,CSC-015,Hardware Security and Semiconductors,"Yes (ML-KEM Hardware Accelerated)","First embedded Secure Element (eSE) to integrate post-quantum cryptography. Features two dedicated PQC hardware accelerators achieving 18x faster cryptographic operations than software-only approaches. Powered by Thales secure OS and PQC libraries. CES 2026 Best Cybersecurity Innovation Award winner. Designed for Common Criteria EAL6+ certification. Quantum-resistant security for IoT mobile and embedded devices.",Commercial,Commercial,S3SSE2A,2026-01-06,Yes (CC EAL6+ targeted),Critical,Embedded IoT Mobile,Consumer IoT Enterprise,https://www.thalesgroup.com/en/news-centre/insights/enterprise/samsung-system-lsi-thales-quantum-leap-embedded-security,,First PQC-enabled embedded Secure Element with hardware-accelerated ML-KEM. CES 2026 Best Cybersecurity Innovation.,Trusted Vendor,Verified,2026-02-13
