id,category,type,difficulty,quiz_mode,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learn_more_path,personas
algo-015,algorithm-families,multiple-choice,intermediate,both,What is the approximate signature size of FN-DSA-512 compared to ML-DSA-44?,FN-DSA-512 is larger (~3.3KB vs ~2.4KB),FN-DSA-512 is about one-quarter the size (~666 bytes vs ~2420 bytes),They are the same size,FN-DSA-512 does not produce signatures,b,"FN-DSA-512 produces signatures of approximately 666 bytes, compared to ML-DSA-44's 2,420 bytes — roughly one-quarter the size. This compactness makes FN-DSA ideal for bandwidth-constrained applications like certificates and IoT devices.",/algorithms,researcher|architect
algo-016,algorithm-families,multiple-choice,advanced,full,"What is the approximate stack RAM requirement for FrodoKEM-1344, and why does this matter?",~4KB — similar to ML-KEM,~180KB — too large for most IoT devices,~300 bytes — extremely efficient,~32KB — moderate for embedded systems,b,"FrodoKEM-1344 requires approximately 180KB of stack RAM, compared to ~6KB for ML-KEM-768. This makes FrodoKEM impractical for IoT and constrained devices despite its more conservative security assumptions based on plain LWE.",/algorithms,researcher|architect
algo-017,algorithm-families,true-false,beginner,both,True or False: All three ML-KEM variants (512/768/1024) produce the same 32-byte shared secret.,True,False,,,true,"True. All ML-KEM variants — ML-KEM-512, ML-KEM-768, and ML-KEM-1024 — produce a 32-byte shared secret after decapsulation, regardless of security level. The variants differ in public key size, ciphertext size, and security strength.",/algorithms,researcher|architect
algo-018,algorithm-families,multiple-choice,intermediate,both,Which algorithm family does HQC belong to?,Lattice-based,Hash-based,Code-based (error-correcting codes),Multivariate polynomial,c,"HQC (Hamming Quasi-Cyclic) belongs to the code-based algorithm family, using error-correcting codes for its security. It was selected by NIST in March 2025 specifically to provide algorithmic diversity from the lattice-based ML-KEM.",/algorithms,researcher|architect
algo-019,algorithm-families,multiple-choice,advanced,full,How does SLH-DSA signing speed compare to RSA-2048 signing speed for the SHA2-128s (small) variant?,About the same speed,~5x slower,~50-500x slower,~10x faster,c,"SLH-DSA-SHA2-128s signing is approximately 500x slower than RSA-2048. The ""small"" (s) variants prioritize compact signatures (~7.8KB) at the cost of very slow signing. The ""fast"" (f) variants trade larger signatures for much better signing speed.",/algorithms,researcher|architect
algo-020,algorithm-families,multi-select,intermediate,both,Which of the following PQC algorithms are digital signature schemes? (Select all that apply),ML-DSA,ML-KEM,SLH-DSA,FN-DSA,a|c|d,"ML-DSA (FIPS 204), SLH-DSA (FIPS 205), and FN-DSA (FIPS 206 draft) are all digital signature algorithms. ML-KEM (FIPS 203) is a Key Encapsulation Mechanism for key exchange, not signatures.",/algorithms,researcher|architect
algo-021,algorithm-families,multiple-choice,beginner,both,What type of cryptographic operation does ML-KEM-1024 (CNSA 2.0 required) perform?,Digital signature generation,Key encapsulation for establishing shared secrets,Password hashing,Random number generation,b,ML-KEM-1024 is a Key Encapsulation Mechanism at NIST Security Level 5 (AES-256 equivalent). It is the variant required by CNSA 2.0 for National Security Systems and replaces classical key exchange algorithms like ECDH P-521 and RSA-4096.,/algorithms,researcher|architect
algo-022,algorithm-families,multiple-choice,advanced,full,What is the approximate public key size of SLH-DSA compared to ML-DSA?,SLH-DSA keys are much larger (~1.3KB vs ~32 bytes),SLH-DSA keys are much smaller (~32 bytes vs ~1.3KB),They are approximately the same size,SLH-DSA does not use public keys,b,"SLH-DSA has remarkably small public keys (~32 bytes for 128-bit variants), compared to ML-DSA-44's ~1,312 bytes. However, SLH-DSA compensates with much larger signatures (~7.8-16KB) and slower signing speeds.",/algorithms,researcher|architect
nist-011,nist-standards,multiple-choice,beginner,both,How many PQC algorithms has NIST standardized or selected as of early 2026?,2,3,5,8,c,"NIST has standardized or selected 5 PQC algorithms: ML-KEM (FIPS 203), ML-DSA (FIPS 204), and SLH-DSA (FIPS 205) published August 2024; FN-DSA (FIPS 206) as a draft standard August 2025; and HQC selected March 2025 with a draft expected in 2026.",/algorithms,researcher|architect
nist-012,nist-standards,multiple-choice,intermediate,both,What is NIST CMVP and why is it a bottleneck for PQC adoption?,A quantum computing simulator,The Cryptographic Module Validation Program — PQC implementations must be certified before federal use,A database of deprecated algorithms,A testing tool for algorithm performance,b,"NIST's Cryptographic Module Validation Program (CMVP) validates cryptographic implementations under FIPS 140-3. PQC algorithm modules (FIPS 203/204/205) must pass CMVP certification before deployment in federal systems, creating a multi-year bottleneck in migration timelines.",/compliance,researcher|architect
nist-013,nist-standards,multiple-choice,intermediate,both,"What is the timeline difference between NIST's ""deprecated"" (2030) and ""disallowed"" (2035) milestones?",1 year,3 years,5 years,10 years,c,NIST IR 8547 establishes a 5-year gap: classical algorithms are deprecated in 2030 (discouraged but still permitted for legacy) and disallowed in 2035 (prohibited entirely). This gives organizations 5 years of transition between soft and hard deadlines.,/compliance,researcher|architect
nist-014,nist-standards,true-false,beginner,both,"True or False: NIST has defined 5 security levels for PQC algorithms, with Level 1 being the weakest and Level 5 the strongest.",True,False,,,true,"True. NIST defines 5 security levels: Level 1 (AES-128), Level 2 (SHA-256 collision), Level 3 (AES-192), Level 4 (SHA-384 collision), and Level 5 (AES-256). Levels 1, 3, and 5 are the most commonly used for PQC algorithm parameter sets.",/algorithms,researcher|architect
nist-015,nist-standards,multiple-choice,advanced,full,"When was the NIST HQC selection announced, and what milestone does it represent?",August 2024 — the 4th standard,"March 11, 2025 — the 5th PQC standard",January 2026 — the 6th standard,December 2025 — a backup to SLH-DSA,b,"NIST announced HQC as the 5th PQC standard on March 11, 2025. As a code-based KEM, it provides critical algorithmic diversity from the lattice-based ML-KEM, serving as insurance against potential future vulnerabilities in lattice-based cryptography.",/timeline,researcher|architect
nist-016,nist-standards,multiple-choice,intermediate,both,Which NIST Special Publication provides guidance on Key Encapsulation Mechanisms published in September 2025?,SP 800-131A,SP 800-208,SP 800-227,SP 800-57,c,"NIST SP 800-227, published in September 2025, provides recommendations for Key Encapsulation Mechanisms (KEMs) including guidance on ML-KEM parameter selection, hybrid key exchange approaches, and best practices for KEM deployment.",/compliance,researcher|architect
nist-017,nist-standards,multi-select,intermediate,both,Which classical algorithms does NIST IR 8547 target for deprecation by 2030? (Select all that apply),RSA,AES-256,ECDSA,EdDSA,a|c|d,"NIST IR 8547 targets all asymmetric/public-key algorithms for deprecation by 2030: RSA, ECDSA, ECDH, EdDSA, DH, and DSA. AES-256 is a symmetric algorithm and is not targeted — it remains quantum-safe with sufficient key sizes.",/compliance,researcher|architect
nist-018,nist-standards,multiple-choice,advanced,full,"What is the expected timeline for FIPS 206 (FN-DSA) finalization, and when was the draft submitted?","Draft August 2024, final 2025","Draft November 2024, final late 2026 or early 2027","Draft March 2025, final 2026","Draft January 2026, final 2027",b,"FIPS 206 (FN-DSA, formerly Falcon) had its Initial Public Draft (IPD) released in November 2024. Finalization is expected in late 2026 or early 2027 due to intellectual property and internal clearance considerations.",/compliance,researcher|architect
nist-019,nist-standards,multiple-choice,beginner,both,Which FIPS standard defines SLH-DSA (formerly SPHINCS+)?,FIPS 203,FIPS 204,FIPS 205,FIPS 206,c,"FIPS 205 defines SLH-DSA (Stateless Hash-Based Digital Signature Algorithm). FIPS 203 is ML-KEM, FIPS 204 is ML-DSA, and FIPS 206 (draft) is FN-DSA.",/algorithms,researcher|architect
nist-020,nist-standards,multiple-choice,intermediate,both,What does NIST Security Level 1 correspond to in terms of symmetric cipher strength?,AES-64,AES-128,AES-192,AES-256,b,NIST Security Level 1 corresponds to the difficulty of breaking AES-128. It is the minimum security level for PQC algorithms. ML-KEM-512 and SLH-DSA-SHA2-128s provide Level 1 security.,/algorithms,researcher|architect
migr-011,migration-planning,multiple-choice,beginner,both,"What is the recommended duration for the ""Assessment & Inventory"" phase of PQC migration?",1-2 days,4-8 weeks,6-12 months,2-3 years,b,"The Assessment & Inventory phase typically takes 4-8 weeks. It involves building a Cryptographic Bill of Materials (CBOM), identifying quantum-vulnerable algorithms, assessing HNDL risk for data with long confidentiality requirements, and mapping certificate chains.",/migrate,researcher|executive|architect
migr-012,migration-planning,multiple-choice,intermediate,both,"According to CNSA 2.0, by what year must new networking equipment for NSS use PQC?",2025,2026,2030,2035,b,"CNSA 2.0 requires new networking equipment acquisitions for National Security Systems to support PQC by 2026. New software/firmware signing must use PQC by 2025, and all deployed systems must use PQC exclusively by 2030.",/compliance,researcher|executive|architect
migr-013,migration-planning,multiple-choice,intermediate,both,Microsoft targets completing its full PQC transition by what year?,2025,2030,2033,2035,c,Microsoft's Quantum Safe Program targets full PQC transition completion by 2033 — two years ahead of the US government's 2035 disallowment deadline. This demonstrates industry leadership and the recognition that large-scale migrations require years of planning.,/timeline,researcher|executive|architect
migr-014,migration-planning,true-false,beginner,both,True or False: A Cryptographic Bill of Materials (CBOM) is similar to a Software Bill of Materials (SBOM) but focused on cryptographic assets.,True,False,,,true,"True. A CBOM inventories cryptographic assets — algorithms, key lengths, certificates, protocols, and libraries — across an organization, similar to how an SBOM catalogs software components. CBOM is the essential first step in PQC migration.",/migrate,researcher|executive|architect
migr-015,migration-planning,multiple-choice,advanced,full,What is the estimated total duration for a complete 7-phase PQC migration?,1-3 months,6-12 months,18-36 months,5-10 years,c,"A complete 7-phase PQC migration typically takes 18-36 months: Assessment & Inventory (4-8 weeks), Risk Prioritization & Planning (4-6 weeks), Preparation & Tooling (2-4 months), Testing & Validation (2-4 months), Hybrid Migration & Rollout (6-12 months), Production Deployment (6-12 months), and Monitoring & Optimization (ongoing).",/migrate,researcher|executive|architect
migr-016,migration-planning,multi-select,intermediate,both,Which of the following are phases in the 7-phase PQC migration framework? (Select all that apply),Assessment & Inventory,Preparation & Tooling,Testing & Validation,Budget Approval,a|b|c,"The 7 phases are: Assessment & Inventory, Risk Prioritization & Planning, Preparation & Tooling, Testing & Validation, Hybrid Migration & Rollout, Production Deployment, and Monitoring & Optimization. Budget approval is a prerequisite, not a migration phase.",/migrate,researcher|executive|architect
migr-017,migration-planning,multiple-choice,intermediate,both,Why is certificate chain interoperability testing critical during PQC migration?,Certificates are not affected by PQC,PQC certificate signatures are larger and may break existing chain validation logic,Classical certificates automatically upgrade to PQC,Certificate testing is only needed for government systems,b,"PQC signatures (ML-DSA, SLH-DSA) are significantly larger than classical signatures. This can break certificate chain validation in systems with size limits, require protocol-level adjustments, and cause TLS handshake failures if intermediate CAs or root CAs have not been updated.",/learn/pki-workshop,researcher|executive|architect
migr-018,migration-planning,multiple-choice,advanced,full,"What unique migration challenge does the phrase ""hybrid certificates"" address?",Combining certificates from two different CAs,Including both classical and PQC signatures so both legacy and PQC-capable systems can verify,Merging expired and active certificates,Creating certificates valid in multiple countries,b,"Hybrid certificates contain both classical (e.g., ECDSA) and PQC (e.g., ML-DSA) signatures. This enables gradual rollout: PQC-capable systems verify the quantum-safe signature, while legacy systems use the classical one, avoiding a hard cutover.",/learn/pki-workshop,researcher|executive|architect
migr-019,migration-planning,multiple-choice,beginner,both,Which type of system should be migrated to PQC last in the migration priority order?,External-facing VPN gateways,Internal development tools and non-sensitive applications,Customer-facing payment processing,Long-term classified data storage,b,"Internal development tools and non-sensitive applications have the lowest HNDL risk and should be migrated last. External-facing systems handling sensitive data (VPNs, payment processing, classified storage) should be prioritized first due to their higher exposure to harvesting attacks.",/migrate,researcher|executive|architect
migr-020,migration-planning,multiple-choice,intermediate,both,What is the key challenge with HSM firmware upgrades for PQC?,HSMs are inexpensive to replace,HSM vendors need to develop and certify PQC-capable firmware through FIPS 140-3 CMVP validation,HSMs already support all PQC algorithms,HSM firmware upgrades happen automatically,b,"HSM firmware upgrades for PQC require development, testing, and FIPS 140-3 CMVP certification — a multi-year process. Many HSM vendors are still developing PQC-capable firmware, making this a critical dependency in migration timelines.",/migrate,researcher|executive|architect
comp-011,compliance,multiple-choice,beginner,both,"Which country's CCCS requires PQC migration plans by 2026, high-priority systems by 2031, and full transition by 2035?",United States,Canada,Germany,Japan,b,"Canada's CCCS (Canadian Centre for Cyber Security) has a three-phase timeline: federal departments must submit PQC migration plans by April 2026 (with PQC procurement clauses), high-priority systems migrated by 2031, and all systems fully transitioned by 2035.",/compliance,researcher|executive
comp-012,compliance,multiple-choice,intermediate,both,What is the UK's NCSC three-phase PQC migration roadmap?,"Phase 1: 2024-2025 (planning), Phase 2: 2026-2028 (deployment), Phase 3: 2029-2030 (completion)","Phase 1: 2025-2028 (discovery), Phase 2: 2028-2031 (priority migration), Phase 3: 2031-2035 (full migration)","Phase 1: 2025 (PQC mandatory), Phase 2: 2026-2028 (enforcement), Phase 3: 2029 (audit)","Phase 1: 2030-2032, Phase 2: 2032-2034, Phase 3: 2035",b,"The UK NCSC roadmap has three phases: Phase 1 (2025-2028) for discovery and assessment, Phase 2 (2028-2031) for priority migration of high-risk systems, and Phase 3 (2031-2035) for full migration of all remaining systems.",/compliance,researcher|executive
comp-013,compliance,multiple-choice,intermediate,both,Which country was the first EU member state to set a specific 2027 encryption migration deadline?,Germany,France,Czech Republic,Netherlands,c,"The Czech Republic was the first EU country to set a specific 2027 encryption migration deadline, ahead of the broader EU coordinated roadmap timelines. This demonstrates proactive compliance by individual member states.",/timeline,researcher|executive
comp-014,compliance,true-false,beginner,both,"True or False: The EU Coordinated Implementation Roadmap targets high-risk systems secured by 2030, aligned with NIST timelines.",True,False,,,true,"True. The EU Coordinated Implementation Roadmap (v1.1, published June 2025) targets high-risk systems secured by 2030 and full PQC transition by 2035, deliberately aligned with NIST IR 8547 timelines.",/compliance,researcher|executive
comp-015,compliance,multiple-choice,advanced,full,What is Executive Order 14306 and how does it advance PQC adoption?,A European encryption standard,"A presidential order (June 2025) sustaining PQC migration, with CISA procurement guidance issued January 2026",A quantum computing research grant program,A NIST algorithm competition announcement,b,"Executive Order 14306, issued by the President in June 2025, sustains cybersecurity efforts including PQC migration provisions. CISA subsequently issued federal buying guidance in January 2026 requiring PQC capabilities in new product and service acquisitions, driving market demand for PQC-capable solutions.",/compliance,researcher|executive
comp-016,compliance,multiple-choice,intermediate,both,What is Germany's QUANTITY initiative launched in March 2025?,A quantum computer manufacturing program,A quantum cryptanalysis initiative by BSI and DLR to validate PQC algorithm security,A financial incentive program for crypto companies,A quantum key distribution network project,b,"Germany's QUANTITY initiative, launched in March 2025 by BSI (Federal Office for Information Security) and DLR (German Aerospace Center), focuses on quantum cryptanalysis to strengthen algorithm selection and validate PQC security. Separately, BSI targets critical applications being PQC-protected by end of 2030.",/timeline,researcher|executive
comp-017,compliance,multi-select,intermediate,both,Which countries have set PQC transition deadlines of 2030 or earlier for high-priority systems? (Select all that apply),Australia (ASD),United States (CNSA 2.0),Taiwan,Czech Republic,a|b|c|d,"All four have aggressive timelines: Australia prohibits traditional crypto by 2030, CNSA 2.0 requires exclusive PQC for NSS networking/signing by 2030, Taiwan targets PQC migration for critical semiconductor and technology sectors by 2027, and Czech Republic set a 2027 encryption migration deadline.",/compliance,researcher|executive
comp-018,compliance,multiple-choice,advanced,full,What is the G7 Cyber Expert Group recommendation from January 2026 regarding PQC?,PQC is unnecessary for financial institutions,"Financial sector completing PQC migration by 2034, with phased preparation starting 2025",All G7 nations must use quantum key distribution by 2028,PQC research should be funded but not mandated,b,"The G7 Cyber Expert Group (January 2026, chaired by US Treasury and Bank of England) recommended a coordinated financial sector roadmap with phased milestones: awareness and preparation (2025-2027), discovery and cryptographic inventory (2025-2028), risk assessment and migration planning (2026-2029), and migration execution completing by 2034.",/timeline,researcher|executive
comp-019,compliance,multiple-choice,intermediate,both,"According to Israel's PQC guidance, what was the deadline for completing quantum threat assessments?",End of 2024,End of 2025,End of 2026,End of 2030,b,"Israel's cybersecurity guidance set an end-of-2025 deadline for organizations to complete quantum threat assessments. PQC is also required in new contracts, demonstrating early proactive compliance.",/timeline,researcher|executive
comp-020,compliance,multiple-choice,advanced,full,What does Europol report about executive preparedness for quantum threats?,86% of executives are well-prepared,86% of executives are unprepared for quantum threats,50% of organizations have completed PQC migration,Only government organizations are at risk,b,Europol reported in February 2025 that 86% of executives are unprepared for quantum threats. This highlights a significant gap between the urgency of the threat and organizational readiness across industries.,/timeline,researcher|executive
prot-011,protocol-integration,multiple-choice,beginner,both,What does SUCI protect in 5G networks?,Base station locations,Subscriber identity — preventing IMSI-catching attacks,Network bandwidth,Billing records,b,SUCI (Subscriber Concealed Identifier) protects subscriber identity in 5G networks by encrypting the SUPI (Subscriber Permanent Identifier). This prevents IMSI-catching attacks where adversaries track users by intercepting their identity. SUCI currently uses ECIES with P-256.,/learn/5g-security,researcher|developer
prot-012,protocol-integration,multiple-choice,intermediate,both,"In TLS 1.3, which message carries the server's public key share during the handshake?",ClientHello,ServerHello,Certificate,EncryptedExtensions,b,"In TLS 1.3, the ServerHello message carries the server's key share (public key for key exchange). With PQC hybrid key exchange (X25519MLKEM768), this message is larger due to the ML-KEM-768 public key (~1.2KB).",/learn/tls-basics,researcher|developer
prot-013,protocol-integration,multiple-choice,intermediate,both,What is the GSMA Post-Quantum Telco Taskforce and when was it established?,A 3GPP working group established in 2024,An industry taskforce established September 2022 to guide telecom PQC migration,A government mandate from the EU for telecom companies,A quantum computing vendor consortium,b,The GSMA Post-Quantum Telco Taskforce was established in September 2022 to guide the telecom industry's PQC migration. It published PQ.03 v2.0 (telecom use cases) in October 2024 and provides guidance for 5G/6G quantum-safe security.,/timeline,researcher|developer
prot-014,protocol-integration,true-false,beginner,both,True or False: Chrome and Firefox have already shipped support for hybrid PQC key exchange (X25519+ML-KEM-768) in TLS.,True,False,,,true,"True. Both Chrome and Firefox have shipped X25519MLKEM768 hybrid key exchange for TLS 1.3 connections. This is one of the earliest large-scale PQC deployments, protecting billions of web connections.",/timeline,researcher|developer
prot-015,protocol-integration,multiple-choice,advanced,full,Why is DNSSEC PQC integration particularly challenging compared to other protocols?,DNS servers cannot be upgraded,PQC signatures are too large for DNS UDP packet size limits (512 bytes / 4096 bytes with EDNS),DNS does not use cryptography,DNSSEC is being deprecated in favor of DNS-over-HTTPS,b,"DNSSEC PQC integration faces severe packet size constraints. DNS traditionally uses UDP with 512-byte limits (4096 with EDNS). PQC signatures (ML-DSA: 2.4-4.6KB, SLH-DSA: 7.8-16KB) can exceed these limits, requiring protocol-level solutions like DNS over TCP or signature compression.",/algorithms,researcher|developer
prot-016,protocol-integration,multiple-choice,intermediate,both,What protocol does RFC 9370 add PQC support to?,TLS 1.3,IKEv2 (IPsec VPN),SSH,SMTP,b,"RFC 9370 defines support for multiple key exchanges in IKEv2, the key management protocol for IPsec VPN tunnels. This enables hybrid PQC key exchange combining classical ECDH with ML-KEM for quantum-safe VPN connections.",/algorithms,researcher|developer
prot-017,protocol-integration,multiple-choice,intermediate,both,Which 5G authentication protocol is being upgraded for PQC resistance?,GSM A5 cipher,5G-AKA (Authentication and Key Agreement),SMS-based OTP,Wi-Fi WPA3,b,5G-AKA (Authentication and Key Agreement) is the primary authentication protocol in 5G networks (3GPP TS 33.501). It currently uses ECDSA/RSA and is being upgraded to support PQC algorithms for quantum-resistant network authentication.,/learn/5g-security,researcher|developer
prot-018,protocol-integration,multi-select,advanced,full,Which of the following 5G security components use quantum-vulnerable cryptography? (Select all that apply),SUCI subscriber identity protection (ECIES P-256),N2/N3 interface IPsec tunnels,Physical cell tower hardware,SIM/eSIM PKI authentication (RSA-2048/ECDSA P-256),a|b|d,"SUCI uses ECIES with P-256, N2/N3 interfaces use IPsec with quantum-vulnerable key exchange, and SIM/eSIM cards rely on RSA-2048/ECDSA P-256 PKI. Physical cell tower hardware itself is not a cryptographic component vulnerable to quantum attacks.",/learn/5g-security,researcher|developer
prot-019,protocol-integration,multiple-choice,beginner,both,What does OpenSSL 3.5 (released April 2025) include for PQC?,Only ML-KEM support,"Full PQC support: ML-KEM, ML-DSA, SLH-DSA, and X25519MLKEM768 hybrid",Only experimental PQC via external providers,No PQC support — PQC requires OpenSSL 4.0,b,"OpenSSL 3.5 was a landmark release with full built-in PQC support: ML-KEM for key exchange, ML-DSA and SLH-DSA for signatures, and the X25519MLKEM768 hybrid key exchange as the default TLS negotiation option.",/openssl,researcher|developer
prot-020,protocol-integration,multiple-choice,advanced,full,What is the Samsung/Thales ML-KEM embedded secure element breakthrough from January 2026?,A quantum computer chip for smartphones,The first commercial PQC implementation for IoT embedded secure elements,A new PQC algorithm proposal,A quantum key distribution system for mobile devices,b,"Samsung and Thales achieved the first commercial PQC implementation using ML-KEM in an embedded secure element (January 2026). This breakthrough enables quantum-safe security for IoT devices, smart cards, and constrained environments.",/timeline,researcher|developer
thrt-009,industry-threats,multiple-choice,beginner,both,"According to Thales 2025 data, what percentage of healthcare operators have encrypted 80% or more of their cloud data?",4%,25%,57%,75%,a,Only 4% of healthcare operators have encrypted 80% or more of their cloud data (Thales 2025). This is alarming given that 677 healthcare breaches in 2024 exposed over 182 million individuals and healthcare data has lifetime sensitivity.,/threats,researcher|executive
thrt-010,industry-threats,multiple-choice,intermediate,both,"How many healthcare breaches occurred in 2024, and how many individuals were affected?","200 breaches, 50 million individuals","677 breaches, 182+ million individuals","1000 breaches, 500 million individuals","50 breaches, 10 million individuals",b,"677 healthcare breaches in 2024 exposed over 182 million individuals. Combined with only 4% of healthcare operators encrypting most cloud data, this represents a critical quantum vulnerability given the lifetime sensitivity of genomic and medical data.",/threats,researcher|executive
thrt-011,industry-threats,multiple-choice,intermediate,both,"What percentage of global trade by volume is carried by maritime shipping, making maritime cryptography a critical concern?",30%,50%,80%,95%,c,"Maritime shipping carries approximately 80% of world trade by volume. Maritime systems use AIS (Automatic Identification System) and digital signatures (RSA/ECDSA) for vessel identification and electronic bills of lading, making them vulnerable to quantum-enabled forgery.",/threats,researcher|executive
thrt-012,industry-threats,multiple-choice,advanced,full,What is the BIS Project Leap Phase 2 testing for quantum-safe financial infrastructure?,Quantum computing for trading algorithms,Hybrid PQC on the TARGET2 settlement system processing trillions daily,Quantum key distribution for ATM networks,Blockchain-based central bank digital currencies,b,"BIS Project Leap Phase 2 (July 2025) tests hybrid PQC implementations on the TARGET2 settlement system, which processes trillions of euros in daily interbank settlements. This is the first large-scale test of quantum-safe financial market infrastructure.",/threats,researcher|executive
thrt-013,industry-threats,true-false,intermediate,both,True or False: Nuclear power plants have licensing periods of 60+ years with approved 80-year extensions.,True,False,,,true,"True. Nuclear plants operate under NRC 10 CFR 73.54 with 60+ year licenses and approved 80-year extensions. These extremely long lifecycles make nuclear facilities some of the most challenging systems for PQC migration, as cryptographic systems must remain secure for decades.",/threats,researcher|executive
thrt-014,industry-threats,multiple-choice,intermediate,both,"How many SIM cards globally use RSA-2048 or ECDSA P-256, creating a massive quantum-vulnerable surface?",Millions,Hundreds of millions,Billions,Tens of thousands,c,Billions of SIM cards globally use RSA-2048 or ECDSA P-256 for authentication. The eSIM standard (SGP.22) also relies on quantum-vulnerable PKI. Replacing this massive installed base is one of the largest PQC migration challenges in the telecom industry.,/threats,researcher|executive
thrt-015,industry-threats,multiple-choice,advanced,full,What does FS-ISAC warn about the financial sector's PQC readiness?,The financial sector is well ahead of schedule,Financial sector is unprepared and risks roadmap collapse by 2030 (September 2025 warning),PQC migration is unnecessary for financial institutions,Only cryptocurrency firms are at risk,b,FS-ISAC (Financial Services Information Sharing and Analysis Center) issued a September 2025 warning that the financial sector is unprepared for quantum threats and risks roadmap collapse by 2030 unless immediate action is taken.,/threats,researcher|executive
thrt-016,industry-threats,multiple-choice,intermediate,both,What is the quantum threat to global streaming DRM systems (Widevine/PlayReady/FairPlay)?,No threat — streaming is not encrypted,"RSA key hierarchies protecting content could be broken, exposing >$100B annual streaming revenue",Only live streaming is affected,DRM will be replaced by blockchain before quantum computers arrive,b,"Widevine, PlayReady, and FairPlay DRM systems rely on RSA key hierarchies. Quantum computers could break these hierarchies, potentially exposing the entire global streaming content catalog worth over $100 billion in annual revenue.",/threats,researcher|executive
thrt-017,industry-threats,multi-select,intermediate,both,Which of the following Ethereum cryptographic components are quantum-vulnerable? (Select all that apply),secp256k1 ECDSA (transaction signing),BLS12-381 (consensus signatures),SHA-256 (block hashing),Keccak-256 (address derivation),a|b,Ethereum's secp256k1 ECDSA (transaction signing) and BLS12-381 (consensus/beacon chain signatures) are both vulnerable to Shor's Algorithm. SHA-256 and Keccak-256 are hash functions only weakened (not broken) by Grover's Algorithm.,/threats,researcher|executive
thrt-018,industry-threats,multiple-choice,beginner,both,"What is the estimated value of quantum-vulnerable Bitcoin in P2PK addresses, according to blockchain analysis?",~$10 million,~$100 million,~$718 billion,~$5 trillion,c,"Approximately $718 billion in quantum-vulnerable P2PK (Pay-to-Public-Key) addresses exist on Bitcoin, including approximately 1.1 million BTC attributed to Satoshi Nakamoto. These addresses permanently expose their public keys, making them prime targets for future quantum attacks.",/threats,researcher|executive
thrt-019,industry-threats,multiple-choice,advanced,full,"According to Forescout 2025, by how much have average device risk scores increased across the top 10 countries year-over-year?",5%,15%,33%,50%,c,"Forescout 2025 reports average device risk scores across the top 10 countries increased 33% year-over-year (from 6.53 to 9.1), with overall device risk up 15%. Billions of IoT devices use ECDSA P-256 or RSA-2048 with no practical firmware update path, making IoT one of the most challenging sectors for PQC migration.",/threats,researcher|executive
thrt-020,industry-threats,multiple-choice,intermediate,both,What unique quantum threat do electronic bills of lading (eBL) in maritime shipping face?,Data theft during transit,Quantum forgery could enable cargo theft by forging digital proof of ownership,Physical cargo damage,Insurance fraud unrelated to cryptography,b,"DCSA electronic bills of lading (eBL) use digital signatures to prove cargo ownership. Quantum forgery of these signatures could enable cargo theft at a global scale, as forged eBLs would appear legitimate to all parties in the supply chain.",/threats,researcher|executive
cryp-011,crypto-operations,multiple-choice,beginner,both,What is the shared secret size produced by all ML-KEM variants after decapsulation?,16 bytes,32 bytes,64 bytes,256 bytes,b,"All ML-KEM variants (512, 768, 1024) produce a 32-byte shared secret after decapsulation. This shared secret is then typically used as input to a Key Derivation Function (KDF) to produce symmetric encryption keys.",/playground,researcher|developer
cryp-012,crypto-operations,multiple-choice,intermediate,both,How does ML-KEM key generation speed compare to RSA-2048?,ML-KEM is about 2x faster,ML-KEM is approximately 80x faster,They are about the same speed,RSA-2048 is faster,b,"ML-KEM key generation is approximately 80x faster than RSA-2048 because it uses efficient linear algebra operations over polynomial rings, while RSA requires finding large prime numbers — a computationally expensive process.",/playground,researcher|developer
cryp-013,crypto-operations,multiple-choice,intermediate,both,What is the ML-DSA-44 signature size?,64 bytes (same as ECDSA),~256 bytes (same as RSA-2048),~2420 bytes,~7856 bytes,c,"ML-DSA-44 produces signatures of approximately 2,420 bytes. This is significantly larger than ECDSA P-256 (64 bytes) or RSA-2048 (~256 bytes) but much smaller than SLH-DSA-SHA2-128s (~7,856 bytes).",/algorithms,researcher|developer
cryp-014,crypto-operations,true-false,beginner,both,True or False: The TLS 1.3 handshake uses a key exchange to establish a shared secret before encrypting application data.,True,False,,,true,"True. In TLS 1.3, the client and server perform a key exchange (e.g., X25519 or X25519MLKEM768) during the handshake to establish a shared secret. This shared secret is then used to derive symmetric keys for encrypting all subsequent application data.",/learn/tls-basics,researcher|developer
cryp-015,crypto-operations,multiple-choice,intermediate,both,What is the approximate ciphertext size of ML-KEM-768?,32 bytes,~1088 bytes,~3309 bytes,~16224 bytes,b,"ML-KEM-768 produces ciphertexts of approximately 1,088 bytes. Combined with the ~1,184-byte public key, the total data exchanged during hybrid key exchange (X25519MLKEM768) is around 2.3KB — larger than classical X25519 (64 bytes total) but still practical for TLS.",/algorithms,researcher|developer
cryp-016,crypto-operations,multiple-choice,advanced,full,Why is constant-time implementation critical for PQC algorithms in practice?,To meet NIST performance benchmarks,To prevent side-channel attacks that exploit timing variations to extract secret keys,To ensure compatibility with older hardware,To reduce memory usage,b,"Constant-time implementation prevents side-channel attacks where attackers measure execution timing to extract secret key information. FN-DSA is particularly susceptible due to its floating-point arithmetic, and all PQC implementations should be constant-time for production security.",/algorithms,researcher|developer
