reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,local_file,module_ids
BSI TR-02102-2,Cryptographic Mechanisms: Recommendations for TLS,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-2.pdf,2025-01-31,2026-01-31,Technical Guideline,TLS-specific PQC recommendations including hybrid key exchange. Version 2026-01.,Compliance/Guidance,Web; Cloud; Enterprise,BSI Germany,TR-02102-1; RFC 8446; FIPS 203,Germany; EU,Lattice+ECDH,N/A,TLS configuration,TLS implementations,High,Updated,Protocols,yes,public/library/BSI_TR-02102-2.pdf,tls-basics;compliance-strategy
BSI TR-02102-3,Cryptographic Mechanisms: Recommendations for IPsec,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-3.pdf,2025-01-31,2026-01-31,Technical Guideline,IPsec/IKEv2-specific PQC recommendations. Version 2026-01.,Compliance/Guidance,VPN; Enterprise; Gov,BSI Germany,TR-02102-1; RFC 7296,Germany; EU,Lattice+ECDH,N/A,IPsec/VPN configuration,VPN implementations,High,Updated,Protocols,yes,public/library/BSI_TR-02102-3.pdf,vpn-ssh-pqc;compliance-strategy
BSI TR-02102-4,Cryptographic Mechanisms: Recommendations for SSH,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-4.pdf,2025-01-31,2026-01-31,Technical Guideline,SSH-specific PQC recommendations for secure remote access. Version 2026-01.,Compliance/Guidance,Remote Access; Enterprise; Government,BSI Germany,TR-02102-1; FIPS 203,Germany; EU,Lattice+ECDH,N/A,SSH configuration,OpenSSL; commercial SSH,High,Updated,Protocols,yes,public/library/BSI_TR-02102-4.pdf,vpn-ssh-pqc;compliance-strategy
ANSSI PQC Position Paper,ANSSI Views on Post-Quantum Cryptography Transition,https://cyber.gouv.fr/sites/default/files/2022/04/anssi-avis-migration-vers-la-cryptographie-post-quantique.pdf,2022-01-01,2022-01-01,Position Paper,French national guidance mandating hybrid approach for products requiring security beyond 2030.,Compliance/Guidance,Gov; Critical Infrastructure; Defense,ANSSI France,NIST PQC,France; EU,N/A,L5 recommended,French systems requiring long-term security,French government,High,Validated,General PQC Migration,yes,public/library/ANSSI_PQC_Position_Paper.pdf,compliance-strategy;crypto-agility;hybrid-crypto;pqc-governance;pqc-risk-management;quantum-threats
ANSSI PQC Follow-up Paper,ANSSI Views on Post-Quantum Cryptography Transition (2023 Follow-up),https://cyber.gouv.fr/sites/default/files/document/follow_up_position_paper_on_post_quantum_cryptography.pdf,2023-12-01,2023-12-01,Position Paper,Updated guidance on hybridization requirements and timeline phases through 2030+.,Compliance/Guidance,Gov; Critical Infrastructure,ANSSI France,NIST PQC; ANSSI 2022,France; EU,Lattice; Hash-based,L5 recommended,French national security systems,French agencies,High,Updated,General PQC Migration,yes,public/library/ANSSI_PQC_Follow-up_Paper.pdf,compliance-strategy;crypto-agility;hybrid-crypto;pqc-governance;quantum-threats
EU PQC Recommendation,Recommendation on Coordinated Implementation Roadmap for PQC Transition,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,2024-04-11,2024-04-11,Policy Recommendation,EU-wide coordination framework for member state PQC transitions. Target 2030 for critical systems.,Compliance/Policy,Gov; Critical Infrastructure; Finance,European Commission,NIST PQC; ETSI QSC,EU,N/A,N/A,EU member state coordination,EU member states,High,Validated,General PQC Migration,yes,public/library/EU_PQC_Recommendation.html,digital-id;crypto-agility;compliance-strategy;pqc-governance;migration-program
ENISA PQC Guidelines,Post-Quantum Cryptography: Current State and Quantum Mitigation,https://www.enisa.europa.eu/publications/post-quantum-cryptography-current-state-and-quantum-mitigation,2021-07-01,2024-12-01,Position Paper,ENISA recommendations on PQC adoption strategy for European organizations.,Guidance,Enterprise; Government; Critical Infrastructure,ENISA,NIST PQC; ETSI,EU,N/A,N/A,European PQC strategy,EU organizations,High,Updated,General PQC Migration,yes,public/library/ENISA_PQC_Guidelines.html,crypto-agility
EUCC v2.0 ACM,EU Cybersecurity Certification Agreed Cryptographic Mechanisms v2.0,https://certification.enisa.europa.eu/document/download/f4657490-9757-4a97-8deb-fd4d6a1358ee_en?filename=EUCC_guidelines_Agreed+Cryptographic+Mechanisms+v2.pdf,2025-04-01,2025-04-01,Certification Framework,Includes PQC algorithms in Agreed Cryptographic Mechanisms for EUCC certification.,Compliance/Guidance,ICT Products; Services; EU Market,ECCG/ENISA,FIPS 203/204/205; ISO 15408,EU,Lattice; Hash-based,"L1,L3,L5",EU product certification,EU vendors,High,New,General PQC Migration,yes,public/library/EUCC_v2.0_ACM.pdf,crypto-agility;compliance-strategy;pqc-governance
UK NCSC PQC Guidance,Preparing for Quantum-Safe Cryptography,https://www.ncsc.gov.uk/whitepaper/preparing-for-quantum-safe-cryptography,2024-11-01,2025-01-01,White Paper,UK guidance on PQC migration with 2035 deadline for full transition.,Guidance,Government; Critical National Infrastructure; Enterprise,UK NCSC,NIST PQC; ETSI,UK; International,N/A,N/A,UK PQC migration strategy,UK organizations,High,New,General PQC Migration,yes,public/library/UK_NCSC_PQC_Guidance.html,crypto-agility;quantum-threats;compliance-strategy;pqc-risk-management;migration-program
NIST NCCoE SP 1800-38C,Migration to Post-Quantum Cryptography (Preliminary Draft),https://www.nccoe.nist.gov/sites/default/files/2023-12/pqc-migration-nist-sp-1800-38c-preliminary-draft.pdf,2023-12-01,2023-12-01,Preliminary Draft Practice Guide,Practical guidance for enterprise PQC migration with use cases and reference architectures.,Guidance,Enterprise IT; Gov; Finance,NIST NCCoE,FIPS 203/204/205,USA,N/A,N/A,Enterprise migration planning,Reference implementations,High,Validated,General PQC Migration,yes,public/library/NIST_NCCoE_SP_1800-38C.pdf,crypto-agility;pqc-risk-management;pqc-business-case;migration-program
ISO/IEC 14888-4:2024,Hash-based Digital Signatures,https://www.iso.org/standard/80966.html,2024-01-01,2024-01-01,International Standard,Standardizes XMSS and LMS stateful hash-based signatures at ISO level.,Algorithm,Global; All industries; Firmware,ISO/IEC JTC 1/SC 27,SP 800-208; RFC 8554/8391,Global,Hash-based (stateful),L1-L5,ISO-certified hash-based signatures,Global implementations,Medium,New,Digital Signature,no-paywall,,stateful-signatures;vendor-risk
ISO/IEC 18033-2:2006/AMD1:2017,Asymmetric Encryption Algorithms,https://www.iso.org/standard/37971.html,2006-01-01,2017-12-01,International Standard,ISO standard for asymmetric encryption. Updates planned for PQC KEMs.,Algorithm,Global; All industries,ISO/IEC JTC 1/SC 27,ISO standards,Global,Classical + planned PQC,Various,Asymmetric encryption standards,Global,Medium,Updated,KEM,no-paywall,,crypto-agility;key-management
ISO/IEC NP 29192-8,Lightweight Cryptography - Part 8: Post-Quantum Algorithms,https://www.iso.org/standard/88299.html,2024-06-01,2024-06-01,New Project,Standardization of lightweight PQC algorithms for constrained devices.,Algorithm,IoT; Embedded Systems; Mobile,ISO/IEC JTC 1/SC 27,NIST Lightweight PQC,Global,Lattice; Hash-based,"L1,L3",Lightweight PQC for IoT,IoT implementations,Medium,New,General PQC Migration,no-paywall,,iot-ot-pqc;5g-security;vendor-risk
China OSCCA GM/T 0108-2021,Technical Specification for Quantum Key Distribution Products,https://www.gmbz.org.cn/,2021-01-01,2021-01-01,National Standard,Chinese cryptographic industry standard for QKD products using deceptive state BB84.,Protocol,Government; Critical Infrastructure; Finance,OSCCA China,GB/T standards,China,QKD,N/A,Quantum key distribution systems,Chinese QKD vendors,Medium,Validated,KEM,no-homepage,,qkd
China GB/T 42829-2023,Basic Requirements for Quantum Secure Communication Applications,https://www.gb688.cn/,2023-01-01,2023-01-01,National Standard,Chinese national standard defining requirements for quantum secure communication systems.,Compliance/Guidance,Government; Telecom; Critical Infrastructure,SAC China,GM/T standards,China,QKD,N/A,Quantum communication deployment,Chinese systems,Medium,New,Protocols,no-homepage,,qkd
China GB/T 43692-2024,Quantum Communication Terms and Definitions,https://www.gb688.cn/,2024-01-01,2024-01-01,National Standard,Standardizes terminology for quantum communication in China.,Guidance,All quantum sectors; Research; Industry,SAC China,QKD standards,China,N/A,N/A,Quantum communication terminology,Chinese quantum industry,Low,New,General PQC Migration,no-homepage,,qkd
China YD/T 3834.1-2021,Quantum Key Distribution System Technical Requirements - Part 1,https://www.ccsa.org.cn/,2021-01-01,2021-01-01,Communications Industry Standard,Technical requirements for QKD systems based on BB84 protocol.,Protocol,Telecom; Government; Finance,CCSA China,GM/T 0108,China,QKD,N/A,QKD system specifications,Telecom operators,Medium,Validated,Protocols,no-homepage,,qkd
China CACR PQC Competition Results,Chinese Post-Quantum Cryptography Competition Winners,https://www.cacrnet.org.cn/,2020-02-01,2020-02-01,Competition Results,"Results of CACR national PQC competition: Aigi-sig, LAC.PKE, Aigis-enc (lattice-based).",Research/Report,Research; Cryptography Development,CACR China,Similar to NIST PQC,China,Lattice-based,"L1,L5",Potential Chinese PQC standards,Chinese research,Medium,Validated,General PQC Migration,no-homepage,,quantum-threats
China ICCS PQC Call for Proposals,ICCS Post-Quantum Cryptography Algorithm Solicitation,https://www.gmbz.org.cn/,2025-02-01,2025-03-15,Call for Proposals,"Chinese initiative for independent PQC algorithms for public-key crypto, hash functions, block ciphers.",Compliance/Policy,Government; Industry; Research,ICCS China,Chinese cryptography standards,China,Various PQC families,"L1,L3,L5",Chinese PQC algorithm standardization,Chinese vendors,High,New,General PQC Migration,no-homepage,,compliance-strategy;quantum-threats
Japan CRYPTREC Report 2024,Post-Quantum Cryptography Evaluation Report,https://www.cryptrec.go.jp/report/cryptrec-gl-2007-2024.pdf,2024-04-01,2024-04-01,Technical Report,Japanese evaluation of NIST PQC algorithms and recommendations for Japanese adoption.,Guidance,Government; Critical Infrastructure; Finance,CRYPTREC Japan,NIST FIPS 203/204/205,Japan,N/A,N/A,Japanese PQC adoption guidance,Japanese agencies,Medium,New,General PQC Migration,yes,public/library/Japan_CRYPTREC_Report_2024.html,quantum-threats
Singapore-CSA-Quantum-Safe-Handbook,Quantum-Safe Handbook and Quantum Readiness Index,https://www.csa.gov.sg/resources/publications/quantum-safe-handbook-and-quantum-readiness-index/,2024-06-01,2024-06-01,Guidance,Singapore guidance for organizations preparing for PQC transition.,Guidance,Telecom; Finance; Critical Info Infrastructure,CSA Singapore,NIST PQC; ETSI,Singapore; ASEAN,N/A,N/A,Singapore PQC readiness,Singapore entities,Medium,Updated,General PQC Migration,yes,public/library/Singapore_IMDA_Cyber_Security_Guide.html,crypto-agility;compliance-strategy;migration-program
Australia ASD PQC Guidance,Post-Quantum Cryptography Roadmap,https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2024-03-01,2024-03-01,Policy Recommendation,Australian guidance with aggressive 2030 deadline for PQC migration.,Compliance/Policy,Government; Critical Infrastructure,ASD Australia,NIST PQC; CNSA 2.0,Australia,N/A,N/A,Australian PQC timeline,Australian government,High,New,General PQC Migration,no-forbidden,,crypto-agility;quantum-threats;compliance-strategy;pqc-risk-management;migration-program
Canada CSE PQC Guidance,Guidance on Post-Quantum Cryptography,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2023-09-01,2023-09-01,Guidance,Canadian Centre for Cyber Security guidance on PQC adoption.,Guidance,Government; Critical Infrastructure; Finance,CCCS Canada,NIST PQC; CNSA 2.0,Canada,N/A,N/A,Canadian PQC strategy,Canadian entities,Medium,New,General PQC Migration,yes,public/library/Canada_CSE_PQC_Guidance.html,crypto-agility;compliance-strategy;migration-program
GSMA FS.50 PQC Guidelines,Post-Quantum Cryptography Integration in Mobile Networks,https://www.gsma.com/newsroom/wp-content/uploads/PQ.03-Post-Quantum-Cryptography-Guidelines-for-Telecom-Use-Cases-v2.0-2.pdf,2024-10-01,2024-10-01,Permanent Reference Document,"Guidance for integrating PQC into TLS, IKE, and 5G infrastructure.",Guidance,Mobile Networks; Telecom; 5G,GSMA,FIPS 203/204; 3GPP standards,Global,Hybrid approaches,N/A,5G and mobile network PQC,Mobile operators,High,New,Protocols,yes,public/library/GSMA_FS.50_PQC_Guidelines.pdf,5g-security
IEEE 1609.2 Amendment,Security Services for Applications and Management Messages - PQC Update,https://standards.ieee.org/ieee/1609.2/10258/,2025-01-01,2025-12-31,Standard Amendment,IEEE vehicular communications security standard update for PQC.,Algorithm,Automotive; V2X; Transportation,IEEE,FIPS 203/204,Global,Lattice-based,"L3,L5",Vehicle-to-everything communications,Automotive OEMs,Medium,New,Protocols,no-paywall,,iot-ot-pqc;5g-security
3GPP TS 33.501 Rel-19,Security Architecture and Procedures for 5G - PQC Enhancements,https://www.etsi.org/deliver/etsi_ts/133500_133599/133501/17.05.00_60/ts_133501v170500p.pdf,2025-06-01,2025-12-01,Technical Specification,5G security architecture updates incorporating PQC algorithms.,Protocol,Mobile Networks; 5G; Telecom,3GPP,FIPS 203/204; GSMA guidelines,Global,Hybrid approaches,"L3,L5",5G network security,Network equipment vendors,High,New,Protocols,yes,public/library/3GPP_TS_33.501_Rel-19.pdf,5g-security
IETF RFC 8391,XMSS: eXtended Merkle Signature Scheme,https://www.rfc-editor.org/rfc/rfc8391.html,2018-05-01,2018-05-01,Informational,Specifies XMSS stateful hash-based signatures for long-term security.,Algorithm,Firmware; Long-term Security; Archival,IETF CFRG,SP 800-208,International,Hash-based (stateful),L1-L5,Firmware and long-term signatures,Various implementations,Medium,Validated,Digital Signature,yes,public/library/IETF_RFC_8391.html,stateful-signatures;key-management
IETF RFC 8554,Leighton-Micali Hash-Based Signatures,https://www.rfc-editor.org/rfc/rfc8554.html,2019-04-01,2019-04-01,Informational,Specifies LMS/HSS stateful hash-based signature schemes.,Algorithm,Firmware; Critical Infrastructure; Secure Boot,IETF CFRG,SP 800-208,International,Hash-based (stateful),L1-L5,Secure boot and firmware signing,wolfSSL; Bouncy Castle,Medium,Validated,Digital Signature,yes,public/library/IETF_RFC_8554.html,stateful-signatures;key-management;email-signing
IETF RFC 9370,Multiple Key Exchanges in IKEv2,https://www.rfc-editor.org/rfc/rfc9370.html,2023-05-01,2023-05-01,Standards Track,Framework for up to 7 additional KEMs in IKEv2 for PQ/T hybrid approaches.,Protocol,VPN; IPsec; Enterprise,IETF IPSECME,RFC 7296,International,Hybrid KEMs,N/A,IKEv2 multiple key exchange framework,VPN implementations,High,Validated,Protocols,yes,public/library/IETF_RFC_9370.html,vpn-ssh-pqc;crypto-agility
IETF RFC 8784,Mixing Preshared Keys in IKEv2 for Post-quantum Security,https://www.rfc-editor.org/rfc/rfc8784.html,2020-06-01,2020-06-01,Standards Track,Defines Post-quantum Preshared Keys (PPK) for quantum-resistant IKEv2.,Protocol,VPN; Government; High Security,IETF IPSECME,RFC 7296,International,Symmetric PSKs,N/A,Quantum-resistant PSK mixing,VPN implementations,Medium,Validated,Protocols,yes,public/library/IETF_RFC_8784.html,vpn-ssh-pqc
CISA-PQC-CATEGORY-LIST-2026,CISA PQC Product Category List (Updated per EO 14306),https://www.cisa.gov/resources-tools/resources/product-categories-technologies-use-post-quantum-cryptography-standards,2025-12-01,2026-01-23,Published (Updated),Updated product category list per Executive Order 14306. Identifies cloud services web software networking hardware endpoint security as PQC-ready categories. Developed with NSA. Products must support PQC for key establishment and digital signatures.,Guidance,Federal Government; Critical Infrastructure,CISA/NSA,FIPS 203; FIPS 204; FIPS 205; EO 14306,US Federal,All PQC Families,Level 3; Level 5,Federal procurement; PQC product acquisition,Multiple,High,Updated,Government Guidance,yes,public/library/CISA-PQC-CATEGORY-LIST-2026.html,crypto-agility;compliance-strategy;pqc-governance;pqc-business-case
Samsung-Thales-ML-KEM-eSE-2026,Samsung/Thales Post-Quantum Embedded Secure Element (S3SSE2A),https://www.businesswire.com/news/home/20260106145232/en/Thales-Powers-CES-Winning-Post-Quantum-Chip-From-Samsung-Electronics,2026-01-06,2026-01-06,Released,Samsung System LSI and Thales bring ML-KEM quantum-resistant capabilities to embedded Secure Element (eSE). Two dedicated PQC hardware accelerators 18x faster than software. CES Best Cybersecurity Innovation Award winner. EAL6+ certification target. Crypto-agile architecture.,Algorithm,IoT; Embedded Systems; Mobile; Hardware Security,Samsung System LSI; Thales,FIPS 203; NIST PQC,Global,Lattice-based,"L3,L5",Embedded device security; IoT authentication,Hardware PQC implementations,High,New,General PQC Migration,no-forbidden,,key-management
ETSI-TS-104-015,Efficient Quantum-Safe Hybrid Key Exchanges with Hidden Access Policies (Covercrypt),https://www.etsi.org/deliver/etsi_ts/104000_104099/104015/01.01.01_60/ts_104015v010101p.pdf,2025-02-01,2025-02-01,Published Technical Specification,Defines KEMAC (Key Encapsulation Mechanism with Access Control) scheme called Covercrypt. Provides pre- and post-quantum security through hybridization with precise data access control. Encapsulation and decapsulation in hundreds of microseconds.,Protocol,Data Protection; Cloud; Enterprise; Access Control,ETSI,NIST PQC; KEMAC,Europe; International,PQ/T Hybrid,"L3,L5",Quantum-safe encryption with access control,Covercrypt library,Medium,New,Protocols,yes,public/library/ETSI-TS-104-015.pdf,hybrid-crypto;pki-workshop
draft-wang-ipsecme-hybrid-kem-ikev2-frodo-03,Post-quantum Hybrid Key Exchange in IKEv2 with FrodoKEM,https://datatracker.ietf.org/doc/draft-wang-ipsecme-hybrid-kem-ikev2-frodo/,2024-12-24,2026-01-12,Internet-Draft (Call for WG Adoption),Specifies FrodoKEM as additional KEM for IKEv2 hybrid key exchange. Unstructured lattice-based KEM providing conservative security. WG adoption call ending Feb 2026.,Protocol,VPN; Enterprise; Government; High Security,IETF IPSECME WG,FIPS 203; RFC 7296; RFC 9370,International,Unstructured Lattice (FrodoKEM),"L1,L3,L5",IKEv2/IPsec with FrodoKEM,VPN implementations,Medium,New,Protocols,yes,public/library/draft-wang-ipsecme-hybrid-kem-ikev2-frodo-03.html,vpn-ssh-pqc
draft-turner-lamps-cms-fn-dsa-00,Use of the FN-DSA Signature Algorithm in the Cryptographic Message Syntax (CMS),https://datatracker.ietf.org/doc/draft-turner-lamps-cms-fn-dsa/,2025-11-04,2025-11-04,Internet-Draft (Individual Submission),Defines FN-DSA (FALCON/FIPS 206) signature usage in CMS. Expires May 2026.,Protocol,Email; Messaging; Document Signing,IETF LAMPS,FIPS 206; RFC 5652,International,Lattice-based (NTRU),"L1,L5",CMS signatures with FN-DSA,In development,Medium,New,Protocols,yes,public/library/draft-turner-lamps-cms-fn-dsa-00.html,email-signing
draft-ietf-cose-falcon-03,FN-DSA for JOSE and COSE,https://datatracker.ietf.org/doc/draft-ietf-cose-falcon/,2025-10-12,2025-10-12,Internet-Draft,Defines FN-DSA (FALCON) algorithm identifiers and serialization for JSON Object Signing and Encryption (JOSE) and CBOR Object Signing and Encryption (COSE).,Protocol,Web APIs; IoT; CBOR; JSON,IETF COSE WG,FIPS 206; RFC 9052; RFC 7515,International,Lattice-based (NTRU),"L1,L5",JOSE/COSE with FN-DSA signatures,Web API implementations,Medium,New,Protocols,yes,public/library/draft-ietf-cose-falcon-03.html,api-security-jwt;email-signing
EO-14306,Executive Order 14306 — Sustaining Select Cybersecurity Efforts (PQC Provisions),https://www.whitehouse.gov/presidential-actions/2025/06/sustaining-select-efforts-to-strengthen-the-nations-cybersecurity-and-amending-executive-order-13694-and-executive-order-14144/,2025-06-06,2025-06-06,Executive Order,Trump administration EO directing DHS/CISA to publish PQC product categories. Requires TLS 1.3 adoption by 2030. Amends EO 13694 and EO 14144. Retains PQC migration provisions from Biden era.,Compliance/Policy,Federal Government; All Sectors,White House,FIPS 203/204/205; CNSA 2.0,USA,N/A,N/A,Federal PQC procurement mandate,Federal agencies,High,New,Government Guidance,yes,public/library/EO-14306.html,crypto-agility;compliance-strategy;pqc-governance;pqc-risk-management;pqc-business-case
CA-B-Forum-Ballot-SMC013,CA/Browser Forum Ballot SMC013 - Enable PQC Algorithms for S/MIME,https://cabforum.org/2025/07/02/ballot-smc-013/,2025-07-02,2025-08-22,Adopted,Enables ML-DSA post-quantum digital signatures in S/MIME certificates. IPR Exclusion period completed with no notices filed. Adopted August 22 2025.,Compliance/Policy,Email Security; S/MIME; Certificate Authorities,CA/Browser Forum,FIPS 204; RFC 9881,Global,Lattice-based,"L2,L3,L5",S/MIME certificates with ML-DSA,CAs; Email clients,High,New,PKI Certificate Management,yes,public/library/CA-B-Forum-Ballot-SMC013.html,email-signing;pki-workshop;pqc-governance
draft-kampanakis-curdle-ssh-pq-ke,Post-Quantum Key Exchange for SSH using ML-KEM,https://datatracker.ietf.org/doc/draft-kampanakis-curdle-ssh-pq-ke/,2024-03-01,2024-07-15,Internet-Draft,Defines mlkem768x25519-sha256 hybrid SSH key exchange combining ML-KEM-768 (FIPS 203) with X25519. Implemented in OpenSSH 9.9+.,Protocol,Remote Access; Enterprise; Government,IETF CURDLE WG,FIPS 203; RFC 8731,International,Lattice-based,L3,SSH,OpenSSH 9.9+,High,New,Protocols,yes,public/library/draft-kampanakis-curdle-ssh-pq-ke.html,vpn-ssh-pqc
draft-josefsson-ntruprime-ssh,NTRU Prime Key Agreement for SSH,https://datatracker.ietf.org/doc/draft-josefsson-ntruprime-ssh/,2022-01-01,2022-01-01,Internet-Draft (Individual Submission),Defines sntrup761x25519-sha512 hybrid SSH key exchange using Streamlined NTRU Prime with X25519. Default algorithm in OpenSSH 9.0+.,Protocol,Remote Access; Enterprise,IETF Individual Submission,NTRU Prime,International,Lattice-based (NTRU),L3,SSH,OpenSSH 8.5+,Medium,Validated,Protocols,yes,public/library/draft-josefsson-ntruprime-ssh.html,vpn-ssh-pqc
draft-ietf-pquip-hbs-state,Stateful Hash-Based Signature State Management,https://datatracker.ietf.org/doc/draft-ietf-pquip-hbs-state/,2024-01-01,2024-01-01,Internet-Draft,Guidance on managing stateful HBS (LMS/XMSS) state to prevent catastrophic key reuse. Covers state persistence and distributed signing strategies.,Guidance,Firmware; Critical Infrastructure; Secure Boot,IETF PQUIP WG,RFC 8554; RFC 8391; SP 800-208,International,Hash-based (stateful),L1-L5,Firmware signing; Secure boot; Code signing,HSM vendors; Firmware implementations,Medium,New,Digital Signature,yes,public/library/draft-ietf-pquip-hbs-state.html,stateful-signatures
draft-sfluhrer-ipsecme-ikev2-mldsa-00,Post-quantum Digital Signatures with ML-DSA in IKEv2,https://datatracker.ietf.org/doc/draft-sfluhrer-ipsecme-ikev2-mldsa/,2025-01-01,2025-01-01,Internet-Draft (Individual Submission),Defines ML-DSA (FIPS 204) for IKE_AUTH phase digital signatures in IKEv2. Companion to draft-ietf-ipsecme-ikev2-mlkem. Enables fully post-quantum IKEv2 authentication.,Protocol,VPN; Enterprise; Government,IETF IPSECME WG,FIPS 204; RFC 7296; draft-ietf-ipsecme-ikev2-mlkem,International,Lattice-based,"L2,L3,L5",IKEv2 authentication with ML-DSA,VPN implementations,High,New,Protocols,yes,public/library/draft-sfluhrer-ipsecme-ikev2-mldsa-00.html,vpn-ssh-pqc
draft-ietf-tls-mldsa-01,ML-DSA for TLS 1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-mldsa/,2025-01-01,2025-09-26,Internet-Draft,Defines ML-DSA (FIPS 204) signature algorithms for use in TLS 1.3 authentication. Enables post-quantum certificate-based authentication in TLS alongside ML-KEM key exchange.,Protocol,Web; Cloud; Enterprise; Government,IETF TLS WG,FIPS 204; RFC 8446; draft-ietf-tls-hybrid-design,International,Lattice-based,"L2,L3,L5",TLS 1.3 authentication with ML-DSA,TLS implementations,High,Updated,Protocols,yes,public/library/draft-ietf-tls-mldsa.html,tls-basics
RFC 9690,Use of the RSA-KEM Algorithm in the Cryptographic Message Syntax (CMS),https://www.rfc-editor.org/rfc/rfc9690.html,2024-12-01,2024-12-01,Proposed Standard,Defines RSA-KEM usage in CMS EnvelopedData using KEMRecipientInfo. Obsoletes RFC 5990. Supports hybrid RSA+ML-KEM migration scenarios for S/MIME.,Protocol,Email; Secure Messaging; Document Encryption,IETF LAMPS,RFC 9629; RFC 5652,International,Classical KEM (RSA),Various,CMS; S/MIME; Email,OpenSSL CMS,Medium,New,Protocols,yes,public/library/RFC_9690.html,email-signing
RFC 8551,Secure/Multipurpose Internet Mail Extensions (S/MIME) Version 4.0 Message Specification,https://www.rfc-editor.org/rfc/rfc8551.html,2019-04-01,2019-04-01,Proposed Standard,S/MIME 4.0 email security standard for signing and encrypting email using CMS. Foundation for PQC email migration via RFC 9629 (KEM) and RFC 9882 (ML-DSA).,Protocol,Email; Secure Messaging; Enterprise,IETF LAMPS,RFC 5652; RFC 5280; RFC 9629,International,Classical (RSA/ECDSA),Various,Email signing and encryption; S/MIME,OpenSSL; Thunderbird; Outlook,High,New,Protocols,yes,public/library/RFC_8551.html,email-signing
NIST-SP-800-90A-R1,SP 800-90A Rev. 1: Recommendation for Random Number Generation Using Deterministic Random Bit Generators,https://csrc.nist.gov/pubs/sp/800/90/a/r1/final,2015-06-24,2015-06-24,Published,"NIST standard defining three approved DRBG mechanisms (CTR_DRBG, Hash_DRBG, HMAC_DRBG) for generating pseudorandom bits from seed entropy. All mechanisms use symmetric primitives and are quantum-safe.",Standard,All Industries,NIST,SP 800-90B; SP 800-90C,USA; Global,Symmetric (AES; SHA),,Random number generation; Key generation; Nonce generation,OpenSSL; Linux kernel; Windows CNG,High,New,General Recommendations,yes,public/library/NIST-SP-800-90A-R1.html,entropy-randomness
NIST-SP-800-90B,SP 800-90B: Recommendation for the Entropy Sources Used for Random Bit Generation,https://csrc.nist.gov/pubs/sp/800/90/b/final,2018-01-29,2018-01-29,Published,"NIST standard for validating entropy sources used in random bit generators. Defines health tests (repetition count, adaptive proportion), min-entropy estimation methods, and IID testing requirements.",Standard,All Industries,NIST,SP 800-90A; SP 800-90C; FIPS 140-3,USA; Global,N/A,,Entropy source validation; CMVP ESV program,Hardware RNG vendors; FIPS module developers,High,New,General Recommendations,yes,public/library/NIST-SP-800-90B.html,entropy-randomness
NIST-SP-800-90C,SP 800-90C: Recommendation for Random Bit Generator (RBG) Constructions,https://csrc.nist.gov/pubs/sp/800/90/c/final,2024-09-25,2024-09-25,Published,"NIST standard specifying constructions for Random Bit Generators (RBGs) that combine entropy sources with DRBGs. Defines RBG1, RBG2, RBG3, and RBGC classes for defense-in-depth randomness.",Standard,All Industries,NIST,SP 800-90A; SP 800-90B,USA; Global,N/A,,RBG construction; Combining entropy sources; Defense-in-depth,OpenSSL; HSM firmware; Crypto libraries,High,New,General Recommendations,yes,public/library/NIST-SP-800-90C.html,entropy-randomness
ETSI-GS-QKD-002,ETSI GS QKD 002 - QKD Use Cases,https://www.etsi.org/deliver/etsi_gs/qkd/001_099/002/01.01.01_60/gs_qkd002v010101p.pdf,2010-06-01,2024-01-01,Published,Use cases for quantum key distribution including government communications and financial networks.,Guidance,Government; Telecom; Finance; Critical Infrastructure,ETSI ISG QKD,ETSI QKD series,Europe; International,QKD,N/A,QKD deployment planning,QKD system integrators,Medium,New,General Recommendations,yes,public/library/ETSI-GS-QKD-002.pdf,qkd
ETSI-GS-QKD-003,ETSI GS QKD 003 - Components and Internal Interfaces,https://www.etsi.org/deliver/etsi_gs/QKD/001_099/003/01.01.01_60/gs_QKD003v010101p.pdf,2010-10-01,2024-01-01,Published,Defines QKD system components and their internal interfaces for interoperability.,Protocol,Telecom; QKD Vendors; Research,ETSI ISG QKD,ETSI QKD series,Europe; International,QKD,N/A,QKD system architecture,QKD hardware vendors,Medium,New,Protocols,yes,public/library/ETSI-GS-QKD-003.pdf,qkd
