patent_number,title,inventors,assignee,priority_date,issue_date,cpc_codes,one_sentence_summary,primary_inventive_claim,crypto_agility_mode,migration_strategy,quantum_relevance,quantum_notes,protocols,classical_algorithms,pqc_algorithms,quantum_technology,key_management_ops,hardware_components,authentication_factors,standards_referenced,threat_model,entropy_source,primitive_types,application_domain,independent_claim_subjects,performance_claims,data_types_protected,compliance_targets,citation_graph,claim_dependencies,nist_round_status,pqc_migration_score,pqc_migration_reason
12120245,Lattice based signatures with uniform secrets,,Visa International Service Association,2023-09-01,2024-10-15,H04L9/0825;H04L9/3247;H04L9/3093,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Directly addresses lattice-based signatures, a core NIST PQC standard, highly relevant for migration."
12120227,Efficient post-quantum secure software updates tailored to resource-constrained devices,,INTEL CORPORATION,2022-10-25,2024-10-15,H04L9/50;H04L9/0825;G06F21/575;H04L9/0643;H04L9/3247;H04L9/0891;H04L9/0861;H04L9/3239;G09C1/00,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Directly addresses PQC migration for constrained devices, a critical vector for HNDL mitigation and crypto agility."
20240340185,Quantum-Safe Cryptography for Digitally Signed Vocal Contracts,,International Business Machines Corporation,2023-04-04,2024-10-10,H04L9/3247;H04L9/3252;H04L9/3263;H04L9/3231,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Title explicitly claims quantum-safe digital signatures, implying PQC algorithm adoption for contract security."
20240333470,SYSTEM AND METHOD FOR ENABLING SHORT DISTANCE SECURE COMMUNICATION,DUTTA; Debashis et al.,JIO PLATFORMS LIMITED,2023-01-25,2024-10-03,H04L9/3239;G06Q20/327;H04L9/006;H04L9/14;H04L9/3066;H04W4/80;H04L9/0891;G06Q20/382,"A system enabling short-distance secure communication via audio, Bluetooth, QR, or Wi-Fi modes, utilizing a PKI-enabled SIM card for encryption and an AI engine to predict the transmission channel.","The invention provides a hardware-agnostic method for secure short-distance communication by encrypting data within a PKI-enabled SIM card and using an AI engine to dynamically select an alternative transmission mode such as audio, Bluetooth, QR, or Wi-Fi instead of standard NFC.",classical_only,none,none,none,PKI,RSA; ECC; AES; DES; 3DES; SHA; MD5,,none,generation; storage,smart-card; mobile,possession,,replay,,symmetric-cipher; hash,banking; telecom,system for enabling communication of data; method for enabling a short distance communication; user equipment (UE) for generating one or more secure messages; subscriber identity module (SIM) card for enabling communication of data,,financial; sensitive information,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for enabling communication of data""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""packetizing data parameters""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""target applications comprising payment info""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""encrypting using CA/PKI""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""encrypting using asymmetric keys""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""encrypting using symmetric keys""}, {""claim"": 7, ""depends_on"": [5], ""subject"": ""RSA and ECC techniques""}, {""claim"": 8, ""depends_on"": [6], ""subject"": ""AES, DES, 3DES techniques""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""SHA and MD5 techniques""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""audio mode using FSK""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""audio mode using amplitude variation""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""audio mode using frequencies""}, {""claim"": 13, ""depends_on"": [], ""subject"": ""method for enabling short distance communication""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""encrypting using CA/PKI""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""encrypting using asymmetric keys""}, {""claim"": 16, ""depends_on"": [13], ""subject"": ""encrypting using symmetric keys""}, {""claim"": 17, ""depends_on"": [15], ""subject"": ""RSA and ECC techniques""}, {""claim"": 18, ""depends_on"": [16], ""subject"": ""AES, DES, 3DES techniques""}, {""claim"": 19, ""depends_on"": [13], ""subject"": ""audio mode using FSK""}, {""claim"": 20, ""depends_on"": [13], ""subject"": ""audio mode using amplitude variation""}, {""claim"": 21, ""depends_on"": [13], ""subject"": ""audio mode using frequencies""}, {""claim"": 22, ""depends_on"": [], ""subject"": ""user equipment (UE) for generating secure messages""}, {""claim"": 23, ""depends_on"": [22], ""subject"": ""UE coupled to SIM card""}, {""claim"": 24, ""depends_on"": [], ""subject"": ""SIM card for enabling communication""}, {""claim"": 25, ""depends_on"": [], ""subject"": ""system for communication using Bluetooth mode""}, {""claim"": 26, ""depends_on"": [25], ""subject"": ""Bluetooth advertising channels""}, {""claim"": 27, ""depends_on"": [26], ""subject"": ""transmitting public and private addresses""}, {""claim"": 28, ""depends_on"": [25], ""subject"": ""Bluetooth PHY specifications""}, {""claim"": 29, ""depends_on"": [28], ""subject"": ""data link layer components""}, {""claim"": 30, ""depends_on"": [25], ""subject"": ""configurable transmission interval""}, {""claim"": 31, ""depends_on"": [26], ""subject"": ""BLE scanners""}, {""claim"": 32, ""depends_on"": [], ""subject"": ""method for communication using Bluetooth mode""}, {""claim"": 33, ""depends_on"": [], ""subject"": ""UE for communication using Bluetooth mode""}, {""claim"": 34, ""depends_on"": [], ""subject"": ""SIM card for communication using Bluetooth mode""}, {""claim"": 35, ""depends_on"": [], ""subject"": ""system for communication using QR mode""}, {""claim"": 36, ""depends_on"": [35], ""subject"": ""QR binary encoding""}, {""claim"": 37, ""depends_on"": [35], ""subject"": ""QR error correction""}, {""claim"": 38, ""depends_on"": [35], ""subject"": ""dynamic QR code for replay prevention""}, {""claim"": 39, ""depends_on"": [38], ""subject"": ""updating dynamic QR code""}, {""claim"": 40, ""depends_on"": [], ""subject"": ""method for communication using QR mode""}, {""claim"": 41, ""depends_on"": [40], ""subject"": ""QR binary encoding""}, {""claim"": 42, ""depends_on"": [40], ""subject"": ""QR error correction""}, {""claim"": 43, ""depends_on"": [40], ""subject"": ""dynamic QR code for replay prevention""}, {""claim"": 44, ""depends_on"": [43], ""subject"": ""updating dynamic QR code""}, {""claim"": 45, ""depends_on"": [], ""subject"": ""UE for communication using QR mode""}, {""claim"": 46, ""depends_on"": [], ""subject"": ""SIM card for communication using QR mode""}, {""claim"": 47, ""depends_on"": [], ""subject"": ""system for communication using Wi-Fi mode""}, {""claim"": 48, ""depends_on"": [47], ""subject"": ""Wi-Fi SSIDs""}, {""claim"": 49, ""depends_on"": [48], ""subject"": ""updating SSIDs""}, {""claim"": 50, ""depends_on"": [47], ""subject"": ""encrypted data structure""}, {""claim"": 51, ""depends_on"": [], ""subject"": ""method for communication using Wi-Fi mode""}, {""claim"": 52, ""depends_on"": [], ""subject"": ""UE for communication using Wi-Fi mode""}, {""claim"": 53, ""depends_on"": [], ""subject"": ""SIM card for communication using Wi-Fi mode""}]",[],1,Title and codes indicate classical short-range security with no PQC or migration signals.
20240333478,QUANTUM-RESISTANT CRYPTOSYSTEM AND ELECTRONIC DEVICE INCLUDED IN THE SAME,,INSTITUTE FOR BASIC SCIENCE,2023-04-05,2024-10-03,H04L9/3263;H04L9/0825;H04L9/3247;H04L9/0852;H04L9/002,,,,,,,,,,,,,,,,,,,,,,,,,,4,Generic quantum-resistant claim lacks specific NIST PQC algorithms or migration protocols.
12107878,Identifying cryptography usage risks,,ISARA Corporation,2023-09-05,2024-10-01,H04L63/20;H04L63/306;H04L63/1433;H04L63/1425,,,,,,,,,,,,,,,,,,,,,,,,,,3,Focuses on general crypto risk identification; lacks explicit PQC algorithms or migration strategies.
20240311514,SYSTEM AND METHOD FOR IDENTITY MANAGEMENT,DUTTA; Debashis et al.,JIO PLATFORMS LIMITED,2023-01-24,2024-09-19,G06F21/72;G06F21/64;H04W12/069;G06F21/602;H04L9/006;H04L9/50;H04L9/3247;H04L9/0825;H04L9/3268;H04L63/0823;H04L9/3273,"A system and method for PKI-enabled SIM digital identity management involving document verification, CSR generation within the SIM, and secure transfer of digital identities via middleware.","The invention integrates Public Key Infrastructure directly into a Subscriber Information Management (SIM) card to generate and store digital identities. It involves verifying user documents, creating an asymmetric key pair inside the SIM, and transmitting a Certificate Signing Request (CSR) to a Certification Authority for identity issuance.",unclear,none,none,none,PKI; X.509,,,none,generation; distribution; storage; destruction,smart-card; mobile; IoT,knowledge; possession,,,,signature; KEM,telecom; government; blockchain; IoT; banking,system for PKI enabled SIM; method for PKI enabled SIM; user equipment for PKI enabled SIM,,PII; demographic information,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for PKI enabled SIM""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""authentication and revocation""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""middleware secured by digital signatures""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""CSR template preparation with asymmetric key pair""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""document collection via online/offline medium""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""SIM transmission via first and second links""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""OTA server access""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""service operator as Registration Authority""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""SIM components including RIL and APDU""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""SIM comprising security key pairs and certificates""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""issuance upon CA consent""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""CSR issuance upon PIN provision""}, {""claim"": 13, ""depends_on"": [], ""subject"": ""method for PKI enabled SIM""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""authentication and revocation""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""CSR template preparation""}, {""claim"": 16, ""depends_on"": [13], ""subject"": ""document collection""}, {""claim"": 17, ""depends_on"": [13], ""subject"": ""SIM transmission links""}, {""claim"": 18, ""depends_on"": [13], ""subject"": ""service operator as RA""}, {""claim"": 19, ""depends_on"": [], ""subject"": ""user equipment for PKI enabled SIM""}, {""claim"": 20, ""depends_on"": [], ""subject"": ""SIM card for PKI enabled SIM""}]",[],,
20240313963,METHOD FOR POST-QUANTUM SECURE IN-THE-FIELD TRUST PROVISIONING,,NXP B.V.,2023-03-14,2024-09-19,H04L9/0894;H04L63/062;H04L9/0891;H04L9/0897;H04L9/3263;H04L9/50;H04W12/35,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Title explicitly targets post-quantum trust provisioning, indicating direct PQC migration relevance."
12093371,Data distribution using a trusted execution environment in an untrusted device,,"Red Hat, Inc.",2020-05-28,2024-09-17,G06F21/78;G06F21/53;G06F21/50;G06F21/72;G06F21/6218;G06F21/57;H04L9/32;G06F9/45558,,,,,,,,,,,,,,,,,,,,,,,,,,2,Focuses on TEEs and classical crypto; lacks explicit PQC algorithms or migration strategies.
20240305663,POST-QUANTUM-RESISTANT CRYPTOGRAPHIC SYSTEM AND METHODS,,"AT&T Intellectual Property I, L.P.,AT&T Mobility II LLC",2023-03-09,2024-09-12,H04L63/1441;H04L63/1416;H04L63/1425,,,,,,,,,,,,,,,,,,,,,,,,,,9,Title explicitly claims post-quantum resistance with relevant CPC codes for key exchange and authentication.
12088704,Systems and methods for quantum entangled random key exchange,Stapleton; Jeff J.,"Wells Fargo Bank, N.A.",2022-03-30,2024-09-10,H04L9/0841;H04L9/0869;H04L9/0877;H04L9/0852,"Systems and methods for secure key exchange across intermediary devices using keys derived from random bit sets, optionally generated via quantum entanglement, to enable end-to-end encryption without exposing keys to intermediaries.","The invention claims a method where a first device derives distinct keys with a second and third device using separate random bit sets. It receives an encrypted message containing a common key from the second device, decrypts it, re-encrypts it with the key shared with the third device, and transmits it to establish secure communication.",unclear,none,dependent_claim_only,"Quantum technology (QERNG) is mentioned in the title, abstract, and description as a source for random bit sets. However, it appears only in dependent claims 4, 5, 11, and 12. The independent claims (1, 8, 15) define the invention using generic 'random bit sets' without requiring quantum generation, making quantum technology an optional embodiment rather than a core requirement.",TLS,,,qrng; entanglement,generation; derivation; exchange; distribution,HSM; QRNG; IoT; mobile,,,MITM; insider,quantum-entanglement,symmetric-cipher; KDF,banking,method for secure key exchange; device for secure key exchange; computer program product for secure key exchange,latency; throughput,session-keys; root-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for secure key exchange""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""key translation via cryptographic hardware module""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""secure boundary decryption and encryption""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""second random bit set from QERNG""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""first random bit set from QERNG""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""exclusive key derivation and distribution for first pair""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""exclusive key derivation and distribution for second pair""}, {""claim"": 8, ""depends_on"": [], ""subject"": ""device for secure key exchange""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""cryptographic hardware module for key translation""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""secure boundary operations in hardware module""}, {""claim"": 11, ""depends_on"": [8], ""subject"": ""second random bit set from QERNG""}, {""claim"": 12, ""depends_on"": [8], ""subject"": ""first random bit set from QERNG""}, {""claim"": 13, ""depends_on"": [8], ""subject"": ""exclusive key derivation and distribution for first pair""}, {""claim"": 14, ""depends_on"": [8], ""subject"": ""exclusive key derivation and distribution for second pair""}, {""claim"": 15, ""depends_on"": [], ""subject"": ""computer program product for secure key exchange""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""exclusive key derivation and distribution for first pair""}, {""claim"": 17, ""depends_on"": [15], ""subject"": ""exclusive key derivation and distribution for second pair""}]",[],,
12088734,Quantum-safe blockchain vault system,,"Wells Fargo Bank, N.A.",2023-06-07,2024-09-10,G06F21/64;H04L9/3247;G06F21/602;H04L9/3239;H04L9/3297;G06F21/6245,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Title implies PQC relevance, but CPCs are generic crypto/storage without explicit NIST PQC algorithm references."
12073386,Digital asset vault,Biggs; Todd Steven et al.,"WELLS FARGO BANK, N.A.",2021-07-08,2024-08-27,G06Q20/3674;H04L9/3213;G06F16/285;G06Q20/3829;H04L9/0861;H04L9/50,A digital asset vault system that interfaces with multiple third-party wallets to securely transport and store customer secrets using multi-layer encryption and hardware security modules.,"The invention provides a system for receiving data from multiple third-party wallets, encrypting the data at least twice using different encryption techniques provided by those wallets, and storing the encrypted data in a secure vault. It further includes generating keys and managing interfaces for selecting secret types such as cryptocurrency mnemonics.",hybrid,crypto_agility,background_only,"Post-Quantum Cryptography (PQC) is mentioned in the description as a future replacement for RSA and Diffie-Hellman to resist quantum attacks, but it is not claimed in any independent or dependent claims. The primary invention relies on classical algorithms.",TLS; CMS; JWT; JWS; JWE; JWK; X9.73,RSA; ECDHE; AES; SHA-256; SHA-384; SHA-512; HMAC; ECDSA; Diffie-Hellman; Double Ratchet; X3DH; OAEP,,none,generation; derivation; exchange; storage,HSM,knowledge; inherence/biometric,ISO/IEC 29150; RFC 2630; PKCS #7; PKCS #12; PKCS #5; X.509; NIST SP 800-56,MITM; cryptanalysis; quantum-attack,,symmetric-cipher; KEM; signature; MAC; hash; KDF,banking; blockchain,system for a digital asset vault; computer-implemented method of securely transporting and storing data; system for removing an asset from a digital asset vault,,financial; PII; session-keys; root-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for a digital asset vault""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""authentication token received upon connection""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""authentication token with each storage request""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""category type comprises wallet mnemonic""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""transfer of secret to/from third-party wallets""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""category type comprises other""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""third-party server securely connects""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""data stored in encrypted format within database""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""backup service""}, {""claim"": 10, ""depends_on"": [], ""subject"": ""method of securely transporting and storing data""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""data comprises cryptocurrency""}, {""claim"": 12, ""depends_on"": [10], ""subject"": ""data comprises digital document""}, {""claim"": 13, ""depends_on"": [10], ""subject"": ""hint exchanged for verification""}, {""claim"": 14, ""depends_on"": [10], ""subject"": ""data stored in hardware secure module""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""data stored is confidential""}, {""claim"": 16, ""depends_on"": [10], ""subject"": ""data is exported""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""system for removing an asset from a digital asset vault""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""key generated in one-way data exchange""}]",[],,
12074967,Systems and methods for post-quantum cryptography optimization,,"Wells Fargo Bank, N.A.",2023-04-12,2024-08-27,H04L9/14;H04L9/3236;H04L9/088;H04L9/0825;H04L9/0869;H04L9/0861;H04L9/3247;H04L9/30;H04L9/0852;G06N10/00;H04L9/0858,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Title explicitly targets PQC optimization, indicating direct relevance to migration and performance tuning."
12067110,Method and apparatus for establishing a software root of trust on an untrusted computer system,,Carnegie Mellon University,2020-01-24,2024-08-20,G06F21/57;G06F21/575;G06F21/54;G06F21/71,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Focuses on classical root of trust; lacks PQC algorithms, hybrid schemes, or migration relevance."
20240275576,FAULT DETECTION OF DIFFERENTIAL FAULT ATTACK IN LATTICE BASED CRYPTOGRAPHY,,NXP B.V.,2023-02-15,2024-08-15,H04L9/004;H04L9/3093;H04L9/3247,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Relevant to PQC implementation security (lattice) but focuses on side-channel mitigation, not migration strategy."
20240267198,Enhanced Security for Existing Public Key Infrastructure,KHURANA; Dakshita et al.,"NTT Research, Inc.",2021-08-01,2024-08-08,H04L9/0656;H04L63/0428;H04L9/0869;H04L9/006;H04L9/002,Systems and methods convert existing CPA-secure public key infrastructure into CCA-secure encryption using hinting pseudorandom generators and equivocal commitments without requiring new key distribution.,"The invention provides a method to adapt a chosen plaintext attack (CPA) secure encryption scheme into a chosen ciphertext attack (CCA) secure scheme by utilizing a hinting pseudorandom generator and equivocal commitments. This adaptation allows the use of existing public keys without modification or redistribution, achieving CCA security through black-box usage of the underlying CPA scheme.",classical_only,in_place_upgrade,none,none,PKI,,,none,,,,,cryptanalysis,deterministic-PRNG,commitment; hash,PKI,method for generating a CCA secure message; method for decrypting a ciphertext; system for generating a CCA secure message; system for decrypting a ciphertext,,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for generating a CCA secure message""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""selecting part of pseudorandom encoding""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""CCA1 secure encryption using perfectly binding commitment""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""CCA2 secure encryption using CCA2 commitment""}, {""claim"": 5, ""depends_on"": [], ""subject"": ""method for decrypting a ciphertext""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""check algorithm for candidate seed""}, {""claim"": 7, ""depends_on"": [], ""subject"": ""system for generating a CCA secure message""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""selecting part of pseudorandom encoding""}, {""claim"": 9, ""depends_on"": [7], ""subject"": ""CCA1 secure encryption using perfectly binding commitment""}, {""claim"": 10, ""depends_on"": [7], ""subject"": ""CCA2 secure encryption using CCA2 commitment""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""system for decrypting a ciphertext""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""check algorithm for candidate seed""}]",[],,
20240267212,Post-Quantum Cryptography Key Encapsulation Mechanism System,,Intel Corporation,2023-02-03,2024-08-08,H04L9/3093;H04L9/0869,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Title explicitly targets PQC KEM migration, aligning with NIST ML-KEM standards and hybrid scheme implementation."
12058248,Quantum-safe networking,,Arqit Limited,2020-11-06,2024-08-06,H04L9/0855;H04L9/0825;H04L9/0852;H04L9/0877,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Title implies PQC relevance, but CPCs focus on classical key exchange and authentication without explicit PQC algorithm "
12058237,Device and method for resonant cryptography,,"QRYPT, INC.",2020-12-31,2024-08-06,H04L9/065;H04L9/0668;H04L9/0656;H04L9/0662;H04L9/0816;H04L9/0872;H04L9/12;H04L9/16,,,,,,,,,,,,,,,,,,,,,,,,,,2,Title suggests quantum hardware/physics rather than algorithmic PQC migration or NIST standard adoption.
12052355,Broadcast-free threshold post-quantum key generation and verification over unencrypted channels from hardware-based correlated randomness,,Circle Internet Financial Limited,2024-02-23,2024-07-30,H04L9/0825;H04L9/0866;H04L9/0869;H04L9/3278,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Directly addresses PQC key generation and verification, critical for migration infrastructure."
12052350,Quantum resistant secure key distribution in various protocols and technologies,,"Cisco Technology, Inc.",2021-07-08,2024-07-30,H04W36/10;H04W76/11;H04L61/4511;H04L9/085;H04L5/0053;H04L9/30;H04L9/0852;H04L67/10;H04L9/0819;H04L9/3271;H04L9/3247;H04W8/186,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Title explicitly claims quantum resistance in key distribution, aligning with PQC migration goals."
20240250804,QUANTUM RESISTANT ENCRYPTION SYSTEM AND METHOD OF USE THEREOF,,VeriTX Corp.,2023-01-19,2024-07-25,H04L9/12;H04L9/0852;H04L9/0822,,,,,,,,,,,,,,,,,,,,,,,,,,6,Title claims quantum resistance but lacks specific NIST PQC algorithm references or migration details.
20240243921,Side-Channel Protection in Hash-Based Signatures,,Infineon Technologies AG,2024-01-10,2024-07-18,H04L9/30;H04L9/3247;H04L9/0643,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Addresses side-channel protection for hash-based signatures, a key NIST PQC standard (SLH-DSA), aiding secure implementa"
20240235842,OBLIVIOUS TRANSFER FROM KEY ENCAPSULATION MECHANISMS,,VISA INTERNATIONAL SERVICE ASSOCIATION,2022-05-03,2024-07-11,H04L9/0861;H04L9/3239,,,,,,,,,,,,,,,,,,,,,,,,,,2,Focuses on classical KEMs for oblivious transfer; lacks explicit PQC algorithms or migration strategies.
12034836,Systems and methods for hardware security module communication management,Stapleton; Jeff J.,"Wells Fargo Bank, N.A.",2022-06-30,2024-07-09,H04L9/0877;H04L9/14;H04L9/0819;H04L9/0869;H04L9/0827;H04L9/0816;H04L63/062;G06F21/72;H04L9/0897;H04L9/0852,"Systems and methods manage HSM communication by deriving keys from initial keys and seed bits, optionally using quantum sources, to establish secure groups across different cloud service providers via a key exchange management device.",The invention establishes secure communication groups between HSMs hosted by different service providers by deriving cryptographic keys from an initial key and seed bits. A key exchange management device facilitates the distribution of these derived keys to merge separate communication groups into a unified secure group.,unclear,none,dependent_claim_only,"Quantum technology (QKD and QRNG) is mentioned in the description as a method for generating initial keys or seed bits. However, it appears only in dependent claims (2, 3, 10, 11, 18, 19). The independent claims (1, 9, 17) define the invention using generic 'initial key' and 'seed bits', making quantum technology an optional embodiment rather than a requirement for the primary invention.",TLS; CMS,,,qkd; qrng,generation; derivation; exchange; distribution,HSM; QRNG; quantum-source,,FIPS 140-3,eavesdropping,QRNG; quantum-entanglement,KDF,banking; cloud,method for HSM communication management; apparatus for HSM communication management; computer program product for HSM communication management,,cryptographic keys,FIPS 140-3,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for HSM communication management""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""generating initial key from quantum particles set""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""seed bits from QRNG""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""transmitting first cryptographic key to management device""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""secure message as CMS object""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""HSMs hosted by different service providers""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""using different KDFs for key derivation""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""transmitting secure message to additional HSMs""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""apparatus for HSM communication management""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""secure key generator using quantum particles set""}, {""claim"": 11, ""depends_on"": [9], ""subject"": ""seed bits from QRNG""}, {""claim"": 12, ""depends_on"": [9], ""subject"": ""transmitting first cryptographic key to management device""}, {""claim"": 13, ""depends_on"": [9], ""subject"": ""secure message as CMS object""}, {""claim"": 14, ""depends_on"": [9], ""subject"": ""HSMs hosted by different service providers""}, {""claim"": 15, ""depends_on"": [9], ""subject"": ""using different KDFs for key derivation""}, {""claim"": 16, ""depends_on"": [9], ""subject"": ""transmitting secure message to additional HSMs""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""computer program product for HSM communication management""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""generating initial key from quantum particles set""}, {""claim"": 19, ""depends_on"": [17], ""subject"": ""seed bits from QRNG""}, {""claim"": 20, ""depends_on"": [17], ""subject"": ""transmitting first cryptographic key to management device""}]",[],,
20240223381,POST-QUANTUM CRYPTOGRAPHY SIGNATURE VERIFICATION,,Intel Corporation,2023-01-20,2024-07-04,H04L9/30;H04L9/3247;H04L9/50;H04L9/3239;H04L9/3236,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Directly addresses PQC signature verification, a critical component for migrating to NIST standards like ML-DSA."
20240223354,ADAPTIVE COUNTERMEASURE FOR BIT LEAKAGE IN LATTICE-BASED CRYPTOGRAPHY,,NXP B.V.,2022-12-29,2024-07-04,H04L9/3218;H04L9/3247;H04L9/002;H04L9/003;H04L9/085;H04L9/3093,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Addresses side-channel security for lattice-based PQC, critical for secure deployment of NIST standards."
20240223380,METHOD FOR SUPERFLOUS HASH USAGE IN HASH-BASED SIGNATURES,,NXP B.V.,2022-12-21,2024-07-04,H04L9/50;H04L9/3247,,,,,,,,,,,,,,,,,,,,,,,,,,8,Hash-based signatures are NIST PQC standards (SLH-DSA); optimizing them directly aids migration efficiency.
