"id","label","description","industries","countries","requires_pqc","deadline","notes","enforcement_body","library_refs","timeline_refs","body_type","website","trusted_source_id","peer_reviewed","vetting_body"
"BSI","BSI","German Federal Office for Information Security — Europe's most detailed national PQC technical guidance authority","Government & Defense;Technology","Germany","yes","Ongoing","BSI (Bundesamt für Sicherheit in der Informationstechnik) publishes the TR-02102 series — the most technically detailed national PQC cryptographic guidelines globally. Coordinates with ANSSI and ENISA on European PQC harmonization. BSI issues PQC product certifications under the national CC scheme and the EUCC scheme.","BSI","BSI TR-02102-1;BSI TR-02102-2;BSI TR-02102-3;BSI TR-02102-4","Germany:BSI","standardization_body","https://www.bsi.bund.de/EN/Topics/Cryptography/cryptography_node.html","bsi","yes","BSI"
"NSA","NSA","US National Security Agency — mandates PQC for all national security systems via CNSA 2.0 with the most aggressive government timeline","Government & Defense","United States","yes","Ongoing","NSA's CNSA 2.0 (Commercial National Security Algorithm Suite 2.0) mandates ML-KEM, ML-DSA, SLH-DSA, and LMS/XMSS for all US national security systems. Phased deadlines by category: software/firmware signing prefer 2025 exclusively 2030; web/cloud 2025/2033; networking 2026/2030; OS 2027/2033; legacy 2030-2033. NSA also issues CSfC (Commercial Solutions for Classified) addenda incorporating PQC guidance.","NSA","NSA CNSA 2.0;NSA CNSA 2.0 FAQ;NSA CSfC PQC Guidance Addendum","United States:NSA","standardization_body","https://www.nsa.gov/Cybersecurity/CNSA-2-0/","nsa-advisory","yes","NSA"
"CMMC","CMMC","Cybersecurity Maturity Model Certification — US DoD supply chain cybersecurity certification requirement","Government & Defense;Technology","United States","no","No explicit PQC timeline yet","CMMC 2.0 (effective since Dec 2024) requires cybersecurity practices for DoD contractors. Cryptographic controls align with NIST SP 800-171 and FIPS 140-3. PQC requirements expected as NIST SP 800-171 is updated to align with NIST IR 8547 transition guidance.","DoD/OUSD(A&S)","NIST IR 8547","","compliance_framework","https://dodcio.defense.gov/CMMC/","","yes","DoD/OUSD(A&S)"
"FISMA","FISMA","Federal Information Security Modernization Act — mandates information security programs for all US federal agencies","Government & Defense","United States","yes","2030 (aligned with NIST IR 8547)","FISMA requires federal agencies to follow NIST security standards including cryptographic controls. As NIST SP 800-53 and NIST IR 8547 transition guidance are updated, FISMA compliance will require PQC migration by 2030. OMB Memorandum M-23-02 already references quantum risk. FedRAMP (cloud) and DISA STIGs (DoD) both derive from FISMA.","OMB/CISA","NIST IR 8547;CISA-PQC-CATEGORY-LIST-2026","United States:NIST","compliance_framework","https://www.cisa.gov/topics/cyber-threats-and-advisories/federal-information-security-modernization-act","","yes","OMB/CISA"
"EU-CRA","EU Cyber Resilience Act","EU regulation establishing cybersecurity requirements for connected products throughout their lifecycle","Technology;Energy & Utilities;Automotive;Telecommunications;Healthcare;Manufacturing","European Union","yes","2027 (enforcement begins)","Regulation (EU) 2024/2847 — the EU Cyber Resilience Act mandates security-by-design for products with digital elements sold in the EU. Cryptographic requirements apply to connected devices over their entire support lifecycle. PQC relevance: devices shipped before 2030 must remain secure through 2040+ — HNDL risk makes PQC-readiness a CRA requirement. Applies to manufacturers, importers, and distributors.","European Commission/ENISA","ENISA PQC Guidelines","European Union:EC","compliance_framework","https://digital-strategy.ec.europa.eu/en/policies/cyber-resilience-act","","yes","European Commission/ENISA"
"INDIA-DST-PQC","India DST/NQM PQC Roadmap","India National Quantum Mission post-quantum cryptography migration roadmap for all sectors","Government & Defense;Finance & Banking;Telecommunications;Energy & Utilities;Technology","India","yes","2027 (CII foundations); 2033 (full nationwide)","India DST/NQM published comprehensive national PQC roadmap (Feb 2026) with mandatory CBOM submissions starting FY 2027-28. Critical Information Infrastructure migration by 2029. Full nationwide PQC adoption by 2033. Hybrid PQC plus QKD recommended for high-assurance applications.","DST/NQM","India-DST-Quantum-Safe-Roadmap-2026;IN-TEC-PQC-Migration-Report-2025","India:DST/NQM","compliance_framework","https://dst.gov.in/","","yes","DST/NQM"
"HKMA-PQC","HKMA Fintech 2030 Quantum Preparedness","Hong Kong Monetary Authority quantum preparedness framework for financial institutions","Finance & Banking","Hong Kong","yes","2027 (readiness assessment); 2030 (full migration)","HKMA Fintech 2030 Quantum Preparedness Index requires all regulated banks to complete formal quantum preparedness assessment by 2027 covering cryptographic inventory, CBOM, and migration roadmap. Full PQC migration target by 2030 aligned with BIS and MAS timelines. Critical Infrastructure Cybersecurity Ordinance effective Jan 2026 covers 8 sectors.","HKMA","BIS-Paper-158;HKMA-FINTECH-BLUEPRINT-2026","Hong Kong:HKMA","compliance_framework","https://www.hkma.gov.hk/","","yes","HKMA"
"UAE-CSC-PQC","UAE National Encryption Policy","UAE Cybersecurity Council national encryption policy mandating PQC transition","Government & Defense;Finance & Banking;Technology","United Arab Emirates","yes","2026 (migration roadmaps); 2030 (full migration)","UAE Cybersecurity Council approved National Encryption Policy (Nov 2025) mandating all government entities develop PQC transition plans. Migration roadmaps due 2026. QuantumGate program drives large-scale PQC implementation 2026-2030. DESC launched PQC Guideline at GISEC Global 2025.","UAE CSC/DESC","UAE-DESC-PQC-Guideline;UAE-CSC-Encryption-Policy","United Arab Emirates:UAE CSC","compliance_framework","https://www.csc.gov.ae/","","yes","UAE CSC/DESC"
"CISA-PQC-PROCUREMENT","CISA PQC Federal Buying Guidance","CISA product category list and federal procurement guidance for PQC per EO 14306","Government & Defense;Technology","United States","yes","2026 (effective Jan 2026)","CISA published PQC product category list per Executive Order 14306 identifying cloud services, web software, networking hardware, and endpoint security as PQC-ready categories. Federal agencies directed to acquire only PQC-capable products. Developed with NSA and ATARC.","CISA/NSA","CISA-PQC-CATEGORY-LIST-2026;EO-14306","United States:CISA","compliance_framework","https://www.cisa.gov/quantum","","yes","CISA/NSA"
"G7-CEG-PQC","G7 Financial Sector PQC Roadmap","G7 Cyber Expert Group coordinated PQC transition roadmap for the financial sector","Finance & Banking;Government & Defense","Global","yes","2030-2032 (critical systems); 2035 (non-critical)","G7 Cyber Expert Group (chaired by US Treasury and Bank of England) published coordinated PQC transition framework for global financial sector (Jan 2026). Covers inventory, risk prioritization, algorithm selection, testing, and interoperability for G7 financial institutions.","G7 CEG/US Treasury","G7-Financial-PQC-Roadmap-2026;BIS-Paper-158","G7:G7 CEG","compliance_framework","https://home.treasury.gov/system/files/136/G7-CYBER-EXPERT-GROUP-STATEMENT-PLANNING-OPPORTUNITIES-RISKS-QUANTUM-COMPUTING.pdf","","yes","G7 CEG/US Treasury"
"PKCS11-V32","PKCS#11 v3.2 (PQC HSM Interface)","OASIS PKCS#11 v3.2 standard adding ML-KEM, ML-DSA, and SLH-DSA mechanisms for hardware security modules","Government & Defense;Finance & Banking;Technology","Global","yes","Ongoing (Committee Specification Draft April 2025)","PKCS#11 v3.2 adds PQC mechanisms: ML-KEM (CKM_ML_KEM), ML-DSA (CKM_ML_DSA), SLH-DSA (CKM_SLH_DSA). Introduces C_EncapsulateKey()/C_DecapsulateKey() for KEM operations. New key types and parameter set attributes. Critical for all HSM vendors implementing PQC.","OASIS PKCS11 TC","PKCS11-V32-OASIS","Global:OASIS","technical_standard","https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/","","yes","OASIS PKCS11 TC"
"CAB-FORUM-SMC013","CA/Browser Forum Ballot SMC013","CA/Browser Forum ballot enabling ML-DSA PQC signatures in S/MIME certificates","Technology;Finance & Banking","Global","yes","Adopted (August 2025)","Enables ML-DSA post-quantum digital signatures in S/MIME certificates. IPR exclusion period completed with no notices. First Web PKI governance body PQC adoption, signaling CAs can issue PQC S/MIME certificates.","CA/Browser Forum","CA-B-Forum-Ballot-SMC013","Global:CA/Browser Forum","technical_standard","https://cabforum.org/","","yes","CA/Browser Forum"
"ACVP","NIST ACVP (Algorithm Validation)","NIST Automated Cryptographic Validation Protocol for PQC algorithm testing","Technology;Government & Defense","United States;Global","yes","Ongoing (ML-KEM/ML-DSA validation active)","NIST CAVP/ACVP validates individual cryptographic algorithm implementations. Already validating ML-KEM and ML-DSA implementations. Distinct from CMVP/FIPS 140-3 which validates complete modules. Provides algorithm-level compliance evidence.","NIST","NIST-FIPS140-3-IG-PQC;FIPS 203;FIPS 204;FIPS 205","United States:NIST","certification_body","https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program","nist-csrc","yes","NIST"
"TAIWAN-MODA-PQC","Taiwan Five-Year PQC Plan","Taiwan Ministry of Digital Affairs five-year PQC implementation plan","Government & Defense;Technology","Taiwan","yes","2027 (interim milestone); 2029 (completion)","Taiwan MODA launched five-year PQC implementation plan (2024-2029) targeting quantum-safe government digital infrastructure. Interim quantum-safe milestone at 2027.","MODA","FIPS 203;FIPS 204;FIPS 205","Taiwan:MODA","compliance_framework","https://moda.gov.tw/en/","","yes","MODA"
"MALAYSIA-NACSA-PQC","Malaysia National PQC Migration","Malaysia NACSA national PQC migration roadmap — first ASEAN nation with comprehensive plan","Government & Defense;Technology","Malaysia","yes","2025-2030 (phased)","First ASEAN nation to publish comprehensive national PQC migration roadmap (Oct 2025). Includes PQC Sandbox program for proof-of-concept testing. Phased approach aligned with NIST standards.","NACSA","Malaysia-NACSA-PQC-2025","Malaysia:NACSA","compliance_framework","https://www.nacsa.gov.my/","","yes","NACSA"
"SAUDI-NCA-PQC","Saudi NCA Cybersecurity Controls","Saudi Arabia National Cybersecurity Authority essential cybersecurity controls with expanded cryptography domain","Government & Defense;Finance & Banking;Energy & Utilities","Saudi Arabia","no","Ongoing (ECC-2:2024)","NCA released Essential Cybersecurity Controls 2024 (ECC-2:2024) with expanded cryptography domain covering encryption strength, key management, secure protocols, and lifecycle governance. National quantum strategy with M budget aligned with Vision 2030.","NCA","Saudi-NCA-ECC2-2024;Quantum-Economy-Landscape-in-Saudi-Arabia-23","Saudi Arabia:NCA","compliance_framework","https://nca.gov.sa/en/","","yes","NCA"
"BIS-158-PQC","BIS Paper 158 Quantum Roadmap","Bank for International Settlements quantum-readiness roadmap for global financial systems","Finance & Banking","Global","yes","Early 2030s (critical systems quantum-safe)","BIS Paper 158 outlines quantum-readiness roadmap for global financial systems covering cryptographic inventory, migration timelines, and cross-border interoperability for central banks. Referenced by MAS, HKMA, and G7 CEG.","BIS","BIS-Paper-158","International:BIS","compliance_framework","https://www.bis.org/publ/bppdf/bispap158.htm","","yes","BIS"
"3GPP-PQC","3GPP PQC for 5G/6G","3GPP SA3 study on integrating PQC into 5G security protocols","Telecommunications","Global","yes","Ongoing (study item approved May 2025)","3GPP SA3 study (TR 33.841) on integrating standalone or hybrid PQC algorithms into existing 5G security protocols including TLS, IPSec, and IKEv2. Complements GSMA NG.116 and ETSI QSC work.","3GPP SA3","3GPP-PQC-Study-2025","Global:3GPP SA3","technical_standard","https://www.3gpp.org/","","yes","3GPP SA3"
"TCG-TPM-PQC","TCG TPM 2.0 PQC Spec","Trusted Computing Group TPM 2.0 library specification update incorporating PQC algorithms","Technology;Government & Defense","Global","yes","Draft (July 2025)","TPM 2.0 Library specification updates incorporating FIPS 203/204 PQC algorithms with hybrid classical+PQ support. Aligns with TPM 2.0 v1.85 standard. Affects every PC, server, and embedded device using hardware root of trust.","TCG","TCG-TPM-V185-Part0","Global:TCG","technical_standard","https://trustedcomputinggroup.org/","","yes","TCG"
"NIST-NCCOE-PQC","NIST NCCoE SP 1800-38 Migration Guide","NIST NCCoE practical enterprise PQC migration guide with reference architectures","Government & Defense;Technology;Finance & Banking","United States","yes","Ongoing (Preliminary Draft)","NIST NCCoE SP 1800-38 series (Volumes A/B/C) provides practical enterprise PQC migration guidance with use cases and reference architectures. CSWP 48 maps migration capabilities to CSF 2.0 and SP 800-53 controls.","NIST NCCoE","NIST NCCoE SP 1800-38C;NIST CSWP 48","United States:NIST NCCoE","technical_standard","https://www.nccoe.nist.gov/crypto-agility-considerations-migrating-post-quantum-cryptographic-algorithms","","yes","NIST NCCoE"
"NIST-SP800-131A","NIST SP 800-131A Rev 3","NIST algorithm deprecation roadmap — SHA-1 and weak RSA/ECC disallowed after 2030","Government & Defense;Technology;Finance & Banking","United States;Global","yes","2030 (SHA-1/weak RSA/ECC disallowed)","Federal algorithm retirement calendar. SHA-1 and RSA/ECC below 128-bit security disallowed after 2030. Establishes FIPS 203/204/205 as post-2030 replacements. Distinct from IR 8547 in covering all algorithm deprecation not just PQC transition.","NIST","NIST-SP-800-131A-Rev3","United States:NIST","technical_standard","https://csrc.nist.gov/pubs/sp/800/131/a/r3/ipd","nist-csrc","yes","NIST"
"INDIA-CERTIN-CBOM","India CERT-In CBOM/QBOM Guidelines","India CERT-In expanded Bill of Materials requirements including Cryptographic BOM and Quantum Readiness BOM","Government & Defense;Technology","India","yes","2025 (effective)","CERT-In expands Bill of Materials requirements to include Cryptographic BOM (CBOM) and Quantum Readiness BOM (QBOM). First national CBOM mandate from any country. Part of India broader PQC migration framework under National Quantum Mission.","CERT-In","IN-CERTIN-QBOM-Guidelines-2025;TechnicalGuidelines-on-SBOMQBOMCBOMAIBOM-and-HBOM-ver2.0","India:CERT-In","compliance_framework","https://www.cert-in.org.in/","","yes","CERT-In"
"ITALY-ACN-PQC","Italy ACN PQC Guidance","Italy Agenzia per la Cybersicurezza Nazionale post-quantum cryptography guidance","Government & Defense;Technology","Italy","yes","Ongoing (2024 guidance)","ACN published PQC guidance (July 2024) covering quantum threat landscape and migration recommendations. Italy also participates in BIS Project Leap Phase 2 testing hybrid PQC on TARGET2 payment system.","ACN","EU-BSI-PQC-Joint-Statement-2024;EC-Recommendation-2024-1101","Italy:ACN","compliance_framework","https://www.acn.gov.it/","","yes","ACN"
"SPAIN-CCN-PQC","Spain CCN Four-Phase PQC","Spain Centro Criptologico Nacional four-phase PQC transition approach","Government & Defense","Spain","yes","2030 (four-phase approach through post-2030)","CCN defines four-phase PQC approach from current state through post-2030 full transition. Recommends NIST algorithms and FrodoKEM. Active since 2022.","CCN","EC-Recommendation-2024-1101","Spain:CCN","compliance_framework","https://www.ccn-cert.cni.es/","","yes","CCN"
"BAHRAIN-NCSC-PQC","Bahrain Quantum-Safe Deployment","Bahrain National Cyber Security Centre quantum-safe cybersecurity deployment across government","Government & Defense","Bahrain","yes","2025 (deployment underway)","One of the world first large-scale national quantum-safe commitments. Deployed AQtive Guard across 60+ government ministries for automated cryptographic discovery and PQC transition readiness.","Bahrain NCSC","UAE-DESC-PQC-Guideline","Bahrain:NCSC","compliance_framework","https://www.ncsc.gov.bh/","","yes","Bahrain NCSC"
"JORDAN-CBJ-PQC","Jordan Financial Sector PQC Roadmap","Central Bank of Jordan sector-wide roadmap for transitioning banks to quantum-resistant encryption","Finance & Banking","Jordan","yes","2026 (roadmap published)","Central Bank of Jordan published sector-wide PQC roadmap (Jan 2026) with phased approach: cryptographic asset cataloging, risk-based prioritization, governance integration, sandbox testing, and full transition.","CBJ","G7-CEG-Financial-PQC-2026","Jordan:CBJ","compliance_framework","https://www.cbj.gov.jo/","","yes","CBJ"
"UK-CMORG-PQC","UK CMORG Financial PQC Guidance","UK Cross Market Operational Resilience Group PQC guidance for financial sector","Finance & Banking;Government & Defense","United Kingdom","yes","Ongoing (v1.0 April 2025)","CMORG (convened by Bank of England) published PQC guidance specifically for UK financial sector covering threat landscape, algorithm selection, migration planning, and prioritization. Complements UK NCSC guidance with financial sector focus.","CMORG/Bank of England","UK-CMORG-PQC-Guidance-2025","United Kingdom:CMORG","compliance_framework","https://www.cmorg.org.uk/","","yes","CMORG/Bank of England"
"EUROPOL-QSFF","Europol Quantum Safe Financial Forum","Europol QSFF call to action for financial sector PQC migration","Finance & Banking","European Union","yes","Ongoing (Feb 2025 call to action)","Europol Quantum Safe Financial Forum found 86% of financial executives unprepared for PQC. Published joint guidance with FS-ISAC (Jan 2026) introducing Quantum Risk Score framework for migration prioritization.","Europol/FS-ISAC","Europol-FS-ISAC-PQC-Financial-2026","European Union:Europol","compliance_framework","https://www.europol.europa.eu/","","yes","Europol/FS-ISAC"
"PQCC-ROADMAP","PQCC Migration Roadmap","Post-Quantum Cryptography Coalition cross-sector PQC migration framework","Technology;Finance & Banking;Government & Defense","Global","yes","Ongoing","PQCC (founded by IBM, Microsoft, MITRE, PQShield, SandboxAQ) published PQC Migration Roadmap (May 2025) with four-category framework and PQC Inventory Workbook (June 2025). Becoming a de facto industry reference for enterprise PQC migration.","PQCC","PQCC-Migration-Roadmap-2025;PQCC-Inventory-Workbook-2025","International:PQCC","technical_standard","https://pqcc.org/","","yes","PQCC"
"IEEE-1609-PQC","IEEE 1609.2 PQC Amendment (V2X)","IEEE vehicular communications security standard update for PQC","Automotive;Telecommunications","Global","yes","Ongoing (2025 amendment)","IEEE 1609.2 amendment adds ML-KEM and ML-DSA PQC support for vehicle-to-everything (V2X) communications security. Directly affects automotive OEMs and connected vehicle infrastructure.","IEEE","IEEE 1609.2 Amendment","","technical_standard","https://standards.ieee.org/","","yes","IEEE"
"OASIS-PKCS11","OASIS PKCS#11 Technical Committee","OASIS technical committee defining the PKCS#11 HSM programming interface standard","Technology;Government & Defense;Finance & Banking","Global","yes","Ongoing","OASIS defines the PKCS#11 standard — the programming interface that every hardware security module implements. PQC mechanisms in v3.2 (ML-KEM, ML-DSA, SLH-DSA) will drive the entire HSM industry PQC adoption.","OASIS","PKCS11-V32-OASIS","","technical_standard","https://www.oasis-open.org/committees/pkcs11/","","yes","OASIS"
"3GPP-SA3","3GPP Security Working Group","3GPP SA3 — global mobile network security standards working group studying PQC integration","Telecommunications","Global","yes","Ongoing","3GPP SA3 defines global mobile network security standards for 5G and 6G. Actively studying PQC integration into core network protocols. Distinct from ETSI and GSMA. TR 33.841 (PQC Study) approved May 2025.","3GPP","3GPP-PQC-Study-2025","","standardization_body","https://www.3gpp.org/specifications-groups/sa-plenary/sa3-security","","yes","3GPP"
"FSISAC-PQC","FS-ISAC PQC Migration Guidance","Financial Services Information Sharing and Analysis Center PQC migration advisory","Finance & Banking","Global","yes","Ongoing (Sept 2025)","FS-ISAC (Sept 2025) warns financial sector has not defined resources for PQC migration. Joint Europol-FS-ISAC report (Jan 2026) provides Quantum Risk Score framework and migration complexity assessment for financial institutions.","FS-ISAC","Europol-FS-ISAC-PQC-Financial-2026","","compliance_framework","https://www.fsisac.com/","","yes","FS-ISAC"
"ASC-X9","ASC X9 Financial PKI & PQC Standards","Accredited Standards Committee X9 develops cryptographic standards for the financial services industry. X9 Financial PKI (launched June 2025, with DigiCert) provides PQC-enabled certificate infrastructure for banks, payment terminals, and financial enterprises. Key PQC standards: X9.146 (Quantum TLS for financial services), X9 TR-50 (Quantum Techniques in CMS), and the X9 PQC Financial Readiness Needs Assessment (2025).","Finance & Banking","United States;Global","yes","Ongoing (Financial PKI launched June 2025)","X9 Financial PKI supports ML-KEM and ML-DSA alongside legacy algorithms for backward compatibility. X9.146 Quantum TLS draft in beta testing (2025). X9 is the primary ANSI-accredited standards body for financial cryptography in the US.","ASC X9; ANSI","ASC-X9-Financial-PKI;ASC-X9-PQC-Readiness-2025;ASC-X9-IR-F01-2022;ASC-X9-TR-50-2019","","technical_standard","https://x9.org/pki-home/","","yes","ASC X9; ANSI"
"PKI-CONSORTIUM","PKI Consortium","Industry consortium coordinating PQC readiness for PKI operators and certificate authorities","Technology;Finance & Banking","Global","yes","Ongoing","PKI Consortium (pkic.org) organizes annual PQC conferences and publishes PQC migration guidance for certificate authorities. Active since 2013; PQC focus accelerated since 2023. Members include DigiCert, Sectigo, Keyfactor, Entrust. Published hybrid certificate guidance and interoperability testing reports for ML-DSA and composite certificates.","PKI Consortium","PKI-Consortium-PQC-2025","","standardization_body","https://pkic.org/","pki-consortium","yes","PKI Consortium"
"CSA-QSC","Cloud Security Alliance","Cloud Security Alliance Quantum-Safe Working Group developing quantum security controls for cloud environments","Technology","Global","no","Ongoing","CSA Quantum-Safe Security Working Group publishes guidance on quantum-safe cloud security controls. CCM v4 includes cryptographic governance controls applicable to PQC migration. CSA also maintains the Cloud Controls Matrix used by cloud providers for compliance attestation. Referenced by CSA quantum-safe guidelines cited in threat profiles CLOUD-001 through CLOUD-004.","CSA","PKI-Consortium-PQC-2025;Cloudflare-PQ-Internet-2025","","standardization_body","https://cloudsecurityalliance.org/","","yes","CSA"
"ITU-T-SG17","ITU-T SG17","ITU Telecommunication Standardization Sector Study Group 17 on security standards for global telecom PQC transition","Telecommunications","Global","yes","Ongoing","ITU-T Study Group 17 (Security) includes Question 14/17 studying PQC for telecommunications networks. Develops X-series security recommendations. Coordinates with 3GPP SA3 and ETSI QSC on telecom PQC standardization. Focus areas include 5G/6G security architecture with PQC integration and quantum-safe key management for network operators.","ITU-T","ITU-T-X1811;ITU-T-X509-2019","","standardization_body","https://www.itu.int/en/ITU-T/studygroups/2022-2024/17/Pages/default.aspx","","yes","ITU-T"
"NIST-SP800-208","NIST SP 800-208","NIST recommendation for stateful hash-based signature schemes (LMS and XMSS)","Government & Defense;Technology","United States;Global","yes","Ongoing (published October 2020)","NIST SP 800-208 specifies the Leighton-Micali Signature (LMS) and eXtended Merkle Signature Scheme (XMSS) for firmware signing and other stateful signature applications. Referenced by CNSA 2.0 as an approved signature algorithm for national security systems. Critical for firmware signing and code signing where stateful signatures are acceptable. Requires careful state management to prevent one-time key reuse.","NIST","NIST SP 800-208","United States:NIST","technical_standard","https://csrc.nist.gov/pubs/sp/800/208/final","nist-csrc","yes","NIST"
"ISO-19790","ISO/IEC 19790:2024","International standard for security requirements for cryptographic modules — equivalent of FIPS 140-3","Government & Defense;Technology;Finance & Banking","Global","no","Ongoing (3rd edition published 2024)","ISO/IEC 19790:2024 (3rd edition) defines security requirements for cryptographic modules. International equivalent of NIST FIPS 140-3. Used by JCMVP (Japan), KCMVP (South Korea), and as the basis for EUCC cryptographic module evaluation. PQC algorithm testing requirements are being updated as ISO/IEC JTC 1/SC 27 publishes PQC standards. Organizations outside US jurisdiction often require ISO/IEC 19790 rather than FIPS 140-3.","ISO/IEC JTC 1/SC 27","ISO/IEC 14888-4:2024;ISO/IEC 18033-2:2006/AMD1:2017","","technical_standard","https://www.iso.org/standard/81624.html","iso-iec-sc27","yes","ISO/IEC JTC 1/SC 27"
"ETSI-QKD-SERIES","ETSI GS QKD Series","ETSI Group Specification series for Quantum Key Distribution covering protocols interfaces and network management","Telecommunications;Government & Defense","European Union;Global","no","Ongoing","ETSI ISG QKD has published 18 specifications covering QKD protocol interfaces (GS QKD 004), key delivery APIs (GS QKD 014), network interoperability (GS QKD 018), and management. QKD complements PQC for defense-in-depth in high-assurance environments. India DST/NQM roadmap recommends hybrid PQC plus QKD. BSI and ANSSI have published joint position papers on QKD vs PQC trade-offs.","ETSI ISG QKD","ETSI-GS-QKD-002;ETSI-GS-QKD-004;ETSI-GS-QKD-014;ETSI-GS-QKD-018","","technical_standard","https://www.etsi.org/committee/1430-qkd","etsi-cyber","yes","ETSI ISG QKD"
"ANSSI-CERT","ANSSI Security Certification","French national cybersecurity certification scheme — issued world first PQC product certifications in 2025","Government & Defense;Technology","France","yes","2027 (mandatory PQC qualification)","ANSSI security certification scheme issued the world first PQC product certifications (Sept-Oct 2025): Thales Smartcard MultiApp 5.2 Premium PQC (EAL5+) and Samsung S3SSE2A. The qualification process will require PQC from 2027 for new product submissions. ANSSI operates under the EUCC scheme and the SOG-IS Mutual Recognition Agreement. Separate from ANSSI as a standardization body (ANSSI-BODY).","ANSSI","ANSSI PQC Position Paper;ANSSI PQC Follow-up Paper;ANSSI-PQC-FAQ-2025","France:ANSSI","certification_body","https://www.ssi.gouv.fr/en/products/certified-products/","anssi","yes","ANSSI"
"JCMVP","JCMVP","Japanese Cryptographic Module Validation Program — Japan equivalent of NIST CMVP for government procurement","Government & Defense;Technology","Japan","no","Ongoing (PQC integration pending CRYPTREC evaluation)","JCMVP (Japanese Cryptographic Module Validation Program) is run by IPA (Information-technology Promotion Agency Japan). Japan equivalent of NIST CMVP/FIPS 140-3 based on ISO/IEC 19790 and JIS X 19790. Mandatory for Japanese government cryptographic module procurement. PQC algorithm integration is expected after CRYPTREC completes its PQC evaluation and publishes updated cipher recommendations.","IPA/METI","Japan CRYPTREC Report 2024","Japan:CRYPTREC","certification_body","https://www.ipa.go.jp/en/security/jcmvp/index.html","cryptrec","yes","IPA/METI"
"SG-CSA-QUANTUM","Singapore CSA Quantum-Safe Handbook","Singapore Cyber Security Agency national guidelines for quantum-safe transition across all sectors","Government & Defense;Technology;Finance & Banking;Telecommunications","Singapore","yes","Ongoing (published 2024)","CSA Singapore published the National Quantum-Safe Handbook providing comprehensive PQC migration guidance for all sectors. Goes beyond MAS financial circular (MAS-CIRCULAR) to cover government, telecom, and technology sectors. Includes algorithm selection guidance aligned with NIST FIPS 203/204/205, migration planning templates, and industry-specific recommendations. Singapore also runs a QKD Sandbox program.","CSA Singapore","Singapore-CSA-Quantum-Safe-Handbook","Singapore:CSA/MAS","compliance_framework","https://www.csa.gov.sg/","csa-singapore","yes","CSA Singapore"
"BRAZIL-ANPD-PQC","Brazil LGPD/ANPD PQC Guidance","Brazilian data protection authority ANPD guidance on cryptographic requirements under LGPD with PQC implications","Government & Defense;Technology;Finance & Banking","Brazil","no","Ongoing","Brazil Lei Geral de Protecao de Dados (LGPD) requires appropriate technical measures including encryption for personal data protection. ANPD (Autoridade Nacional de Protecao de Dados) has published guidance on security measures. While no explicit PQC mandate exists, LGPD long data retention requirements (up to lifetime for health data) create HNDL risk. Brazil is Latin Americas largest economy and a major financial services market. Banco Central do Brasil participates in BIS quantum readiness initiatives.","ANPD","GSMA-PQC-Country-Survey-2025","","compliance_framework","https://www.gov.br/anpd/pt-br","","yes","ANPD"
"DENMARK-CFCS-PQC","Denmark CFCS PQC Guidance","Danish Centre for Cyber Security post-quantum cryptography guidance for government and critical infrastructure","Government & Defense;Technology","Denmark","yes","Ongoing (aligned with EU coordinated roadmap)","CFCS (Centre for Cybersikkerhed) published PQC migration guidance for Danish government entities and critical infrastructure operators. Denmark is a Five Eyes+ partner and aligns with EU NIS2 and the EU coordinated PQC roadmap (EU-REC-2024-1101) timelines: national roadmaps by Dec 2026, high-risk migration by Dec 2030, full transition by Dec 2035. CFCS is part of the Danish Defence Intelligence Service.","CFCS","ENISA PQC Guidelines;EU-BSI-PQC-Joint-Statement-2024","","compliance_framework","https://cfcs.dk/","","yes","CFCS"
"DFS-NYCRR-500","NY DFS 23 NYCRR 500","New York Department of Financial Services cybersecurity regulation with explicit encryption and key management requirements","Finance & Banking","United States","no","Ongoing (Second Amendment effective Nov 2025)","NY DFS 23 NYCRR Part 500 is one of the most prescriptive US financial cybersecurity regulations. Section 500.15 requires encryption of nonpublic information both in transit and at rest using controls identified by the CISO risk assessment. The Second Amendment (effective November 2025) added enhanced requirements for encryption, key management, and incident response. While no explicit PQC mandate, the encryption requirements create a compliance pathway for PQC adoption as NIST standards mature. Applies to all DFS-regulated entities including banks, insurers, and financial service companies operating in New York.","NY DFS","US-QCCPA-2022;HSBC-InfoSecGlobal-Thales-CryptographicInventory-2025;NY-DFS-23-NYCRR-500-A2","","compliance_framework","https://www.dfs.ny.gov/industry_guidance/cybersecurity","","yes","NY DFS"
