industry,use_case_id,use_case_label,use_case_icon,protocols_current,protocols_target,pqc_claim_basis,classical_mechanisms,pqc_mechanisms,migration_status,summary,related_standards,main_source,source_url,trusted_source_id,local_file,peer_reviewed,vetting_body,confidence_score,last_verified,status,deprecated_at,deprecated_reason,learn_module_id,playground_tools,mechanism_refs,no_protocol_reason,source_library_ref,source_citation_type,migrate_product_refs,fips_140,fips_140_level,common_criteria,common_criteria_profile,common_criteria_scheme,pci_certification,pci_certification_program,national_certification,national_certification_scheme,hsm_certification_logic,hsm_certification_refs,certification_future,certification_future_date,certification_future_refs
Finance & Banking,fin-archives,Long-term records & HNDL exposure,Archive,tls-1-2,tls-1-3,standardised,RSA;ECDH,ML-KEM,none,Archived financial records and recorded transport sessions are harvest-now-decrypt-later targets; the Federal Reserve's HNDL analysis quantifies the exposure window for the sector.,NIST-IR-8547,Federal Reserve Board FEDS Paper September 2025,https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm,federal-reserve,threats/FIN-002.html,no,,0.85,2026-08-13,active,,,emv-payment-pqc,envelope-encrypt;sbx-migration-impact,RFC 9151;FIPS 203,,FRB-FEDS-2025093-Blockchain-PQC,driver,,none,,none,,,none,,none,,,,,,
Government & Defense,gov-nss,National security systems (CNSA 2.0),Shield,tls-1-3;ike-ipsec;ssh,tls-1-3;ike-ipsec;ssh,standardised,RSA;ECDSA;ECDH,ML-KEM;ML-DSA;LMS;XMSS,pilot,"NSA CNSA 2.0 mandates ML-KEM-1024, ML-DSA-87, and hash-based firmware signing across national security systems, with non-compliant equipment phased out by the early 2030s.",CNSA-2.0;RFC-8603,NSA CNSA 2.0 Cybersecurity Advisory,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,nsa-media,threats/GOV-001.pdf,yes,ISO,0.85,2026-07-29,active,,,government-defense-pqc,tls-simulator;vpn-sim;pqc-ssh-sim;lms-hss,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05;draft-ietf-tls-mldsa-04;draft-ietf-ipsecme-ikev2-pqc-auth-08;draft-ietf-tls-hybrid-design-16,,NSA CNSA 2.0,technical,,mandated,not-specified,mandated,NIAP-approved Protection Profile (not named by CNSSP-11),NIAP,none,,none,,all-of,CNSSP-11-IA-Product-Acquisition-Policy;NSA CNSA 2.0;NIST SP 800-208,,,
Government & Defense,gov-fpki,Federal PKI & document signing,Landmark,x509;est-cmp,x509;est-cmp,standardised,RSA;ECDSA,ML-DSA,draft,The US Federal PKI issues RSA-2048/4096 and ECDSA P-256/P-384 certificates government-wide; ML-DSA certificate profiles from IETF LAMPS are the designated successors.,RFC-5280;FIPS-204,Federal PKI Policy Authority,https://www.idmanagement.gov/fpki/,fpki,threats/GOV-004.html,no,,0.85,2026-07-29,active,,,government-defense-pqc,pki-workshop;pki-enrollment;sbx-pki,RFC 5280;RFC 9881,,Federal-PKI-Policy-Authority,driver,,mandated,140-3 L3,none,,,none,,none,,all-of,X-509-Certificate-Policy-for-the-U-S-Federal-PKI-Common-Poli;Federal-PKI-Policy-Authority,,,
Government & Defense,gov-classified,Classified communications & NC3,Lock,ike-ipsec,ike-ipsec,in-progress,ECDH;RSA,ML-KEM,pilot,Strategic and classified communication systems depend on public-key key establishment whose compromise horizon is measured in decades — the driving case for CNSA 2.0's timeline.,CNSA-2.0,NSA CNSA 2.0 Cybersecurity Advisory,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,nsa-media,threats/GOV-005.pdf,yes,ISO,0.85,2026-08-13,active,,,government-defense-pqc,vpn-sim;sbx-vpn,RFC 8784;IETF RFC 7296;FIPS 203,,NSA CNSA 2.0,technical,,mandated,not-specified,mandated,NIAP-approved Protection Profile (none named by CNSSP-11),NIAP,none,,none,,all-of,CNSSP-11-IA-Product-Acquisition-Policy;NSA CNSA 2.0;NSA CNSA 2.0 FAQ;CNSSP 15,,,
Government & Defense,gov-procurement,COTS procurement & supply chain,Package,,,standardised,,ML-KEM;ML-DSA;SLH-DSA,draft,"CISA's PQC Product Category List (developed with NSA, per EO 14306) names the three core NIST PQC standards directly: 'Products must support PQC for key establishment and digital signatures' via ML-KEM (FIPS 203), ML-DSA (FIPS 204), and SLH-DSA (FIPS 205). GSA's companion PQC Buyer's Guide translates this into concrete procurement vehicles (SINs/schedules) for federal agencies. Procurement is the enforcement point: vendors must land PQC support in these product categories before agencies can buy them.",,CISA Product Categories for PQC Technologies,https://www.cisa.gov/resources-tools/resources/product-categories-technologies-use-post-quantum-cryptography-standards,cisa,threats/GOV-003.html,no,CISA,0.85,2026-07-29,active,,,government-defense-pqc,sbx-cbom-compliance;sbx-supply-chain-signing;sbx-migration-impact,CISA-PQC-CATEGORY-LIST-2026;GSA-PQC-Buyers-Guide-2025,"Procurement policy is a governance control point, not a wire protocol.",CISA-PQC-CATEGORY-LIST-2026,,,mandated,not-specified,none,,,none,,none,,all-of,CMVP-MGMT-MANUAL;NIST-CMVP-140-2-to-140-3-Transition-Timeline,"EO 14412 SS6(c) directs the FAR Council to publish a PROPOSED RULE (not yet issued) amending the FAR to require covered contractors to comply by 2030-12-31 with NIST's FIPS, ""including all applicable FIPS incorporating PQC compliant algorithms."" Not yet in force -- a directive to propose a rule, not the rule itself.",2030-12-31,EO-2026-06-22-Securing-the-Nation
Healthcare / Pharmaceutical,hlth-ehr,EHR & health-information exchange,Stethoscope,tls-1-3;tls-1-2,tls-1-3,standardised,RSA;ECDSA;ECDH,ML-KEM,pilot,Electronic health records and HIE transport are protected under the HIPAA Security Rule's encryption specifications; patient data's decades-long sensitivity makes HNDL a first-order risk.,,HHS HIPAA Security Rule,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/subpart-C,hhs,threats/HLTH-001.html,no,,0.85,2026-07-29,active,,,healthcare-pqc,tls-simulator;sbx-tls;sbx-database-postgres,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05,,HHS-HIPAA-Security-Rule-45-CFR-Part-164-Subpart-C,driver,,mandated,not-specified,none,,,none,,mandated,China SCA/OSCCA commercial cryptography product certification (Cryptography Law Art.26 -- China-market modules only),all-of,ONC-Health-IT-Certification-Criterion-170-315-d-7-End-User-D;ONC-Health-IT-Certification-Criterion-170-315-d-9-Trusted-Co;HHS-HIPAA-Security-Rule-45-CFR-Part-164-Subpart-C;China-Cryptography-Law-2019-NPC,,,
Healthcare / Pharmaceutical,hlth-devices,Medical-device firmware & authentication,Activity,x509;cose,x509;cose,standardised,RSA;ECDSA,ML-DSA;LMS,draft,FDA premarket cybersecurity guidance requires secure update mechanisms for devices whose field lives exceed classical-crypto safety margins; hash-based and ML-DSA signing are the migration path.,,FDA Premarket Cybersecurity Guidance 2023,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cybersecurity-medical-devices-quality-system-considerations-and-content-premarket-submissions,fda,threats/HLTH-003.html,no,,0.85,2026-07-29,active,,,healthcare-pqc,firmware-signing;lms-hss;cert-capacity,RFC 5280;RFC 9881;RFC 9053,,FDA-Cybersecurity-in-Medical-Devices-Premarket-Guidance-2023,driver,,de-facto,not-specified,none,,,none,,mandated,China SCA/OSCCA commercial cryptography product certification (Cryptography Law Art.26 -- China-market modules only),any-of,FDA-Cybersecurity-in-Medical-Devices-Premarket-Guidance-2023;China-Cryptography-Law-2019-NPC,,,
Healthcare / Pharmaceutical,hlth-implants,Implantable & wearable devices (BLE),Bluetooth,,,none,ECDH,,none,Implantables and wearables use embedded ECC over Bluetooth LE with severe compute and battery constraints — among the hardest PQC retrofit cases in any sector.,,"FDA — DSCSA Standards for the Interoperable Exchange of Information for Tracing (Guidance for Industry, Sept 2023)",https://www.fda.gov/media/171796/download,fda,threats/HLTH-004.pdf,no,FDA,0.85,2026-07-29,active,,,healthcare-pqc,cert-capacity,BLE-Key-Negotiation-Downgrade-2020;BLE-Low-Entropy-Key-Negotiation-2019,Implantable/wearable links use Bluetooth LE profiles with vendor-proprietary key hierarchies; no matrix protocol covers them.,FDA-DSCSA-Standards-for-the-Interoperable-Exchange-of-Inform,driver,,de-facto,not-specified,none,,,none,,mandated,China SCA/OSCCA commercial cryptography product certification (Cryptography Law Art.26 -- China-market modules only),any-of,FDA-Cybersecurity-in-Medical-Devices-Premarket-Guidance-2023;China-Cryptography-Law-2019-NPC,,,
Healthcare / Pharmaceutical,hlth-supply,Pharma supply chain (DSCSA/EPCIS),Pill,x509,x509,none,RSA;ECDSA,,none,US DSCSA interoperability rests on EPCIS event signatures and manufacturer PKI for product verification; signatures anchoring provenance must remain verifiable for years.,,FDA Drug Supply Chain Security Act (DSCSA),https://www.fda.gov/drugs/drug-supply-chain-integrity/drug-supply-chain-security-act-dscsa,csa-cloud,threats/HLTH-005.html,no,,0.85,2026-07-29,active,,,healthcare-pqc,pki-workshop;sbx-supply-chain-signing,RFC 5280;RFC 9881,,FDA-Drug-Supply-Chain-Security-Act-DSCSA,driver,,none,,none,,,none,,mandated,China SCA/OSCCA commercial cryptography product certification (Cryptography Law Art.26 -- China-market modules only),all-of,FDA-DSCSA-Standards-for-the-Interoperable-Exchange-of-Inform;China-Cryptography-Law-2019-NPC,,,
Hardware Security Modules,hsm-keygen,PQC key generation & side-channel hardening,Cpu,pkcs11,pkcs11,standardised,RSA;ECDSA;ECDH,ML-KEM;ML-DSA;FN-DSA,pilot,HSMs generating ML-KEM/FN-DSA keys need fault and side-channel countermeasures that FIPS 140-3 physical-security requirements were not originally written for.,,NIST FIPS 140-3 Physical Security Requirements / IACR PQC fault attack research,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,nist-csrc,threats/HSM-001.pdf,yes,NIST,0.85,2026-08-13,active,,,hsm-pqc,hsm-capacity;entropy-test;sbx-hsm-perf-bench,PKCS11-V32-OS-OASIS,,NIST-FIPS140-3-IG-PQC,technical,,mandated,140-3 L3,mandated,EN 419221-5 (Cryptographic Module for Trust Services),EUCC,mandated,PCI Card Production and Provisioning v3.0.1,none,,any-of,NIST SP 800-208;FIPS-140-3-STANDARD;ETSI-EN-319-411;CIR-EU-2024-482-EUCC-Cybersecurity-Certification-Scheme;PCI-Card-Production-Logical-Security-v3-0-1;NIST-SP-800-140F,,,
Hardware Security Modules,hsm-api,PKCS#11 / KMIP interface migration,Plug,pkcs11;kmip,pkcs11;kmip,adopted,RSA;ECDSA;ECDH,ML-KEM;ML-DSA;SLH-DSA;LMS;XMSS,production,"PKCS#11 v3.2 (OASIS Standard) defines mechanisms for ML-KEM, ML-DSA, SLH-DSA, and stateful hash-based signatures — the API layer of the HSM migration is standardized.",PKCS11-3.2;KMIP-2.1,PKCS#11 v3.2 Specification / NIST SP 800-227,https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/cs01/pkcs11-spec-v3.2-cs01.html,oasis,threats/HSM-002.html,yes,OASIS PKCS#11 Technical Committee,0.85,2026-08-13,active,,,hsm-pqc,cacp-kmip;token-migration;sbx-pqctoday-kmip,PKCS11-V32-OS-OASIS;KMIP-V2-1-OASIS,,PKCS11-V32-OS-OASIS,technical,,de-facto,not-specified,de-facto,not specified (PKCS#11 v3.2 names only the authority type),not specified,none,,none,,any-of,PKCS11-V32-OS-OASIS;KMIP-V2-1-OASIS,,,
Hardware Security Modules,hsm-roots,Root-of-trust & firmware signing,ShieldCheck,tpm;uefi,tpm;uefi,standardised,RSA;ECDSA,ML-DSA;LMS,draft,"Device roots of trust (TPM, UEFI Secure Boot) verify firmware with RSA/ECDSA; hash-based signatures are the recommended first PQC step for firmware because of their conservative security case.",,NIST FIPS 140-3 Physical Security Requirements / IACR PQC fault attack research,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,nist-csrc,threats/HSM-001.pdf,yes,NIST,0.85,2026-08-13,active,,,hsm-pqc,tpm-playground;firmware-signing;lms-hss;sbx-tpm-pqc-migration,TCG-TPM-V185-Part1;UEFI-SPEC-2.10-SecureBoot;NIST SP 800-208,,NIST-FIPS140-3-IG-PQC,technical,,mandated,140-3 L3,de-facto,TCG PC Client TPM 2.0 Protection Profile,EUCC / BSI (SOG-IS smartcard domain),mandated,"PCI PTS HSM v4.0 (firmware-signing keys, Req J8)",none,,any-of,NIST SP 800-208;NSA CNSA 2.0 FAQ;TCG-TPM-V185-Part1;UEFI-SPEC-2.10-SecureBoot;PCI-PTS-HSM-Modular-Security-Requirements-v4-0;CIR-EU-2024-482-EUCC-Cybersecurity-Certification-Scheme,,,
Internet of Things (IoT),iot-provisioning,Device identity & provisioning,QrCode,x509;tls-1-2,x509;tls-1-3,standardised,ECDSA;RSA,ML-DSA,none,IoT device identity rests on factory-provisioned ECDSA/RSA certificates in devices that often cannot be re-keyed after deployment; NIST SP 800-213 and NISTIR 8259A define the device cybersecurity capability baseline this migration runs through.,,NIST SP 800-213 + NISTIR 8259A,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-232.pdf,nist-csrc,threats/IOT-005.pdf,yes,NIST,0.85,2026-07-29,active,,,iot-ot-pqc,pki-enrollment;cert-capacity;sbx-stepca,RFC 9881;RFC 5280,,NIST-SP-800-232,driver,,none,,none,,,none,,de-facto,GlobalPlatform SESIP + PSA Certified (secure-element tier); EU CRA Art.8(1) delegated act not yet adopted; US Cyber Trust Mark is voluntary,all-of,NIST-SP-800-213;NIST-IR-8259A;GSMA-PQ-04-Post-Quantum-Cryptography-in-the-IoT-Ecosystem;EU-CRA-REG-2024-2847,,,
Internet of Things (IoT),iot-industrial,Industrial IoT (OPC UA / IEC 62443),Factory,tls-1-2,tls-1-3,none,RSA;ECDSA,,none,OPC UA security policies and IEC 62443 conformance anchor industrial device authentication on RSA/ECDSA with multi-decade plant lifecycles.,,IEC 62443 Industrial Automation Security,https://www.isa.org/standards-and-publications/isa-standards/isa-iec-62443-series-of-standards,iec,threats/IOT-002.html,no,,0.85,2026-08-13,active,,,iot-ot-pqc,tls-simulator;sbx-iot-mqtt,RFC 9151,,IEC 62443,driver,,none,,none,,,none,,none,,,IEC 62443;EU-CRA-REG-2024-2847,,,
Internet of Things (IoT),iot-firmware,Firmware update signing (SUIT/COSE),Download,cose,cose,standardised,ECDSA,ML-DSA;LMS,draft,IETF SUIT (RFC 9019/9124) defines the firmware-update architecture whose COSE signatures must move from ECDSA/EdDSA to PQC for constrained devices.,,IETF SUIT RFC 9019 + RFC 9124,https://www.rfc-editor.org/rfc/rfc9019.txt,ietf,threats/IOT-003.html,no,,0.85,2026-07-29,active,,,iot-ot-pqc,firmware-signing;lms-hss;sbx-firmware-hss,RFC 9052;draft-ietf-cose-falcon-04;RFC 9053,,RFC 9019,technical,,none,,none,,,none,,none,,,NIST SP 800-208,,,
IT Industry / Software,it-libraries,Crypto libraries & TLS stacks,Code,tls-1-3;ssh,tls-1-3;ssh,adopted,RSA;ECDSA;ECDH;X25519,ML-KEM;ML-DSA;SLH-DSA,production,"OpenSSL 3.5 shipped ML-KEM, ML-DSA, and SLH-DSA natively, putting PQC into the default dependency graph of most software; legacy pre-3.5 estates are the migration tail.",,OpenSSL PQC Integration,https://openssl-library.org/post/2025-04-08-openssl-35-final-release/,openssl-project,threats/IT-001.html,no,,0.85,2026-08-13,active,,,crypto-dev-apis,openssl-studio;tls-simulator;pqc-ssh-sim;slh-dsa,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05;draft-ietf-tls-mldsa-04;FIPS 205,,OpenSSL-3.5.0-Release,technical,,none,,none,,,none,,none,,all-of,FIPS-140-3-STANDARD;NIST-CMVP-140-2-to-140-3-Transition-Timeline,,,
IT Industry / Software,it-webpki,Web PKI & certificate authorities,Globe,x509;tls-1-3,x509;tls-1-3,standardised,RSA;ECDSA,ML-DSA,draft,CA root and intermediate keys (RSA-4096/ECDSA) anchor the web PKI under CA/Browser Forum baseline requirements; ML-DSA certificate profiles are advancing through IETF LAMPS.,RFC-5280,CA/Browser Forum PKI Standards,https://cabforum.org/working-groups/server/baseline-requirements/documents/,cabf,threats/IT-002.html,no,,0.85,2026-07-29,active,,,crypto-dev-apis,pki-workshop;cert-capacity;merkle-proof;sbx-cert-validation,RFC 5280;RFC 9881,,CA-B-Forum-Ballot-SMC013,technical,,mandated,140-3 L3,mandated,"not specified (""an appropriate Common Criteria Protection Profile or Security Target"")",not specified,none,,none,,any-of,CABF-TLS-BR-v2-2-9;Chrome-Root-Program-Policy-v1-8,,,
IT Industry / Software,it-supplychain,Software supply chain (Sigstore/SLSA),GitBranch,sigstore,sigstore,proposed,ECDSA,ML-DSA,pilot,Sigstore's Fulcio CA and Rekor transparency log sign with ECDSA; SLSA provenance levels make those signatures the trust anchor for software supply chains.,,SLSA Supply Chain Security Framework (OpenSSF),https://slsa.dev/spec/v1.0/levels,openssf,threats/IT-004.html,no,,0.85,2026-08-13,active,,,crypto-dev-apis,sbx-supply-chain-signing;sbx-osslsigncode;merkle-proof,Sigstore-Algorithm-Registry,,SLSA-Specification-v1.1,driver,,none,,none,,,none,,none,,all-of,SLSA-Specification-v1.1;NIST SP 800-218,,,
IT Industry / Software,it-identity,"SSO, OAuth/OIDC & passkeys",Fingerprint,jose;fido-2,jose;fido-2,standardised,RSA;ECDSA,ML-DSA,draft,"SAML assertions, OAuth/OIDC tokens (JOSE), and FIDO2/WebAuthn attestation all sign with RSA/ECDSA; the FIDO Alliance has a PQC roadmap and JOSE/COSE composite drafts exist.",W3C-WebAuthn,Web Authentication: An API for accessing Public Key Credentials - Level 3,https://www.w3.org/TR/webauthn-3/,w3c,library/W3C_WebAuthn.html,yes,W3C,0.85,2026-07-29,active,,,crypto-dev-apis,api-security-jwt;token-migration;sbx-api-security-jwt,RFC 7515;draft-ietf-jose-pqc-kem;draft-vitap-ml-dsa-webauthn,,W3C WebAuthn,technical,,none,,none,,,none,,none,,all-of,NIST-SP-800-63B-4,,,
IT Industry / Software,it-ssh,Administrative access (SSH),Terminal,ssh,ssh,adopted,RSA;ECDSA;ECDH;X25519,ML-KEM,production,SSH hybrid ML-KEM key exchange is standardized (RFC 9941) and deployed by default in current OpenSSH — administrative access is among the most PQC-ready surfaces in IT.,RFC-4253;RFC-9941,NIST FIPS 203/204/205 Post-Quantum Cryptography Standards,https://csrc.nist.gov/projects/post-quantum-cryptography,nist-csrc,threats/IT-003.html,yes,NIST,0.85,2026-08-13,active,,,crypto-dev-apis,pqc-ssh-sim;sbx-ssh,RFC 4253;RFC 9941;draft-ietf-sshm-mlkem-hybrid-kex-10;IETF RFC 5656,,,,,none,,none,,,none,,none,,all-of,RFC 9941,,,
Legal / Notary / eSignature,leg-qes,Qualified e-signatures (AdES),PenTool,x509,x509,standardised,RSA;ECDSA,ML-DSA,draft,Qualified signatures under eIDAS use RSA/ECDSA in XAdES/PAdES/CAdES formats with algorithm suites from ETSI TS 119 312; PQC suites are in ETSI's standardization pipeline.,ETSI-TS-119-312,eIDAS Regulation EU 910/2014 + ETSI TS 119 312,https://www.etsi.org/deliver/etsi_ts/119300_119399/119312/01.04.03_60/ts_119312v010403p.pdf,ec,threats/LEG-001.pdf,no,,0.85,2026-07-29,active,,,trust-services-pqc,pki-workshop;email-signing;hybrid-certs,RFC 5280;RFC 9881,,eIDAS-Regulation-EU-910-2014-consolidated-text-as-amended-by,driver,,mandated,140-3 L3,mandated,"EN 419211 Parts 1-6 (user-managed QSCD); EN 419241-2:2019 / EN 419221-5:2018 (remote QSCD) (EAL 4+, AVA_VAN.5)",EUCC,none,,none,,any-of,CIR-EU-2025-1943-Qualified-Certificates-Reference-Standards;CIR-EU-2024-482-EUCC-Cybersecurity-Certification-Scheme,"FIPS 140-3 L3 is accepted only until 2030-12-31 as one of three alternative routes (CIR (EU) 2025/1943 Annex I: ""until 31.12.2030, FIPS PUB 140-3 level 3""). After that date Common Criteria/EUCC EAL4+ becomes the SOLE certification route -- the any-of logic above stops applying and this becomes CC-only.",2030-12-31,CIR-EU-2025-1943-Qualified-Certificates-Reference-Standards
Legal / Notary / eSignature,leg-wallet,EU digital identity wallets (eIDAS 2.0),Wallet,jose;cose;x509,jose;cose;x509,standardised,ECDSA;RSA;ECDH,ML-DSA,draft,EUDI wallets under Regulation 2024/1183 authenticate holders and verifiers with ECDSA/RSA credentials; wallet attestation formats are where PQC composite signatures will land.,,EU Regulation 2024/1183 (eIDAS 2.0),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1183,ec,threats/LEG-002.html,no,,0.85,2026-07-29,active,,,trust-services-pqc,digital-id;api-security-jwt,RFC 7515;RFC 7519;draft-ietf-jose-pqc-kem,,eIDAS-2-Regulation,driver,,none,,mandated,not specified by name; EAL4 + AVA_VAN.5 floor,EUCC,none,,none,,all-of,CIR-EU-2024-2981-EU-Digital-Identity-Wallet-Certification;CIR-EU-2024-482-EUCC-Cybersecurity-Certification-Scheme,,,
Legal / Notary / eSignature,leg-timestamp,Qualified timestamping (RFC 3161),Timer,x509,x509,standardised,RSA;ECDSA,ML-DSA;LMS,none,"Qualified timestamp tokens (ETSI EN 319 422, RFC 3161) sign evidence of existence whose verifiability must outlast the signing algorithm — a canonical long-validity PQC case.",ETSI-TS-119-312,ETSI EN 319 422 Qualified Timestamp Policy,https://www.etsi.org/deliver/etsi_en/319400_319499/319422/01.01.01_60/en_319422v010101p.pdf,etsi-cyber,threats/LEG-003.pdf,no,,0.85,2026-08-13,active,,,trust-services-pqc,lms-hss;merkle-proof;pki-workshop,RFC 5280;RFC 9881;NIST SP 800-208,,ETSI-EN-319-422-V1-1-1-Time-stamping-protocol-and-time-stamp,driver,,mandated,140-3 L3,mandated,EN 419231 (time-stamping); EN 419221-5:2018 (TSP crypto module) (EAL 4+),EUCC,none,,none,,any-of,CIR-EU-2025-1929-Qualified-Electronic-Time-Stamps;CIR-EU-2024-482-EUCC-Cybersecurity-Certification-Scheme,"FIPS 140-3 L3 is accepted only until 2030-12-31 as one of three alternative routes (CIR (EU) 2025/1943 Annex I: ""until 31.12.2030, FIPS PUB 140-3 level 3""). After that date Common Criteria/EUCC EAL4+ becomes the SOLE certification route -- the any-of logic above stops applying and this becomes CC-only.",2030-12-31,CIR-EU-2025-1929-Qualified-Electronic-Time-Stamps
Media / Entertainment / DRM,media-drm,Content DRM key hierarchies,MonitorPlay,,,none,ECDSA,,none,"AACS, PlayReady, and FairPlay rest on RSA key hierarchies burned into devices and discs; content licensing windows outlive the classical hardness assumptions beneath them.",,AACS Specifications — Introduction and Common Cryptographic Elements (v0.91),https://aacsla.com/wp-content/uploads/2019/02/AACS_Spec_Common_0.91.pdf,aacs,threats/MEDIA-001.html,yes,AACS Licensing Administrator,0.85,2026-08-13,active,,,,envelope-encrypt;kdf-derivation,AACS-Introduction-and-Common-Cryptographic-Elements-Book-Rev,"AACS, PlayReady and FairPlay are proprietary DRM key hierarchies, not open protocols tracked by the matrix.",AACS-Introduction-and-Common-Cryptographic-Elements-Book-Rev,technical,,none,,none,,,none,,de-facto,"DRM licensor device-certification regimes -- AACS LA Adopter Agreement C&R Rules, PlayReady SL3000, Widevine L1 (all licensee-confidential)",all-of,AACS-Introduction-and-Common-Cryptographic-Elements-Book-Rev,,,
Media / Entertainment / DRM,media-broadcast,Broadcast conditional access (DVB),Tv,,,none,RSA,,none,DVB conditional-access entitlement management (ECM/EMM) and broadcast device certificates use RSA/ECDSA with fielded receiver populations that are effectively un-upgradable.,,DVB Project — Conditional Access System Standards,https://dvb.org/solutions/security/,dvb-project,threats/MEDIA-003.html,no,,0.85,2026-08-13,active,,,,kdf-derivation,CI-Plus-Spec-v1.3.2,"DVB conditional-access ECM/EMM is a consortium broadcast spec, not a protocol tracked by the matrix.",DVB-BlueBook-A165-Extensions-to-the-CI-Plus-Specification,driver,,none,,none,,,none,,de-facto,CI Plus Trust Authority / Certification Authority device certification against the CI Plus Robustness Rules (licensee-only),all-of,CI-Plus-Spec-v1.3.2;DVB-BlueBook-A165-Extensions-to-the-CI-Plus-Specification,,,
Media / Entertainment / DRM,media-streaming,Streaming delivery & license TLS,Play,tls-1-3,tls-1-3,adopted,RSA;ECDSA;ECDH;X25519,ML-KEM,production,"Streaming platforms deliver content keys and licenses over TLS, where hybrid PQC key establishment is already available at CDN scale.",,"""A First Look at Digital Rights Management Systems for Secure Mobile Content Delivery"" (academic survey)",https://arxiv.org/abs/2308.00437,arxiv-crypto,threats/MEDIA-002.html,partial,,0.85,2026-07-29,active,,,,tls-simulator;sbx-tls;sbx-browser-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05,,A-First-Look-at-Digital-Rights-Management-Systems-for-Secure,driver,,none,,none,,,none,,none,,,A-First-Look-at-Digital-Rights-Management-Systems-for-Secure,,,
Payment Card Industry,pci-emv,Card authentication (EMV offline auth),CreditCard,,,none,RSA,,none,"EMV offline card authentication (SDA/DDA/CDA per EMVCo Book 2) uses RSA, with ECDSA arriving in newer contactless kernels; card and terminal fleets turn over on decade timescales.",,The Impact of Quantum Computing on the Payment Card Industry,https://www.fsisac.com/hubfs/Knowledge/PQC/TheImpactOfQuantumComputingOnThePaymentCardIndustry.pdf,fs-isac,threats/PAYM-001.pdf,no,,0.85,2026-08-13,active,,,emv-payment-pqc,cert-capacity,RU-Nijmegen-EMV-Course-Notes;EMVCo-Quantum-Position-Statement,"EMV offline card authentication is an EMVCo card/terminal spec (Book 2), not a network protocol tracked by the matrix.",FS-ISAC-PQC-Timeline-2026,driver,,mandated,140-3 L3,none,,,mandated,PCI PTS HSM (version not specified),none,,any-of,PCI-Card-Production-Logical-Security-v3-0-1,,,
Payment Card Industry,pci-terminals,Terminal PIN security & key injection,ShieldCheck,tls-1-2,tls-1-3,none,RSA;ECDH,,none,PIN encryption uses TDES DUKPT with RSA-based remote key injection under PCI PIN Security Requirements; asymmetric key transport is the quantum-exposed link.,,PCI PIN Security Requirements v3.1 (ROC Reporting Template),https://listings.pcisecuritystandards.org/documents/PCI_PIN_v3.1_ROC_Reporting_Template.pdf,pci-ssc,threats/PCI-003.html,no,PCI Security Standards Council,0.85,2026-08-16,active,,,emv-payment-pqc,kdf-derivation;hsm-capacity,RFC 9151,,PCI-PIN-v3-1-ROC-Reporting-Template,driver,,none,,none,,,mandated,PCI PTS POI (version not specified); PCI PTS POI with SRED (P2PE),none,,all-of,PCI-PIN-v3-1-ROC-Reporting-Template;PCI-P2PE-Security-Requirements-v3-1,,,
Payment Card Industry,pci-ecommerce,E-commerce payment data (PCI DSS),ShoppingCart,tls-1-3;tls-1-2,tls-1-3,standardised,RSA;ECDSA;ECDH,ML-KEM,pilot,Cardholder-data environments protect transport with TLS under PCI DSS v4 requirements; hybrid key establishment is deployable now on the acquiring side.,,PCI Security Standards Council DSS 4.0.1,https://www.middlebury.edu/sites/default/files/2025-01/PCI-DSS-v4_0_1.pdf,pci-ssc,threats/PCI-002.html,no,PCI Security Standards Council,0.85,2026-07-29,active,,,emv-payment-pqc,tls-simulator;sbx-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05,,PCI-DSS-v4-0-1-Requirements-and-Testing-Procedures,technical,,mandated,140-3 L3,none,,,mandated,PCI PTS HSM (version not specified),none,,any-of,PCI-3DS-Core-v1-0-ROC-Reporting-Template,,,
