software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id
Yubico YubiHSM 2,CSC-002,Hardware Security Module (HSM) Software,Hardware,No,"YubiHSM 2 is a compact USB-attached HSM supporting RSA-2048/4096, ECC P-256/P-384/P-521, and Ed25519. FIPS 140-2 Level 3 validated. No PQC (ML-KEM/ML-DSA) support currently. Yubico has not published a PQC firmware roadmap for YubiHSM 2. PQC migration would require hardware replacement.",Commercial,Commercial (Yubico),2.5,,Yes (FIPS 140-2 Level 3),Medium,Linux Windows macOS,Finance Enterprise Government,https://www.yubico.com/product/yubihsm-2/,https://github.com/Yubico/yubihsm-shell,Compact USB HSM for server-side cryptographic operations. FIPS 140-2 L3. No PQC support — replacement required for quantum-safe migration.,Trusted Vendor,Partially Verified,2026-03-04,assess,hsm-pqc;migration-program,VND-044
Google OpenTitan,CSC-034,Hardware Security and Semiconductors,Hardware,Planned (ML-DSA),"OpenTitan is an open-source silicon root-of-trust project led by lowRISC and Google. Discrete chip (Earl Grey) implements secure boot, attestation, and key management. ML-DSA (FIPS 204) support for firmware signing is on the roadmap. Designed to replace proprietary silicon roots-of-trust with auditable open-source hardware.",Open Source,Apache 2.0,,,No,High,Custom Silicon Embedded,Cloud Infrastructure Defense Government,https://opentitan.org,https://github.com/lowRISC/opentitan,Open-source silicon root-of-trust. Auditable hardware replacing proprietary secure enclaves. ML-DSA planned for firmware signing.,Open Source Foundation,Partially Verified,2026-03-04,"assess,plan",aerospace-pqc;confidential-computing;hsm-pqc;secure-boot-pqc,VND-018
TianoCore EDK2 (UEFI Firmware),CSC-026,Secure Boot and Firmware Security,Hardware,Planned,TianoCore EDK2 is the reference UEFI firmware implementation used by most x86 server and PC manufacturers. Secure Boot uses RSA-2048 + SHA-256 for firmware image signatures. PQC migration requires ML-DSA support in the UEFI signature database and PKCS#7 parser. Community work via OQS integration is in progress. Critical for post-quantum secure boot on all x86 platforms.,Open Source,BSD-2-Clause-Patent,,,No,Critical,x86 x86-64 ARM,Enterprise Government Defense Cloud,https://www.tianocore.org,https://github.com/tianocore/edk2,Reference UEFI firmware implementation. Basis for Secure Boot on virtually all x86 platforms. PQC migration requires ML-DSA support for firmware signing.,Open Source Foundation,Partially Verified,2026-03-04,"assess,plan",aerospace-pqc;code-signing;migration-program;secure-boot-pqc,VND-207
NXP SE050 Secure Element,CSC-054,Smart Cards & Secure Elements,Hardware,No (SE051 roadmap),"NXP SE050 is a plug-and-trust secure element providing ECC P-256/P-384/P-521, RSA-2048/4096, and AES-128/256. CommonCriteria EAL6+ certified. No PQC support. NXP SE051 (successor) includes ML-KEM and ML-DSA on its feature roadmap. Widely deployed in IoT, automotive, and payment systems.",Commercial,Commercial (NXP),SE050,,No (CC EAL6+),High,Embedded IoT Automotive,IoT Automotive Finance Government,https://www.nxp.com/products/security-and-authentication/authentication/plug-and-trust-the-se050-series-of-secure-elements,,CC EAL6+ secure element for IoT and embedded use. PQC migration requires replacement with SE051 generation hardware.,Trusted Vendor,Partially Verified,2026-03-04,assess,automotive-pqc;iot-ot-pqc;migration-program,VND-028
ARM TrustZone,CSC-034,Hardware Security and Semiconductors,Hardware,No (platform only),"ARM TrustZone provides hardware-enforced isolation between secure and non-secure worlds on ARM Cortex-A/M processors. It is a platform architecture, not a crypto implementation. PQC support depends on the software running in the Trusted Execution Environment (TEE) — typically OP-TEE or proprietary TEE. No inherent PQC constraints but software must be updated.",Proprietary,ARM Architecture License,,,No,Medium,ARM Cortex-A ARM Cortex-M,Mobile IoT Embedded Automotive,https://www.arm.com/technologies/trustzone-for-cortex-a,,"ARM hardware isolation architecture for Trusted Execution Environments. PQC support depends on TEE software (OP-TEE, proprietary). Platform upgrade required.",Trusted Vendor,Verified,2026-03-04,assess,automotive-pqc;confidential-computing;iot-ot-pqc,VND-149
Microchip ATECC608B,CSC-054,Smart Cards & Secure Elements,Hardware,No,"Microchip ATECC608B is a CryptoAuthentication device providing ECC P-256, SHA-256, and AES-128. Widely deployed in IoT devices for device authentication and key storage. No PQC support and no public PQC roadmap. Migration requires hardware replacement. Used in AWS IoT, Azure IoT, and Google Cloud IoT integrations.",Commercial,Commercial (Microchip),ATECC608B,,No,High,Embedded IoT,IoT Manufacturing Automotive,https://www.microchip.com/en-us/product/atecc608b,https://github.com/MicrochipTech/cryptoauthlib,ECC-only crypto co-processor for IoT device authentication. No PQC — hardware replacement required. Hundreds of millions deployed globally.,Trusted Vendor,Verified,2026-03-04,assess,automotive-pqc;iot-ot-pqc,VND-151
Qualcomm Snapdragon Trusted Execution Environment,CSC-034,Hardware Security and Semiconductors,Hardware,Planned,Qualcomm Snapdragon SoCs include a Trusted Execution Environment (QTEE) based on ARM TrustZone plus a dedicated Secure Processing Unit (SPU). The SPU handles key storage and cryptographic operations for Android devices. Qualcomm has announced PQC algorithm support as part of its CNSA 2.0 roadmap for government-grade mobile security. ML-KEM and ML-DSA planned.,Proprietary,Proprietary (Qualcomm),,,No,High,Android Mobile,Mobile Government Defense Enterprise,https://www.qualcomm.com/products/mobile/snapdragon/smartphones/snapdragon-8-series-mobile-platforms,,Qualcomm Secure Processing Unit in Snapdragon SoCs. Handles mobile device key storage and crypto. PQC planned under CNSA 2.0 alignment.,Trusted Vendor,Needs Verification,2026-03-04,assess,aerospace-pqc;confidential-computing,VND-150
Linux LUKS / dm-crypt,CSC-006,Disk and File Encryption Software,OS,Partial (bulk encryption only),LUKS2 (Linux Unified Key Setup) uses AES-256-XTS for bulk disk encryption (quantum-safe) with Argon2id or PBKDF2 for passphrase key derivation. Key slots use classical symmetric wrapping. A PQC key exchange layer is not natively supported — TPM2 or hardware token integration uses classical protocols. Cryptsetup 2.7+ adds Token2 API; PQC key wrapping requires external tooling.,Open Source,GPL-2.0,2.7.5,2025-01,No (relies on kernel crypto API),Critical,Linux,Enterprise Government Finance Healthcare Cloud,https://gitlab.com/cryptsetup/cryptsetup,https://gitlab.com/cryptsetup/cryptsetup,Standard Linux disk encryption using dm-crypt kernel module. AES-256-XTS bulk is quantum-safe; passphrase/key-slot wrapping needs PQC extension.,Open Source,Partially Verified,2026-03-04,"assess,plan",data-asset-sensitivity;healthcare-pqc;kms-pqc,VND-198
Wind River VxWorks,CSC-056,Real-Time Operating Systems,OS,Planned,"VxWorks is the world's most widely deployed RTOS, used in aerospace (Boeing 787, Mars rovers), defense systems, and industrial control. Wind River has announced PQC algorithm support via Wind River Studio for VxWorks 23.09+. Targets CNSA 2.0 compliance for defense and aerospace markets. Integration with Wind River Platform for Safety Certified environments.",Commercial,Commercial (Wind River),24.09,2024-09,Yes (FIPS 140-3 via Wind River Crypto),Critical,x86 ARM PowerPC MIPS,Aerospace Defense Industrial Automotive Medical,https://www.windriver.com/products/vxworks,,"Industry-leading RTOS for safety-critical systems. Used in aerospace, defense, and industrial control. PQC support planned via Wind River Studio for CNSA 2.0 compliance.",Trusted Vendor,Partially Verified,2026-03-25,"assess,plan",aerospace-pqc;automotive-pqc;healthcare-pqc;iot-ot-pqc,VND-043
BlackBerry QNX Neutrino RTOS,CSC-056,Real-Time Operating Systems,OS,Planned,"QNX Neutrino is a safety-certified microkernel RTOS used in automotive (50M+ vehicles), medical devices, and industrial systems. BlackBerry QNX has announced PQC integration aligned with NIST standards and ISO 21434 automotive cybersecurity requirements. Targets ML-KEM and ML-DSA for over-the-air update signing and secure communications.",Commercial,Commercial (BlackBerry),8.0 (SDP 8.0),2025-12,Yes (FIPS 140-3 via QNX Cryptography Library),Critical,ARM x86 PowerPC,Automotive Medical Defense Industrial,https://blackberry.com/us/en/products/blackberry-qnx,,Safety-certified microkernel RTOS in 50M+ vehicles and critical systems. PQC roadmap targets automotive OTA update signing and secure communications per ISO 21434.,Trusted Vendor,Partially Verified,2026-03-25,"assess,plan",aerospace-pqc;automotive-pqc;healthcare-pqc;iot-ot-pqc;migration-program,VND-005
FreeRTOS,CSC-056,Real-Time Operating Systems,OS,No,"FreeRTOS is an open-source RTOS for microcontrollers, maintained by Amazon. The corePKCS11 library provides cryptographic operations using classical algorithms (RSA, ECC, AES). No PQC support exists in any FreeRTOS component as of Q1 2026. The constrained memory profile of target microcontrollers (4KB-64KB RAM) makes ML-KEM/ML-DSA integration challenging. AWS has not published a PQC roadmap for FreeRTOS.",Open Source,MIT,11.1.0,2024-09,No,High,ARM Cortex-M RISC-V AVR,IoT Industrial Automotive Consumer,https://www.freertos.org,https://github.com/FreeRTOS/FreeRTOS,Widely used open-source RTOS for microcontrollers. No PQC support — constrained memory profiles make ML-KEM/ML-DSA integration a significant challenge.,Open Source Community,Partially Verified,2026-03-04,assess,automotive-pqc;iot-ot-pqc,VND-001
Alpine Linux,CSC-031,Operating Systems,OS,Partial (via OpenSSL provider),Alpine Linux uses musl libc and is the default base image for millions of Docker containers. Alpine 3.20+ ships OpenSSL 3.3.x enabling ML-KEM via the liboqs-provider package. Alpine's minimal footprint (5MB base image) makes PQC library deployment size a consideration. Used in 5B+ Docker Hub image pulls. Container workloads using Alpine-based images can inherit PQC via OpenSSL provider.,Open Source,MIT / Various,3.21,2024-11,No,High,x86-64 ARM64 s390x,Cloud DevOps Container,https://www.alpinelinux.org,https://gitlab.alpinelinux.org/alpine/aports,Minimal Linux for containers. Default base for billions of Docker images. PQC support via OpenSSL 3.x + liboqs-provider package in Alpine 3.20+.,Open Source Community,Partially Verified,2026-03-04,"assess,plan",crypto-dev-apis;os-pqc;tls-basics;vpn-ssh-pqc,VND-209
FreeBSD,CSC-031,Operating Systems,OS,Partial (via ports),"FreeBSD uses OpenSSL as its base cryptographic library and ships OpenSSL 3.x in FreeBSD 14+. PQC support available via the security/liboqs and security/oqs-provider ports. The FreeBSD kernel crypto API does not natively support PQC algorithms. Used extensively in networking appliances (Netflix CDN, WhatsApp), embedded systems, and NAS devices.",Open Source,BSD-2-Clause,14.2,2024-12,No,Medium,x86-64 ARM64 RISC-V,Networking Cloud Embedded,https://www.freebsd.org,https://github.com/freebsd/freebsd-src,Production UNIX OS powering Netflix CDN and networking appliances. PQC available via liboqs ports on top of OpenSSL 3.x in FreeBSD 14+.,Open Source Foundation,Partially Verified,2026-03-04,"assess,plan",crypto-dev-apis;energy-utilities-pqc;os-pqc;tls-basics;vpn-ssh-pqc;web-gateway-pqc,VND-201
openSUSE Leap,CSC-031,Operating Systems,OS,Partial (via OpenSSL 3.x),openSUSE Leap 15.6+ ships OpenSSL 3.1.x with PQC provider support. SUSE's quantum-safe initiative includes crypto-policies integration for system-wide PQC configuration. openSUSE is the upstream for SUSE Linux Enterprise Server. liboqs-provider is available via the security repository.,Open Source,GPL-2.0 / Various,15.6,2024-06,No,Medium,x86-64 ARM64,Enterprise Government Cloud,https://www.opensuse.org,https://github.com/openSUSE,Community Linux distribution and SLES upstream. OpenSSL 3.x base enables PQC via provider mechanism. SUSE quantum-safe initiative drives roadmap.,Open Source Community,Partially Verified,2026-03-25,assess,crypto-dev-apis;migration-program;os-pqc;tls-basics;vpn-ssh-pqc,VND-227
Rocky Linux,CSC-031,Operating Systems,OS,Partial (via OpenSSL 3.x + crypto-policies),Rocky Linux 9+ ships OpenSSL 3.x with system-wide crypto-policies framework inherited from RHEL 9. The FUTURE crypto-policy enables stricter algorithms; PQC policy extension is in development aligned with Red Hat's roadmap. liboqs packages available via EPEL/community repositories. Rocky Linux mirrors RHEL's PQC timeline.,Open Source,Various (RHEL-compatible),9.5,2024-11,No,High,x86-64 ARM64,Enterprise Government Finance,https://rockylinux.org,https://github.com/rocky-linux,RHEL-compatible enterprise Linux. OpenSSL 3.x + crypto-policies for system-wide PQC configuration. Mirrors Red Hat quantum-safe timeline.,Open Source Community,Partially Verified,2026-03-04,"assess,plan",crypto-dev-apis;os-pqc;tls-basics;vpn-ssh-pqc,VND-210
CentOS Stream,CSC-031,Operating Systems,OS,Partial (via OpenSSL 3.x + crypto-policies),"CentOS Stream 9/10 is the upstream development platform for RHEL, shipping OpenSSL 3.x with crypto-policies integration. Experimental PQC features appear in CentOS Stream before RHEL GA. ML-KEM and ML-DSA accessible via liboqs-provider. Acts as preview for RHEL quantum-safe features.",Open Source,GPL-2.0 / Various,Stream 10,2024-12,No,Medium,x86-64 ARM64,Enterprise Development,https://centos.org/centos-stream/,https://gitlab.com/redhat/centos-stream,RHEL upstream. PQC features preview in CentOS Stream before RHEL GA. OpenSSL 3.x + crypto-policies base for system-wide quantum-safe configuration.,Open Source Community,Partially Verified,2026-03-04,assess,crypto-dev-apis;os-pqc;tls-basics;vpn-ssh-pqc,VND-032
ChromeOS,CSC-031,Operating Systems,OS,Yes (ML-KEM in TLS via Chrome),"ChromeOS (160M+ devices) inherits ML-KEM-768 hybrid TLS 1.3 key exchange from the Chrome browser (enabled by default since v124, 2024). Google's Verified Boot uses SHA-256/RSA for firmware signing — a migration target for ML-DSA. ChromeOS Flex extends PQC TLS to enterprise repurposed hardware. System-level PQC beyond TLS depends on BoringSSL integration.",Open Source/Commercial,BSD / Proprietary (Google),132,2025-02,No,High,x86-64 ARM,Education Enterprise Consumer Government,https://chromeos.google,https://chromium.googlesource.com/chromiumos,Google OS on 160M+ Chromebooks. ML-KEM hybrid TLS active via Chrome since v124. Secure boot signing migration to ML-DSA is a future roadmap item.,Trusted Vendor,Partially Verified,2026-03-04,"assess,plan",migration-program;os-pqc;secure-boot-pqc;tls-basics,VND-018
NixOS,CSC-031,Operating Systems,OS,Partial (via nixpkgs liboqs),NixOS is a declarative Linux distribution with reproducible builds. nixpkgs includes liboqs and oqs-provider packages enabling ML-KEM/ML-DSA via OpenSSL 3.x provider. The declarative configuration model enables system-wide PQC policy enforcement through Nix modules. Reproducible builds assist in PQC migration auditability.,Open Source,MIT,24.11,2024-11,No,Low,x86-64 ARM64,Development Research Cloud,https://nixos.org,https://github.com/NixOS/nixpkgs,Declarative reproducible Linux. liboqs + oqs-provider in nixpkgs enables ML-KEM/ML-DSA. Reproducible builds aid PQC migration audit trail.,Open Source Community,Partially Verified,2026-03-04,assess,crypto-dev-apis;migration-program;os-pqc;tls-basics;vpn-ssh-pqc,VND-211
SUSE Linux Enterprise Server (SLES),CSC-031,Operating Systems,OS,Planned (SLES 16),SUSE Linux Enterprise Server 15 SP6 ships OpenSSL 3.x with FIPS 140-3 certified module. SLES 16 (roadmap 2026) includes native PQC algorithm support via crypto-policies and a quantum-safe system profile. SUSE's quantum-safe initiative targets enterprise workloads requiring ML-KEM for TLS and ML-DSA for package signing.,Commercial,Commercial (SUSE),15 SP6,2024-06,"Yes (FIPS 140-3, OpenSSL module)",High,x86-64 ARM64 s390x,Enterprise Finance Government SAP,https://www.suse.com/products/server/,,Enterprise Linux with FIPS 140-3 OpenSSL. SLES 16 roadmap includes native PQC system profiles. Critical for SAP HANA and regulated enterprise workloads.,Trusted Vendor,Partially Verified,2026-03-04,"assess,plan",compliance-strategy;crypto-dev-apis;migration-program;os-pqc;tls-basics;vpn-ssh-pqc,VND-040
Arch Linux,CSC-031,Operating Systems,OS,Partial (via AUR liboqs),Arch Linux is a rolling-release distribution shipping current OpenSSL (3.4.x as of 2025). The liboqs and oqs-provider packages are available in the AUR (Arch User Repository). Arch's rolling model means PQC library updates propagate quickly. Popular in research and development environments. No system-wide PQC crypto policy framework.,Open Source,Various,Rolling,,No,Low,x86-64 ARM64,Development Research,https://archlinux.org,https://github.com/archlinux,Rolling-release Linux with current OpenSSL. liboqs available via AUR. Fast PQC library propagation benefits developers and researchers.,Open Source Community,Partially Verified,2026-03-04,assess,crypto-dev-apis;os-pqc;tls-basics;vpn-ssh-pqc,VND-212
Delinea Secret Server,CSC-053,Secrets Management,Security Stack,Planned,Delinea Secret Server is an enterprise privileged access management (PAM) solution for credential vaulting and session management. Relies on AES-256 for secret encryption and TLS for transport. PQC migration requires TLS upgrade (ML-KEM hybrid) and key encryption layer update. Delinea has not published a specific PQC timeline as of Q1 2026.,Commercial,Commercial (Delinea),,,No,High,Windows Cloud,Finance Healthcare Enterprise Government,https://delinea.com/products/secret-server,,Enterprise PAM credential vault. AES-256 secrets storage + classical TLS. PQC migration requires transport and key encryption layer upgrade.,Trusted Vendor,Needs Verification,2026-03-04,assess,healthcare-pqc;kms-pqc;migration-program;secrets-management-pqc,VND-170
BeyondTrust Privilege Management,CSC-042,Identity & Access Management (IAM),Security Stack,Planned,"BeyondTrust Privilege Management provides endpoint PAM, privileged remote access, and password management. Cryptographic operations rely on TLS 1.3 for transport and AES-256 for credential storage. PQC roadmap tied to underlying platform TLS library upgrades. No dedicated PQC timeline published.",Commercial,Commercial (BeyondTrust),,,No,High,Windows Linux macOS Cloud,Finance Government Healthcare Enterprise,https://www.beyondtrust.com/products/privilege-management,,Enterprise endpoint PAM and remote access. PQC migration depends on TLS library upgrade. No dedicated PQC roadmap published as of Q1 2026.,Trusted Vendor,Needs Verification,2026-03-04,assess,crypto-dev-apis;healthcare-pqc;iam-pqc;migration-program,VND-160
JumpCloud Directory Platform,CSC-042,Identity & Access Management (IAM),Security Stack,Planned,"JumpCloud is a cloud-based directory platform offering LDAP, RADIUS, SSO, MDM, and device management. All communications use TLS 1.3. PQC migration requires ML-KEM hybrid for all RADIUS/LDAP/TLS connections. JumpCloud has engaged in NIST PQC working groups. No GA PQC release announced as of Q1 2026.",Commercial,Commercial (JumpCloud),,,No,High,Cloud (SaaS),SMB Enterprise Technology,https://jumpcloud.com,,Cloud directory platform replacing on-prem Active Directory. PQC migration needed for all LDAP/RADIUS/TLS communications. No GA PQC release as of Q1 2026.,Trusted Vendor,Needs Verification,2026-03-04,assess,iam-pqc;migration-program,VND-175
Teleport Access Platform,CSC-042,Identity & Access Management (IAM),Security Stack,Partial (Go ML-KEM TLS via Go 1.23+),"Teleport provides zero-trust access for SSH, Kubernetes, databases, and web applications using certificate-based mTLS. Built on Go's crypto/tls which tracks upstream Go PQC support. Teleport 16+ targets ML-KEM hybrid TLS when Go's standard library enables it. Certificate issuance (X.509) will need ML-DSA migration.",Open Source/Commercial,Apache 2.0 / Commercial,17.x,,No,High,Linux macOS Windows Cloud,Technology Finance Cloud,https://goteleport.com,https://github.com/gravitational/teleport,Zero-trust access platform for SSH/K8s/databases. PQC via Go stdlib ML-KEM support. Certificate issuance requires ML-DSA migration.,Open Source/Commercial,Partially Verified,2026-03-25,"assess,plan",iam-pqc;migration-program;vpn-ssh-pqc,VND-184
HashiCorp Boundary,CSC-053,Secrets Management,Security Stack,Planned,HashiCorp Boundary is a privileged access management tool for dynamic infrastructure using identity-based access. Uses mTLS for all control plane and data plane communications. PQC roadmap aligned with HashiCorp's broader Vault PQC initiative. ML-KEM hybrid TLS planned when Go standard library supports it by default.,Open Source/Commercial,BSL 1.1 / Commercial,0.18.x,,No,High,Linux macOS Windows Cloud,Technology Finance Cloud Enterprise,https://www.boundaryproject.io,https://github.com/hashicorp/boundary,Identity-based privileged access for dynamic infrastructure. PQC via HashiCorp portfolio roadmap — ML-KEM hybrid TLS when Go stdlib enables it.,Open Source/Commercial,Partially Verified,2026-03-25,assess,kms-pqc;migration-program;secrets-management-pqc,VND-058
Cloudflare Zero Trust,CSC-049,Cryptographic Discovery Platforms,Security Stack,Yes (ML-KEM hybrid TLS),"Cloudflare Zero Trust (formerly Cloudflare Access + Gateway) provides secure web gateway, CASB, and remote access. Cloudflare enabled ML-KEM-768 hybrid TLS 1.3 on its global network in 2024. Cloudflare WARP client supports PQC-protected tunnels. Cloudflare is a leader in real-world PQC deployment — 20%+ of TLS connections use ML-KEM hybrid.",Commercial,Commercial (Cloudflare),,,No,High,Cloud (SaaS) Windows macOS Linux iOS Android,Enterprise Technology Finance Healthcare,https://www.cloudflare.com/zero-trust/,,Zero-trust network access with ML-KEM hybrid TLS active on Cloudflare's global network. WARP client provides PQC-protected tunnels. Production PQC at global scale.,Trusted Vendor,Verified,2026-03-04,"test,migrate",arch-quantum-impact;healthcare-pqc;network-security-pqc;tls-basics;vpn-ssh-pqc;web-gateway-pqc,VND-057
Zscaler Zero Trust Exchange,CSC-049,Cryptographic Discovery Platforms,Security Stack,Planned,"Zscaler Zero Trust Exchange (ZTE) provides cloud-native secure internet access, private access (ZTNA), and digital experience monitoring. All traffic flows through Zscaler's proxy. PQC migration requires ML-KEM for TLS interception infrastructure and ML-DSA for certificate chain. Zscaler has engaged in NIST PQC working groups but has not announced GA PQC dates.",Commercial,Commercial (Zscaler),,,No,Critical,Cloud (SaaS),Enterprise Finance Government Healthcare,https://www.zscaler.com/products/zscaler-zero-trust-exchange,,Cloud-native SASE platform with TLS inspection at scale. PQC migration critical — handles TLS interception for millions of enterprise users. No GA PQC date published.,Trusted Vendor,Needs Verification,2026-03-04,"assess,plan",arch-quantum-impact;healthcare-pqc;migration-program;network-security-pqc;tls-basics;vpn-ssh-pqc;web-gateway-pqc,VND-190
Splunk Enterprise,CSC-049,Cryptographic Discovery Platforms,Security Stack,No,"Splunk Enterprise is the leading SIEM/observability platform. Splunk can ingest and analyze cryptographic inventory data (TLS versions, cipher suites, certificate expiry) to support PQC migration planning. Splunk itself communicates over TLS 1.3 (classical). No PQC algorithm support in Splunk core. The Splunk Security Essentials app can be configured for PQC readiness dashboards.",Commercial,Commercial (Cisco/Splunk),9.4,2025-01,No,High,Linux Windows Cloud,Finance Government Healthcare Technology Defense,https://www.splunk.com/en_us/products/splunk-enterprise.html,,Leading SIEM platform. Valuable for PQC migration planning via cryptographic inventory dashboards. Core Splunk communications are classical TLS — no native PQC.,Trusted Vendor,Partially Verified,2026-03-04,"assess,plan",aerospace-pqc;arch-quantum-impact;crypto-agility;healthcare-pqc;migration-program;ops-quantum-impact;platform-eng-pqc,VND-183
Elastic Stack (ELK),CSC-049,Cryptographic Discovery Platforms,Security Stack,No,"Elastic Stack (Elasticsearch, Logstash, Kibana) is an open-source SIEM and observability platform. Like Splunk, Elastic can serve as a PQC migration observability layer — ingesting TLS handshake logs, certificate data, and cipher suite analytics. Elastic itself uses TLS 1.3 (classical) for node-to-node and client communications. No PQC algorithm support.",Open Source/Commercial,Elastic License 2.0 / Apache 2.0,8.17,2025-01,No,Medium,Linux Windows macOS Cloud,Technology Finance Healthcare Government,https://www.elastic.co/elastic-stack,https://github.com/elastic,Open-source SIEM and observability. Useful as PQC migration monitoring layer for TLS/cipher analytics. Core communications are classical TLS — no native PQC.,Open Source/Commercial,Partially Verified,2026-03-04,"assess,plan",arch-quantum-impact;healthcare-pqc;migration-program;ops-quantum-impact;platform-eng-pqc,VND-172
Suricata IDS/IPS,CSC-018,Cryptographic Protocol Analyzers,Security Stack,Planned (detection only),"Suricata is an open-source network threat detection engine supporting IDS, IPS, and NSM. PQC relevance is for TLS fingerprinting and detecting PQC cipher suites in network traffic. Suricata 8.x development includes detection rules for ML-KEM hybrid TLS handshakes and malformed PQC packets. Used by SOCs to monitor the PQC transition in enterprise networks.",Open Source,GPL-2.0,7.0.8,2025-01,No,Medium,Linux BSD,Technology Finance Government Defense,https://suricata.io,https://github.com/OISF/suricata,Open-source IDS/IPS. PQC role: detection rules for ML-KEM hybrid TLS handshakes in network traffic. Used by SOCs to monitor enterprise PQC migration.,Open Source Foundation,Needs Verification,2026-03-04,"assess,plan",aerospace-pqc;arch-quantum-impact;migration-program;network-security-pqc;research-quantum-impact,VND-204
Zeek Network Analysis Framework,CSC-018,Cryptographic Protocol Analyzers,Security Stack,Partial (detection),"Zeek (formerly Bro) is a network analysis framework used for TLS/SSL inspection, DNS monitoring, and protocol analysis. Zeek 6.x includes TLS fingerprinting for ML-KEM hybrid cipher suites. SOC teams use Zeek to detect PQC algorithm negotiation in TLS handshakes and monitor migration progress. Does not implement PQC algorithms itself.",Open Source,BSD-3-Clause,7.0,2024-10,No,Medium,Linux BSD macOS,Finance Government Defense Technology,https://zeek.org,https://github.com/zeek/zeek,Network analysis framework for TLS/protocol inspection. PQC role: detect ML-KEM hybrid cipher suites in TLS handshakes. Monitors enterprise PQC migration progress.,Open Source Foundation,Partially Verified,2026-03-25,"assess,plan",aerospace-pqc;arch-quantum-impact;migration-program;network-security-pqc;research-quantum-impact,VND-203
Tenable Nessus Professional,CSC-018,Cryptographic Protocol Analyzers,Security Stack,Partial (assessment plugins),"Tenable Nessus is the world's most widely deployed vulnerability scanner. PQC relevance: Nessus includes plugins for TLS cipher suite enumeration, weak algorithm detection, and certificate analysis. Tenable One (enterprise) includes cryptographic inventory capabilities for PQC migration readiness assessment. Nessus itself communicates via classical TLS.",Commercial,Commercial (Tenable),10.8,2025-01,No,High,Linux Windows macOS,Finance Government Healthcare Enterprise Defense,https://www.tenable.com/products/nessus,,Leading vulnerability scanner with TLS/cipher suite assessment plugins. Used for PQC migration readiness scans. Tenable One provides enterprise-scale cryptographic inventory.,Trusted Vendor,Partially Verified,2026-03-04,assess,aerospace-pqc;arch-quantum-impact;exec-quantum-impact;healthcare-pqc;migration-program;network-security-pqc;ops-quantum-impact;pqc-risk-management;research-quantum-impact,VND-185
Rapid7 InsightVM,CSC-018,Cryptographic Protocol Analyzers,Security Stack,Partial (TLS assessment),Rapid7 InsightVM is a vulnerability management and risk scoring platform. InsightVM includes TLS/SSL configuration assessment and certificate management visibility. The InsightVM Quantum Readiness dashboard (announced 2025) maps cryptographic dependencies across the enterprise. InsightIDR (SIEM component) supports PQC algorithm detection in network logs.,Commercial,Commercial (Rapid7),,,No,High,Cloud (SaaS) On-Premises,Finance Healthcare Government Enterprise,https://www.rapid7.com/products/insightvm/,,Vulnerability management with quantum readiness dashboard. Maps cryptographic dependencies for PQC migration planning. TLS/cert assessment across enterprise endpoints.,Trusted Vendor,Partially Verified,2026-03-25,assess,arch-quantum-impact;crypto-dev-apis;exec-quantum-impact;healthcare-pqc;migration-program;network-security-pqc;ops-quantum-impact;pqc-risk-management;research-quantum-impact,VND-165
Qualys Cloud Platform,CSC-018,Cryptographic Protocol Analyzers,Security Stack,Partial (SSL/TLS inventory),"Qualys Cloud Platform provides continuous security monitoring, vulnerability management, and compliance assessment. Qualys SSL Labs (free) and Qualys VM Enterprise include TLS cipher suite grading, certificate inventory, and weak algorithm detection. Useful for PQC migration baseline assessment. Qualys has not published PQC-specific detection capabilities as of Q1 2026.",Commercial,Commercial (Qualys),,,No,High,Cloud (SaaS),Finance Healthcare Government Enterprise,https://www.qualys.com/apps/vulnerability-management-detection-response/,,Cloud-native vulnerability management. SSL Labs provides public TLS cipher grading. Enterprise VM provides cryptographic inventory for PQC migration baseline.,Trusted Vendor,Partially Verified,2026-03-25,assess,arch-quantum-impact;healthcare-pqc;migration-program;ops-quantum-impact;pqc-risk-management;research-quantum-impact,VND-164
Google Workspace Identity,CSC-042,Identity & Access Management (IAM),Security Stack,Partial (ML-KEM in transport),"Google Workspace Identity includes SSO, SAML, OAuth 2.0, and LDAP services for enterprise users. Google's infrastructure already uses ML-KEM hybrid TLS on all Google services (enabled 2024). Authentication tokens and SAML assertions still use classical RSA/ECC signing. Google has not announced a specific ML-DSA migration timeline for identity tokens.",Commercial,Commercial (Google),,,Yes (FedRAMP High authorized),High,Cloud (Google),Enterprise Education Government,https://workspace.google.com/products/gmail/enterprise-security/,,Google enterprise identity. ML-KEM hybrid TLS active on all Google infrastructure. Identity token signing (SAML/OAuth) still classical — ML-DSA migration timeline pending.,Trusted Vendor,Partially Verified,2026-03-04,"assess,plan",iam-pqc;migration-program;tls-basics,VND-018
