reference_id,document_title,download_url,initial_publication_date,last_update_date,last_verified,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,free_summary_url,access_type,local_file,module_ids,misc_info,trusted_source_id,peer_reviewed,vetting_body,github_contribution_url,download_url_quality,trusted_source_id_status,data_quality_notes,confidence_score,status,deprecated_at,deprecated_reason,pqc_heatmap_protocols,pqc_heatmap_protocols_evidence,math_family,pqc_round,lifecycle_state,superseded_by,purpose
NIST IR 8105,Report on Post-Quantum Cryptography,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8105.pdf,2016-04-28,2016-04-28,2026-08-11,Final,Foundational NIST report examining quantum computing threats to current cryptographic standards. Outlines the need for and announces the PQC standardization initiative that produced FIPS 203/204/205.,Industry Report,IT; Government; Cryptography Research,NIST,,US;PQC-REGION-GLOBAL,,,PQC standardization planning,Reference,Medium,New,NIST Standards,yes,,,library/NIST_IR_8105.pdf,pqc-101; quantum-threats; slh-dsa; pqc-candidates; research-quantum-impact,NIST PQC standardization origin document,nist-csrc,partial,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,Lattice; Code-based; Multivariate; Hash-based,Not Applicable,,,
NIST IR 8309,Status Report on the Second Round of the NIST Post-Quantum Cryptography Standardization Process,https://csrc.nist.gov/pubs/ir/8309/final,2020-07-22,2020-07-22,2026-08-11,Final,"Evaluates 26 second-round candidate algorithms and selects 7 finalists (CRYSTALS-Kyber/Dilithium, FALCON, NTRU, SABER, Classic McEliece, SPHINCS+) plus 8 alternates for Round 3.",Industry Report,IT; Cryptography Research,NIST,,US;PQC-REGION-GLOBAL,Lattice; Code-based; Hash-based; Multivariate; Isogeny,Various,PQC algorithm evaluation,Reference,Low,New,NIST Standards,yes,,,library/NIST_IR_8309.pdf,pqc-101;quantum-threats;research-quantum-impact;pqc-candidates,PQC Round 2 status report,nist-csrc,partial,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,Lattice; Code-based; Hash-based; Multivariate; Symmetric,Round 2,,,
NIST IR 8413,Status Report on the Third Round of the NIST Post-Quantum Cryptography Standardization Process,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,2022-07-05,2022-09-29,2026-08-11,Final,"Documents selection of CRYSTALS-Kyber (ML-KEM), CRYSTALS-Dilithium (ML-DSA), FALCON (FN-DSA), and SPHINCS+ (SLH-DSA) for standardization. Advances HQC, BIKE, Classic McEliece, and SIKE to Round 4.",Industry Report,IT; Cryptography Research,NIST,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545,US;PQC-REGION-GLOBAL,Lattice; Code-based; Hash-based; Isogeny,Various,PQC algorithm selection,Reference,Medium,New,NIST Standards,yes,,,library/NIST_IR_8413.pdf,pqc-101;quantum-threats;research-quantum-impact;slh-dsa;pqc-candidates,Updated September 2022 (errata),nist-csrc,partial,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,"Lattice; Code-based; Hash-based; Isogeny; Multivariate (implied by Rainbow reference, though Rainbow was broken/withdrawn, the family is discussed in context of candidates)",Round 3,,,
NIST CSWP 39,Considerations for Achieving Cryptographic Agility,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.39-upd1.pdf,2025-12-19,2026-06-29,,Final,"Strategies and practices for cryptographic agility — the ability to replace and adapt cryptographic algorithms in protocols, applications, and infrastructure without disruption. Essential companion to the PQC transition.",Compliance Framework,IT; Government; Finance; Critical Infrastructure,NIST,NIST IR 8547;FIPS 203;FIPS 204;FIPS 205,US;PQC-REGION-GLOBAL,ML-KEM; ML-DSA; FIPS 204 (ML-DSA),,Enterprise cryptographic agility framework,Enterprise architecture tools,High,New,NIST Standards,yes,,,library/NIST_CSWP_39.pdf,arch-quantum-impact; crypto-agility; crypto-dev-apis; dev-quantum-impact; energy-utilities-pqc; network-security-pqc; ops-quantum-impact; platform-eng-pqc; pqc-governance; standards-bodies; cbom; crypto-mgmt-modernization; compliance-strategy; migration-program; pqc-business-case; pqc-risk-management; vendor-risk,NIST Cybersecurity White Paper,nist-csrc,partial,NIST,,url_authoritative,registered,"Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged. | Refreshed 2026-07-19 to Update 1 (DOI 10.6028/NIST.CSWP.39-upd1, verified against the real PDF): Appendix C documents the only substantive change (Section 2.3 para 3, adds SP 800-131Ar3 alongside IR 8547 for the CRQC-driven transition strategy) -- section numbering elsewhere unchanged, so existing section-citation verifications still hold. Original Dec 19 2025 URL now serves a withdrawal notice.",60,active,,,,,,,,,
NIST NCCoE SP 1800-38A,Migration to Post-Quantum Cryptography: Preparation for Considering the Implementation and Adoption of Quantum Safe Cryptography,https://www.nccoe.nist.gov/sites/default/files/2023-04/pqc-migration-nist-sp-1800-38a-preliminary-draft.pdf,2023-04,2023-04-01,2026-08-11,Preliminary Draft Practice Guide,Volume A — Executive summary and business case for enterprise PQC migration. Frames the challenge of transitioning to quantum-resistant cryptography and outlines the NCCoE migration project scope.,Government Guidance,Enterprise IT; Government; Finance,NIST NCCoE,NIST NCCoE SP 1800-38C;NIST IR 8547,US,,,Enterprise PQC migration roadmap,Reference,High,New,NIST Standards,yes,,,library/NIST_NCCoE_SP_1800-38A.pdf,arch-quantum-impact;exec-quantum-impact;migration-program;pqc-business-case;crypto-mgmt-modernization;standards-bodies;cbom;verification-closure,SP 1800-38 Volume A,nist-csrc,partial,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,,,,,
NIST NCCoE SP 1800-38B,Migration to Post-Quantum Cryptography: Quantum Readiness — Cryptographic Discovery,https://www.nccoe.nist.gov/sites/default/files/2023-12/pqc-migration-nist-sp-1800-38b-preliminary-draft.pdf,2023-12-01,2023-12-19,2026-08-12,Preliminary Draft Practice Guide,Volume B — Tools and techniques for cryptographic discovery. Guides organizations in identifying quantum-vulnerable cryptography across their environments as the first step in PQC migration.,Government Guidance,Enterprise IT; Government; Finance,NIST NCCoE,NIST NCCoE SP 1800-38A;NIST NCCoE SP 1800-38C;NIST IR 8547,US,,,Cryptographic discovery and inventory,Discovery and inventory tools,High,New,NIST Standards,yes,,,library/NIST_NCCoE_SP_1800-38B.pdf,arch-quantum-impact;crypto-agility;migration-program;ops-quantum-impact;crypto-mgmt-modernization;pqc-testing-validation;standards-bodies;cbom,SP 1800-38 Volume B,nist-csrc,partial,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,,,,,
NIST CSWP 48,Mappings of Migration to PQC Project Capabilities to Risk Framework Documents,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.48.ipd.pdf,2025-09-18,2025-09-18,2026-08-11,Initial Public Draft,"Maps NCCoE PQC Migration project capabilities to NIST Cybersecurity Framework 2.0 (CSF 2.0) and SP 800-53 security controls, helping organizations align PQC migration efforts with established risk management frameworks and identify controls needed for successful PQC migration.",Compliance Framework,IT; Government; Finance; Critical Infrastructure,NIST NCCoE,NIST IR 8547;NIST NCCoE SP 1800-38A;NIST NCCoE SP 1800-38B;NIST NCCoE SP 1800-38C,US;PQC-REGION-GLOBAL,,,Risk management framework alignment,Reference,High,New,NIST Standards,yes,,,library/NIST_CSWP_48.pdf,compliance-strategy;migration-program;pqc-governance;pqc-risk-management;standards-bodies;crypto-mgmt-modernization;data-asset-sensitivity;cbom;verification-closure,NIST Cybersecurity White Paper; CSF 2.0; SP 800-53,nist-csrc,partial,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,,,,,
RFC 9420,The Messaging Layer Security (MLS) Protocol,https://www.rfc-editor.org/rfc/rfc9420.html,2023-07,2023-07-01,2026-08-11,Proposed Standard,Key establishment protocol for efficient asynchronous group key establishment with forward secrecy and post-compromise security for groups of two to thousands. Uses HPKE tree-based key encapsulation (TreeKEM). Foundation for PQC group messaging via draft-ietf-mls-pq-ciphersuites (ML-KEM + hybrid KEMs).,RFC,Messaging; Enterprise Collaboration; Social Media,IETF MLS,FIPS 203;RFC 8446,PQC-REGION-GLOBAL,,,End-to-end encrypted group messaging,OpenMLS; MLS++; AWS Wickr,Medium,New,Protocols,yes,,,library/RFC_9420.html,crypto-agility;ai-security-pqc;mls-group-messaging,,ietf,partial,IETF,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,,,,,
Europol-FS-ISAC-PQC-Financial-2026,Prioritising Post-Quantum Cryptography Migration Activities in Financial Services,https://www.europol.europa.eu/cms/sites/default/files/documents/Post-quantum-cryptography-report.pdf,2026,2026-01-01,2026-08-12,Published,"Europol, FS-ISAC, and QSFF joint guidance for financial institutions on prioritising PQC migration. Introduces a Quantum Risk Score framework covering shelf life of data, exposure, and severity. Provides migration complexity assessment and cryptographic antipattern identification for financial sector risk management.",Industry Report,Finance & Banking; Government & Defense,Europol; FS-ISAC; Quantum Safe Financial Forum,Europol-QSFF-Call-to-Action-2025;FIPS 203;FIPS 204;NIST IR 8547,PQC-REGION-EU,Lattice-based; Hash-based,,TLS; X.509; HSM,Financial institution cryptographic infrastructure,High,New,Industry & Research,yes,,,library/Europol-FS-ISAC-PQC-Financial-2026.pdf,compliance-strategy;emv-payment-pqc;migration-program;pqc-business-case;pqc-risk-management,Quantum Risk Score; HNDL; FS-ISAC; QSFF; cryptographic antipatterns,enisa,no,,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,,,,,
HSBC-InfoSecGlobal-Thales-CryptographicInventory-2025,"Cryptographic Inventory: Deriving Value Today, Preparing for Tomorrow",https://www.ventures.hsbc.com/-/media/ventures/250602-cryptographic-inventory-deriving-value-today-preparing-for-tomorrow-2025.pdf,2025-06-02,2025-06-02,2026-08-12,Published,"Joint industry whitepaper from HSBC, InfoSec Global (Keyfactor), and Thales covering Ten Strategic Principles for cryptographic inventory. Presents the business case for proactive cryptographic discovery, CBOM generation methodology, crypto agility frameworks, and enterprise case studies for PQC migration readiness planning.",Government Guidance,Finance; Enterprise IT; Government; Critical Infrastructure,HSBC; InfoSec Global (Keyfactor); Thales; Blair Canavan (Thales); Dr. Vladimir Soukharev (InfoSec Global),NIST NCCoE SP 1800-38A;NIST NCCoE SP 1800-38B;NIST CSWP 48,PQC-REGION-GLOBAL,,,Cryptographic discovery; CBOM,Cryptographic discovery tools; PQC migration planning,High,New,Migration Guidance,yes,,,library/250602-cryptographic-inventory-deriving-value-today-preparing-for-tomorrow-2025.pdf,migration-program;crypto-agility;pqc-business-case;pqc-governance;pqc-testing-validation;arch-quantum-impact;crypto-mgmt-modernization;emv-payment-pqc;platform-eng-pqc;vendor-risk,CBOM; Cryptographic inventory; Crypto agility; Ten Strategic Principles,,partial,,,downloadable,unregistered,"Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged. | Authorship correction (2026-07-30): authors_or_organization only listed the 3 sponsoring companies. Fetched the source article directly -- its actual byline credits 'Blair Canavan, Thales' and 'Dr. Vladimir Soukharev, InfoSec Global' -- added both individuals. Surfaced by the new leaders/library authorship cross-check (validators.py::_emit_leaders_authorship_crosscheck), which had flagged the corresponding leaders rows as cited-but-not-credited. Attribution corrected 2026-08-22: trusted_source_id was ""ec"" (European Commission) on a document from HSBC/InfoSecGlobal/Thales, on hsbc.com. No id exists for that body, so the field is BLANK rather than invented — a discover-trusted-sources-web gap, per the rule that a wrong id is worse than none.",60,active,,,,,,,,,
NIST-IR-8528,Status Report on the First Round of the Additional Digital Signature Schemes for the NIST PQC Standardization Process,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8528.pdf,2024-10-24,2024-10-24,2026-08-11,Final,"Documents evaluation criteria and selection of 14 second-round candidates (CROSS, FAEST, HAWK, LESS, MAYO, Mirath, MQOM, PERK, QR-UOV, RYDE, SDitH, SNOVA, SQIsign, UOV) from 40 first-round submissions in NIST's additional PQC digital signature call.",Industry Report,IT; Cryptography Research,NIST,NIST IR 8413,US;PQC-REGION-GLOBAL,Various (lattice; multivariate; isogeny; code-based; MPC; symmetric),"L1,L3,L5",Future additional signature standards,Reference,Low,New,Digital Signature,yes,,,library/NIST_IR_8528.pdf,pqc-101;quantum-threats;research-quantum-impact;pqc-candidates,Additional Digital Signatures; Round 2 candidates,nist-csrc,partial,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,Code-based; Lattice; Multivariate; Isogeny; MPC-in-the-Head; Symmetric,Round 2,,,
NIST-SP-800-232,Ascon-Based Lightweight Cryptography Standards for Constrained Devices,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-232.pdf,2025-08-13,2025-08-13,2026-08-11,Final,"NIST lightweight cryptography standard based on the Ascon algorithm family. Specifies Ascon-AEAD128 (authenticated encryption), Ascon-Hash256 (hash), and Ascon-XOF128/CXOF128 (extendable output functions) for constrained IoT and embedded devices.",Reference,IoT; Embedded Systems; Critical Infrastructure,NIST,,US;PQC-REGION-GLOBAL,Permutation-based (Ascon),L1,Lightweight AEAD and hashing for constrained devices,Reference implementations available,Medium,New,NIST Standards,yes,,,library/NIST_SP_800-232.pdf,iot-ot-pqc;5g-security,Ascon; Lightweight Cryptography; NIST LWC Competition,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,,,,,
DoD-CIO-PQC-Memo-2025,DoD CIO Memorandum — Preparing for Migration to Post Quantum Cryptography,https://dodcio.defense.gov/Portals/0/Documents/Library/PreparingForMigrationPQC.pdf,2025-11-20,2025-11-20,2026-08-11,Final,DoD CIO directive requiring all Pentagon components to inventory cryptography across all information systems. Establishes two-gate PQC approval process (intake + deployment). Sets Dec 2030 deadline for PSK replacement. Bans QKD on DoD networks.,Compliance Framework,Government & Defense,DoD CIO (Katie Arrington),NSM-10;OMB-M-23-02;FIPS 203;FIPS 204;FIPS 205,US,,,DoD cryptographic inventory and PQC procurement,Federal systems,High,New,Government & Policy,yes,,,library/DoD-CIO-PQC-Memo-2025.pdf,compliance-strategy;migration-program;pqc-governance;pqc-risk-management;qkd;standards-bodies;crypto-agility,Two-gate approval; QKD banned on DoD; 2030 PSK deadline,nsa-media,no,,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,,,,,
GSA-PQC-Buyers-Guide-2025,GSA Post-Quantum Cryptography Buyer's Guide,https://buy.gsa.gov/api/system/files/documents/final-508c-pqc_buyer-s_guide_2025.pdf,2025-06,2025-06-01,2026-08-11,Published,"GSA Federal Acquisition Service guide for federal agencies procuring PQC-capable products. Covers PQC planning and implementation use cases, Quantum Security-as-a-Service (QSaaS), Quantum SD-WAN, and PQC + Zero Trust Architecture integration.",Government Guidance,Federal Government; Critical Infrastructure,GSA Federal Acquisition Service,NSM-10;OMB-M-23-02;EO-14306;CISA-PQC-CATEGORY-LIST-2026,US,FIPS 204 (ML-DSA); FIPS 205 (SLH-DSA),,Federal PQC procurement guidance,Federal agencies,High,New,Government & Policy,yes,,,library/GSA-PQC-Buyers-Guide-2025.pdf,compliance-strategy;pqc-governance;pqc-business-case;vendor-risk;network-security-pqc;standards-bodies,QSaaS; Quantum SD-WAN; Zero Trust + PQC,gsa-us,partial,,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,,,,,
CISA-Bad-Practices-PQC-2025,CISA/FBI Product Security Bad Practices (Updated — PQC Recommendation),https://www.cisa.gov/resources-tools/resources/product-security-bad-practices,2025-01-17,2025-01-17,2026-08-12,Published (Updated),Updated voluntary CISA/FBI guidance for software manufacturers. Bad Practice #7 (Cryptographic Weaknesses) explicitly recommends manufacturers begin supporting standardized PQC algorithms consistent with NIST guidance and avoid deprecated algorithms.,Government Guidance,Software Development; IT; All Sectors,CISA; FBI,FIPS 203;FIPS 204;FIPS 205,US;PQC-REGION-GLOBAL,,,Software product security requirements,Software manufacturers,Medium,New,Government & Policy,yes,,,library/CISA-Bad-Practices-PQC-2025.html,compliance-strategy;crypto-agility;exec-quantum-impact;pqc-governance;vendor-risk,Bad Practice #7; Product security; Software manufacturers,cisa,partial,CISA,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,,,,,
NIST SP 800-90,Recommendation for Random Number Generation Using Deterministic Random Bit Generators,https://csrc.nist.gov/publications/detail/sp/800-90a/rev-1/final,2015-06-01,2015-06-01,,Published,Recommendation for Random Number Generation Using Deterministic Random Bit Generators,Reference,IT; Cryptography Research,NIST,,US;PQC-REGION-GLOBAL,,,,Reference,Low,New,Algorithm Specifications,yes,,,library/NIST_SP_800-90.pdf,,,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,deprecated,2026-06-06,superseded by NIST SP 800-90A (revision consolidation 2026-06-06),,,,,,NIST-SP-800-90A-R1,
IETF RFC 9763,Related Certificates for Giving Expression to Multiple Algorithm Trust,https://www.rfc-editor.org/rfc/rfc9763,2025-02-01,2025-02-01,,Published,Related Certificates for Giving Expression to Multiple Algorithm Trust,RFC,IT; Cryptography Research,IETF,,PQC-REGION-GLOBAL,,,TLS; IKEv2; CMS; S/MIME,Reference,Low,New,Migration Guidance,yes,,,library/IETF_RFC_9763.html,hybrid-crypto;code-signing,,ietf,yes,IETF,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,deprecated,2026-06-06,superseded by RFC-9763 (revision consolidation 2026-06-06),,,,,,RFC-9763,
IETF RFC 7662,OAuth 2.0 Token Introspection,https://www.rfc-editor.org/rfc/rfc7662,2015-10-19,2015-10-01,2026-08-11,Published,This specification defines a method for protected resources to query an OAuth 2.0 authorization server to determine the active state and meta-information of an OAuth 2.0 token.,RFC,IT; Cryptography Research,IETF,,PQC-REGION-GLOBAL,,,OAuth 2.0,Reference,Low,New,Migration Guidance,yes,,,library/IETF_RFC_7662.html,iam-pqc; api-security-jwt,,ietf,yes,IETF,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,,,,,reference
draft-ietf-jose-pq-composite-sigs,PQ/T Hybrid Composite Signatures for JOSE and COSE,https://www.ietf.org/archive/id/draft-ietf-jose-pq-composite-sigs-01.html,2026-02-27,2026-02-27,2026-08-17,Internet-Draft (not an RFC),PQ/T Hybrid Composite Signatures for JOSE and COSE,Internet-Draft,IT; Cryptography Research,IETF,,PQC-REGION-GLOBAL,ML-DSA,,JOSE; JWT,Reference,Low,Updated,Digital Signature,yes,,,library/draft-ietf-jose-pq-composite-sigs.html,api-security-jwt;ai-security-pqc;crypto-dev-apis;hybrid-crypto;iam-pqc,,ietf,partial,IETF,,url_authoritative,registered,"JOSE-family draft, separate from LAMPS X.509 composite-sigs work. JOSE-family audit pending. | 2026-06-05: refreshed to latest version — draft-ietf-jose-pq-composite-sigs-01 (2026-02-27) Category normalised 2026-08-22: Hybrid PQ Signature Draft (JOSE) -> Digital Signature, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",60,active,,,,,,,Draft,,
NIST SP 800-88,Guidelines for Media Sanitization (Rev. 2),https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-88r2.pdf,2025-09,2025-09-26,2026-08-11,Published,"Guidelines for establishing a media sanitization program to ensure the confidentiality of information on storage media through clear, purge, and destroy methods.",Compliance Framework,IT; Cryptography Research,NIST,,US;PQC-REGION-GLOBAL,,,,Reference,Low,Updated,Government & Policy,yes,,,library/NIST_SP_800-88.pdf,data-asset-sensitivity; automotive-pqc; pqc-governance,,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged. | 2026-06-05: refreshed to latest version — SP 800-88 Rev. 2 (2025-09-26),85,active,,,,,,,,,
NIST SP 800-56A,Recommendation for Pair-Wise Key-Establishment Schemes Using Discrete Logarithm Cryptography,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-56Ar3.pdf,2018-04,2018-04-01,2026-08-11,Published,Recommendation for Pair-Wise Key-Establishment Schemes Using Discrete Logarithm Cryptography,Reference,IT; Cryptography Research,NIST,,US;PQC-REGION-GLOBAL,,,TLS,Reference,Low,New,Algorithm Specifications,yes,,,library/NIST_SP_800-56A.pdf,kms-pqc; hybrid-crypto; 5g-security; crypto-dev-apis,,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,,,,,
FIPS 199,Standards for Security Categorization of Federal Information and Information Systems,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.199.pdf,2004-02,2004-02-01,2026-08-11,Published,Standards for Security Categorization of Federal Information and Information Systems,Compliance Framework,IT; Cryptography Research,NIST,,US;PQC-REGION-GLOBAL,,,,Reference,Low,New,Government & Policy,yes,,,library/FIPS_199.pdf,data-asset-sensitivity; pqc-risk-management; compliance-strategy,,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,,,,,
NIST SP 800-37,Risk Management Framework for Information Systems and Organizations,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-37r2.pdf,2018-12,2018-12-01,2026-08-11,Published,Risk Management Framework for Information Systems and Organizations,Compliance Framework,IT; Cryptography Research,NIST,,US;PQC-REGION-GLOBAL,,,,Reference,Low,New,Government & Policy,yes,,,library/NIST_SP_800-37.pdf,pqc-risk-management; compliance-strategy; data-asset-sensitivity; verification-closure,,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,,,,,
NIST SP 800-66,Implementing the Health Insurance Portability and Accountability Act (HIPAA) Security Rule,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-66r2.pdf,2024-02,2008-10-01,2026-08-11,Published,Implementing the Health Insurance Portability and Accountability Act (HIPAA) Security Rule,Compliance Framework,IT; Cryptography Research,NIST,,US;PQC-REGION-GLOBAL,,,,Reference,Low,New,Government & Policy,yes,,,library/NIST_SP_800-66.pdf,healthcare-pqc; compliance-strategy; data-asset-sensitivity,,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,,,,,
NIST SP 800-218,Secure Software Development Framework (SSDF) Version 1.1,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf,2022-02,2022-02-01,2026-08-11,Published,Secure Software Development Framework (SSDF) Version 1.1,Compliance Framework,IT; Cryptography Research,NIST,,US;PQC-REGION-GLOBAL,,,,Reference,Low,New,Government & Policy,yes,,,library/NIST_SP_800-218.pdf,code-signing; platform-eng-pqc; data-asset-sensitivity,,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,,,,,
NIST SP 800-111,Guide to Storage Encryption Technologies for End User Devices,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-111.pdf,2007-11,2007-11-01,2026-08-11,Published,Guide to Storage Encryption Technologies for End User Devices,Compliance Framework,IT; Cryptography Research,NIST,,US;PQC-REGION-GLOBAL,,,,Reference,Low,New,Government & Policy,yes,,,library/NIST_SP_800-111.pdf,healthcare-pqc; database-encryption-pqc,,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,,,,,
draft-ietf-cose-dilithium,ML-DSA for JOSE and COSE,https://www.ietf.org/archive/id/draft-ietf-cose-dilithium-11.html,2024-05-01,2024-05-01,,Published,ML-DSA for JOSE and COSE,Internet-Draft,IT; Cryptography Research,IETF,,PQC-REGION-GLOBAL,ML-DSA,,JOSE; COSE,Reference,Low,Updated,Migration Guidance,yes,,,library/draft-ietf-cose-dilithium.html,api-security-jwt;iam-pqc;iot-ot-pqc;ai-security-pqc;crypto-dev-apis,,ietf,partial,IETF,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,deprecated,2026-05-20,superseded by RFC 9964 (published 2026-05),,,,,,RFC-9964,
RFC-9964,RFC 9964 — ML-DSA for JOSE and COSE,https://www.rfc-editor.org/rfc/rfc9964.html,2026-05,2026-05-20,2026-08-11,Published,"This document specifies JSON Object Signing and Encryption (JOSE) and CBOR Object Signing and Encryption (COSE) serializations for Module-Lattice-Based Digital Signature Standard (ML-DSA) defined in NIST FIPS 204. Registers ML-DSA-44/65/87 with the new Algorithm Key Pair (AKP) key type (kty=AKP, COSE kty=7) and JOSE alg names matching the COSE registrations (-48/-49/-50). HashML-DSA is explicitly out of scope (§7.2); private key is the 32-byte seed only.",RFC,IT; Cryptography Research,IETF COSE WG,FIPS 204;RFC 7515;RFC 7517;RFC 9052;RFC 9053;RFC-9679,PQC-REGION-GLOBAL,ML-DSA,"L2,L3,L5",JOSE/COSE signature serialization for ML-DSA,OpenSSL 3.5+; @noble/post-quantum 0.6+,High,New,Algorithm Specifications,yes,,,library/RFC-9964.html,api-security-jwt;iam-pqc;iot-ot-pqc;ai-security-pqc;crypto-dev-apis;email-signing,Supersedes draft-ietf-cose-dilithium-11 (AUTH48-DONE → published May 2026). Pinned KAT vectors from Appendix A.1 verified in-browser by joseKat.test.ts.,ietf-rfc-series,yes,IETF,,url_authoritative,registered,"New entry 2026-05-20 — RFC 9964 published May 2026; supersedes draft-ietf-cose-dilithium-11. AKP key type registered for forward-compatible PQC sig algorithms. | 2026-07-10: dependencies token 'RFC 9679' repointed -> 'RFC-9679' (exact same RFC, catalogued under hyphenated id form).",90,active,,,JOSE;COSE;WebAuthn,,Lattice-based,,published,,
