software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id,trusted_source_id,evidence_flags
Cryptosense Analyzer,CSC-025,Cryptographic Agility Frameworks,Cloud,Unknown,"The platform provides continuous cryptographic inventory, assesses risk, and plans post-quantum migration. It includes PQC impact simulation built directly into the platform. Researchers contributed to NIST post-quantum cryptography standards.",Commercial,Commercial,Current,2025,,Critical,Cloud On-premise,All industries,https://cryptosense.com/,,Cryptographic security analysis platform with PQC readiness assessment. Acquired by SandboxAQ in September 2022 — standalone product status unclear; may be integrated into AQtive Guard. Discovers crypto usage and vulnerabilities.,Trusted Vendor,Needs Verification,2026-03-31,"assess,plan,rampup",arch-quantum-impact;crypto-agility;exec-quantum-impact,VND-086,cmvp,acquired-by-sandboxaq-sep-2022; pqc-no-positive-extraction
ISARA Radiate,CSC-025,Cryptographic Agility Frameworks,Cloud,"Yes (Production-ready; supports ML-KEM, ML-DSA, and NIST-standardized PQC algorithms)","Production-ready SDK offering modular libraries for integrating PQC algorithms (ML-KEM, ML-DSA). Supports hybrid certificates for migration. Achieves NIST PQC Security Level 5 on resource-limited devices. Includes MISRA-C compliant code and tools for validation of performance and interoperability between legacy and upgraded systems.",Commercial,Commercial,Current,2025,Yes (components),Critical,Cross-platform,All industries,https://www.isara.com/products/isara-radiate.html,,Quantum-safe security toolkit. Enables smooth PQC transition.,Trusted Vendor,Verified,2026-03-25,"assess,plan,rampup",arch-quantum-impact;crypto-agility;exec-quantum-impact;migration-program,VND-053,cmvp,no-cert-backing
wolfBoot,CSC-026,Secure Boot and Firmware Security,Hardware,Unknown,,Commercial,GPLv3/Commercial,2.7.0,2025-11-27,Yes (FIPS 140-3 via wolfCrypt),High,ARM x86 RISC-V,All industries,https://www.wolfssl.com/products/wolfboot/,https://github.com/wolfSSL/wolfBoot,Universal secure bootloader with HSM integration and PQC support (ML-DSA). Suitable for IoT automotive and aerospace applications.,Trusted Vendor,Verified,2026-02-13,launch,aerospace-pqc;automotive-pqc;code-signing;hsm-pqc;iot-ot-pqc;secure-boot-pqc,VND-045,wolfssl,
Windows Server 2025,CSC-031,Operating Systems,OS,Unknown,,Commercial,Commercial,Nov 2025 Update,2025-11,Yes (Trusted),Critical,Windows Server,All industries,https://www.microsoft.com/en-us/windows-server,,Microsoft's latest server OS with native PQC support via CNG.,Trusted Vendor,Verified,2026-02-13,launch,os-pqc;tls-basics;vpn-ssh-pqc,VND-027,microsoft,
Android 16,CSC-031,Operating Systems,OS,"Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)","Chrome/WebView inherited X25519+ML-KEM-768 hybrid TLS from BoringSSL (Chrome 131+, Nov 2024), providing browser-layer PQC. Native platform-level PQC (ML-DSA in AVB/Keystore, ML-KEM in Conscrypt) announced March 2026 for Android 17, not Android 16. Upgraded TLS 1.3 and Adiantum for data at rest protection.",Open Source,Apache-2.0,16,2025-06,Yes (Trusted),Critical,Mobile,All industries,https://security.googleblog.com/2026/03/post-quantum-cryptography-in-android.html,,Android OS with ML-KEM TLS 1.3 support via Conscrypt/BoringSSL.,Trusted Vendor,Verified,2026-03-30,launch,os-pqc;tls-basics;vpn-ssh-pqc,VND-018,cmvp,
iOS 26 / macOS 26,CSC-031,Operating Systems,OS,"Yes (ACVP: ML-DSA, ML-KEM)",System-wide PQC support extending earlier PQ3 iMessage (iOS 17.4). Adds HPKE with ML-KEM 768/1024 and ML-DSA-65/ML-DSA-87 APIs for third-party apps via CryptoKit. Quantum-secure TLS negotiation with automatic fallback. Apple services adopting quantum-secure TLS including CloudKit Safari and iCloud Private Relay.,Proprietary,Commercial,iOS 26 / macOS 26,2026-02-11,Yes (Trusted),Critical,Apple Ecosystem,All industries,https://support.apple.com/en-us/111900,,Apple's latest OS releases extending PQ3 iMessage (iOS 17.4) with system-level PQC via CryptoKit ML-KEM and ML-DSA APIs.,Trusted Vendor,Verified,2026-03-30,launch,crypto-dev-apis;os-pqc;tls-basics;vpn-ssh-pqc,VND-002,apple,version-26.3-unverified; pq3-is-imessage-protocol; cryptokit-is-separate
Juniper Junos OS,CSC-032,Network Operating Systems,OS,Yes (with details),"Post-Quantum Cryptography (PQC) is listed as a ""What's New"" feature for ACX, PTX, and QFX Series in Release 25.4R1. The document confirms the inclusion of PQC features but does not specify the algorithms, implementation details, or maturity level within the provided text.",Proprietary,Commercial,25.4R1,2026-02,Yes (FIPS 140-3 L1 #5155; 20+ certs),High,Juniper Hardware,Enterprise Telecom,https://www.juniper.net/documentation/product/en_US/junos-evolved,,Network OS with full-stack PQC including RFC 8784 ML-DSA image signing and quantum-safe SSH.,Trusted Vendor,Verified,2026-03-25,migrate,5g-security;network-security-pqc;vpn-ssh-pqc,VND-023,juniper-networks,
Palo Alto PAN-OS,CSC-033,Network Security Software,Network,Unknown,"Supports Post-Quantum Cryptography via PAN-OS 12.1 Orion. Features include a Quantum Readiness Dashboard for visibility, industry-first cipher translation to upgrade applications, and Quantum-Optimized Hardware (5th-gen NGFW models). Implements RFC 8784 (PPKs), RFC 9242, and RFC 9370 (Hybrid Keys) for IKEv2 VPNs. Supports integration with Quantum Key Distribution (QKD) per ETSI-014.",Proprietary,Commercial,12.1 Orion,2025-08,Yes (Trusted),Critical,Palo Alto Hardware,Enterprise,https://docs.paloaltonetworks.com/network-security/decryption/administration/post-quantum-cryptography-decryption,,Next-gen firewall OS with specialized PQC hardware acceleration cipher translation and quantum readiness dashboard.,Trusted Vendor,Verified,2026-03-31,"test,migrate",network-security-pqc;vpn-ssh-pqc;web-gateway-pqc,VND-031,palo-alto,pqc-no-positive-extraction
Fortinet FortiOS,CSC-032,Network Operating Systems,OS,Yes (with details),FortiOS 7.6 provides built-in quantum-safe features for FortiGate NGFW and Secure SD-WAN. Integrates NIST-approved ML-KEM plus BIKE HQC and Frodo algorithms for IPsec key exchange. Supports hybrid mode for gradual transition. QKD integration available since FortiOS 7.4. No extra cost for FortiOS customers.,Proprietary,Commercial,7.6.5,2025-12,Yes (Trusted),Critical,FortiGate,Enterprise,https://www.fortinet.com/content/dam/fortinet/assets/solution-brief/sb-fortios.pdf,,Security-driven OS with native PQC IPsec VPN and SD-WAN support including ML-KEM BIKE HQC and Frodo.,Trusted Vendor,Verified,2026-02-13,"test,migrate",network-security-pqc;vpn-ssh-pqc,VND-016,fortinet,
Check Point Quantum,CSC-033,Network Security Software,Network,Unknown,"Supports ""quantum-safe"" VPN using RFC 9242 and RFC 9370 for IKEv2 enhancements, enabling hybrid key exchange with classical and PQC algorithms. References NIST CNSA 2.0 suite including CRYSTALS-Kyber (ML-KEM/FIPS 203), CRYSTALS-Dilithium (ML-DSA/FIPS 204), SPHINCS+ (SLH-DSA/FIPS 205), LMS, and XMSS for future-proofing against quantum threats.",Proprietary,Commercial,R82,2026-02,Yes (Trusted) (classical algorithms only; PQC not in FIPS scope),Critical,Check Point Hardware,Enterprise,https://blog.checkpoint.com/security/check-points-quantum-leap-integrating-nist-pqc-standards/,,Firewall software with ML-KEM quantum-safe VPN key exchange. R82 recommended release with active 2026 updates.,Trusted Vendor,Verified,2026-03-31,"test,migrate",network-security-pqc;vpn-ssh-pqc,VND-007,cmvp,fips-classical-only; pqc-no-positive-extraction
SandboxAQ Sandwich,CSC-001,Cryptographic Libraries,Application,Yes (with details),"Includes libOQS library providing access to new post-quantum cryptography (PQC) algorithms from NIST. Enables developers to embed PQC directly into applications and swap algorithms without rewriting code. Supports hybrid mode via ""sandwich"" of protocols.",Open Source,AGPL-3.0,0.3.0+,2025-02,No,High,Cross-platform,All industries,https://github.com/sandbox-quantum/sandwich,,Crypto-agility library with unified API and liboqs backend.,Open Source,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;pqc-101;tls-basics,VND-036,sandboxaq,
Cloudflare CIRCL,CSC-001,Cryptographic Libraries,Application,Yes (with details),"Supports KEMs: ML-KEM (modes 512, 768, 1024), X-Wing, Kyber (modes 512, 768, 1024), FrodoKEM (mode 640-SHAKE), CSIDH. Supports Signatures: Dilithium (modes 2, 3, 5), ML-DSA (modes 44, 65, 87), SLH-DSA (twelve parameter sets). SIDH/SIKE is marked insecure and deprecated. Status is experimental; not recommended for production without caution.",Open Source,Apache-2.0,1.6.3,2026-01-22,No,High,Go,All industries,https://github.com/cloudflare/circl,,"Cloudflare's advanced crypto library for Go, specializing in PQC experiments.",Open Source,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics;web-gateway-pqc,VND-057,cloudflare,
Mullvad VPN App,CSC-010,VPN and IPsec Software,Network,Yes (with details),"Quantum-resistant WireGuard tunnels are enabled by default on desktop platforms (Windows, macOS, Linux) using post-quantum secure key encapsulation mechanisms for exchanging pre-shared keys. Algorithms used are Classic McEliece and ML-KEM (switched from Kyber). Mobile support is planned but not yet enabled by default.",Open Source,GPLv3,2026.3,2026-03,Yes (Trusted),High,Cross-platform,Consumer,https://mullvad.net/en/blog/quantum-resistant-tunnels-are-now-the-default-on-desktop,,Privacy-focused VPN with default post-quantum WireGuard tunnels. OpenVPN retired January 2026.,Trusted Vendor,Verified,2026-03-30,"test,migrate",network-security-pqc;vpn-ssh-pqc,VND-119,ietf,no-cert-backing
ExpressVPN Lightway,CSC-010,VPN and IPsec Software,Network,Yes (with details),"Lightway integrates ML-KEM (Module Lattice–Based Key Encapsulation Mechanism), the finalized NIST standard based on CRYSTALS-Kyber. It previously used Kyber and now uses a hybrid cryptography approach combining classical and post-quantum algorithms for seamless performance and future-proof security.",Proprietary,Proprietary,Current,2026-01,Yes (Trusted),High,Cross-platform,Consumer,https://www.expressvpn.com/blog/ml-kem-lightway-upgrade/,,Lightway protocol upgraded to ML-KEM via wolfSSL with NIST Security Level 5 protection.,Trusted Vendor,Verified,2026-02-13,"test,migrate",network-security-pqc;vpn-ssh-pqc,VND-120,ietf,no-cert-backing
Tuta Mail,CSC-011,Secure Messaging and Communication,Application,Yes (with details),TutaCrypt protocol upgraded from Kyber to ML-KEM compatibility following NIST standardization. Hybrid encryption combining ML-KEM with X25519 ECDH. Enabled by default for all new accounts. Over 50% of existing users migrated to TutaCrypt protocol. Side-channel vulnerability mitigations applied to encryption libraries.,Open Source,GPLv3,Current,2026-01,No,High,Cross-platform,Consumer,https://tuta.com/blog/post-quantum-cryptography,,Encrypted email service using TutaCrypt (ML-KEM hybrid) protocol. Over 50% user migration complete.,Trusted Vendor,Verified,2026-02-13,launch,email-signing;migration-program;tls-basics,VND-187,ietf,no-cert-backing
Keyfactor AgileSec Analytics,CSC-049,Cryptographic Discovery Platforms,"Cloud,Security Stack",Unknown,Enterprise cryptographic discovery and analytics platform (formerly InfoSec Global AgileSec). Automated scanning of network traffic and application code to inventory all cryptographic assets. Risk-based prioritization for PQC migration. SDK enables crypto-agile application development. Acquired by Keyfactor to integrate with EJBCA PKI and certificate lifecycle management.,Commercial,Commercial,2025 Release,2025,Yes (Trusted),Critical,Enterprise Cloud,Enterprise,https://www.keyfactor.com/products/agilesec-analytics/,,Enterprise crypto discovery platform for inventory risk prioritization and PQC migration planning. Integrates with Keyfactor PKI ecosystem.,Trusted Vendor,Needs Verification,2026-03-31,"assess,plan,rampup",arch-quantum-impact;crypto-agility;data-asset-sensitivity;exec-quantum-impact;migration-program;ops-quantum-impact;platform-eng-pqc;pqc-risk-management,VND-024,keyfactor,pqc-no-positive-extraction
Futurex CryptoHub,CSC-002,Hardware Security Module (HSM) Software,Hardware,"Yes (ACVP: ML-DSA, ML-KEM)",First HSM to receive PCI HSM validation with PQC support (June 2025). Supports ML-DSA ML-KEM and SLH-DSA (pre-loaded) for financial and enterprise security.,Commercial,Commercial,June 2025 FW,2025-06,Yes (Trusted),Critical,Hardware,Finance Enterprise,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19731,,PCI HSM validated Hardware Security Module with native PQC support.,Trusted Vendor,Verified,2026-03-30,"prepare,migrate,launch",hsm-pqc,VND-017,nist-csrc,
Arqit Encryption Intelligence,CSC-025,Cryptographic Agility Frameworks,Cloud,Unknown,Automated cryptographic discovery platform for post-quantum migration and compliance. Continuously identifies encryption assets legacy algorithms and deprecated protocols across networks applications and cloud environments. Selected by UK NCSC for Post-Quantum Cryptography Pilot under Assured Cyber Security Consultancy Scheme. Available as SaaS or via certified systems integrator partners.,Commercial,Commercial,Current,2026-01-22,No,Critical,Enterprise Cloud,Government Enterprise Finance,https://ir.arqit.uk/,,Crypto discovery and risk prioritization platform for PQC migration. UK NCSC PQC Pilot participant.,Trusted Vendor,Needs Verification,2026-03-31,"assess,plan,rampup",arch-quantum-impact;crypto-agility;data-asset-sensitivity;exec-quantum-impact;migration-program;pqc-risk-management,VND-168,cmvp,pqc-no-positive-extraction
Samsung S3SSE2A eSE,CSC-034,Hardware Security and Semiconductors,Hardware,"Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)",First embedded Secure Element (eSE) to integrate post-quantum cryptography. Features two dedicated PQC hardware accelerators achieving 18x faster cryptographic operations than software-only approaches. Powered by Thales secure OS and PQC libraries. CES 2026 Best Cybersecurity Innovation Award winner. Designed for Common Criteria EAL6+ certification. Quantum-resistant security for IoT mobile and embedded devices.,Commercial,Commercial,S3SSE2A,2026-01-06,No (CC EAL6+ — highest in industry; PQC certification details pending),Critical,Embedded IoT Mobile,Consumer IoT Enterprise,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19492,,First PQC-enabled embedded Secure Element with hardware-accelerated ML-KEM. CES 2026 Best Cybersecurity Innovation.,Trusted Vendor,Verified,2026-03-30,"prepare,launch",iot-ot-pqc,VND-035,nist-csrc,cc-eal6-plus-not-eal5-plus; anssi-certification-unverified
Thales payShield 10K,CSC-029,Payment Cryptography Systems,Application,"Yes (ACVP: LMS, ML-DSA, ML-KEM)",Payment HSM with crypto-agile architecture. No specific PQC algorithms confirmed in payment HSM firmware yet. Thales Luna HSM line supports ML-KEM and ML-DSA but payShield payment firmware has not publicly announced PQC algorithm support. EMV PCI DSS 4.0 compliant. PCI PTS HSM v4 certified.,Commercial,Commercial,payShield 10K,2024,Yes (PCI PTS HSM v4 FIPS 140-2 L3),Critical,Hardware Appliance,"Finance, Retail, Payment Processing",https://cpl.thalesgroup.com/encryption/hardware-security-modules/payment-hsms/payshield-10k,,Industry-leading payment HSM processing over 80% of global card transactions. Crypto-agile architecture positions for future PQC firmware updates.,Trusted Vendor,Verified,2026-02-16,"migrate,launch",emv-payment-pqc;hsm-pqc;secure-boot-pqc,VND-041,thales-research,
Cryptomathic CKMS,CSC-029,Payment Cryptography Systems,Application,Planned (with scope),"The product enables ""cryptographic agility to prepare for post quantum cryptography"" and allows for the ""centralized enforcement of PQC algorithms."" No specific PQC algorithms or maturity levels are stated.",Commercial,Commercial,Current,2025,No,High,Cloud On-Premise,"Finance, Retail, Payment Processing",https://www.cryptomathic.com/products,,Key management platform for payment systems. PQC support will likely come through underlying HSM vendor firmware updates.,Trusted Vendor,Partially Verified,2026-02-16,"migrate,launch",emv-payment-pqc;hsm-pqc;kms-pqc;secure-boot-pqc,VND-169,pki-consortium,
Securosys Primus HSM,CSC-002,Hardware Security Module (HSM) Software,Hardware,"Yes (ACVP: LMS, ML-DSA, ML-KEM, SLH-DSA)",Confirmed PQC support with hybrid operations. Supports ML-KEM (FIPS 203) ML-DSA (FIPS 204) SLH-DSA (FIPS 205) plus stateful hash-based signatures HSS-LMS and XMSS. CloudHSM ECO and SBX environments available for PQC testing. Swiss-engineered HSM.,Commercial,Commercial,Current,2025,Yes (FIPS 140-2 L3 CC EAL4+ / FIPS 140-3 L3 in process),Critical,Hardware Cloud,"Finance, Government, Healthcare, Defense",https://www.securosys.com/en/hsm/post-quantum-cryptography,,Swiss HSM with comprehensive PQC algorithm support including all three NIST standards plus stateful hash-based signatures.,Trusted Vendor,Verified,2026-02-16,"prepare,migrate,launch",aerospace-pqc;healthcare-pqc;hsm-pqc;migration-program;pqc-governance;vendor-risk,VND-037,cmvp,
Marvell LiquidSecurity 2,CSC-002,Hardware Security Module (HSM) Software,Hardware,"Yes (ACVP: ML-DSA, ML-KEM)","High-throughput PCIe HSM with hardware PQC acceleration. CAVP certifications achieved for ML-KEM, ML-DSA, and SLH-DSA, upgrading from Beta. FIPS 140-3 Level 3 validated hardware (#4703). Used in cloud infrastructure and financial transaction processing.",Commercial,Commercial,LiquidSecurity 2,2024,Yes (FIPS 140-3 L3 #4703),High,Cloud Hardware,"Cloud, Finance, Enterprise",https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18609,,Cloud HSM adapter for hyperscale environments. PQC firmware updates expected as NIST standards mature.,Trusted Vendor,Verified,2026-03-30,"prepare,migrate,launch",hsm-pqc;secure-boot-pqc,VND-026,nist-csrc,cavp-validated; pre-standard-date
Google Cloud HSM,CSC-002,Hardware Security Module (HSM) Software,Hardware,"Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)",Cloud KMS with HSM-backed keys using FIPS 140-2 Level 3 hardware. PQC key types (ML-KEM ML-DSA SLH-DSA X-Wing) available through Cloud KMS with HSM protection level.,Commercial,Commercial (Google),Current,2025,Yes (FIPS 140-3 L3 via Marvell #4700),High,Google Cloud,All industries,https://cloud.google.com/kms/docs/hsm,,Google managed HSM service. PQC key types available through Cloud KMS with HSM protection level.,Trusted Vendor,Partially Verified,2026-03-25,"prepare,migrate,launch",hsm-pqc;kms-pqc,VND-018,google,
Entrust PKI,CSC-004,Public Key Infrastructure (PKI) Software,Security Stack,"Yes (ACVP: LMS, ML-DSA, ML-KEM, SLH-DSA)",PKI platform with PQC capabilities via nShield HSM integration. Supports hybrid certificate operations combining classical and post-quantum algorithms.,Commercial,Commercial,Current,2025,Yes (FIPS 140-3 L3 via nShield 5s #4765; older nShield FIPS 140-2) (classical algorithms only; PQC not in FIPS scope),Critical,Cloud On-Premise,"Finance, Government, Healthcare",https://www.entrust.com/digital-security/certificate-solutions/post-quantum,,Enterprise PKI with PQC support via nShield HSM integration. Hybrid certificate operations for gradual PQC transition.,Trusted Vendor,Partially Verified,2026-03-25,"migrate,launch",arch-quantum-impact;healthcare-pqc;hsm-pqc;merkle-tree-certs;ops-quantum-impact;pki-workshop,VND-013,entrust,fips-classical-only
Microsoft AD CS,CSC-004,Public Key Infrastructure (PKI) Software,Security Stack,Unknown,,Commercial,Commercial,Windows Server 2025,2025-11,Yes (Windows FIPS mode),High,Windows Server,"Enterprise, Government",https://learn.microsoft.com/en-us/windows-server/identity/ad-cs/,,Windows PKI platform. CNG has PQC algorithms but AD CS templates do not yet support PQC certificate issuance natively.,Trusted Vendor,Partially Verified,2026-02-16,"migrate,launch",arch-quantum-impact;merkle-tree-certs;ops-quantum-impact;pki-workshop,VND-027,microsoft,
smallstep Certificate Authority,CSC-004,Public Key Infrastructure (PKI) Software,Security Stack,Unknown,,Open Source,Apache-2.0,0.28.x,2025,No,High,Linux macOS Windows Docker Kubernetes,All industries,https://smallstep.com/docs/step-ca/,https://github.com/smallstep/certificates,Modern CA with ACME support. PQC certificate issuance not yet available but Go runtime provides transport-layer quantum safety.,Open Source Community,Partially Verified,2026-02-16,"migrate,launch",arch-quantum-impact;merkle-tree-certs;ops-quantum-impact;pki-workshop,VND-224,pki-consortium,
PQClean,CSC-016,Post-Quantum Cryptography Libraries,Application,"Yes (Kyber, HQC, Classic McEliece, Dilithium, Falcon, SPHINCS+)",Clean portable C implementations of all NIST PQC algorithms including Classic McEliece. Focused on correctness readability and ease of integration. Each implementation is standalone with no external dependencies. Used as reference by pqcrypto Rust crate. WARNING: PQClean will be archived read-only in July 2026. The PQ Code Package is the recommended successor.,Open Source,Public Domain/CC0,Current,2025,No,Critical,Cross-platform (C99),All industries,https://github.com/PQClean/PQClean,https://github.com/PQClean/PQClean,Clean standalone C implementations of PQC algorithms. Reference quality code used by multiple language binding projects. DEPRECATION: archiving July 2026; migrate to PQ Code Package.,Open Source Community,Verified,2026-03-30,"prepare,test",dev-quantum-impact;hybrid-crypto;pqc-101;research-quantum-impact;stateful-signatures,VND-080,oqs-project,archiving-july-2026
CRYSTALS Reference Implementations,CSC-016,Post-Quantum Cryptography Libraries,Application,Yes (with details),"Provides reference implementations for the Kyber (KEM) and Dilithium (Signature) schemes, which are lattice-based post-quantum cryptographic algorithms. Includes security estimation scripts. The repository also contains a fork of liboqs, a C library for quantum-resistant algorithms.",Open Source,Public Domain,FIPS 203/204 Final,2024-08,No (Reference Only),Critical,Cross-platform (C),All industries,https://pq-crystals.org/,https://github.com/pq-crystals,NIST reference implementations for ML-KEM and ML-DSA. Canonical source for algorithm correctness validation.,Government/Standards,Partially Verified,2026-02-16,"prepare,test",dev-quantum-impact;hybrid-crypto;pqc-101;research-quantum-impact,VND-080,ku-leuven-cosic,pre-standard-date
IBM Quantum Safe Toolkit,CSC-016,Post-Quantum Cryptography Libraries,Application,Yes (with details),"Supports CRYSTALS-Kyber for key encryption and CRYSTALS-Dilithium and FALCON for digital signatures. Includes tools for discovery (Explorer), remediation (Remediator), monitoring (Guardium Quantum Safe), and adaptive proxying. Mentions MAYO, UOV, SQISign in roadmap context.",Commercial,Commercial/Apache-2.0,Current,2025,Yes (z16 FIPS 140-2 L4),Critical,IBM Z Linux Cloud,Enterprise Government Finance,https://www.ibm.com/quantum/quantum-safe,,Enterprise PQC toolkit with mainframe hardware acceleration. Includes discovery and migration tools.,Trusted Vendor,Partially Verified,2026-02-16,"prepare,test",dev-quantum-impact;hybrid-crypto;migration-program;pqc-101;research-quantum-impact;stateful-signatures,VND-019,q360-alliance,
jose4j,CSC-015,API Security and JWT Libraries,Application,Unknown,,Open Source,Apache-2.0,0.9.6,2025-01,No,High,Java 8+,All industries,https://bitbucket.org/b_c/jose4j/wiki/Home,https://bitbucket.org/b_c/jose4j,Java JOSE library. No PQC. Blocked by IETF PQC JOSE specification.,Open Source Community,Verified,2026-02-16,"migrate,launch",api-security-jwt;crypto-dev-apis;dev-quantum-impact;iam-pqc,VND-000,ietf,
Nimbus JOSE+JWT,CSC-015,API Security and JWT Libraries,Application,Unknown,Supports a draft implementation of `draft-ietf-jose-pqc-kem` contributed by Stepan Yakimovich at MONET+. No specific PQC signature schemes are listed as fully supported in the standard algorithm list; support is noted as a contribution for post-quantum cryptography.,Open Source,Apache-2.0,10.8,2025,No,High,Java 8+,All industries,https://connect2id.com/products/nimbus-jose-jwt,,Java JOSE/JWT library. No PQC. Awaiting IETF PQC JOSE specification.,Open Source Community,Verified,2026-03-31,"migrate,launch",api-security-jwt;crypto-dev-apis;dev-quantum-impact;iam-pqc,VND-000,ietf,pqc-no-positive-extraction
jsonwebtoken (auth0),CSC-015,API Security and JWT Libraries,Application,Unknown,,Open Source,MIT,9.0.3,2025-12,No,High,Node.js,All industries,https://github.com/auth0/node-jsonwebtoken,https://github.com/auth0/node-jsonwebtoken,Node.js JWT library. No PQC. Dependent on Node.js crypto API and IETF PQC JOSE specification.,Open Source Community,Verified,2026-03-25,"migrate,launch",api-security-jwt;crypto-dev-apis;dev-quantum-impact;iam-pqc,VND-060,microsoft,
go-jose v4,CSC-015,API Security and JWT Libraries,Application,Unknown,,Open Source,Apache-2.0,4.1.0,2026-02-26,No,High,Go,All industries,https://github.com/go-jose/go-jose,https://github.com/go-jose/go-jose,Go JOSE library. No PQC support despite Go stdlib having native ML-KEM.,Open Source Community,Verified,2026-03-30,"migrate,launch",api-security-jwt;crypto-dev-apis;dev-quantum-impact;iam-pqc,VND-018,microsoft,version-corrected; v4.1.3 does not exist
Spring Security OAuth2,CSC-015,API Security and JWT Libraries,Application,Unknown,,Open Source,Apache-2.0,6.5.9,2026-03,No,High,Java 17+ Spring Boot,All industries,https://spring.io/projects/spring-security,https://github.com/spring-projects/spring-security/issues/18103,Spring Security OAuth2/JWT framework. Community-requested PQC support pending.,Open Source Foundation,Verified,2026-03-30,"migrate,launch",api-security-jwt;crypto-dev-apis;dev-quantum-impact;iam-pqc,VND-046,microsoft,
coreboot,CSC-026,Secure Boot and Firmware Security,Hardware,Unknown,,Open Source,GPLv2,25.12,2025-12,No,High,x86 ARM,All industries,https://www.coreboot.org/,https://github.com/coreboot/coreboot,Open-source firmware replacing proprietary BIOS/UEFI. No PQC support for firmware verification.,Open Source Foundation,Verified,2026-03-30,launch,code-signing;iot-ot-pqc;secure-boot-pqc,VND-213,microsoft,
U-Boot,CSC-026,Secure Boot and Firmware Security,Hardware,Unknown,,Open Source,GPLv2+,2026.01,2026-01,No,High,ARM MIPS RISC-V x86 PowerPC,All industries,https://u-boot.readthedocs.io/,https://github.com/u-boot/u-boot,Universal bootloader for embedded systems. Verified boot uses RSA/SHA only. No PQC support.,Open Source Foundation,Verified,2026-02-16,launch,code-signing;iot-ot-pqc;secure-boot-pqc,VND-198,microsoft,
Linux IMA/EVM,CSC-026,Secure Boot and Firmware Security,Hardware,Unknown,,Open Source,GPLv2,6.19,2025-01,No,High,Linux,All industries,https://sourceforge.net/p/linux-ima/wiki/Home/,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/security/integrity,Linux kernel integrity subsystem. IMA/EVM file verification limited to RSA/ECDSA.,Open Source Foundation,Verified,2026-03-30,launch,code-signing;secure-boot-pqc,VND-198,nist-csrc,
ARM Trusted Firmware (TF-A),CSC-026,Secure Boot and Firmware Security,Hardware,Unknown,,Open Source,BSD-3-Clause,2.14.0,2026-03,No,High,ARM Cortex-A AArch64,All industries,https://www.trustedfirmware.org/,https://github.com/ARM-software/arm-trusted-firmware,Reference implementation of ARM Secure Boot. Classical signatures only.,Open Source Foundation,Verified,2026-03-30,launch,code-signing;iot-ot-pqc;secure-boot-pqc,VND-149,microsoft,
VeraCrypt,CSC-006,Disk and File Encryption Software,Application,Unknown,,Open Source,Apache-2.0,1.26.24,2025-05-31,No,High,Windows Linux macOS FreeBSD,All industries,https://veracrypt.fr/,https://github.com/veracrypt/VeraCrypt,Open-source disk encryption. AES-256 is quantum-resistant but lacks PQC key encapsulation.,Open Source Community,Verified,2026-02-16,launch,data-asset-sensitivity,VND-206,microsoft,
BitLocker (Windows),CSC-006,Disk and File Encryption Software,Application,Unknown,,Proprietary,Commercial,Windows 11 24H2,2024-10,"Yes (FIPS 140-3, AES-XTS module)",High,Windows,All industries,https://learn.microsoft.com/en-us/windows/security/operating-system-security/data-protection/bitlocker/,,Microsoft full disk encryption. AES-XTS is quantum-safe but key protection chain uses classical RSA via TPM.,Trusted Vendor,Verified,2026-02-16,launch,data-asset-sensitivity;kms-pqc;secure-boot-pqc,VND-027,microsoft,
FileVault (macOS),CSC-006,Disk and File Encryption Software,OS,"Yes (ACVP: ML-DSA, ML-KEM)",No PQC key wrapping support. AES-XTS-256 for full-volume encryption. Apple CryptoKit has ML-KEM/ML-DSA but FileVault key protection chain not updated. AES-256-XTS is quantum-resistant.,Proprietary,Commercial,macOS 26.3,2026-02-11,Yes (Platform FIPS),High,macOS (Apple Silicon Intel),All industries,https://support.apple.com/guide/mac-help/protect-data-on-your-mac-with-filevault-mh11785/mac,,Apple full-disk encryption. AES-256-XTS is quantum-safe but key wrapping has not adopted CryptoKit PQC APIs.,Trusted Vendor,Verified,2026-02-16,launch,crypto-dev-apis;data-asset-sensitivity;kms-pqc,VND-002,apple,
