"industry","threat_id","threat_description","criticality","crypto_at_risk","pqc_replacement","main_source","source_url","accuracy_pct","related_modules","trusted_source_id","local_file","peer_reviewed","vetting_body"
"Insurance","INS-002","New York DFS cybersecurity regulation (23 NYCRR 500) quantum gap: Requires risk assessment and encryption for financial services including insurance companies. Life insurance and annuity records with 50+ year retention periods are prime HNDL targets. Regulation does not yet address post-quantum cryptography.","High","Database encryption, policyholder data TLS, claims management systems","PQC-enabled encryption, hybrid TLS 1.3, ML-KEM key management","NY DFS Cybersecurity Regulation (23 NYCRR 500)","https://www.dfs.ny.gov/industry_guidance/cybersecurity","75","compliance-strategy|tls-basics|kms-pqc|hsm-pqc|data-asset-sensitivity|database-encryption-pqc","","public/threats/INS-002.html","no",""
"Insurance","INS-003","Systemic cyber risk to insurance sector: Geneva Association research identifies systemic cyber risk including quantum threats to insurance industry managing multi-decade policy data. Life insurance and pension records retain sensitivity for 50+ years. Reinsurance treaties with multi-year duration vulnerable to data manipulation.","High","Actuarial model encryption, reinsurance platform crypto, policyholder PII protection","AES-256 with ML-KEM key exchange, ML-DSA for contract signing, crypto-agile platforms","Geneva Association Systemic Cyber Risk Research","https://www.genevaassociation.org/research-topics/cyber","75","pqc-risk-management|pqc-business-case|data-asset-sensitivity","","public/threats/INS-003.html","no",""
"Internet of Things (IoT)","IOT-001","IoT device risk escalation: Forescout 2025 research reports overall average device risk scores increased 15% year-over-year, with significant country-level risk score increases. Billions of constrained devices using ECDSA P-256 and RSA-2048 with limited crypto-agility and no practical firmware update path for PQC migration.","Critical","ECDSA P-256, RSA-2048, TLS 1.2 in IoT devices, device provisioning certificates","Lightweight PQC (FN-DSA, SLH-DSA), hybrid schemes for constrained devices","Forescout Device Risk Research","https://www.forescout.com/research-labs/","75","iot-ot-pqc|hybrid-crypto|stateful-signatures|crypto-agility","","public/threats/IOT-001.html","no",""
"Internet of Things (IoT)","IOT-002","Industrial IoT SCADA quantum vulnerability: IEC 62443 governs industrial automation security. OPC UA protocol uses RSA/ECDSA for authentication across manufacturing, energy, and critical infrastructure. IIoT environments with 15-25 year equipment lifecycles and air-gapped networks face complex PQC migration.","Critical","OPC UA RSA/ECDSA, IEC 62443 authentication, industrial protocol encryption","OPC UA PQC implementation, IEC 62443 quantum update, hybrid industrial protocols","IEC 62443 Industrial Automation Security","https://www.isa.org/standards-and-publications/isa-standards/isa-iec-62443-series-of-standards","75","iot-ot-pqc|vpn-ssh-pqc|network-security-pqc","","public/threats/IOT-002.html","no",""
"Internet of Things (IoT)","IOT-003","IoT firmware update security (IETF SUIT): The IETF SUIT working group defines firmware update architecture (RFC 9019) with COSE-based manifest signing (using ECDSA/EdDSA per RFC 9052/9053) for firmware authentication. Constrained devices (Class 1-3) cannot support full PQC signature verification creating a security gap during migration.","High","COSE signatures (ECDSA/EdDSA), CoAP DTLS, firmware signing keys","Lightweight ML-DSA, SLH-DSA for stateless constrained devices or XMSS where state management is feasible, hybrid COSE signatures","IETF SUIT Working Group (RFC 9019)","https://datatracker.ietf.org/wg/suit/","80","iot-ot-pqc|code-signing|stateful-signatures|secure-boot-pqc","","public/threats/IOT-003.html","no",""
"Internet of Things (IoT)","IOT-004","Smart city infrastructure quantum vulnerability: Traffic management, public safety cameras, environmental sensors, and municipal IoT systems form interconnected networks with diverse device types and long deployment cycles. ISO/IEC 30182 defines smart community infrastructure framework. City-wide mesh networks and cloud gateways aggregate sensitive data from thousands of endpoints.","High","City-wide IoT mesh networking, cloud gateway TLS, sensor authentication, municipal PKI","Quantum-safe smart city architecture, hybrid mesh protocols, PQC-enabled gateways","ISO/IEC 30182 Smart City Concept Model","https://www.iso.org/standard/53302.html","75","iot-ot-pqc|kms-pqc|hsm-pqc|network-security-pqc","","public/threats/IOT-004.html","yes","ISO"
"IT Industry / Software","IT-001","Open source cryptographic library PQC integration: OpenSSL 3.5 (April 2025) includes ML-KEM, ML-DSA, and SLH-DSA support with X25519MLKEM768 hybrid key exchange available in TLS (enabled by default in some configurations). Millions of applications depend on OpenSSL and similar libraries. Libsodium and other popular libraries lag behind creating widespread dependency risk during the PQC transition.","Critical","Legacy RSA/ECDSA in crypto libraries, OpenSSL pre-3.5, libsodium, BoringSSL","OpenSSL 3.5+ with PQC, OQS provider, liboqs integration","OpenSSL PQC Integration","https://openssl-library.org/post/2025-04-08-openssl-35-final-release/","85","crypto-agility|tls-basics|crypto-dev-apis|os-pqc","","public/threats/IT-001.html","no",""
"IT Industry / Software","IT-002","Certificate authority and PKI PQC transition: CA/Browser Forum must coordinate migration of the global WebPKI trust hierarchy to post-quantum algorithms. Chrome and Firefox have shipped ML-KEM hybrid key exchange (X25519+ML-KEM-768). Root CA key migration requires coordinated trust store updates across all major browsers and operating systems.","Critical","CA root keys (RSA-4096/ECDSA), intermediate certificates, TLS server certificates, S/MIME","Hybrid X.509 certificates, ML-DSA CA hierarchy, composite certificate standards","CA/Browser Forum PKI Standards","https://cabforum.org/working-groups/server/baseline-requirements/documents/","80","pki-workshop|tls-basics|hybrid-crypto|web-gateway-pqc|os-pqc","","public/threats/IT-002.html","no",""
"IT Industry / Software","IT-003","NIST FIPS 203/204/205 standardization milestone: First official PQC standards published August 2024. FIPS 203 (ML-KEM), FIPS 204 (ML-DSA), FIPS 205 (SLH-DSA) provide the foundation for all PQC migration. CMVP validation of implementations is ongoing with first validated modules expected 2025-2026.","Critical","All RSA/ECDSA/ECDH implementations requiring FIPS compliance","FIPS 203 (ML-KEM-512/768/1024), FIPS 204 (ML-DSA-44/65/87), FIPS 205 (SLH-DSA)","NIST FIPS 203/204/205 Post-Quantum Cryptography Standards","https://csrc.nist.gov/projects/post-quantum-cryptography","90","pqc-101|compliance-strategy|migration-program","","public/threats/IT-003.html","yes","NIST"
"IT Industry / Software","IT-004","Code signing and software supply chain quantum vulnerability: Software supply chain integrity depends on RSA/ECDSA code signing for open source repositories, package managers, and CI/CD pipelines. SLSA (Supply-chain Levels for Software Artifacts) framework identifies signing as critical trust anchor. Quantum forgery of code signatures enables malicious package injection at scale.","Critical","RSA/ECDSA code signing, package manager signatures, CI/CD pipeline authentication","ML-DSA code signing, SLH-DSA for long-term artifacts, SLSA PQC integration","SLSA Supply Chain Security Framework (OpenSSF)","https://slsa.dev/spec/v1.0/","80","code-signing|vendor-risk|platform-eng-pqc","","public/threats/IT-004.html","no",""
"IT Industry / Software","IT-005","Authentication infrastructure quantum vulnerability: Enterprise authentication systems including X.509 digital certificates, SAML assertions, OAuth/OIDC tokens, and FIDO2 attestation rely on quantum-vulnerable PKI. FIDO Alliance has published a PQC roadmap for WebAuthn migration. Migration to PQC-compatible credential systems requires coordinated ecosystem updates.","High","X.509 certificates, SAML assertions, OAuth/OIDC tokens, FIDO2 attestation keys","Hybrid certificate chains, ML-DSA certificates, PQC-enabled FIDO2 per FIDO Alliance roadmap","FIDO Alliance PQC Roadmap","https://fidoalliance.org/white-paper-addressing-fido-alliances-technologies-in-post-quantum-world/","75","pki-workshop|api-security-jwt|iam-pqc","","public/threats/IT-005.html","no",""
"Legal / Notary / eSignature","LEG-001","eIDAS long-term signature vulnerability: EU Regulation 910/2014 Article 25(2) grants qualified electronic signatures legal equivalence to handwritten signatures across 27 EU member states. Property deeds, constitutional documents, and notarial acts require 50-100+ year validity. Quantum signature forgery would retroactively undermine the integrity of millions of legally binding documents.","Critical","RSA-2048/4096, ECDSA P-256/P-384, SHA-256 in AdES formats (XAdES, PAdES, CAdES)","ML-DSA-65/87, SLH-DSA for long-term archival signatures, XMSS","EU Regulation 910/2014 (eIDAS)","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014R0910","85","email-signing|stateful-signatures|pki-workshop|data-asset-sensitivity","","public/threats/LEG-001.html","no",""
"Legal / Notary / eSignature","LEG-002","eIDAS 2.0 Digital Identity Wallet quantum risk: Regulation 2024/1183 (entered force May 20, 2024) amends eIDAS to mandate European Digital Identity Wallets for all EU member states. Wallets must support qualified electronic attestations of attributes. Cryptographic protocols underpinning wallet-to-verifier authentication rely on RSA/ECDSA.","High","ECDSA P-256, RSA-2048, ECDH in wallet authentication, X.509 certificates","ML-DSA-65/87, ML-KEM-768/1024, hybrid signature schemes","EU Regulation 2024/1183 (eIDAS 2.0)","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1183","80","digital-id|pki-workshop|iam-pqc","","public/threats/LEG-002.html","no",""
"Legal / Notary / eSignature","LEG-003","Qualified timestamp quantum forgery risk: ETSI EN 319 422 governs qualified time-stamp authorities under the eIDAS framework using RFC 3161 time-stamp protocol. Timestamps cryptographically prove document existence at specific moments for legal evidence and IP filings. Quantum-capable adversaries could forge timestamps to backdate contracts or fabricate audit trails.","High","RSA-2048/4096, ECDSA P-256/P-384 in RFC 3161 timestamp tokens, SHA-256","ML-DSA-65/87, SLH-DSA for long-term timestamp integrity","ETSI EN 319 422 Qualified Timestamp Policy","https://www.etsi.org/deliver/etsi_en/319400_319499/319422/01.01.01_60/en_319422v010101p.pdf","75","pki-workshop|stateful-signatures|email-signing","","public/threats/LEG-003.pdf","no",""
"Legal / Notary / eSignature","LEG-004","Court electronic evidence repudiation risk: As quantum computing advances, defense attorneys may challenge the integrity of digitally signed electronic evidence, arguing signatures could have been forged. This introduces reasonable doubt for any evidence authenticated solely with quantum-vulnerable cryptography. Courts will need to establish new standards for digital evidence admissibility in the post-quantum era.","High","RSA/ECDSA signatures on court filings, evidence chain of custody, forensic reports","PQC re-signing with archival timestamps, SLH-DSA for evidence integrity","NIST SP 800-86 Guide to Integrating Forensic Techniques","https://csrc.nist.gov/pubs/sp/800/86/final","75","stateful-signatures|pki-workshop","","public/threats/LEG-004.html","yes","NIST"
"Media / Entertainment / DRM","MEDIA-001","Content encryption master key HNDL risk: AACS (Advanced Access Content System) protects Blu-ray and UHD content using RSA key hierarchy. Studio content libraries worth billions have indefinite commercial value. Master encryption keys harvested today enable future mass decryption of entire studio catalogs once CRQCs arrive.","Critical","AACS RSA key hierarchy, PlayReady, FairPlay DRM key management","AES-256 with ML-KEM key wrapping, quantum-safe DRM key distribution","AACS Licensing Administrator Specifications","https://aacsla.com/aacs-specifications/","80","kms-pqc|hsm-pqc|quantum-threats|data-asset-sensitivity","","public/threats/MEDIA-002.html","yes","NIST"
"Media / Entertainment / DRM","MEDIA-002","Streaming platform DRM quantum vulnerability: Major streaming services (Netflix, Disney+, Amazon) use Widevine, PlayReady, and FairPlay DRM systems with RSA key hierarchies for content license distribution. Combined global streaming revenue exceeds $100B annually with content catalogs representing irreplaceable IP.","Critical","RSA key exchange in Widevine/PlayReady/FairPlay, content encryption keys, license server PKI","ML-KEM key wrapping, quantum-safe license distribution, AES-256 content encryption","AACS / Content Protection Standards","https://aacsla.com/aacs-specifications/","75","kms-pqc|hsm-pqc|tls-basics","","public/threats/MEDIA-002.html","no",""
"Media / Entertainment / DRM","MEDIA-003","Broadcast conditional access quantum exposure: DVB Conditional Access Systems use ECM (Entitlement Control Messages) with RSA/ECDSA encryption protecting pay-TV content distribution. Set-top boxes and smart TVs with 7-10 year lifecycles have limited crypto-agility for PQC migration.","High","DVB-CSA encryption, ECM RSA/ECDSA, broadcast conditional access keys","AES-128/256 CAS upgrade, ML-KEM for ECM distribution","DVB Project — Conditional Access System Standards","https://dvb.org/solutions/security/","75","kms-pqc|hsm-pqc|iot-ot-pqc","","public/threats/MEDIA-003.html","no",""
"Payment Card Industry","PCI-001","EMV offline authentication quantum vulnerability: EMVCo specifications use RSA as the only approved asymmetric algorithm for offline card authentication (CDA/DDA). Approximately 14.7 billion EMV chip cards in circulation globally (end 2024). Quantum forgery of RSA signatures enables counterfeit card acceptance at any offline-capable terminal.","Critical","RSA-1024/2048 in EMV CDA/DDA offline authentication, card personalization keys","ML-DSA hybrid offline authentication, FN-DSA for constrained chip environments","EMVCo Book 2 Security and Key Management","https://www.emvco.com/specifications/","80","iot-ot-pqc|hybrid-crypto|emv-payment-pqc","","public/threats/PCI-001.html","no",""
"Payment Card Industry","PCI-002","PCI DSS 4.0.1 cryptographic gap: PCI DSS requires 'strong cryptography' for cardholder data protection but does not yet mandate post-quantum algorithms. Organizations meeting current PCI compliance may still be quantum-vulnerable. Cryptographic inventory requirements (Req 3/4) do not address PQC readiness assessment.","High","TLS protecting payment data, RSA/ECDSA certificates, HSM key wrapping for card data","PQC-enabled payment HSMs, hybrid TLS 1.3, ML-KEM for key exchange","PCI Security Standards Council DSS 4.0.1","https://www.pcisecuritystandards.org/document_library/","80","compliance-strategy|tls-basics|kms-pqc|hsm-pqc|emv-payment-pqc","","public/threats/RETAIL-001.html","no",""
"Payment Card Industry","PCI-003","PIN block encryption quantum vulnerability: PIN encryption at scale relies on 3DES DUKPT; the quantum attack surface is the RSA-based key injection ceremony at Key Injection Facilities (KIFs) used to load base derivation keys into terminals — quantum forgery of RSA key transport enables malicious key injection at scale. AES-256 DUKPT provides quantum-resistant symmetric alternative but terminal hardware replacement required at massive scale.","High","3DES DUKPT base derivation keys, RSA key injection, PIN encryption","AES-256 DUKPT, ML-KEM key injection, quantum-safe PIN encryption","PCI PIN Security Requirements","https://www.pcisecuritystandards.org/document_library/","80","kms-pqc|hsm-pqc|hybrid-crypto|emv-payment-pqc","","public/threats/RETAIL-001.html","no",""
"Rail / Transit","RAIL-001","Railway signaling system quantum vulnerability: EN 50159 (Safety-related communication in railway systems) governs cryptographic authentication for ERTMS/ETCS (European Train Control System) train signaling. GSM-R and its successor FRMCS (Future Railway Mobile Communication System) provide the communication layer. Signaling infrastructure has 25-40 year lifecycles with limited upgrade paths. Quantum compromise of signaling authentication could enable unauthorized train movements.","Critical","RSA/ECDSA in ERTMS/ETCS signaling authentication, GSM-R/FRMCS encryption, interlocking system crypto","ML-DSA for signaling authentication, PQC-enabled FRMCS, hybrid railway protocols","EN 50159 Railway Communication Security / ERA","https://www.era.europa.eu/domains/infrastructure/european-rail-traffic-management-system-ertms_en","80","iot-ot-pqc|vpn-ssh-pqc|hybrid-crypto|network-security-pqc","","public/threats/RAIL-001.html","no",""
"Rail / Transit","RAIL-002","Transit ticketing and access control quantum exposure: ISO/IEC 14443 contactless smart cards and NFC-based ticketing systems used by transit authorities worldwide rely on cryptographic authentication. MIFARE DESFire and similar platforms use AES/3DES symmetric encryption (quantum-resistant) but PKI infrastructure for card issuance, key management systems, and back-office settlement use RSA/ECDSA.","High","Ticketing PKI, key management RSA/ECDSA, back-office settlement TLS, mobile ticketing","ML-KEM for key management, ML-DSA for PKI, PQC-enabled mobile ticketing","ISO/IEC 14443 Contactless Card Standards","https://www.iso.org/standard/73598.html","75","pki-workshop|kms-pqc|hsm-pqc|iot-ot-pqc","","public/threats/RAIL-002.html","yes","ISO"
"Retail / E-Commerce","RETAIL-001","E-commerce payment flow quantum vulnerability: PCI DSS 4.0.1 requires strong cryptography for online payment processing but TLS protecting checkout flows uses RSA/ECDSA key exchange vulnerable to quantum attacks. E-commerce transaction volume exceeds $6 trillion globally with payment data in transit continuously exposed.","Critical","TLS 1.2/1.3 RSA/ECDSA key exchange, payment tokenization, POS encryption","Hybrid TLS 1.3 with ML-KEM, PQC-enabled payment gateways, quantum-safe tokenization","PCI Security Standards Council","https://www.pcisecuritystandards.org/document_library/","80","tls-basics|hybrid-crypto|compliance-strategy|emv-payment-pqc|web-gateway-pqc","","public/threats/RETAIL-001.html","no",""
"Retail / E-Commerce","RETAIL-002","Customer data HNDL exposure: Retailers store customer PII, loyalty program data, payment history, and behavioral analytics for 5-10+ years for marketing and compliance. NIST Cybersecurity Framework identifies data protection as core function. Encrypted customer databases harvested today become readable with CRQCs.","High","Database encryption (RSA/ECDSA key management), CRM system TLS, loyalty platform crypto","ML-KEM for database key management, AES-256-GCM, hybrid encryption for customer data","NIST Cybersecurity Framework","https://www.nist.gov/cyberframework","75","quantum-threats|kms-pqc|hsm-pqc|database-encryption-pqc|data-asset-sensitivity","","public/threats/RETAIL-002.html","yes","NIST"
"Retail / E-Commerce","RETAIL-003","Retail supply chain authentication: GS1 standards govern product identification and supply chain visibility for billions of products globally. RFID, EDI (AS2/AS4), and electronic product codes use digital signatures for authentication. Quantum forgery enables counterfeit product injection and supply chain manipulation.","High","EDI AS2/AS4 encryption, RFID authentication, GS1 Digital Link signatures","ML-DSA for supply chain signing, PQC-enabled EDI, quantum-safe RFID","GS1 Global Standards","https://www.gs1.org/standards","75","code-signing|pki-workshop","","","no",""
"Supply Chain / Logistics","SUPPLY-001","Maritime cybersecurity quantum exposure: IMO MSC-FAL.1/Circ.3 guidelines address maritime cybersecurity. Maritime sector carries approximately 80% of world trade by volume. Port management systems, vessel identity PKI (used in ECDIS and GMDSS), and maritime VPN infrastructure use RSA/ECDSA — AIS itself is an unauthenticated broadcast protocol and is not quantum-affected until authenticated replacements are deployed.","High","Port management system PKI, vessel identity certificate PKI, maritime VPN/TLS, electronic chart ECDIS authentication","ML-DSA for maritime authentication, PQC-enabled AIS, quantum-safe port systems","IMO Maritime Cyber Risk Management Guidelines","https://www.imo.org/en/OurWork/Security/Pages/Cyber-security.aspx","75","vpn-ssh-pqc|pki-workshop","","public/threats/SUPPLY-001.html","no",""
"Supply Chain / Logistics","SUPPLY-002","Electronic Bill of Lading quantum vulnerability: DCSA standards for electronic Bills of Lading (eBL) enable digital trade documentation for containerized shipping. Digital signatures on eBL documents prove ownership and transfer rights for cargo worth billions. Quantum forgery enables cargo theft and trade document fraud.","High","eBL digital signatures (RSA/ECDSA), trade document PKI, shipping platform TLS","ML-DSA for eBL signing, hybrid trade document certificates, PQC-enabled shipping platforms","DCSA Electronic Bill of Lading Standards","https://dcsa.org/standards/bill-of-lading","80","email-signing|pki-workshop","","public/threats/SUPPLY-002.html","no",""
"Supply Chain / Logistics","SUPPLY-003","Customs and cross-border trade quantum risk: WCO SAFE Framework of Standards governs security and facilitation of international trade. Digital certificates for customs declarations, AEO (Authorized Economic Operator) credentials, and single window systems use RSA/ECDSA. Quantum forgery enables customs fraud at global scale.","High","Customs declaration digital signatures, AEO certificates, single window system PKI","ML-DSA for customs signing, PQC-enabled single window, quantum-safe AEO credentials","WCO SAFE Framework of Standards","https://www.wcoomd.org/en/topics/facilitation/instrument-and-tools/frameworks-of-standards/safe_package.aspx","75","pki-workshop|email-signing","","public/threats/SUPPLY-003.html","no",""
"Telecommunications","TELCO-001","HNDL on subscriber data: Mobile network operators retain call detail records, location data, and encrypted communications for 2-10 years. 5G user data encrypted with vulnerable algorithms.","Critical","RSA, ECDSA, ECDH (subscriber authentication and key exchange); AES-128 legacy bearers weakened by Grover's algorithm but not broken","ML-KEM-1024, ML-DSA, AES-256","GSMA Security Guidelines","https://www.gsma.com/solutions-and-impact/technologies/security/","80","quantum-threats|5g-security|network-security-pqc|data-asset-sensitivity","","","no",""
"Telecommunications","TELCO-002","GSMA Post-Quantum Telco Network Taskforce: Established September 2022 to coordinate quantum-safe migration for mobile network operators worldwide. Published PQ.03 guidelines (v2.0 October 2024) providing telecom-specific PQC migration guidance. Taskforce brings together major operators and vendors to develop industry-wide PQC migration roadmap for 5G/6G infrastructure.","High","5G authentication (AKA), RAN encryption, IPsec/IKEv2 for network interconnects","3GPP PQC integration, ML-KEM for 5G security, hybrid authentication protocols","GSMA Post-Quantum Telco Network Taskforce","https://www.gsma.com/solutions-and-impact/technologies/security/post-quantum-telco-network-task-force/","80","5g-security|migration-program|compliance-strategy|network-security-pqc","","","no",""
"Telecommunications","TELCO-003","5G network security quantum vulnerability: 3GPP specifications define 5G security architecture (TS 33.501) using ECDSA and RSA for network authentication. 5G network slicing authentication and RAN encryption protect critical enterprise, IoT, and emergency services. N2/N3 interface security relies on IPsec with quantum-vulnerable key exchange.","High","5G AKA protocol, network slice authentication, N2/N3 IPsec/IKEv2, RAN encryption","3GPP Release 19+ PQC integration, ML-KEM for 5G SA, hybrid IKEv2","3GPP TS 33.501 5G Security Architecture","https://www.3gpp.org/specifications-technologies/specifications-by-series","75","5g-security|vpn-ssh-pqc|hybrid-crypto|network-security-pqc","","public/threats/TELCO-003.html","no",""
"Telecommunications","TELCO-004","SIM card and eSIM authentication quantum vulnerability: Billions of SIM cards globally use RSA-2048 or ECDSA P-256 for authentication. GSMA eSIM remote provisioning (SGP.22) relies on PKI with quantum-vulnerable key exchange. SIM replacement cycles of 3-5 years provide a migration window but legacy devices will persist longer.","High","RSA-2048, ECDSA P-256 in SIM authentication, eSIM remote provisioning PKI","ML-DSA for SIM authentication, PQC-enabled eSIM provisioning, hybrid schemes","GSMA eSIM Specification (SGP.22)","https://www.gsma.com/esim/","75","5g-security|pki-workshop|network-security-pqc|iam-pqc","","","no",""
"Telecommunications","TELCO-005","6G native PQC design window: 6G standards development (2025-2030 in 3GPP and ETSI) represents a critical opportunity to incorporate PQC from the design phase, avoiding the crypto-agility retrofit challenges facing 5G. ETSI ISG on Quantum-Safe Cryptography is providing input to 6G security architecture development.","High","6G authentication protocols, air interface encryption, network slicing, edge computing","Native ML-KEM/ML-DSA in 6G specifications, quantum-safe by design per ETSI QSC","ETSI ISG Quantum-Safe Cryptography / 3GPP","https://www.etsi.org/technologies/quantum-safe-cryptography","75","5g-security|hybrid-crypto|crypto-agility|network-security-pqc","","public/threats/TELCO-005.html","no",""
"Water / Wastewater","WATER-001","Water treatment plant SCADA quantum vulnerability: America's Water Infrastructure Act (AWIA) of 2018 requires community water systems serving 3,300+ people to conduct risk and resilience assessments including cybersecurity. Water treatment SCADA systems use ICS protocols with RSA/ECDSA authentication. CISA identifies Water and Wastewater Systems as one of 16 critical infrastructure sectors. Equipment lifecycles of 15-25 years with limited remote update capability.","Critical","SCADA/ICS authentication (RSA/ECDSA), VPN for remote monitoring, historian database encryption","IEC 62443 PQC update for water systems, ML-DSA for SCADA authentication, hybrid VPN","EPA America's Water Infrastructure Act (AWIA) 2018 / CISA","https://www.epa.gov/waterresilience/americas-water-infrastructure-act-2018-risk-assessments-and-emergency-response","75","iot-ot-pqc|vpn-ssh-pqc|hybrid-crypto|energy-utilities-pqc|network-security-pqc","","","no","CISA"
"Water / Wastewater","WATER-002","Smart water infrastructure quantum exposure: AWWA (American Water Works Association) standards govern smart water metering, leak detection sensors, and distribution network monitoring using IoT-connected devices. Advanced Metering Infrastructure (AMI) for water utilities faces similar PQC migration challenges as energy smart meters — constrained devices with limited crypto-agility deployed for 10-15 year cycles.","High","AMI mesh networking, smart meter PKI, SCADA remote terminal units, cloud platform TLS","Quantum-safe AMI protocols, ML-KEM for device provisioning, constrained device PQC","AWWA Cybersecurity Guidance for Water Utilities","https://www.awwa.org/resource/cybersecurity-guidance/","75","iot-ot-pqc|kms-pqc|hsm-pqc|energy-utilities-pqc|network-security-pqc","","public/threats/WATER-002.html","no",""
"Education / Research","EDU-001","Student PII harvest-now-decrypt-later exposure: FERPA mandates protection of student education records but does not address post-quantum cryptography. Student records including SSNs transcripts disciplinary records and health data are retained 60+ years. PowerSchool breach (2024) exposed 62 million student records demonstrating massive data aggregation risk. Encrypted student databases harvested today become readable once CRQCs arrive.","Critical","RSA/ECDSA protecting student information systems, TLS for SIS/LMS platforms, database encryption key wrapping","ML-KEM for database key management, AES-256-GCM, quantum-safe TLS for EdTech platforms","FERPA / US Department of Education","https://studentprivacy.ed.gov/ferpa","80","quantum-threats|pqc-risk-management|data-asset-sensitivity|database-encryption-pqc","","public/threats/EDU-001.html","no",""
"Education / Research","EDU-002","SAML federation identity compromise: InCommon Federation provides SAML-based identity and access management for US research and education institutions. Federation metadata is signed with 4096-bit RSA keys. Quantum forgery of IdP signing keys enables forged SAML tokens and privilege escalation across all federated services including library systems research databases financial aid and student portals. eduroam WiFi authentication also relies on EAP with RADIUS using RSA/ECDSA certificates.","Critical","RSA-4096 federation metadata signing, SAML assertion signatures (RSA/ECDSA), eduroam RADIUS certificates, EAP-TLS","ML-DSA for SAML assertion signing, PQC-enabled federation metadata, hybrid certificate chains for eduroam","Internet2 InCommon Federation / Jisc Trust and Identity","https://incommon.org/","80","pki-workshop|iam-pqc|hybrid-crypto","","public/threats/EDU-002.html","no",""
"Education / Research","EDU-003","Digital credential and diploma forgery: W3C Verifiable Credentials 2.0 and Open Badges 3.0 standards use ECDSA/RSA digital signatures for tamper-proof academic credentials. Universities worldwide are adopting blockchain-backed digital diplomas with permanent on-chain signatures. Quantum forgery enables creation of fraudulent academic credentials that are cryptographically indistinguishable from legitimate ones with permanent lifetime impact.","High","ECDSA P-256 in W3C Verifiable Credentials, RSA in traditional diploma PKI, blockchain ECDSA signatures","ML-DSA for credential signing, SLH-DSA for long-term archival signatures, PQC-enabled credential verification","W3C Verifiable Credentials Data Model 2.0","https://www.w3.org/TR/vc-data-model-2.0/","80","pki-workshop|digital-id|stateful-signatures","","public/threats/EDU-003.html","no",""
"Education / Research","EDU-004","Federally funded research data quantum exposure: Universities conducting defense-funded research handle ITAR/EAR/CUI data requiring decades-long protection. CMMC 2.0 mandates NIST SP 800-171 controls for DoD-funded research. Research data on quantum computing itself advanced materials genomics and AI represents high-value intelligence targets. Harvest-now-decrypt-later attacks on university research networks could compromise national security research programs.","Critical","RSA/ECDSA protecting research data repositories, TLS for research collaboration platforms, VPN encryption for lab networks","CNSA 2.0 compliance for defense research, ML-KEM-1024 for data encryption, ML-DSA-87 for research data signing","CMMC 2.0 / NIST SP 800-171","https://dodcio.defense.gov/CMMC/","80","compliance-strategy|vpn-ssh-pqc|kms-pqc|data-asset-sensitivity","","public/threats/EDU-004.html","yes","DoD"
"Education / Research","EDU-005","Education sector cyber attack escalation: Education is the most attacked sector globally with 4388 weekly cyberattacks per organization (2025) representing a 31% year-over-year increase. Average breach cost in higher education exceeds $3.7M. Schools use an average of 2591 EdTech tools per year each representing a potential attack surface. Quantum computing will amplify existing attack vectors by enabling cryptographic bypass of authentication and encryption across this already vulnerable sector.","High","TLS protecting EdTech platforms, RSA/ECDSA API authentication, school network encryption","Hybrid TLS 1.3 with ML-KEM, ML-DSA for EdTech API signing, crypto-agile school network architecture","Check Point Research / Higher Ed Dive","https://deepstrike.io/blog/data-breaches-education-2025","75","quantum-threats|pqc-risk-management|tls-basics","","public/threats/EDU-005.html","no",""
"Cross-Industry","CROSS-009","DNSSEC quantum signature forgery: DNSSEC uses RSA (RSASHA256 per RFC 6944) and ECDSA (ECDSAP256SHA256 per RFC 6605) to sign DNS records. Approximately 40% of global DNS domains have DNSSEC enabled including 92% root zone adoption. Quantum forgery of DNSSEC signatures enables DNS hijacking for any signed domain redirecting traffic to attacker-controlled servers. PQC signatures face challenges with DNS UDP packet size limits (~1232 bytes) requiring protocol-level changes. IETF draft-sheth-pqc-dnssec-strategy-00 addresses migration strategy.","Critical","RSASHA256 (RFC 6944), ECDSAP256SHA256/ECDSAP384SHA384 (RFC 6605), DNSSEC zone signing keys and key signing keys","ML-DSA or FN-DSA for compact DNSSEC signatures, hybrid DNS signing, TCP fallback for larger PQC signatures","IETF DNSSEC PQC Strategy / Verisign Research","https://datatracker.ietf.org/doc/draft-sheth-pqc-dnssec-strategy/","80","network-security-pqc|pki-workshop|hybrid-crypto","","public/threats/CROSS-009.html","no",""
