software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id,trusted_source_id,evidence_flags,proof_url,proof_publication_date,proof_relevant_info,validation_result,correction_notes
Kong API Gateway,CSC-015,API Security and JWT Libraries,Libraries,No,"Not stated in the document. The text mentions ""semantic security"" and ""MCP traffic security"" but does not specify Post-Quantum Cryptography algorithms or implementations.",Open Source,Apache-2.0/Commercial,3.13,2025-06,No,Critical,Linux Kubernetes Cloud,All industries,https://konghq.com,https://github.com/Kong/kong,API gateway built on NGINX. PQC mTLS available via underlying crypto library updates.,Open Source Foundation,Verified,2026-03-31,"migrate,launch",api-security-jwt;crypto-dev-apis;dev-quantum-impact;iam-pqc;web-gateway-pqc,VND-176,microsoft,doc-extraction,https://konghq.com/products/kong-gateway,2025,Kong Gateway: API gateway. No native PQC TLS support announced. Could inherit from OpenSSL 3.5.,VALIDATED_NO_PQC,No native PQC support. May inherit PQC from future OpenSSL 3.5 integration.
AWS Application Load Balancer (ALB),CSC-028,Cloud Encryption Gateways,Cloud,"Yes (ACVP: ML-DSA, ML-KEM)",Managed load balancing service. AWS rolled out hybrid ML-KEM TLS support to ALB and NLB endpoints enabling enterprises to achieve quantum-safe data-in-transit without modifying application code.,Commercial,Commercial (AWS),Current,2025,Yes (AWS-LC FIPS 140-3),Critical,AWS Cloud,All industries,https://aws.amazon.com/elasticloadbalancing/application-load-balancer,,Managed cloud load balancer providing instant PQC TLS transition for enterprise workflows.,Trusted Vendor,Verified,2026-02-21,"migrate,launch,rampup",tls-basics;web-gateway-pqc,VND-001,amazon-aws,doc-extraction,https://aws.amazon.com/about-aws/whats-new/2025/11/network-load-balancers-post-quantum-key-exchange-tls/,2025-11,"ALB supports PQ key exchange with hybrid ML-KEM policies (SecP256r1MLKEM768, X25519MLKEM768).",VALIDATED,PQC support validated with digital proof.
Cloudflare Edge Network,CSC-028,Cloud Encryption Gateways,Cloud,Yes (with details),"Deploys post-quantum hybrid key agreements using X25519MLKEM768 (default for modern browsers/OS) and X25519Kyber768Draft00. Supported via Cloudflare's fork of Go, OpenSSL 3.5.0+, Node.js, BoringSSL, GnuTLS, rustls, and NGINX.",Commercial,Commercial,Current,2025,Yes (Edge platform),Critical,Cloud Edge,All industries,https://blog.cloudflare.com/post-quantum-cryptography-ga/,,Edge network pioneer deploying PQC TLS at internet scale. ML-KEM active by default.,Trusted Vendor,Verified,2026-02-21,"migrate,launch,rampup",tls-basics;web-gateway-pqc,VND-057,cloudflare,no-cert-backing,https://blog.cloudflare.com/pq-2025/,2025-09,43% of human traffic using hybrid ML-KEM (X25519+ML-KEM). Production deployment confirmed across global edge network.,VALIDATED,PQC fully validated with production metrics. no-cert-backing flag is misleading.
JFrog Artifactory,CSC-040,CI/CD & Artifact Management,AppServers,No,"The document does not mention Post-Quantum Cryptography (PQC), quantum-resistant algorithms, or any plans for PQC migration. It focuses on artifact management, SCA, and general supply chain security.",Commercial,Commercial,Current,2026,Yes (FIPS mode),Critical,Cloud On-Premise,All industries,https://jfrog.com/artifactory/,,Artifact manager crucial for software supply chain security. PQC signing verification planned.,Trusted Vendor,Verified,2026-03-31,migrate,code-signing;platform-eng-pqc,VND-174,ietf,doc-extraction,https://jfrog.com/artifactory/,2025,JFrog Artifactory: artifact management. No PQC-specific features announced.,VALIDATED_NO_PQC,No PQC-specific features found.
Sonatype Nexus,CSC-040,CI/CD & Artifact Management,AppServers,No,"Not stated. The document mentions TLS encryption, SAML/SSO, and role-based access control but contains no mention of Post-Quantum Cryptography (PQC) algorithms or migration plans.",Commercial,Commercial,Current,2026,No,High,Cloud On-Premise,All industries,https://www.sonatype.com/products/nexus-repository,,Component registry. PQC verification depends on broader ecosystem adoption.,Trusted Vendor,Verified,2026-03-31,migrate,code-signing;platform-eng-pqc,VND-182,ietf,doc-extraction,https://www.sonatype.com/products/sonatype-nexus-repository,2025,Sonatype Nexus Repository: artifact management. No PQC-specific features announced.,VALIDATED_NO_PQC,No PQC-specific features found.
CyberArk Conjur,CSC-053,Secrets Management,Security Stack,No,Not stated in the provided text.,Commercial,Commercial,Current,2026,Yes (FIPS mode),High,Linux Cloud,Enterprise,https://www.cyberark.com/,,Enterprise secrets manager. PQC adoption awaits broader standardization.,Trusted Vendor,Verified,2026-03-31,"migrate,launch,rampup",iam-pqc;kms-pqc;secrets-management-pqc,VND-162,nist-csrc,doc-extraction,https://www.cyberark.com/products/conjur-cloud/,2025,CyberArk Conjur: secrets management. No PQC-specific encryption announced.,VALIDATED_NO_PQC,No PQC-specific features found.
Keyfactor Command,CSC-041,Certificate Lifecycle Management,Security Stack,Yes (with details),"Supports discovery of post-quantum (PQ) and hybrid certificates via real-time visibility. Offers a ""PQC Lab"" sandbox for quantum readiness and resources. Mentions ""Quantum-ready algorithms"" and Key Encapsulation Mechanisms (KEMs) in educational content, but specific algorithm names are not listed in the product feature text.",Commercial,Commercial,25.x,2025,Yes (FIPS 140-2),Critical,Cloud On-premises Windows Linux,Finance Healthcare Government Enterprise,https://www.keyfactor.com/products/command/,,Enterprise CLM platform with native PQC hybrid certificate issuance and crypto-agility workflows for mass migration.,Trusted Vendor,Verified,2026-03-31,"assess,migrate",arch-quantum-impact;compliance-strategy;healthcare-pqc;kms-pqc;merkle-tree-certs;migration-program;ops-quantum-impact;pki-workshop;pqc-governance;vendor-risk,VND-024,keyfactor,doc-extraction; no-cert-backing,https://www.keyfactor.com/blog/into-the-pqc-future-keyfactor-25_1/,2025,"Command 24.4+ inventories ML-DSA certs, generates hybrid CSRs. Command 25.2 expanded PQC features.",VALIDATED,PQC validated via Keyfactor blog.
Venafi TLS Protect,CSC-041,Certificate Lifecycle Management,Security Stack,Yes (with details),"Not stated in the provided text. No mention of Post-Quantum Cryptography algorithms, migration plans, or readiness status.",Commercial,Commercial,25.x,2025,No,Critical,Cloud SaaS Windows Linux,Finance Healthcare Government Enterprise,https://docs.venafi.com/Docs/24.3/TopNav/Content/CodeSigning/t-codesigning-pqc.php,,Machine identity management with PQC certificate lifecycle support. Provides quantum-readiness discovery and mass migration workflows.,Trusted Vendor,Verified,2026-03-31,"assess,migrate",arch-quantum-impact;compliance-strategy;healthcare-pqc;merkle-tree-certs;migration-program;ops-quantum-impact;pki-workshop;pqc-business-case;vendor-risk,VND-059,iec,no-cert-backing; web-verified,https://www.businesswire.com/news/home/20241002102204/en/Venafi-Unveils-New-Product-Capabilities-to-Help-Organizations-Prepare-for-a-Multi-Cloud-and-Post-Quantum-Future,2024-10,Experimental ML-DSA and SLH-DSA for TLS server certificates.,VALIDATED,PQC support validated with digital proof.
AppViewX CERT+,CSC-041,Certificate Lifecycle Management,Security Stack,Yes (with details),"Automated certificate lifecycle management platform. PQC certificate issuance planned via integration with DigiCert, Entrust, and Sectigo CAs supporting ML-DSA. Crypto-agility engine targets automated bulk migration from RSA/ECDSA to PQC certificates.",Commercial,Commercial,Current,2025,No,High,Cloud SaaS On-premises,Finance Healthcare Telecom Enterprise,https://www.appviewx.com/post-quantum-readiness/,,Automated CLM with PQC roadmap through CA partner integrations. Targets bulk certificate migration workflows.,Trusted Vendor,Verified,2026-03-30,"assess,migrate",5g-security;arch-quantum-impact;healthcare-pqc;merkle-tree-certs;migration-program;ops-quantum-impact;pki-workshop,VND-167,iec,needs-extraction,https://www.appviewx.com/news/appviewx-post-quantum-cryptography-pqc-test-center-enables-organizations-to-implement-future-ready-security-posture-today/,2024,PQC Test Center operational. FIPS 203/204/205 certificate issuance supported. PQC Assessment Tool available.,VALIDATED,Evidence needs extraction from source | PQC validated. Certificate issuance with FIPS 203/204/205 algorithms confirmed.
Okta Workforce Identity,CSC-042,Identity & Access Management (IAM),Security Stack,No,"The document does not mention Post-Quantum Cryptography (PQC), quantum-resistant algorithms, or migration plans for PQC. It mentions OIDC ID Token Encryption using JSON Web Encryption (JWE) but does not specify the underlying cryptographic primitives as PQC.",Commercial,Commercial (SaaS),Current,2026,Yes (FedRAMP High),Critical,Cloud SaaS,All industries,https://www.okta.com/resources/whitepaper/okta-and-post-quantum-cryptography/,,Leading enterprise IAM. PQC TLS transport in progress; OIDC/SAML PQC token signatures awaiting IETF JOSE/COSE standard finalization.,Trusted Vendor,Verified,2026-03-31,"migrate,launch",digital-id;iam-pqc,VND-060,iec,doc-extraction,https://www.okta.com/workforce-identity/,2025,Okta Workforce Identity: IAM platform. No PQC authentication features announced.,VALIDATED_NO_PQC,No PQC authentication features announced.
Keycloak,CSC-042,Identity & Access Management (IAM),Security Stack,No,Not stated in the provided text.,Open Source,Apache-2.0,26.x,2026,No,Critical,Docker Kubernetes Java Linux,All industries,https://www.keycloak.org/,https://github.com/keycloak/keycloak,Open source IAM standard. PQC token signature support planned via Java/Bouncy Castle ecosystem and IETF JOSE PQC algorithm adoption.,Open Source Foundation,Verified,2026-03-31,"migrate,launch",api-security-jwt;crypto-dev-apis;digital-id;iam-pqc,VND-032,microsoft,doc-extraction,https://github.com/keycloak/keycloak/issues/43690,2024,Open issue discussing PQC challenges. No timeline.,VALIDATED_NO_PQC,Confirmed No PQC with digital proof.
Ping Identity PingFederate,CSC-042,Identity & Access Management (IAM),Security Stack,No,Not stated in the provided text.,Commercial,Commercial,13.0,2025,Yes (FIPS 140-2),High,Linux Windows Docker,Finance Healthcare Government Telecom,https://www.pingidentity.com/,,Enterprise federation server with PQC roadmap for hybrid authentication signatures across SAML and OIDC protocols.,Trusted Vendor,Verified,2026-03-31,"migrate,launch",5g-security;crypto-dev-apis;digital-id;healthcare-pqc;iam-pqc;migration-program,VND-178,iec,doc-extraction,https://www.pingidentity.com/en/platform/capabilities/single-sign-on/pingfederate.html,2025,PingFederate: federation server. No PQC-specific features announced.,VALIDATED_NO_PQC,No PQC-specific features announced.
Thales CipherTrust Data Security Platform,CSC-043,Data Security & Protection,Security Stack,"Yes (ACVP: LMS, ML-DSA, ML-KEM)","Unified data security platform combining CipherTrust Manager, transparent encryption (CTE), tokenization, and key management. Integrates with Thales Luna HSMs (firmware 7.9+) supporting ML-KEM and ML-DSA. Provides quantum-safe encryption for structured and unstructured data at rest.",Commercial,Commercial,2.x,2025,Yes (FIPS 140-2 L2 via Luna),Critical,Linux Windows Cloud,Finance Healthcare Government Defense,https://cpl.thalesgroup.com/encryption/ciphertrust-data-security-platform,,Comprehensive data security platform with quantum-safe encryption via Luna HSM backends. Covers data-at-rest encryption tokenization and key lifecycle.,Trusted Vendor,Verified,2026-02-21,"launch,rampup",aerospace-pqc;data-asset-sensitivity;database-encryption-pqc;healthcare-pqc;hsm-pqc,VND-041,thales-research,doc-extraction,https://data-protection-updates.gemalto.com/2025/09/04/thales-ciphertrust-2-21-now-available/,2025,CipherTrust Manager v2.20+ ML-KEM for API and web interface. ML-KEM TLS cipher.,VALIDATED,PQC support validated with digital proof.
IBM Security Guardium Data Protection,CSC-043,Data Security & Protection,Security Stack,No,"Not stated. The document mentions managing certificates and security baselines but does not explicitly mention Post-Quantum Cryptography (PQC), quantum-resistant algorithms, or PQC migration plans.",Commercial,Commercial,12.x,2025,Yes (FIPS 140-2),High,Linux Windows Cloud,Finance Healthcare Government,https://www.ibm.com/products/guardium-data-protection,,Enterprise data protection and monitoring. PQC via IBM HPCS integration for quantum-safe key management and data-at-rest encryption.,Trusted Vendor,Verified,2026-03-31,"launch,rampup",data-asset-sensitivity;database-encryption-pqc;healthcare-pqc;kms-pqc,VND-019,q360-alliance,doc-extraction,https://www.ibm.com/quantum/quantum-safe,2025,IBM Quantum Safe portfolio includes Guardium tools for cryptographic inventory and remediation.,VALIDATED,PQC: IBM Guardium is part of IBM Quantum Safe portfolio for crypto discovery.
Virtru Data Protection,CSC-043,Data Security & Protection,Security Stack,Unknown,"Not stated in the document. The text mentions ""open standards"" and ""Trusted Data Format"" but does not specify Post-Quantum Cryptography algorithms, readiness, or migration plans.",Commercial,Commercial,Current,2025,No,High,Cloud Web Windows macOS,Government Defense Healthcare Finance,https://www.virtru.com/data-protection/,,Zero-trust data protection with TDF envelope encryption. PQC ML-KEM planned to counter HNDL attacks on persistent encrypted data.,Trusted Vendor,Verified,2026-03-31,"launch,rampup",aerospace-pqc;data-asset-sensitivity;database-encryption-pqc;healthcare-pqc,VND-188,ietf,doc-extraction,https://www.virtru.com/blog/data-centric-security/quantum-encryption,2025,Uses TDF open standard enabling PQC algorithm swaps. Currently AES-256 encryption. Architecture quantum-future-ready but not yet quantum-safe.,PARTIALLY_VALIDATED,Upgraded from Unknown to No with note. AES-256 symmetric is quantum-adequate for data-at-rest.
Auth0 (Okta Customer Identity),CSC-044,Customer Identity & Access Management (CIAM),Security Stack,No,"Not stated in the provided text. The document contains no mention of Post-Quantum Cryptography, quantum-resistant algorithms, or migration plans.",Commercial,Commercial (SaaS),Current,2026,No,High,Cloud SaaS,Retail Finance Healthcare Technology,https://auth0.com/,https://github.com/auth0,Leading CIAM platform. PQC TLS via Okta infrastructure. OIDC/OAuth PQC token signatures planned post IETF standard finalization.,Trusted Vendor,Verified,2026-03-31,"migrate,launch",digital-id;healthcare-pqc;iam-pqc,VND-060,microsoft,doc-extraction,https://auth0.com/,2025,Auth0: customer identity platform. No PQC authentication features announced.,VALIDATED_NO_PQC,No PQC authentication features announced.
Intel TDX (Trust Domain Extensions),CSC-052,Confidential Computing,Hardware,"Yes (ACVP: ML-DSA, ML-KEM)",Intel TDX provides hardware-isolated Trusted Execution Environments (TEEs) at the VM level using architectural extensions on 4th/5th Gen Xeon processors. TDX Trust Domains protect data-in-use from hypervisor and host OS. PQC attestation report signing planned; current remote attestation uses ECDSA P-256 via Intel PCS. Combines with ML-KEM encrypted memory sealing on roadmap.,Proprietary,Commercial (Intel),Xeon 5th Gen (Emerald Rapids),2024,No,High,Linux KVM VMware,Cloud Finance Healthcare Government,https://www.intel.com/content/www/us/en/developer/tools/trust-domain-extensions/overview.html,https://github.com/intel/tdx,Hardware VM-level confidential computing via Intel TEE. PQC attestation signing on roadmap for quantum-safe workload integrity guarantees.,Trusted Vendor,Verified,2026-02-21,"prepare,migrate,launch",confidential-computing;healthcare-pqc;migration-program,VND-022,cmvp,doc-extraction,https://www.intel.com/content/www/us/en/developer/tools/trust-domain-extensions/overview.html,2025,"TDX is a TEE for hardware isolation. PQC comes from host OS/libraries, not TDX itself.",NEEDS_REVIEW,"WARNING: TDX is a TEE, not a crypto implementation. PQC support is from host OS, not TDX directly."
AMD SEV-SNP (Secure Encrypted Virtualization),CSC-052,Confidential Computing,Hardware,No,"The document does not mention Post-Quantum Cryptography, PQC algorithms, or migration plans. It focuses on memory encryption for VMs using standard symmetric and asymmetric cryptography inherent to the AMD-V architecture.",Proprietary,Commercial (AMD),EPYC Turin (5th Gen),2024-10,No,High,Linux KVM Hyper-V,Cloud Finance Healthcare Government,https://www.amd.com/en/developer/sev.html,https://github.com/AMDESE/AMDSEV,Hardware VM memory encryption with integrity via AMD TEE. PQC attestation signing planned for future EPYC generations to ensure quantum-safe workload trust.,Trusted Vendor,Verified,2026-03-31,"prepare,migrate,launch",confidential-computing;healthcare-pqc,VND-148,microsoft,doc-extraction,https://www.amd.com/en/developer/sev.html,2025,AMD Versal Gen 2 Adaptive SoCs use PQC for secure boot (CNSA 2.0). SEV-SNP itself is VM isolation.,NEEDS_REVIEW,"NOTE: AMD Versal Gen 2 has PQC, but SEV-SNP is VM isolation, not a PQC implementation."
ARM Confidential Compute Architecture (CCA),CSC-052,Confidential Computing,Hardware,No,"The document does not mention Post-Quantum Cryptography, PQC algorithms, or migration plans. It focuses on confidential computing via hardware isolation (Realms) rather than specific cryptographic algorithm updates for quantum resistance.",Proprietary,Commercial (ARM),ARMv9-A (Cortex-A Series),2025,No,High,ARM Linux Android,Mobile Cloud IoT Defense,https://www.arm.com/architecture/security-features/arm-confidential-compute-architecture,https://github.com/ARM-software/cca-rmm-acs,ARM hardware confidential computing via Realms on ARMv9-A. PQC attestation (ML-DSA) planned for future cores ensuring quantum-safe workload isolation.,Trusted Vendor,Verified,2026-03-31,"prepare,migrate,launch",aerospace-pqc;confidential-computing,VND-149,microsoft,doc-extraction,https://www.arm.com/architecture/security-features/arm-confidential-compute-architecture,2025,"ARM CCA: confidential computing architecture. TEE technology, not PQC implementation.",VALIDATED_NO_PQC,"CCA is TEE/confidential computing, not PQC algorithm implementation."
Google Cloud KMS,CSC-045,Cloud Key Management Service (KMS),Cloud,"Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)",Cloud encryption gateway with PQC key types. ML-KEM-768/1024 and X-Wing (Preview) for key encapsulation. ML-DSA-65 and SLH-DSA (Preview) for signing. Powered by BoringCrypto and Tink. Cloud HSM uses Marvell LiquidSecurity. Note: ML-KEM status may still be Preview not GA as of March 2026 — verify before claiming GA.,Commercial,Commercial (Google),Current,2025-10,Yes (FIPS 140-2 L1 software / L3 Cloud HSM),Critical,Google Cloud,All industries,https://cloud.google.com/kms/docs/algorithms,,Leading cloud KMS with production-ready PQC key types. Google enables customers to create and use ML-KEM and ML-DSA keys directly for application-level quantum-safe operations.,Trusted Vendor,Verified,2026-03-30,"migrate,launch,rampup",database-encryption-pqc;kms-pqc;secrets-management-pqc,VND-018,google,ml-kem-may-be-preview-not-ga,https://cloud.google.com/blog/products/identity-security/announcing-quantum-safe-key-encapsulation-mechanisms-in-cloud-kms,2025-10,ML-KEM-768 preview. ML-DSA-65 (FIPS 204). SLH-DSA. Full rollout expected 2026.,VALIDATED,PQC support validated with digital proof.
AWS KMS,CSC-045,Cloud Key Management Service (KMS),Cloud,"Yes (ACVP: ML-DSA, ML-KEM)",ML-DSA digital signatures (FIPS 204) GA since June 2025 with ML-DSA-44/65/87 key specs via CreateKey/Sign/Verify APIs in FIPS 140-3 L3 HSMs. ML-KEM hybrid TLS for API transit protection via AWS-LC. PQC key import (BYOK) not supported — ML-DSA keys must be generated in KMS. External Key Store (XKS) symmetric-only — no PQC HYOK. AWS Private CA supports ML-DSA certificate issuance for code signing workflows.,Commercial,Commercial (AWS),Current,2025,Yes (FIPS 140-3 L3),Critical,AWS Cloud,All industries,https://aws.amazon.com/kms/,,Managed cloud KMS with GA ML-DSA signing (FIPS 204) in FIPS 140-3 L3 HSMs. ML-KEM hybrid TLS for transit. No PQC BYOK/HYOK. AWS Private CA enables ML-DSA code signing.,Trusted Vendor,Verified,2026-02-24,"migrate,launch,rampup",database-encryption-pqc;hsm-pqc;kms-pqc;secrets-management-pqc,VND-001,amazon-aws,doc-extraction,https://aws.amazon.com/blogs/security/ml-kem-post-quantum-tls-now-supported-in-aws-kms-acm-and-secrets-manager/,2025-11,ML-KEM post-quantum TLS with hybrid ECDH+ML-KEM. ML-DSA FIPS 204 digital signatures via AWS KMS APIs.,VALIDATED,PQC support validated with digital proof.
Azure Key Vault,CSC-045,Cloud Key Management Service (KMS),Cloud,Yes (with details),"Not stated in the provided text. The document mentions ""Quantum computing"" as a general Azure solution category but does not link it to Azure Key Vault's specific cryptographic capabilities or PQC algorithms.",Commercial,Commercial (Microsoft),Current,2026,Yes (FIPS 140-2 L1 software / L3 Managed HSM),Critical,Azure Cloud,All industries,https://azure.microsoft.com/en-us/products/key-vault,,Cloud key management with HSM-backed storage. PQC in SymCrypt but not yet exposed as Key Vault key types; scheduled per Microsoft 2029 CNSA 2.0 quantum-safe roadmap.,Trusted Vendor,Verified,2026-03-31,"migrate,launch,rampup",database-encryption-pqc;hsm-pqc;kms-pqc;migration-program;pqc-business-case;secrets-management-pqc,VND-027,microsoft,web-verified,https://www.microsoft.com/en-us/security/blog/2025/08/20/quantum-safe-security-progress-towards-next-generation-cryptography/,2025-08,Azure Key Vault integrates ML-KEM with hybrid post-quantum key exchange combining classical ECDH.,VALIDATED,PQC support validated with digital proof.
Thales Luna Cloud HSM (DPoD),CSC-046,Cloud Hardware Security Module (HSM),Cloud,Planned,"Luna HSM-as-a-Service via Thales Data Protection on Demand (DPoD). PQC is planned — ML-KEM (FIPS 203), ML-DSA (FIPS 204), and LMS/HSS (SP 800-208) targeted for cloud instances as Luna firmware v7.9.x rolls out. No DPoD-specific ACVP certification yet; on-premises Luna K7 cert (A7358) does not cover DPoD. Available across AWS, Azure, and GCP marketplaces.",Commercial,Commercial,7.x,2026-02,Yes (FIPS 140-2 L3),Critical,AWS Azure GCP On-premises,Finance Healthcare Government Defense,https://cpl.thalesgroup.com/encryption/data-protection-on-demand,,"Cloud HSM-as-a-Service via Thales DPoD. PQC (ML-KEM, ML-DSA, LMS/HSS) planned via Luna firmware v7.9.x rollout — not yet available on cloud instances. No DPoD-specific ACVP cert. FIPS 140-2 L3 validated hardware.",Trusted Vendor,Verified,2026-03-31,"prepare,migrate,launch",aerospace-pqc;healthcare-pqc;hsm-pqc;secure-boot-pqc,VND-041,thales-research,doc-extraction,https://cpl.thalesgroup.com/encryption/data-protection-on-demand/services/luna-cloud-hsm-services,2025,"Luna Cloud HSM leverages Luna FW v7.9 PQC: ML-KEM, ML-DSA, LMS-HSS.",CORRECTED,CORRECTION: Not merely planned; already deployed via Luna FW v7.9.
AWS CloudHSM,CSC-046,Cloud Hardware Security Module (HSM),Cloud,"Yes (ACVP: ML-DSA, ML-KEM)",Dedicated managed HSM service in AWS (FIPS 140-2 L3). ML-KEM-768 and ML-DSA-65 available through AWS Crypto Tools SDK integration. Native PKCS#11 PQC mechanisms not yet available in firmware. AWS KMS provides PQC TLS endpoints with ML-KEM hybrid. Managed service with multi-AZ redundancy.,Commercial,Commercial (AWS),Current,2025,Yes (FIPS 140-2 L3),Critical,AWS Cloud,Finance Healthcare Government,https://aws.amazon.com/cloudhsm/,,AWS dedicated cloud HSM. FIPS 140-2 L3 hardware. PQC firmware support on roadmap aligned with NIST standards.,Trusted Vendor,Partially Verified,2026-03-25,"prepare,migrate,launch",healthcare-pqc;hsm-pqc;migration-program;secure-boot-pqc;vendor-risk,VND-001,amazon-aws,doc-extraction,https://aws.amazon.com/security/post-quantum-cryptography/,2025-06,ML-DSA key pair generation and signatures in preview for CloudHSM.,VALIDATED,PQC support validated with digital proof.
ID Quantique Quantis QRNG,CSC-047,Quantum Random Number Generator (QRNG),Hardware,No,"The document describes the product as a source of ""true randomness"" and ""entropy"" to secure keys against predictability, but it does not state that the device implements Post-Quantum Cryptography (PQC) algorithms itself. It is positioned as a component for ""Quantum-Safe Security"" by providing high-quality entropy for key generation, not as a PQC algorithm implementation.",Commercial,Commercial,Quantis 2.0 (PCIe/USB),2024,Yes (FIPS 140-2 / AIS 31),High,Windows Linux PCIe USB OEM,Finance Government Defense Telecom,https://www.idquantique.com/random-number-generation/products/quantis-random-number-generator/,,Market-leading hardware QRNG. Quantum entropy from photon detection for PQC key seeding HSM integration and high-assurance randomness. Supports FIPS 140-2 entropy source qualification.,Trusted Vendor,Verified,2026-03-31,"prepare,launch",5g-security;aerospace-pqc;entropy-randomness;hsm-pqc;research-quantum-impact,VND-157,etsi-cyber,no-cert-backing; pre-standard-date,https://www.idquantique.com/random-number-generation/quantis-qrng/,2025,ID Quantique Quantis QRNG provides quantum random number generation. Not PQC algorithms but quantum-native.,VALIDATED_NO_PQC,QRNG is quantum technology but not PQC algorithm implementation. Provides quantum entropy source.
Quantinuum Quantum Origin,CSC-047,Quantum Random Number Generator (QRNG),Hardware,No,"The document describes Quantum Origin as a QRNG designed to ""strengthen encryption"" and help organizations become ""post-quantum ready"" by providing provable quantum entropy for key generation. It does not state that the product implements specific Post-Quantum Cryptography (PQC) algorithms (e.g., CRYSTALS-Kyber, Dilithium) or replaces classical signature schemes with PQC primitives.",Commercial,Commercial (SaaS),Current,2025,Yes (NIST SP 800-90B validated April 2025 — first software QRNG to receive NIST validation),High,Cloud API Azure AWS,Finance Government Defense Technology,https://www.quantinuum.com/cybersecurity/quantumorigin,,Quantum computer-sourced entropy service for PQC key generation. Integrates with HSMs and KMS for quantum-grade randomness seeding ML-KEM and classical key pairs.,Trusted Vendor,Verified,2026-03-31,"prepare,launch",aerospace-pqc;entropy-randomness;hsm-pqc;kms-pqc;research-quantum-impact,VND-179,quantinuum,no-cert-backing,https://www.quantinuum.com/products/quantum-origin,2025,Quantinuum Quantum Origin: quantum-computing-hardened encryption keys. Uses quantum computer for key generation.,VALIDATED_NO_PQC,"Quantum Origin is quantum key generation, not PQC algorithm implementation."
QuintessenceLabs qStream,CSC-047,Quantum Random Number Generator (QRNG),Hardware,No,"The document describes a Quantum Random Number Generator (QRNG) using quantum technology for true random number generation. It does not mention Post-Quantum Cryptography (PQC) algorithms, migration plans, or PQC-specific implementations.",Commercial,Commercial,qStream 200,2024,Yes (NIST SP 800-90B),High,Linux PCIe Network Appliance,Finance Government Defense Energy,https://www.quintessencelabs.com/products,,High-speed hardware QRNG with quantum optical entropy. NIST SP 800-90B compliant. Used in government and finance for PQC key generation and HSM entropy seeding.,Trusted Vendor,Verified,2026-03-31,"prepare,launch",aerospace-pqc;energy-utilities-pqc;entropy-randomness;hsm-pqc;research-quantum-impact,VND-180,etsi-cyber,no-cert-backing,https://www.quintessencelabs.com/products/qstream/,2025,"QuintessenceLabs qStream: quantum random number generator. Provides quantum entropy, not PQC algorithms.",VALIDATED_NO_PQC,"qStream is QRNG technology, not PQC algorithm implementation."
ID Quantique Cerberis XGR QKD,CSC-030,Quantum Key Distribution Software,Hardware,Unknown,"The document states the product is a Quantum Key Distribution (QKD) system providing ""proven secrecy of encryption keys"" via quantum physics principles. It mentions protecting against future quantum computers by securing key exchange, but does not state support for specific PQC algorithms (e.g., lattice-based, hash-based).",Commercial,Commercial,Cerberis XGR,2024,No,High,Optical Fiber (SMF) Network Appliance,Finance Government Defense Telecom,https://www.idquantique.com/idq-unveils-cerberis-xgr/,,Leading commercial QKD system with CV and DV modes. ETSI API compliant for network integration. Deployed in banking and government with hybrid QKD+PQC capability.,Trusted Vendor,Verified,2026-03-31,"launch,rampup",5g-security;aerospace-pqc;crypto-dev-apis;qkd,VND-157,etsi-cyber,no-cert-backing; protocol-is-bb84-not-cow,https://www.idquantique.com/quantum-safe-security/products/cerberis-xg-qkd-system/,2025,"Cerberis XGR uses COW (Coherent One-Way) protocol, NOT BB84. BB84 is used in separate Clavis XGR product line. COW protocol is IDQ patented.",CORRECTED,"CRITICAL: evidence_flags ""protocol-is-bb84-not-cow"" is BACKWARDS. Cerberis uses COW, Clavis uses BB84. Flag should be ""protocol-is-cow-not-bb84""."
Toshiba QKD System,CSC-030,Quantum Key Distribution Software,Hardware,No,"The document describes Quantum Key Distribution (QKD) based on quantum physics to secure against future computing threats, but does not explicitly mention Post-Quantum Cryptography (PQC) algorithms or software implementations.",Commercial,Commercial,Multiplexed QKD v2,2025,No,High,Optical Fiber Network Appliance,Government Defense Finance Telecom,https://www.global.toshiba/ww/products-solutions/security-ict/qkd.html,,High-speed QKD with world-record key rates. ETSI standards leader. Deployed in Tokyo and UK national quantum networks with PQC hybrid capability.,Trusted Vendor,Verified,2026-03-31,"launch,rampup",5g-security;aerospace-pqc;qkd,VND-158,etsi-cyber,no-cert-backing; protocol-is-t12-bb84-not-dps,https://www.toshiba.eu/quantum/products/quantum-key-distribution/,2025,"Toshiba QKD: BB84/COW protocol quantum key distribution. Complementary to PQC, not PQC itself.",VALIDATED_NO_PQC,"QKD is quantum communication technology, complementary to but distinct from PQC."
