id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs,body_type,website
UAE-CSC-PQC,UAE National Encryption Policy,UAE Cybersecurity Council national encryption policy mandating PQC transition,Government & Defense;Finance & Banking;Technology,United Arab Emirates,yes,2026 (migration roadmaps); 2030 (full migration),UAE Cybersecurity Council approved National Encryption Policy (Nov 2025) mandating all government entities develop PQC transition plans. Migration roadmaps due 2026. QuantumGate program drives large-scale PQC implementation 2026-2030. DESC launched PQC Guideline at GISEC Global 2025.,UAE CSC/DESC,,United Arab Emirates:UAE CSC,compliance_framework,https://www.csc.gov.ae/
CISA-PQC-PROCUREMENT,CISA PQC Federal Buying Guidance,CISA product category list and federal procurement guidance for PQC per EO 14306,Government & Defense;Technology,United States,yes,2026 (effective Jan 2026),"CISA published PQC product category list per Executive Order 14306 identifying cloud services, web software, networking hardware, and endpoint security as PQC-ready categories. Federal agencies directed to acquire only PQC-capable products. Developed with NSA and ATARC.",CISA/NSA,CISA-PQC-CATEGORY-LIST-2026;EO-14306,United States:CISA,compliance_framework,https://www.cisa.gov/quantum
G7-CEG-PQC,G7 Financial Sector PQC Roadmap,G7 Cyber Expert Group coordinated PQC transition roadmap for the financial sector,Finance & Banking;Government & Defense,Global,yes,2030-2032 (critical systems); 2035 (non-critical),"G7 Cyber Expert Group (chaired by US Treasury and Bank of England) published coordinated PQC transition framework for global financial sector (Jan 2026). Covers inventory, risk prioritization, algorithm selection, testing, and interoperability for G7 financial institutions.",G7 CEG/US Treasury,G7-Financial-PQC-Roadmap-2026;BIS-Paper-158,G7:G7 CEG,compliance_framework,https://home.treasury.gov/
PKCS11-V32,PKCS#11 v3.2 (PQC HSM Interface),"OASIS PKCS#11 v3.2 standard adding ML-KEM, ML-DSA, and SLH-DSA mechanisms for hardware security modules",Government & Defense;Finance & Banking;Technology,Global,yes,Ongoing (Committee Specification Draft April 2025),"PKCS#11 v3.2 adds PQC mechanisms: ML-KEM (CKM_ML_KEM), ML-DSA (CKM_ML_DSA), SLH-DSA (CKM_SLH_DSA). Introduces C_EncapsulateKey()/C_DecapsulateKey() for KEM operations. New key types and parameter set attributes. Critical for all HSM vendors implementing PQC.",OASIS PKCS11 TC,PKCS11-V32-OASIS,Global:OASIS,technical_standard,https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/
CAB-FORUM-SMC013,CA/Browser Forum Ballot SMC013,CA/Browser Forum ballot enabling ML-DSA PQC signatures in S/MIME certificates,Technology;Finance & Banking,Global,yes,Adopted (August 2025),"Enables ML-DSA post-quantum digital signatures in S/MIME certificates. IPR exclusion period completed with no notices. First Web PKI governance body PQC adoption, signaling CAs can issue PQC S/MIME certificates.",CA/Browser Forum,CA-B-Forum-Ballot-SMC013,Global:CA/Browser Forum,technical_standard,https://cabforum.org/
ACVP,NIST ACVP (Algorithm Validation),NIST Automated Cryptographic Validation Protocol for PQC algorithm testing,Technology;Government & Defense,United States;Global,yes,Ongoing (ML-KEM/ML-DSA validation active),NIST CAVP/ACVP validates individual cryptographic algorithm implementations. Already validating ML-KEM and ML-DSA implementations. Distinct from CMVP/FIPS 140-3 which validates complete modules. Provides algorithm-level compliance evidence.,NIST,,United States:NIST,certification_body,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program
TAIWAN-MODA-PQC,Taiwan Five-Year PQC Plan,Taiwan Ministry of Digital Affairs five-year PQC implementation plan,Government & Defense;Technology,Taiwan,yes,2027 (interim milestone); 2029 (completion),Taiwan MODA launched five-year PQC implementation plan (2024-2029) targeting quantum-safe government digital infrastructure. Interim quantum-safe milestone at 2027.,MODA,,Taiwan:MODA,compliance_framework,https://moda.gov.tw/en/
MALAYSIA-NACSA-PQC,Malaysia National PQC Migration,Malaysia NACSA national PQC migration roadmap — first ASEAN nation with comprehensive plan,Government & Defense;Technology,Malaysia,yes,2025-2030 (phased),First ASEAN nation to publish comprehensive national PQC migration roadmap (Oct 2025). Includes PQC Sandbox program for proof-of-concept testing. Phased approach aligned with NIST standards.,NACSA,,Malaysia:NACSA,compliance_framework,https://www.nacsa.gov.my/
SAUDI-NCA-PQC,Saudi NCA Cybersecurity Controls,Saudi Arabia National Cybersecurity Authority essential cybersecurity controls with expanded cryptography domain,Government & Defense;Finance & Banking;Energy & Utilities,Saudi Arabia,no,Ongoing (ECC-2:2024),"NCA released Essential Cybersecurity Controls 2024 (ECC-2:2024) with expanded cryptography domain covering encryption strength, key management, secure protocols, and lifecycle governance. National quantum strategy with M budget aligned with Vision 2030.",NCA,,Saudi Arabia:NCA,compliance_framework,https://nca.gov.sa/en/
BIS-158-PQC,BIS Paper 158 Quantum Roadmap,Bank for International Settlements quantum-readiness roadmap for global financial systems,Finance & Banking,Global,yes,Early 2030s (critical systems quantum-safe),"BIS Paper 158 outlines quantum-readiness roadmap for global financial systems covering cryptographic inventory, migration timelines, and cross-border interoperability for central banks. Referenced by MAS, HKMA, and G7 CEG.",BIS,BIS-Paper-158,International:BIS,compliance_framework,https://www.bis.org/publ/bppdf/bispap158.htm
3GPP-PQC,3GPP PQC for 5G/6G,3GPP SA3 study on integrating PQC into 5G security protocols,Telecommunications,Global,yes,Ongoing (study item approved May 2025),"3GPP SA3 study (TR 33.841) on integrating standalone or hybrid PQC algorithms into existing 5G security protocols including TLS, IPSec, and IKEv2. Complements GSMA NG.116 and ETSI QSC work.",3GPP SA3,3GPP-PQC-Study-2025,Global:3GPP SA3,technical_standard,https://www.3gpp.org/
TCG-TPM-PQC,TCG TPM 2.0 PQC Spec,Trusted Computing Group TPM 2.0 library specification update incorporating PQC algorithms,Technology;Government & Defense,Global,yes,Draft (July 2025),"TPM 2.0 Library specification updates incorporating FIPS 203/204 PQC algorithms with hybrid classical+PQ support. Aligns with TPM 2.0 v1.85 standard. Affects every PC, server, and embedded device using hardware root of trust.",TCG,TCG-TPM-PQC-Spec-2025,Global:TCG,technical_standard,https://trustedcomputinggroup.org/
NIST-NCCOE-PQC,NIST NCCoE SP 1800-38 Migration Guide,NIST NCCoE practical enterprise PQC migration guide with reference architectures,Government & Defense;Technology;Finance & Banking,United States,yes,Ongoing (Preliminary Draft),NIST NCCoE SP 1800-38 series (Volumes A/B/C) provides practical enterprise PQC migration guidance with use cases and reference architectures. CSWP 48 maps migration capabilities to CSF 2.0 and SP 800-53 controls.,NIST NCCoE,NIST NCCoE SP 1800-38C;NIST CSWP 48,United States:NIST NCCoE,technical_standard,https://www.nccoe.nist.gov/crypto-agility-considerations-migrating-post-quantum-cryptographic-algorithms
NIST-SP800-131A,NIST SP 800-131A Rev 3,NIST algorithm deprecation roadmap — SHA-1 and weak RSA/ECC disallowed after 2030,Government & Defense;Technology;Finance & Banking,United States;Global,yes,2030 (SHA-1/weak RSA/ECC disallowed),Federal algorithm retirement calendar. SHA-1 and RSA/ECC below 128-bit security disallowed after 2030. Establishes FIPS 203/204/205 as post-2030 replacements. Distinct from IR 8547 in covering all algorithm deprecation not just PQC transition.,NIST,NIST-SP-800-131A-Rev3,United States:NIST,technical_standard,https://csrc.nist.gov/pubs/sp/800/131/a/r3/ipd
INDIA-CERTIN-CBOM,India CERT-In CBOM/QBOM Guidelines,India CERT-In expanded Bill of Materials requirements including Cryptographic BOM and Quantum Readiness BOM,Government & Defense;Technology,India,yes,2025 (effective),CERT-In expands Bill of Materials requirements to include Cryptographic BOM (CBOM) and Quantum Readiness BOM (QBOM). First national CBOM mandate from any country. Part of India broader PQC migration framework under National Quantum Mission.,CERT-In,,India:CERT-In,compliance_framework,https://www.cert-in.org.in/
ITALY-ACN-PQC,Italy ACN PQC Guidance,Italy Agenzia per la Cybersicurezza Nazionale post-quantum cryptography guidance,Government & Defense;Technology,Italy,yes,Ongoing (2024 guidance),ACN published PQC guidance (July 2024) covering quantum threat landscape and migration recommendations. Italy also participates in BIS Project Leap Phase 2 testing hybrid PQC on TARGET2 payment system.,ACN,,Italy:ACN,compliance_framework,https://www.acn.gov.it/
SPAIN-CCN-PQC,Spain CCN Four-Phase PQC,Spain Centro Criptologico Nacional four-phase PQC transition approach,Government & Defense,Spain,yes,2030 (four-phase approach through post-2030),CCN defines four-phase PQC approach from current state through post-2030 full transition. Recommends NIST algorithms and FrodoKEM. Active since 2022.,CCN,,Spain:CCN,compliance_framework,https://www.ccn-cert.cni.es/
BAHRAIN-NCSC-PQC,Bahrain Quantum-Safe Deployment,Bahrain National Cyber Security Centre quantum-safe cybersecurity deployment across government,Government & Defense,Bahrain,yes,2025 (deployment underway),One of the world first large-scale national quantum-safe commitments. Deployed AQtive Guard across 60+ government ministries for automated cryptographic discovery and PQC transition readiness.,Bahrain NCSC,,Bahrain:NCSC,compliance_framework,https://www.ncsc.gov.bh/
JORDAN-CBJ-PQC,Jordan Financial Sector PQC Roadmap,Central Bank of Jordan sector-wide roadmap for transitioning banks to quantum-resistant encryption,Finance & Banking,Jordan,yes,2026 (roadmap published),"Central Bank of Jordan published sector-wide PQC roadmap (Jan 2026) with phased approach: cryptographic asset cataloging, risk-based prioritization, governance integration, sandbox testing, and full transition.",CBJ,,Jordan:CBJ,compliance_framework,https://www.cbj.gov.jo/
UK-CMORG-PQC,UK CMORG Financial PQC Guidance,UK Cross Market Operational Resilience Group PQC guidance for financial sector,Finance & Banking;Government & Defense,United Kingdom,yes,Ongoing (v1.0 April 2025),"CMORG (convened by Bank of England) published PQC guidance specifically for UK financial sector covering threat landscape, algorithm selection, migration planning, and prioritization. Complements UK NCSC guidance with financial sector focus.",CMORG/Bank of England,UK-CMORG-PQC-Guidance-2025,United Kingdom:CMORG,compliance_framework,https://www.cmorg.org.uk/
EUROPOL-QSFF,Europol Quantum Safe Financial Forum,Europol QSFF call to action for financial sector PQC migration,Finance & Banking,European Union,yes,Ongoing (Feb 2025 call to action),Europol Quantum Safe Financial Forum found 86% of financial executives unprepared for PQC. Published joint guidance with FS-ISAC (Jan 2026) introducing Quantum Risk Score framework for migration prioritization.,Europol/FS-ISAC,Europol-FS-ISAC-PQC-Financial-2026,European Union:Europol,compliance_framework,https://www.europol.europa.eu/
PQCC-ROADMAP,PQCC Migration Roadmap,Post-Quantum Cryptography Coalition cross-sector PQC migration framework,Technology;Finance & Banking;Government & Defense,Global,yes,Ongoing,"PQCC (founded by IBM, Microsoft, MITRE, PQShield, SandboxAQ) published PQC Migration Roadmap (May 2025) with four-category framework and PQC Inventory Workbook (June 2025). Becoming a de facto industry reference for enterprise PQC migration.",PQCC,PQCC-Migration-Roadmap-2025;PQCC-Inventory-Workbook-2025,International:PQCC,technical_standard,https://pqcc.org/
IEEE-1609-PQC,IEEE 1609.2 PQC Amendment (V2X),IEEE vehicular communications security standard update for PQC,Automotive;Telecommunications,Global,yes,Ongoing (2025 amendment),IEEE 1609.2 amendment adds ML-KEM and ML-DSA PQC support for vehicle-to-everything (V2X) communications security. Directly affects automotive OEMs and connected vehicle infrastructure.,IEEE,IEEE 1609.2 Amendment,,technical_standard,https://standards.ieee.org/
OASIS-PKCS11,OASIS PKCS#11 Technical Committee,OASIS technical committee defining the PKCS#11 HSM programming interface standard,Technology;Government & Defense;Finance & Banking,Global,yes,Ongoing,"OASIS defines the PKCS#11 standard — the programming interface that every hardware security module implements. PQC mechanisms in v3.2 (ML-KEM, ML-DSA, SLH-DSA) will drive the entire HSM industry PQC adoption.",OASIS,PKCS11-V32-OASIS,,technical_standard,https://www.oasis-open.org/committees/pkcs11/
3GPP-SA3,3GPP Security Working Group,3GPP SA3 — global mobile network security standards working group studying PQC integration,Telecommunications,Global,yes,Ongoing,3GPP SA3 defines global mobile network security standards for 5G and 6G. Actively studying PQC integration into core network protocols. Distinct from ETSI and GSMA. TR 33.841 (PQC Study) approved May 2025.,3GPP,3GPP-PQC-Study-2025,,standardization_body,https://www.3gpp.org/specifications-groups/sa-plenary/sa3-security
FSISAC-PQC,FS-ISAC PQC Migration Guidance,Financial Services Information Sharing and Analysis Center PQC migration advisory,Finance & Banking,Global,yes,Ongoing (Sept 2025),FS-ISAC (Sept 2025) warns financial sector has not defined resources for PQC migration. Joint Europol-FS-ISAC report (Jan 2026) provides Quantum Risk Score framework and migration complexity assessment for financial institutions.,FS-ISAC,Europol-FS-ISAC-PQC-Financial-2026,,compliance_framework,https://www.fsisac.com/
ASC-X9,ASC X9 Financial PKI & PQC Standards,"Accredited Standards Committee X9 develops cryptographic standards for the financial services industry. X9 Financial PKI (launched June 2025, with DigiCert) provides PQC-enabled certificate infrastructure for banks, payment terminals, and financial enterprises. Key PQC standards: X9.146 (Quantum TLS for financial services), X9 TR-50 (Quantum Techniques in CMS), and the X9 PQC Financial Readiness Needs Assessment (2025).",Finance & Banking,United States;Global,yes,Ongoing (Financial PKI launched June 2025),X9 Financial PKI supports ML-KEM and ML-DSA alongside legacy algorithms for backward compatibility. X9.146 Quantum TLS draft in beta testing (2025). X9 is the primary ANSI-accredited standards body for financial cryptography in the US.,ASC X9; ANSI,ASC-X9-Financial-PKI;ASC-X9-PQC-Readiness-2025;ASC-X9-IR-F01-2022;ASC-X9-TR-50-2019,,technical_standard,https://x9.org/pki-home/
