id,category,type,difficulty,quiz_mode,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learn_more_path,personas,industries
qt-003,quantum-threats,true-false,beginner,both,True or False: A cryptographically relevant quantum computer (CRQC) is estimated to require millions of physical qubits to break RSA-2048.,True,False,,,true,"True. Due to quantum error correction overhead, breaking RSA-2048 with Shor's Algorithm is estimated to require approximately 4,000 logical qubits, which translates to millions of physical qubits with current error rates. This is far beyond the capabilities of today's quantum computers.",/learn/quantum-threats,researcher|executive|developer|ops,
qt-004,quantum-threats,multiple-choice,beginner,both,"In an HNDL attack, what does the adversary do with intercepted encrypted traffic?",Decrypt it immediately using classical computers,"Store it indefinitely, planning to decrypt it once a CRQC becomes available",Delete it after extracting metadata,Forward it to a quantum computer for real-time decryption,b,"In a Harvest Now, Decrypt Later (HNDL) attack, adversaries intercept and store encrypted network traffic today. They plan to decrypt it in the future when a cryptographically relevant quantum computer becomes available. This makes any data with long-term sensitivity an immediate target, even before quantum computers exist.",/learn/quantum-threats,researcher|executive|developer|ops,
qt-005,quantum-threats,multiple-choice,intermediate,both,"According to the Global Risk Institute, what is the estimated probability of a CRQC existing within 5 years?",Less than 1%,5-14%,19-34%,Over 50%,b,"The Global Risk Institute survey estimates a 5-14% probability of a CRQC within 5 years and 19-34% within 10 years. While the probability within 5 years is relatively low, the 10-year window is significant enough to demand immediate action on PQC migration.",/learn/quantum-threats,researcher|executive|developer|ops,
qt-006,quantum-threats,multiple-choice,intermediate,both,How many logical qubits are estimated to be needed to break RSA-2048 using Shor's Algorithm?,100 logical qubits,1000 logical qubits,"Approximately 4,000 logical qubits",Over 1 million logical qubits,c,"Breaking RSA-2048 requires approximately 4,000 stable logical qubits running Shor's Algorithm. However, due to quantum error correction, this translates to millions of physical qubits. Current quantum computers have hundreds to low thousands of physical qubits, so a CRQC is not yet achievable but is approaching.",/learn/quantum-threats,researcher|executive|developer|ops,
qt-007,quantum-threats,multiple-choice,intermediate,both,Which NIST Security Level is degraded most severely by quantum attacks?,Level 1 (AES-128 equivalent),Level 3 (AES-192 equivalent),Level 5 (AES-256 equivalent),All levels are degraded equally for public-key algorithms,d,"For public-key algorithms vulnerable to Shor's Algorithm, all security levels are completely broken regardless of parameter size — Shor's runs in polynomial time against the underlying mathematical problems. Security levels only remain meaningful for PQC algorithms designed to resist quantum attacks.",/learn/quantum-threats,researcher|executive|developer|ops,
qt-008,quantum-threats,true-false,intermediate,both,"True or False: Grover's Algorithm can break SHA-256 hash functions, making them insecure against quantum computers.",True,False,,,false,"False. Grover's Algorithm reduces the collision resistance of SHA-256 from 128 bits to approximately 85 bits (cube root reduction for collision finding), and preimage resistance from 256 bits to 128 bits. While weakened, SHA-256 remains computationally secure against quantum attacks. Doubling hash output length (e.g., SHA-512) provides additional margin.",/learn/quantum-threats,researcher|executive|developer|ops,
qt-009,quantum-threats,multi-select,advanced,full,Which of the following factors contribute to CRQC timeline uncertainty? (Select all that apply),Quantum error correction overhead and qubit stability,Physical-to-logical qubit ratio improvements,Availability of classified government quantum programs,Algorithm breakthroughs reducing qubit requirements,a|b|c|d,"All four factors contribute to CRQC timeline uncertainty: error correction overhead determines how many physical qubits are needed per logical qubit, qubit stability improvements affect feasibility, classified programs may be ahead of public knowledge, and algorithmic breakthroughs (like those by Regev or Gidney-Ekera) could reduce resource requirements significantly.",/learn/quantum-threats,researcher|executive|developer|ops,
qt-010,quantum-threats,multiple-choice,advanced,full,"What is the ""Mosca Inequality"" and when does it indicate migration must begin?","If x + y > z (where x = data shelf life, y = migration time, z = time until CRQC), migration is overdue",If the CRQC probability exceeds 50% migration should begin,If the key size is less than 256 bits the algorithm is insecure,If more than 3 algorithms are vulnerable the system must be replaced,a,"The Mosca Inequality states that if the time your data needs protection (x) plus the time to migrate (y) exceeds the time until a CRQC arrives (z), then migration should have already begun. For example, if data needs 15 years of protection, migration takes 5 years, and a CRQC may arrive in 10 years, then x + y (20) > z (10), meaning migration is critically overdue.",/learn/quantum-threats,researcher|executive|developer|ops,
hc-001,hybrid-crypto,multiple-choice,beginner,both,What is a hybrid Key Encapsulation Mechanism (KEM)?,A KEM that uses two different PQC algorithms together,A KEM that combines a classical key exchange with a PQC KEM to provide security against both classical and quantum attacks,A KEM that encrypts data using both symmetric and asymmetric algorithms,A KEM designed to run on both classical and quantum hardware,b,"A hybrid KEM combines a classical key exchange (e.g., X25519 ECDH) with a PQC KEM (e.g., ML-KEM-768). The shared secrets from both are combined so that if either algorithm is broken, the other still provides security. This is the recommended transition approach during the PQC migration period.",/learn/hybrid-crypto,researcher|developer|architect,Finance & Banking|Government & Defense|Technology
hc-002,hybrid-crypto,multiple-choice,beginner,both,What is X25519MLKEM768?,A new elliptic curve algorithm,A hybrid key exchange combining X25519 (classical ECDH) and ML-KEM-768 (PQC KEM),A hash function used in TLS 1.3,A quantum key distribution protocol,b,"X25519MLKEM768 is the most widely deployed hybrid key exchange, combining X25519 (Curve25519 ECDH) with ML-KEM-768 (NIST Level 3 KEM). It is already deployed in Chrome, Firefox, and other major browsers for TLS 1.3, protecting billions of connections against future quantum attacks.",/learn/hybrid-crypto,researcher|developer|architect,Finance & Banking|Government & Defense|Technology
hc-003,hybrid-crypto,multiple-choice,beginner,both,Why is hybrid cryptography recommended instead of switching directly to PQC-only algorithms?,PQC algorithms are too slow to use alone,PQC algorithms have not been battle-tested as long as classical algorithms and hybrid provides a safety net,Hybrid is required by law in all countries,Classical algorithms are still quantum-safe,b,"PQC algorithms, while mathematically sound and NIST-standardized, have not endured decades of real-world cryptanalysis like RSA and ECC. Hybrid cryptography provides a safety net: if a vulnerability is found in the PQC component, the classical component still provides security (and vice versa).",/learn/hybrid-crypto,researcher|developer|architect,Finance & Banking|Government & Defense|Technology
hc-004,hybrid-crypto,true-false,beginner,both,True or False: In a hybrid KEM the shared secrets from both the classical and PQC components are combined so that the result is at least as strong as the stronger component.,True,False,,,true,"True. In a properly constructed hybrid KEM, the shared secrets from both components are combined (typically via concatenation and key derivation). The resulting key is at least as strong as the stronger of the two components, meaning security is maintained even if one algorithm is completely broken.",/learn/hybrid-crypto,researcher|developer|architect,Finance & Banking|Government & Defense|Technology
hc-005,hybrid-crypto,multiple-choice,intermediate,both,What is a composite signature in the context of PQC migration?,A signature that uses a longer hash function,A single certificate signature that combines both a classical and a PQC digital signature algorithm,A signature that covers multiple documents at once,A signature created by multiple signers collaboratively,b,"A composite signature combines two signature algorithms (e.g., ECDSA P-256 + ML-DSA-65) into a single cryptographic signature. Both signatures must verify for the composite to be valid. This is used in hybrid certificates where both classical and PQC trust anchors must be maintained.",/learn/hybrid-crypto,researcher|developer|architect,Finance & Banking|Government & Defense|Technology
hc-006,hybrid-crypto,multiple-choice,intermediate,both,What does NIST SP 800-227 recommend regarding hybrid key exchange?,Hybrid is discouraged in favor of PQC-only deployment,Hybrid key exchange is recommended during the transition period with specific guidance on ML-KEM parameter selection,Hybrid is only for government systems,Hybrid must use RSA combined with ML-KEM,b,"NIST SP 800-227 (September 2025) provides explicit guidance recommending hybrid key exchange during the PQC transition. It covers ML-KEM parameter selection (recommending Level 3 for general use), combiner constructions for merging shared secrets, and guidance on when hybrid may eventually be phased out.",/learn/hybrid-crypto,researcher|developer|architect,Finance & Banking|Government & Defense|Technology
hc-007,hybrid-crypto,multiple-choice,intermediate,both,What is a dual-OID certificate?,A certificate with two expiration dates,A certificate that carries two distinct algorithm Object Identifiers — one classical and one PQC,A certificate issued by two different Certificate Authorities,A certificate that uses two different key sizes,b,"A dual-OID certificate includes two separate algorithm identifiers (OIDs): one for a classical algorithm (e.g., ECDSA) and one for a PQC algorithm (e.g., ML-DSA). This allows verifiers to select the appropriate algorithm based on their capabilities, enabling backward compatibility during the transition.",/learn/hybrid-crypto,researcher|developer|architect,Finance & Banking|Government & Defense|Technology
hc-008,hybrid-crypto,multiple-choice,intermediate,both,"What is ANSSI's position on hybrid cryptography during the PQC transition (Phase 2, 2025-2030)?",Hybrid is optional but not recommended,Hybrid cryptography is mandatory — PQC must be deployed alongside classical algorithms,PQC-only deployment is required immediately,ANSSI has not addressed hybrid approaches,b,"France's ANSSI mandates hybrid cryptography during Phase 2 (2025-2030) of their PQC transition. Classical algorithms alone are insufficient, and PQC-only is considered premature. Hybrid deployment ensures that both classical and quantum-resistant protections are active simultaneously.",/learn/hybrid-crypto,researcher|developer|architect,Finance & Banking|Government & Defense|Technology
hc-009,hybrid-crypto,true-false,advanced,full,"True or False: In X25519MLKEM768, if the ML-KEM-768 component is compromised, the connection still has X25519-level security.",True,False,,,true,"True. The hybrid construction ensures that the combined shared secret is at least as strong as the stronger component. If ML-KEM-768 were compromised, the X25519 ECDH component still provides its full classical security. Conversely, if X25519 were broken by a quantum computer, ML-KEM-768 still provides quantum-resistant protection.",/learn/hybrid-crypto,researcher|developer|architect,Finance & Banking|Government & Defense|Technology
hc-010,hybrid-crypto,multi-select,advanced,full,Which of the following are standardized or deployed hybrid key exchange combinations? (Select all that apply),X25519MLKEM768 (X25519 + ML-KEM-768),SecP256r1MLKEM768 (P-256 + ML-KEM-768),SecP384r1MLKEM1024 (P-384 + ML-KEM-1024),RSA2048MLKEM512 (RSA-2048 + ML-KEM-512),a|b|c,"X25519MLKEM768, SecP256r1MLKEM768, and SecP384r1MLKEM1024 are all standardized or deployed hybrid key exchange combinations. RSA-based hybrid KEMs are not standard because RSA key exchange does not provide forward secrecy and is incompatible with the KEM paradigm used by ML-KEM.",/learn/hybrid-crypto,researcher|developer|architect,Finance & Banking|Government & Defense|Technology
ca-001,crypto-agility,multiple-choice,beginner,both,What is crypto agility?,The speed at which encryption algorithms process data,The ability of a system to quickly swap cryptographic algorithms without major redesign,A measure of how many algorithms a system supports simultaneously,The flexibility of quantum computers to run different algorithms,b,"Crypto agility is the architectural capability to replace or update cryptographic algorithms, key sizes, and protocols with minimal disruption to the overall system. It is critical for PQC migration because it allows organizations to transition smoothly as new standards emerge and evolve.",/learn/crypto-agility,researcher|developer|architect|ops,Finance & Banking|Government & Defense|Telecommunications
ca-002,crypto-agility,multiple-choice,beginner,both,What is a Cryptographic Bill of Materials (CBOM)?,A financial budget for cryptographic hardware,"A comprehensive inventory of all cryptographic algorithms, keys, certificates, and protocols used in a system",A list of approved PQC algorithms from NIST,A quantum computing resource allocation plan,b,"A CBOM catalogs every cryptographic asset in an organization — algorithms, key lengths, certificate types, protocol versions, and library dependencies. It is the essential first step in PQC migration because you cannot upgrade what you have not inventoried. OWASP's CycloneDX standard provides a machine-readable CBOM format.",/learn/crypto-agility,researcher|developer|architect|ops,Finance & Banking|Government & Defense|Telecommunications
ca-003,crypto-agility,multiple-choice,beginner,both,How many phases are in the recommended PQC migration framework?,3 phases,5 phases,7 phases,10 phases,c,"The recommended PQC migration framework has 7 phases: (1) Assessment & Inventory, (2) Risk Prioritization & Planning, (3) Preparation & Tooling, (4) Testing & Validation, (5) Hybrid Migration & Rollout, (6) Production Deployment, and (7) Monitoring & Optimization. The full migration typically takes 18-36 months.",/learn/crypto-agility,researcher|developer|architect|ops,Finance & Banking|Government & Defense|Telecommunications
ca-004,crypto-agility,true-false,beginner,both,True or False: A crypto-agile system uses abstraction layers so that application code does not directly reference specific cryptographic algorithms.,True,False,,,true,"True. Crypto agility is achieved through abstraction layers (also called provider models or cryptographic service interfaces) that decouple application logic from specific algorithm implementations. When a new algorithm is needed, only the provider configuration changes — application code remains untouched.",/learn/crypto-agility,researcher|developer|architect|ops,Finance & Banking|Government & Defense|Telecommunications
ca-005,crypto-agility,multiple-choice,intermediate,both,What is the CycloneDX standard and how does it relate to CBOM?,A quantum-safe encryption protocol,An OWASP standard for machine-readable Software and Cryptographic Bills of Materials (SBOM/CBOM),A NIST testing framework for PQC algorithms,A certificate management protocol for hybrid PKI,b,"CycloneDX is an OWASP open standard for creating machine-readable Bills of Materials, including CBOM (Cryptographic Bill of Materials). It uses a standardized JSON/XML format to catalog cryptographic assets, enabling automated scanning, compliance checking, and vulnerability tracking across the software supply chain.",/learn/crypto-agility,researcher|developer|architect|ops,Finance & Banking|Government & Defense|Telecommunications
ca-006,crypto-agility,multiple-choice,intermediate,both,What is the provider model in crypto agility?,A cloud service subscription for cryptographic operations,An architecture pattern where cryptographic algorithms are loaded as interchangeable modules behind a common interface,A vendor selection framework for HSM procurement,A government certification program for PQC implementations,b,"The provider model (also called a pluggable crypto architecture) defines a common interface for cryptographic operations (sign, verify, encrypt, decrypt, KEM). Specific algorithm implementations (RSA, ML-KEM, ML-DSA) are loaded as interchangeable providers. Switching algorithms requires only a configuration change, not a code rewrite.",/learn/crypto-agility,researcher|developer|architect|ops,Finance & Banking|Government & Defense|Telecommunications
ca-007,crypto-agility,multiple-choice,intermediate,both,"In the 7-phase migration framework, what happens during Phase 3 (Infrastructure Preparation)?",Final compliance reporting is submitted,HSM firmware is upgraded and PQC-capable libraries/certificates are deployed to staging environments,All production traffic is migrated to PQC,Legacy algorithms are permanently disabled,b,"Phase 3 (Infrastructure Preparation, 2-4 months) focuses on upgrading HSM firmware to support PQC, deploying PQC-capable cryptographic libraries, setting up hybrid certificate infrastructure in staging, and ensuring all tools and platforms can handle larger PQC key and signature sizes.",/learn/crypto-agility,researcher|developer|architect|ops,Finance & Banking|Government & Defense|Telecommunications
ca-008,crypto-agility,multi-select,intermediate,both,Which of the following are key benefits of crypto agility? (Select all that apply),Ability to respond quickly to algorithm vulnerabilities or compromises,Simplified compliance with evolving regulatory requirements,Elimination of all cryptographic risk,Reduced migration cost when transitioning to new standards,a|b|d,"Crypto agility enables rapid response to vulnerabilities (swap out compromised algorithms), simplifies regulatory compliance (adopt new mandated algorithms without redesign), and reduces migration costs (configuration changes vs. code rewrites). It does not eliminate all cryptographic risk — algorithm selection, key management, and implementation quality still matter.",/learn/crypto-agility,researcher|developer|architect|ops,Finance & Banking|Government & Defense|Telecommunications
ca-009,crypto-agility,multiple-choice,advanced,full,Why is automated CBOM scanning important for maintaining crypto agility?,It replaces the need for manual code reviews entirely,It continuously detects deprecated or vulnerable cryptographic usage across codebases and dependencies,It automatically upgrades algorithms without human intervention,It generates compliance certificates for regulators,b,"Automated CBOM scanning tools continuously analyze source code, binaries, and configuration files to detect cryptographic algorithm usage. This enables organizations to identify deprecated algorithms (e.g., SHA-1, RSA-1024), track PQC migration progress, and detect newly introduced vulnerabilities in dependencies — maintaining crypto agility at scale.",/learn/crypto-agility,researcher|developer|architect|ops,Finance & Banking|Government & Defense|Telecommunications
ca-010,crypto-agility,multiple-choice,advanced,full,"What is the risk of tightly coupling application code to specific cryptographic algorithms (i.e., lacking crypto agility)?",The application runs slower,Algorithm replacement requires extensive code changes across the entire codebase — potentially delaying PQC migration by years,The application uses more memory,There is no meaningful risk — tight coupling is preferred for performance,b,"Without crypto agility, replacing a hardcoded algorithm (e.g., RSA-2048) means modifying every call site, updating serialization formats, and retesting entire systems. For large organizations with millions of lines of code, this can delay PQC migration by years and cost millions of dollars. Abstraction layers prevent this scenario.",/learn/crypto-agility,researcher|developer|architect|ops,Finance & Banking|Government & Defense|Telecommunications
vs-001,vpn-ssh-pqc,multiple-choice,beginner,both,Which RFC defines support for multiple key exchanges in IKEv2 to enable hybrid PQC for IPsec VPNs?,RFC 8446,RFC 9370,RFC 9629,RFC 8391,b,"RFC 9370 defines support for multiple key exchanges in IKEv2, the key management protocol for IPsec VPN tunnels. This enables hybrid PQC key exchange by combining a classical ECDH key exchange with an ML-KEM encapsulation in a single IKE_SA_INIT exchange.",/learn/vpn-ssh-pqc,researcher|developer|ops,Technology|Government & Defense|Energy & Utilities
vs-002,vpn-ssh-pqc,multiple-choice,beginner,both,What is the primary PQC challenge for VPN protocols like IPsec?,VPN protocols cannot be upgraded,Larger PQC key and ciphertext sizes increase IKE handshake overhead and may exceed UDP MTU limits,PQC algorithms are too slow for real-time VPN traffic,VPN protocols do not use public-key cryptography,b,"PQC key exchanges produce significantly larger messages. For example, ML-KEM-768 adds ~2.3KB to the IKE handshake. Combined with existing IKEv2 payloads, this can exceed typical UDP MTU limits (1500 bytes for Ethernet), requiring fragmentation handling via IKEv2 fragmentation (RFC 7383).",/learn/vpn-ssh-pqc,researcher|developer|ops,Technology|Government & Defense|Energy & Utilities
vs-003,vpn-ssh-pqc,multiple-choice,beginner,both,What PQC approach is being used for SSH hybrid key exchange?,Replacing the SSH protocol entirely with a quantum-safe version,Adding a PQC KEM alongside the classical ECDH key exchange in the SSH handshake,Using quantum key distribution for SSH connections,Disabling key exchange and using pre-shared keys only,b,"SSH hybrid key exchange adds a PQC KEM (typically ML-KEM-768) alongside the existing classical ECDH key exchange. Both shared secrets are combined to derive the session keys. Draft specifications (e.g., draft-kampanakis-curdle-ssh-pq-ke) define how this integration works within the SSH protocol.",/learn/vpn-ssh-pqc,researcher|developer|ops,Technology|Government & Defense|Energy & Utilities
vs-004,vpn-ssh-pqc,true-false,beginner,both,True or False: WireGuard natively supports post-quantum key exchange without additional tools.,True,False,,,false,False. WireGuard uses X25519 (Curve25519) for key exchange and does not natively support PQC. The Rosenpass project adds a PQC key exchange layer on top of WireGuard by running a separate PQC handshake (using Classic McEliece and ML-KEM) and injecting the resulting key into WireGuard's pre-shared key field.,/learn/vpn-ssh-pqc,researcher|developer|ops,Technology|Government & Defense|Energy & Utilities
vs-005,vpn-ssh-pqc,multiple-choice,intermediate,both,What is Rosenpass and how does it add PQC to WireGuard?,A fork of WireGuard with built-in PQC support,A companion tool that performs a PQC key exchange and injects the result into WireGuard's pre-shared key (PSK) slot,A quantum key distribution device for WireGuard,A NIST-certified WireGuard replacement,b,Rosenpass is an open-source tool that runs alongside WireGuard. It performs a separate PQC key exchange (using Classic McEliece + ML-KEM) and injects the resulting shared secret into WireGuard's pre-shared key (PSK) field. This provides quantum-resistant protection without modifying WireGuard's core protocol.,/learn/vpn-ssh-pqc,researcher|developer|ops,Technology|Government & Defense|Energy & Utilities
vs-006,vpn-ssh-pqc,multiple-choice,intermediate,both,"How does the IKEv2 handshake size change with hybrid PQC key exchange (e.g., ECDH + ML-KEM-768)?",It stays approximately the same size,It increases by approximately 2-3KB due to ML-KEM public key and ciphertext,It decreases because PQC is more efficient,It doubles in size due to duplicate authentication,b,"Adding ML-KEM-768 to an IKEv2 handshake increases the total exchange size by approximately 2-3KB (1,184-byte public key + 1,088-byte ciphertext). This often requires IKEv2 fragmentation (RFC 7383) to stay within UDP MTU limits, adding latency from additional round trips.",/learn/vpn-ssh-pqc,researcher|developer|ops,Technology|Government & Defense|Energy & Utilities
vs-007,vpn-ssh-pqc,multiple-choice,intermediate,both,Which IKEv2 extension handles fragmentation of oversized PQC key exchange messages?,RFC 9370,RFC 7383,RFC 8446,RFC 4303,b,RFC 7383 (IKEv2 Message Fragmentation) defines how to split oversized IKEv2 messages into fragments that fit within network MTU limits. This is essential for PQC integration because hybrid key exchange payloads often exceed the typical 1500-byte Ethernet MTU.,/learn/vpn-ssh-pqc,researcher|developer|ops,Technology|Government & Defense|Energy & Utilities
vs-008,vpn-ssh-pqc,multiple-choice,intermediate,both,What is the key advantage of SSH PQC hybrid key exchange over a PQC-only approach?,Hybrid is faster than PQC-only,Hybrid maintains classical security as a safety net while adding quantum resistance,Hybrid uses smaller keys than PQC-only,Hybrid does not require server-side changes,b,"SSH hybrid key exchange maintains the proven security of classical ECDH while adding quantum resistance via ML-KEM. If a vulnerability is found in ML-KEM, classical ECDH still protects the session. If a quantum computer breaks ECDH, ML-KEM still provides quantum-safe key exchange.",/learn/vpn-ssh-pqc,researcher|developer|ops,Technology|Government & Defense|Energy & Utilities
vs-009,vpn-ssh-pqc,true-false,advanced,full,True or False: OpenSSH 9.0+ supports hybrid PQC key exchange using a combination of X25519 and a post-quantum algorithm.,True,False,,,true,"True. Starting with OpenSSH 9.0 (released April 2022), hybrid key exchange is supported using sntrup761x25519-sha512@openssh.com, which combines the NTRU Prime KEM (sntrup761) with X25519. Later versions added support for ML-KEM-based hybrid exchanges as NIST standards matured.",/learn/vpn-ssh-pqc,researcher|developer|ops,Technology|Government & Defense|Energy & Utilities
vs-010,vpn-ssh-pqc,multi-select,advanced,full,Which of the following are challenges specific to PQC integration in VPN/SSH protocols? (Select all that apply),Increased handshake size exceeding network MTU limits,Need for IKEv2 fragmentation adding round-trip latency,Incompatibility with existing VPN hardware accelerators,Larger session key sizes for symmetric encryption,a|b|c,"PQC VPN/SSH integration faces: increased handshake sizes (ML-KEM-768 adds ~2.3KB), need for IKEv2 fragmentation (RFC 7383) which adds latency, and incompatibility with existing hardware accelerators that may not support PQC algorithms. Session keys for symmetric encryption remain the same size (typically 256-bit AES) regardless of PQC — only the key exchange mechanism changes.",/learn/vpn-ssh-pqc,researcher|developer|ops,Technology|Government & Defense|Energy & Utilities
ss-001,stateful-signatures,multiple-choice,beginner,both,What makes stateful hash-based signature schemes different from stateless schemes like SLH-DSA?,Stateful schemes use larger keys,Stateful schemes must track which one-time keys have been used to prevent catastrophic key reuse,Stateful schemes are slower,Stateful schemes require quantum hardware,b,"Stateful hash-based signature schemes (LMS/HSS, XMSS) use each leaf key in their Merkle tree exactly once. The signer must maintain a persistent state counter tracking which keys have been used. Reusing a one-time key completely compromises the scheme's security, making state management critical.",/learn/stateful-signatures,researcher|architect,Government & Defense|Aerospace
ss-002,stateful-signatures,multiple-choice,beginner,both,Which NIST Special Publication provides guidance on stateful hash-based signature schemes?,SP 800-57,SP 800-131A,SP 800-208,SP 800-227,c,"NIST SP 800-208 (Recommendation for Stateful Hash-Based Signature Schemes) provides guidance on LMS/HSS and XMSS/XMSS^MT. It was published in October 2020, making these schemes available for use before the FIPS 203/204/205 PQC standards were finalized.",/learn/stateful-signatures,researcher|architect,Government & Defense|Aerospace
ss-003,stateful-signatures,multiple-choice,beginner,both,What is the primary use case for stateful hash-based signatures?,General-purpose email encryption,Firmware and software code signing where the number of signatures is bounded,High-frequency TLS handshake authentication,Real-time messaging signature verification,b,"Stateful hash-based signatures are ideal for firmware and software code signing because: (1) the number of firmware updates is predictable and bounded, (2) signing happens on controlled infrastructure where state can be securely managed, and (3) they provide the most conservative quantum-resistant security based solely on hash functions.",/learn/stateful-signatures,researcher|architect,Government & Defense|Aerospace
ss-004,stateful-signatures,true-false,beginner,both,"True or False: If a one-time signing key in an LMS/HSS or XMSS scheme is used to sign two different messages, the scheme's security is completely compromised.",True,False,,,true,"True. One-time signature (OTS) schemes like Winternitz OTS (used in both LMS and XMSS) are designed so that each key signs exactly one message. Signing two different messages with the same OTS key leaks enough information to allow signature forgery, completely breaking the scheme's security guarantees.",/learn/stateful-signatures,researcher|architect,Government & Defense|Aerospace
ss-005,stateful-signatures,multiple-choice,intermediate,both,What is a Merkle tree in the context of hash-based signatures?,A data structure for storing encrypted files,A binary tree of hash values where each leaf is a one-time verification key and the root serves as the public key,A blockchain consensus mechanism,A key derivation function for PQC algorithms,b,"A Merkle tree is a binary hash tree where each leaf node contains the hash of a one-time verification key (OTS public key). Internal nodes are hashes of their children. The root hash serves as the overall public key. To verify a signature, the verifier checks the OTS signature and then follows the authentication path from the leaf to the root.",/learn/stateful-signatures,researcher|architect,Government & Defense|Aerospace
ss-006,stateful-signatures,multiple-choice,intermediate,both,What is the difference between LMS and HSS?,LMS is a single Merkle tree scheme; HSS is a multi-tree (hierarchical) extension that supports many more signatures,LMS uses SHA-256 while HSS uses SHA-512,LMS is stateless while HSS is stateful,LMS is standardized while HSS is experimental,a,"LMS (Leighton-Micali Signature) uses a single Merkle tree, limiting the number of signatures to 2^h (where h is the tree height). HSS (Hierarchical Signature System) chains multiple LMS trees together, where the root tree signs the next level's public keys. This enables vastly more signatures (e.g., 2^40 or more) while keeping individual trees manageable.",/learn/stateful-signatures,researcher|architect,Government & Defense|Aerospace
ss-007,stateful-signatures,multiple-choice,intermediate,both,"What is XMSS^MT, and how does it extend XMSS?",It is a faster variant of XMSS with smaller signatures,It is a multi-tree extension of XMSS that enables more total signatures by chaining multiple XMSS trees hierarchically,It is a stateless version of XMSS,It replaces XMSS for all use cases,b,"XMSS^MT (Multi-Tree XMSS) extends XMSS by chaining multiple XMSS trees in a hierarchy, similar to how HSS extends LMS. This enables a much larger total number of signatures while keeping individual tree heights manageable. For example, a 2-level tree with height 20 each allows 2^40 total signatures.",/learn/stateful-signatures,researcher|architect,Government & Defense|Aerospace
ss-008,stateful-signatures,multiple-choice,intermediate,both,Which RFC defines the XMSS signature scheme?,RFC 7383,RFC 8391,RFC 9370,RFC 9629,b,"RFC 8391 defines XMSS (eXtended Merkle Signature Scheme) and XMSS^MT. It specifies the Merkle tree construction, the Winternitz OTS+ one-time signature scheme, the state management requirements, and parameter sets for different security levels.",/learn/stateful-signatures,researcher|architect,Government & Defense|Aerospace
ss-009,stateful-signatures,multi-select,advanced,full,Which of the following are critical requirements for safely deploying stateful hash-based signatures? (Select all that apply),Secure persistent state storage that survives reboots and crashes,"Prevention of state rollback or duplication (e.g., VM snapshots)",Atomic state updates to prevent index reuse during power failures,Using each signing key for at most 10 signatures,a|b|c,"Safe stateful signature deployment requires: secure persistent storage (state must survive reboots), prevention of state rollback (VM cloning/snapshots can duplicate state leading to key reuse), and atomic state updates (power failure during signing could leave state inconsistent). There is no limit of 10 signatures — the limit is determined by tree height (e.g., 2^20 for height 20).",/learn/stateful-signatures,researcher|architect,Government & Defense|Aerospace
ss-010,stateful-signatures,multiple-choice,advanced,full,"What is the approximate signature size for LMS with Winternitz parameter w=8 and tree height h=25, and why does w affect signature size?",~1KB — smaller w means smaller signatures,~2-5KB — the Winternitz parameter w trades signature size for signing speed,~100 bytes — similar to ECDSA,~50KB — stateful signatures are always very large,b,LMS signature sizes range from approximately 2-5KB depending on the Winternitz parameter (w). A larger w reduces signature size but increases signing and verification time (more hash computations). A smaller w produces larger signatures but faster operations. This is a configurable trade-off specific to the deployment's requirements.,/learn/stateful-signatures,researcher|architect,Government & Defense|Aerospace
es-001,email-signing,multiple-choice,beginner,both,What does S/MIME stand for?,Secure Mail Internet Message Exchange,Secure/Multipurpose Internet Mail Extensions,Standard Mail Integrity and Message Encryption,Simple MIME Encryption Standard,b,S/MIME (Secure/Multipurpose Internet Mail Extensions) is the standard for adding cryptographic security to email messages. It provides digital signatures (authentication and integrity) and encryption (confidentiality) using public-key cryptography and X.509 certificates.,/learn/email-signing,researcher|developer,Healthcare|Government & Defense|Finance & Banking
es-002,email-signing,multiple-choice,beginner,both,What are the two primary CMS content types used in S/MIME email security?,CMS SignedData and CMS EnvelopedData,CMS EncryptedData and CMS DigestedData,CMS AuthenticatedData and CMS CompressedData,CMS ContentInfo and CMS KeyTransRecipientInfo,a,"CMS SignedData provides digital signatures (proving who sent the email and that it was not altered), while CMS EnvelopedData provides encryption (ensuring only the intended recipient can read the email). Together they enable authenticated and confidential email communication.",/learn/email-signing,researcher|developer,Healthcare|Government & Defense|Finance & Banking
es-003,email-signing,multiple-choice,beginner,both,Which RFC defines how to use Key Encapsulation Mechanisms (KEMs) in CMS for email encryption?,RFC 8446,RFC 9370,RFC 9629,RFC 9882,c,"RFC 9629 defines KEMRecipientInfo, a new recipient information type for CMS that enables the use of Key Encapsulation Mechanisms (including PQC KEMs like ML-KEM) for email encryption. This replaces the traditional key transport (RSA) and key agreement (ECDH) approaches.",/learn/email-signing,researcher|developer,Healthcare|Government & Defense|Finance & Banking
es-004,email-signing,true-false,beginner,both,True or False: RFC 9882 defines how to use ML-DSA digital signatures in CMS for S/MIME email signing.,True,False,,,true,"True. RFC 9882 specifies the conventions for using ML-DSA (Module-Lattice-Based Digital Signature Algorithm, FIPS 204) in Cryptographic Message Syntax (CMS). This enables quantum-resistant digital signatures for S/MIME email, document signing, and other CMS-based applications.",/learn/email-signing,researcher|developer,Healthcare|Government & Defense|Finance & Banking
