id,label,description,industries,industries_source_text,countries,requires_pqc,deadline,deadline_kind,deadline_dates,notes,enforcement_body,library_refs,learn_modules,timeline_refs,body_type,website,local_file,trusted_source_id,peer_reviewed,vetting_body,website_url_quality,confidence_score,cswp39_tags,naics_codes,status,deprecated_at,deprecated_reason,related_standards,last_verified
UAE-CSC-PQC,UAE National Encryption Policy,UAE Cybersecurity Council national encryption policy mandating PQC transition,Public Administration;Finance & Insurance;Professional & Technical Services,92;52;54,AE,guidance,2026 (migration roadmaps); 2030 (full migration),phased,2026:migration roadmaps;2030:full migration,"UAE Cybersecurity Council approved National Encryption Policy (Nov 2025) mandating all government entities develop PQC transition plans. Migration roadmaps due 2026. QuantumGate program drives large-scale PQC implementation 2026-2030. DESC launched PQC Guideline at GISEC Global 2025. | evidence repointed 2026-08-09: was the csc.gov.ae homepage (no policy text, and the host is unreachable outside the UAE). This u.ae page is the official UAE government platform's National Encryption Policy entry and states the policy 'defines requirements for key management, post-quantum cryptography, implementation, and ongoing performance monitoring' — i.e. it evidences the requires_pqc=yes claim the homepage never did. | Verified 2026-08-09 by retrieving the instrument itself. requires_pqc yes->guidance: the reachable u.ae page says the policy 'mandates encryption controls' and 'defines requirements for ... post-quantum cryptography', but it is a SUMMARY page, not the instrument - it names no obliged population in regulatory terms, no legal basis and no dates. The policy PDF is hosted on csc.gov.ae, unreachable from here. The row's phased deadlines (2026 roadmaps / 2030 full migration) appear nowhere on the retrieved page.",UAE CSC/DESC,FIPS 203;FIPS 204;FIPS 205,,United Arab Emirates:UAE CSC,compliance_framework,https://u.ae/en/about-the-uae/strategies-initiatives-and-awards/policies/cyber-activities/National-Encryption-Policy,,uae-csc,yes,UAE CSC/DESC,url_authoritative,85,cswp39:governance;cswp39:lifecycle,92;52;54,deprecated,2026-08-14,"deprecation-sweep (dead): all fetch tiers failed (last: crawl4ai, status=err, reason=Unexpected error in _crawl_web at line 778 in _crawl_web (../../.venv-enrich/lib/python3.1)",,
CISA-PQC-PROCUREMENT,CISA PQC Federal Buying Guidance,CISA product category list and federal procurement guidance for PQC per EO 14306,Government & Defense;Information Technology,92;54,US,guidance,,none,,"CISA published PQC product category list per Executive Order 14412 identifying cloud services, web software, networking hardware, and endpoint security as PQC-ready categories. Federal agencies directed to acquire only PQC-capable products. Developed with NSA and ATARC. [Corrected 2026-07-17: notes previously said 'Executive Order 14306' -- verified via whitehouse.gov that 'Securing the Nation Against Advanced Cryptographic Attacks' (2026-06-22) is EO 14412, not 14306 or 14409 (the latter is library.csv's own already-deprecated wrong id for this same document).] | Verified 2026-08-09 by retrieving the instrument itself. requires_pqc yes->guidance: the CISA product-category list says organizations 'should acquire only PQC-capable products', and CISA has no procurement authority; OMB M-26-15 only says agencies 'should reference' it. The binding lever is EO 14412 Sec. 6(c), a FAR rulemaking not yet in force. ATTRIBUTION CORRECTED: the row credited EO 14412, but the CISA document itself opens 'In response to the June 6, 2025, Executive Order (EO) 14306' and quotes 14306's tasking verbatim - the row's own 2026-07-17 'correction' moved this the wrong way and is reverted here.",CISA/NSA,CISA-PQC-CATEGORY-LIST-2026;EO-14306;NIST CSWP 39,,United States:CISA,compliance_framework,https://www.cisa.gov/quantum,compliance/CISA-PQC-PROCUREMENT.pdf,nsa-advisory,yes,CISA/NSA,url_authoritative,85,cswp39:governance;cswp39:inventory;cswp39:lifecycle,92;54,active,,,EO-14412;CISA-PQC-CATEGORY-LIST-2026,
G7-CEG-PQC,G7 Financial Sector PQC Roadmap,G7 Cyber Expert Group coordinated PQC transition roadmap for the financial sector,Finance & Insurance;Government & Defense,52;92,PQC-REGION-GLOBAL,guidance,2030-2032 (critical systems); 2035 (non-critical),phased,2030:start;2032:critical systems;2035:non-critical,"G7 Cyber Expert Group (chaired by US Treasury and Bank of England) published coordinated PQC transition framework for global financial sector (Jan 2026). Covers inventory, risk prioritization, algorithm selection, testing, and interoperability for G7 financial institutions. | Verified 2026-08-09 by retrieving the instrument itself. requires_pqc yes->guidance and URL repointed. The row described the January 2026 roadmap but cited the September 2024 predecessor statement. The 2026 document disclaims regulatory status in its own second paragraph: 'This statement does not set guidance or regulatory expectations'; the roadmap is 'not intended to be prescriptive' and its time range is 'non-authoritative'. The G7 CEG advises Finance Ministers and has no authority over firms.",G7 CEG/US Treasury,G7-Financial-PQC-Roadmap-2026;BIS-Paper-158,,G7:G7 CEG,compliance_framework,https://home.treasury.gov/system/files/136/G7-CEG-Quantum-Roadmap.pdf,compliance/G7-CEG-PQC.pdf,g7-ceg,yes,G7 CEG/US Treasury,url_authoritative,85,cswp39:assurance;cswp39:governance;cswp39:inventory;cswp39:lifecycle,52;92,active,,,FIPS-203;FIPS-204;FIPS-205;ISO-IEC-23837-1;ENISA;ISO-IEC;NIST;UK-NCSC,
PKCS11-V32,PKCS#11 v3.2 (PQC HSM Interface),"OASIS PKCS#11 v3.2 standard adding ML-KEM, ML-DSA, and SLH-DSA mechanisms for hardware security modules",Government & Defense;Finance & Insurance;Information Technology,92;52;54,PQC-REGION-GLOBAL,guidance,Ongoing (Committee Specification Draft April 2025),ongoing,,"PKCS#11 v3.2 adds PQC mechanisms: ML-KEM (CKM_ML_KEM), ML-DSA (CKM_ML_DSA), SLH-DSA (CKM_SLH_DSA). Introduces C_EncapsulateKey()/C_DecapsulateKey() for KEM operations. New key types and parameter set attributes. Critical for all HSM vendors implementing PQC. | requires_pqc yes->guidance 2026-08-09 (R6 body_type rule, extended to technical_standard). A specification specifies; it does not oblige anyone to adopt it. The obligation to deploy PQC comes from CNSA 2.0, the OMB memoranda and the executive orders, which are their own rows. Left as 'yes' this row asserted that a standards document mandates compliance.",OASIS PKCS11 TC,PKCS11-V32-OS-OASIS,,Global:OASIS,technical_standard,https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/os/pkcs11-spec-v3.2-os.html,compliance/PKCS11-V32.html,oasis,yes,OASIS PKCS11 TC,url_authoritative,85,cswp39:assurance,92;52;54,active,,,FIPS-203;FIPS-204;FIPS-205,
CAB-FORUM-SMC013,CA/Browser Forum Ballot SMC013,CA/Browser Forum ballot enabling ML-DSA PQC signatures in S/MIME certificates,Information Technology;Finance & Insurance,54;52,PQC-REGION-GLOBAL,expected,Adopted (August 2025),fixed,2025,"Enables ML-DSA post-quantum digital signatures in S/MIME certificates. IPR exclusion period completed with no notices. First Web PKI governance body PQC adoption, signaling CAs can issue PQC S/MIME certificates. | requires_pqc yes -> expected 2026-08-09 (R6, strict reading). The CA/Browser Forum is not a regulator: its ballots bind CAs only indirectly, through the browser root programmes that choose to enforce them. Genuinely binding in practice on the CAs it reaches, but not an obligation the Forum can impose.",CA/Browser Forum,CA-B-Forum-Ballot-SMC013,,Global:CA/Browser Forum,technical_standard,https://cabforum.org/2025/07/02/ballot-smc-013/,compliance/CAB-FORUM-SMC013.html,pki-consortium,yes,CA/Browser Forum,url_authoritative,85,cswp39:governance;cswp39:lifecycle,54;52,active,,,,2026-08-09
ACVP,NIST ACVP (Algorithm Validation),NIST Automated Cryptographic Validation Protocol for PQC algorithm testing,Information Technology;Government & Defense,54;92,US;PQC-REGION-GLOBAL,expected,Ongoing (ML-KEM/ML-DSA validation active),ongoing,,"Revised from 'no': ACVP already has real, actively-maintained test vectors for ML-KEM and ML-DSA (FIPS 203/204 finalized Aug 2024; ACVP spec draft April 2026) -- the same expected/not-yet-required posture as FIPS-140-3, which ACVP validation is a direct precondition for.",NIST,FIPS 203;FIPS 204;FIPS 205;FIPS 206;NIST SP 800-227;NIST-ACVP,,United States:NIST,certification_body,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program,compliance/ACVP.html,nist-csrc,yes,NIST,url_authoritative,85,cswp39:assurance;cswp39:inventory,54;92,active,,,NIST-SP-800-140C; NIST-SP-800-140D; FIPS-140-3-STANDARD,
TAIWAN-MODA-PQC,Taiwan PQC Migration Guidelines,"Taiwan Ministry of Digital Affairs (MODA) Post-Quantum Cryptography Migration Guidelines, jointly released with the PQC Cybersecurity Industry Alliance (16 Apr 2025)",Government & Defense;Information Technology,92;54,TW,guidance,2027 (interim milestone); 2029 (completion),phased,2027:interim milestone;2029:completion,"Taiwan MODA launched five-year PQC implementation plan (2024-2029) targeting quantum-safe government digital infrastructure. Interim quantum-safe milestone at 2027. | Verified 2026-08-09 by retrieving the instrument itself. requires_pqc yes->guidance. FABRICATED INSTRUMENT: no MODA five-year PQC implementation plan 2024-2029 exists on moda.gov.tw or the ACS pages; the claim traces to a vendor keynote soundbite (Chelpis founder, MITRE PQC Forum, reported 2025-10-30). What does exist is a voluntary industry guideline - MODA's Administration for Digital Industries 'PQC Migration Guidelines' (16 Apr 2025), aimed at helping Taiwan's INDUSTRY reach 'PQC Ready', with no deadline. MODA's real five-year programme is chip R&D running Jan 2024 - Dec 2028. | 2026-08-16: cached evidence was the MODA homepage, not the article; replaced with the actual news article fetched from the current_url, confirming it covers MODA's real 'PQC Migration Guidelines' (16 Apr 2025).",MODA,FIPS 203;FIPS 204;FIPS 205,,Taiwan:MODA,compliance_framework,https://moda.gov.tw/ADI/news/latest-news/16090,compliance/TAIWAN-MODA-PQC.pdf,dod-cio,yes,MODA,url_authoritative,85,cswp39:governance,92;54,active,,,,2026-08-16
MALAYSIA-NACSA-PQC,Malaysia National PQC Migration,Malaysia NACSA national PQC migration roadmap — first ASEAN nation with comprehensive plan,Government & Defense;Information Technology,92;54,MY,yes,2025-2030 (phased),phased,2025:start;2030:phased,"First ASEAN nation to publish comprehensive national PQC migration roadmap (Oct 2025). Includes PQC Sandbox program for proof-of-concept testing. Phased approach aligned with NIST standards. | Verified 2026-08-09 by retrieving the instrument itself. Verdict CONFIRMED yes, but via an instrument the row never cited. Arahan Ketua Eksekutif No. 9, made under section 13 of the Cyber Security Act 2024 [Akta 854], in force 22 September 2025: NCII entities 'hendaklah' (shall) provide PQC migration data and information, submitted to the Chief Executive of NACSA within three months of notice. URL repointed from the homepage to the directive. SCOPE: the obligation is inventory + SBOM/CBOM + migration-plan REPORTING, not PQC deployment by a date; the '2025-2030 phased' figure came from a keynote deck, not the directive.",NACSA,FIPS 203;FIPS 204;FIPS 205;Malaysia-NACSA-PQC-2025,,Malaysia:NACSA,compliance_framework,https://www.nacsa.gov.my/doc/Arahan%20KE%20NACSA%20No.%209.pdf,compliance/MALAYSIA-NACSA-PQC.pdf,nacsa-malaysia,yes,NACSA,url_authoritative,85,cswp39:assurance;cswp39:governance;cswp39:lifecycle,92;54,active,,,,
SAUDI-NCA-PQC,Saudi NCA Cybersecurity Controls,Saudi Arabia National Cybersecurity Authority essential cybersecurity controls with expanded cryptography domain,Government & Defense;Finance & Insurance;Energy & Utilities,92;52;22,SA,no,Ongoing (ECC-2:2024),ongoing,,"NCA released Essential Cybersecurity Controls 2024 (ECC-2:2024) with expanded cryptography domain covering encryption strength, key management, secure protocols, and lifecycle governance. National quantum strategy with M budget aligned with Vision 2030.",NCA,FIPS 203;FIPS 204;FIPS 205,,Saudi Arabia:NCA,compliance_framework,https://nca.gov.sa/en/,compliance/SAUDI-NCA-PQC.pdf,saudi-nca,yes,NCA,url_authoritative,85,cswp39:assurance;cswp39:governance;cswp39:lifecycle,92;52;22,active,,,,
BIS-158-PQC,BIS Paper 158 Quantum Roadmap,Bank for International Settlements quantum-readiness roadmap for global financial systems,Finance & Insurance,52,PQC-REGION-GLOBAL,guidance,No deadline set by source,none,,"BIS Papers No 158 (Jul 2025) is a research paper by BIS staff, explicitly not a supervisory directive (cover: 'views of the authors, not the BIS or member central banks'). The 'early 2030s' framing previously here was inferred from the paper's single citation of NIST IR 8547 (RSA deprecation 2030 / disallowed 2035), not from BIS-158's own roadmap, which has no dates attached. | 2026-08-16: Cached file was the abstract landing page, not the 31-page paper; replaced with the actual PDF (bispap158.pdf).",BIS,BIS-Paper-158,,International:BIS,compliance_framework,https://www.bis.org/publ/bppdf/bispap158.pdf,compliance/BIS-158-PQC.pdf,bis,yes,BIS,url_authoritative,85,cswp39:assurance;cswp39:governance;cswp39:inventory;cswp39:lifecycle,52,active,,,,2026-08-16
3GPP-PQC,3GPP PQC for 5G/6G,3GPP SA3 study on integrating PQC into 5G security protocols,Information Technology,51,PQC-REGION-GLOBAL,guidance,Ongoing (study item approved May 2025),ongoing,,"3GPP SA3 study (TR 33.841) on integrating standalone or hybrid PQC algorithms into existing 5G security protocols including TLS, IPSec, and IKEv2. Complements GSMA NG.116 and ETSI QSC work. | requires_pqc yes->guidance 2026-08-09 (R6 body_type rule, extended to technical_standard). A specification specifies; it does not oblige anyone to adopt it. The obligation to deploy PQC comes from CNSA 2.0, the OMB memoranda and the executive orders, which are their own rows. Left as 'yes' this row asserted that a standards document mandates compliance.",3GPP SA3,3GPP-PQC-Study-2025,,Global:3GPP SA3,technical_standard,https://www.3gpp.org/,compliance/3GPP-PQC.html,etsi-cyber,yes,3GPP SA3,url_authoritative,85,cswp39:governance,51,active,,,,
TCG-TPM-PQC,TCG TPM 2.0 PQC Spec,Trusted Computing Group TPM 2.0 library specification update incorporating PQC algorithms,Professional & Technical Services;Public Administration,54;92,PQC-REGION-GLOBAL,guidance,Published v1.85 (Jan 2026),fixed,2026,"TPM 2.0 Library specification updates incorporating FIPS 203/204 PQC algorithms with hybrid classical+PQ support. Aligns with TPM 2.0 v1.85 standard. Affects every PC, server, and embedded device using hardware root of trust. | evidence repointed 2026-08-09: was the trustedcomputinggroup.org homepage ('Welcome To Trusted Computing Group'). This is the TPM 2.0 Library specification page; Part 0 of v185 (published 2026-03-12) states verbatim 'Introduced support for ML-DSA, HashML-DSA, and ML-KEM'. | requires_pqc yes->guidance 2026-08-09 (R6 body_type rule, extended to technical_standard). A specification specifies; it does not oblige anyone to adopt it. The obligation to deploy PQC comes from CNSA 2.0, the OMB memoranda and the executive orders, which are their own rows. Left as 'yes' this row asserted that a standards document mandates compliance.",TCG,TCG-TPM-V185-Part1,,Global:TCG,technical_standard,https://trustedcomputinggroup.org/resource/tpm-library-specification/,,tcg,yes,TCG,url_authoritative,85,cswp39:governance,54;92,deprecated,2026-08-14,"deprecation-sweep (wrong-page): resolved title 'Welcome To Trusted Computing Group | Trusted Computing Group' looks like a generic/error landing page, independent of the catalog's org-name label 'TCG TPM 2.0 PQC Spec'",,
NIST-NCCOE-PQC,NIST NCCoE SP 1800-38 Migration Guide,NIST NCCoE practical enterprise PQC migration guide with reference architectures,Government & Defense;Information Technology;Finance & Insurance,92;54;52,US,guidance,Ongoing (SP 1800-38 Vols A-D; Vol D final),ongoing,,"NCCoE Migration to PQC project — current project landing page. Associated formal publication series: NIST SP 1800-38 (Practice Guides; volumes 38A/38B/38C in preliminary draft). Static documentation: pages.nist.gov/nccoe-migration-post-quantum-cryptography. The previous Initial Preliminary Draft URL (csrc.nist.gov/pubs/sp/1800/38/iprd) was marked Obsoleted on Dec 19 2023. | requires_pqc yes->guidance 2026-08-09 (R6 body_type rule, extended to technical_standard). A specification specifies; it does not oblige anyone to adopt it. The obligation to deploy PQC comes from CNSA 2.0, the OMB memoranda and the executive orders, which are their own rows. Left as 'yes' this row asserted that a standards document mandates compliance.",NIST NCCoE,NIST NCCoE SP 1800-38C;NIST CSWP 48;NIST CSWP 39,,United States:NIST NCCoE,technical_standard,https://www.nccoe.nist.gov/applied-cryptography/migration-to-pqc,compliance/NIST-NCCOE-PQC.pdf,nist-csrc,yes,NIST NCCoE,url_authoritative,85,cswp39:assurance;cswp39:governance;cswp39:inventory;cswp39:lifecycle,92;54;52,active,,,NIST CSWP 39;NIST CSWP 48;NIST NCCoE SP 1800-38A;NIST NCCoE SP 1800-38B;NIST NCCoE SP 1800-38C,
NIST-SP800-131A,NIST SP 800-131A Rev 3,NIST algorithm deprecation roadmap — SHA-1 and weak RSA/ECC disallowed after 2030,Government & Defense;Information Technology;Finance & Insurance,92;54;52,US;PQC-REGION-GLOBAL,guidance,2030 (SHA-1/weak RSA/ECC disallowed),fixed,2030:sha-1/weak rsa/ecc disallowed,"Federal algorithm retirement calendar. SHA-1 and RSA/ECC below 128-bit security disallowed after 2030. Establishes FIPS 203/204/205 as post-2030 replacements. Distinct from IR 8547 in covering all algorithm deprecation not just PQC transition. Rev 3 is an Initial Public Draft (Oct 2024); Rev 2 remains in force as of 2026. | requires_pqc yes->guidance 2026-08-09 (R6 body_type rule, extended to technical_standard). A specification specifies; it does not oblige anyone to adopt it. The obligation to deploy PQC comes from CNSA 2.0, the OMB memoranda and the executive orders, which are their own rows. Left as 'yes' this row asserted that a standards document mandates compliance.",NIST,NIST-SP-800-131A-Rev3,,United States:NIST,technical_standard,https://csrc.nist.gov/pubs/sp/800/131/a/r3/ipd,compliance/NIST-SP800-131A.pdf,nist-csrc,yes,NIST,url_authoritative,85,cswp39:governance;cswp39:lifecycle,92;54;52,active,,,,
INDIA-CERTIN-CBOM,India CERT-In CBOM/QBOM Guidelines,India CERT-In expanded Bill of Materials requirements including Cryptographic BOM and Quantum Readiness BOM,Government & Defense;Information Technology,92;54,IN,guidance,,none,,"CERT-In expands Bill of Materials requirements to include Cryptographic BOM (CBOM) and Quantum Readiness BOM (QBOM). First national CBOM mandate from any country. Part of India broader PQC migration framework under National Quantum Mission. | Verified 2026-08-09 by retrieving the instrument itself. requires_pqc yes->guidance. The guidelines DO exist - CERT-In 'Technical Guidelines on SBOM, QBOM & CBOM, AIBOM and HBOM' v2.0, 09.07.2025 - so the earlier unproven-mandate flag was right about the homepage citation but wrong that the instrument was missing. The shall/must language sits inside a chapter titled 'Recommendations and Best Practices', in a document that 'encourages' adoption and cites no statutory basis (unlike CERT-In's binding s.70B(6) Directions of 28 Apr 2022). Wrong on a second count too: even at its strongest it mandates a cryptographic INVENTORY, not PQC adoption.",CERT-In,FIPS 203;FIPS 204;FIPS 205,,India:CERT-In,compliance_framework,"https://www.cert-in.org.in/PDF/TechnicalGuidelines-on-SBOM,QBOM&CBOM,AIBOM_and_HBOM_ver2.0.pdf",compliance/INDIA-CERTIN-CBOM.pdf,cert-in,yes,CERT-In,url_authoritative,85,cswp39:inventory,92;54,active,,,,
ITALY-ACN-PQC,Italy ACN PQC Guidance,Italy Agenzia per la Cybersicurezza Nazionale post-quantum cryptography guidance,Public Administration;Professional & Technical Services,92;54,IT,guidance,Ongoing (2024 guidance),ongoing,,"ACN published PQC guidance (July 2024) covering quantum threat landscape and migration recommendations. Italy also participates in BIS Project Leap Phase 2 testing hybrid PQC on TARGET2 payment system. | Verified 2026-08-09 by retrieving the document itself. Repointed from the acn.gov.it homepage to the real PDF 'Crittografia Post-Quantum e Quantistica' v1.0, 11/07/2024 (Italian). requires_pqc yes->guidance: the document issues NO ACN recommendation or obligation — its only 'si raccomanda' is ACN describing EU Rec. 2024/1101. It is a threat-landscape explainer, not migration guidance. trusted_source_id cleared: it read 'acsc', the AUSTRALIAN Cyber Security Centre, on an Italian document; the registry has no ACN entry to point at yet. library_refs FIPS 203/204/205 are anachronistic here - the July 2024 text discusses the drafts ('finalizzate entro l'estate 2024').",ACN,FIPS 203;FIPS 204;FIPS 205,,Italy:ACN,compliance_framework,https://www.acn.gov.it/portale/documents/20119/85999/ACN_Crittografia_Quantum_Safe.pdf/d7eb595c-ee7f-848b-6c14-abf64cafb310,compliance/ITALY-ACN-PQC.html,,yes,ACN,url_authoritative,85,cswp39:governance;cswp39:lifecycle,92;54,deprecated,2026-08-14,deprecation-sweep (unspecified): cites a site root (https://www.acn.gov.it/) rather than a document; resolved title 'Agenzia per la Cybersicurezza Nazionale - ACN' — repoint at the actual document; a homepage cannot evidence a claim,,
SPAIN-CCN-PQC,Spain CCN Four-Phase PQC,Spain Centro Criptologico Nacional four-phase PQC transition approach,Government & Defense,92,ES,guidance,2030 (four-phase approach through post-2030),fixed,2030:four-phase approach through post-2030,"CCN defines four-phase PQC approach from current state through post-2030 full transition. Recommends NIST algorithms and FrodoKEM. Active since 2022. | trusted_source_id corrected ncsc-uk -> ccn-spain: the anchor named an authority with no standing over this row (the UK NCSC), and the correct registry entry already existed. | UNVERIFIED 2026-08-09: no primary document located; the cached evidence is the CCN-CERT homepage and its report index did not populate for an automated fetch. requires_pqc left unchanged rather than downgraded on absence of evidence. | requires_pqc yes -> guidance 2026-08-09 — and the row is now PROVEN, not merely downgraded. The primary document the earlier sweep could not reach is CCN-TEC 009 'Recommendations for a safe post-quantum transition' (Centro Criptologico Nacional, December 2022). It confirms the four-phase claim verbatim (Phase 1 XMSS for firmware; Phase 2 hybrid, 'expected to last until 2025'; Phases 3 and 4 'will not probably start until 2030') and uses 'recommend' 53 times with zero occurrences of 'mandate' or 'obliga*'. | Citation repointed 2026-08-09 off the ccn-cert.cni.es site root onto CCN-TEC 009 itself (English courtesy translation), which is the document the row describes.",CCN,FIPS 203;FIPS 204;FIPS 205,,Spain:CCN,compliance_framework,https://www.ccn.cni.es/gl/docman/documentos-publicos/boletines-pytec/499-ccn-tec-009-recomendaciones-transicion-postcuantica-segura-english/file,compliance/SPAIN-CCN-PQC.pdf,ccn-spain,yes,CCN,url_authoritative,85,cswp39:governance;cswp39:lifecycle,92,active,,,,2026-08-09
BAHRAIN-NCSC-PQC,Bahrain Quantum-Safe Deployment,Bahrain National Cyber Security Centre quantum-safe cybersecurity deployment across government,Government & Defense,92,BH,no,2025 (deployment underway),fixed,2025:deployment underway,"One of the world first large-scale national quantum-safe commitments. Deployed AQtive Guard across 60+ government ministries for automated cryptographic discovery and PQC transition readiness. | UNVERIFIED as of 2026-08-09: the cited URL is the NCSC Bahrain homepage and its cached capture contains ZERO occurrences of quantum/post-quantum/PQC. The row's substantive claim traces to vendor procurement announcements, not a regulatory instrument. requires_pqc is left unchanged pending a real source rather than downgraded on absence of evidence. | trusted_source_id corrected ncsc-uk -> bahrain-ncsc: the anchor named an authority with no standing over this row (the UK NCSC), and the correct registry entry already existed. | requires_pqc yes -> no 2026-08-09. The substantive claim traces to a vendor press release (SandboxAQ, 23 December 2025) describing a deployment of AQtive Guard across 60+ Bahraini ministry environments. That is a government procurement and deployment programme, not a compliance obligation: it requires nothing of any regulated entity. No Bahrain NCSC instrument mandating PQC was located, and the previously cited NCSC homepage capture contains zero occurrences of quantum/post-quantum/PQC.",Bahrain NCSC,FIPS 203;FIPS 204;FIPS 205,,Bahrain:NCSC,compliance_framework,https://www.ncsc.gov.bh/en/index.html,compliance/BAHRAIN-NCSC-PQC.html,bahrain-ncsc,yes,Bahrain NCSC,url_authoritative,85,cswp39:governance;cswp39:inventory,92,active,,,,2026-08-09
JORDAN-CBJ-PQC,Jordan Financial Sector PQC Roadmap,Central Bank of Jordan sector-wide roadmap for transitioning banks to quantum-resistant encryption,Finance & Insurance,52,JO,guidance,2026 (roadmap published),fixed,2026:roadmap published,"Central Bank of Jordan published sector-wide PQC roadmap (Jan 2026) with phased approach: cryptographic asset cataloging, risk-based prioritization, governance integration, sandbox testing, and full transition. | PARTIALLY VERIFIED 2026-08-09: the CBJ quantum-resistant roadmap is real (multiple independent reports, Jan 2026) but is described in advisory terms ('expected to', 'encouraged to'), and cbj.gov.jo refuses connections from here. The row cites the bare CBJ homepage and has no cached evidence file at all. requires_pqc left unchanged pending a primary source. | trusted_source_id corrected bdf -> cbj-jordan: the anchor named an authority with no standing over this row (the Banque de France), and the correct registry entry already existed. | requires_pqc yes -> guidance 2026-08-09. The Central Bank of Jordan roadmap is real (announced January 2026, reported by Petra, the state news agency) but is described throughout in permissive terms: institutions are 'expected to establish a clear transition path' and banks are 'encouraged to conduct pilot tests'. No primary CBJ instrument is published: the roadmap document itself is not on cbj.gov.jo, so the citation is the Petra release, not the instrument. | Citation repointed 2026-08-09 off the cbj.gov.jo site root — which is live, so the sweep's DEAD verdict was a fetcher artifact — onto the Jordan News Agency (Petra) release announcing the roadmap. The roadmap document itself is not published; this is state news-agency reporting of it, which is why the row no longer claims a mandate.",CBJ,FIPS 203;FIPS 204;FIPS 205,,Jordan:CBJ,compliance_framework,https://www.petra.gov.jo/Include/InnerPage.jsp?ID=79851&lang=en&name=en_news,compliance/JORDAN-CBJ-PQC.html,cbj-jordan,yes,CBJ,url_authoritative,85,cswp39:assurance;cswp39:governance;cswp39:inventory;cswp39:lifecycle,52,active,,,,2026-08-09
UK-CMORG-PQC,UK CMORG Financial PQC Guidance,UK Cross Market Operational Resilience Group PQC guidance for financial sector,Finance & Insurance;Public Administration,52;92,GB,guidance,Ongoing (v1.0 April 2025),ongoing,,"CMORG (convened by Bank of England) published PQC guidance specifically for UK financial sector covering threat landscape, algorithm selection, migration planning, and prioritization. Complements UK NCSC guidance with financial sector focus. | Verified 2026-08-09 by retrieving the document itself. Repointed from the cmorg.org.uk homepage to the real PDF (v1.0, April 2025, TLP CLEAR). requires_pqc yes->guidance on the document's own words, p1: 'their use is voluntary, and they do not constitute regulatory rules or supervisory expectations'. enforcement_body 'CMORG/Bank of England' overstates it - CMORG is an industry forum convened by the Bank, not an enforcement body.",CMORG/Bank of England,UK-CMORG-PQC-Guidance-2025,,United Kingdom:CMORG,compliance_framework,https://www.cmorg.org.uk/sites/default/files/2026-08/CMORG%20-%20Guidance%20for%20Post-Quantum%20Cryptography%20-%20April%202025%20-%20TLP%20CLEAR.pdf,compliance/UK-CMORG-PQC.html,boe,yes,CMORG/Bank of England,url_authoritative,85,cswp39:governance;cswp39:lifecycle,52;92,deprecated,2026-08-14,deprecation-sweep (unspecified): cites a site root (https://www.cmorg.org.uk/) rather than a document; resolved title 'Welcome to CMORG | Cross Market Operational Resilience Group' — repoint at the actual document; a homepage cannot evidence a claim,,
EUROPOL-QSFF,Europol Quantum Safe Financial Forum,Europol QSFF call to action for financial sector PQC migration,Finance & Insurance,52,PQC-REGION-EU,guidance,Ongoing (Feb 2025 call to action),ongoing,,"Europol Quantum Safe Financial Forum found 86% of financial executives unprepared for PQC. Published joint guidance with FS-ISAC (Jan 2026) introducing Quantum Risk Score framework for migration prioritization. | Verified 2026-08-09 by retrieving the instrument itself. requires_pqc yes->guidance: a joint report that 'provides financial institutions with a structured, risk-based approach'. Europol is a law-enforcement cooperation agency with no prudential authority over banks, and FS-ISAC is an information-sharing body - neither can impose a compliance obligation. | 2026-08-16: Cached file was the publication landing page; replaced with the actual 26-page joint Europol/FS-ISAC PDF report it links to.",Europol/FS-ISAC,Europol-FS-ISAC-PQC-Financial-2026,,European Union:Europol,compliance_framework,https://www.europol.europa.eu/cms/sites/default/files/documents/Post-quantum-cryptography-report.pdf,compliance/EUROPOL-QSFF.pdf,fs-isac,yes,Europol/FS-ISAC,url_authoritative,85,cswp39:assurance,52,active,,,,2026-08-16
