source_id,source_name,source_type,trust_tier,region,primary_url,description,verification_status,last_verified_date,leaders_csv,library_csv,algorithm_csv,threats_csv,timeline_csv,compliance_csv,migrate_csv,patents_csv,local_doc_count,last_download_date,download_status,doc_collection,notes,primary_url_quality,name,type,domain,date_stamp,status,deprecated_at,deprecated_reason
ftc,Federal Trade Commission,Government,2_Core,Americas,https://www.ftc.gov/,U.S. consumer protection; data security enforcement,Verified,2026-03-28,No,No,No,No,No,Yes,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
fujitsu-limited,Fujitsu Limited,Vendor,3_Supporting,,https://www.fujitsu.com,"Fujitsu Limited — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
fusionauth-inc,FusionAuth Inc.,Vendor,3_Supporting,,https://fusionauth.io,"FusionAuth Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
futurex-lp,Futurex LP,Vendor,3_Supporting,,https://futurex.com,"Futurex LP — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
g7-ceg,G7 Cyber Expert Group,Government,2_Core,Global,https://home.treasury.gov/news/press-releases/sb0355,G7 CEG statement on coordinated PQC roadmap for financial sector (Jan 2026); 2035 migration target; chaired by U.S. Treasury and Bank of England,Verified,2026-02-13,No,Yes,No,Yes,Yes,Yes,No,No,4,2026-05-07,Active,threats,Fixed tagging: compliance_csv,url_authoritative,,,,2026-05-06,active,,
galileo-technologies-inc,Galileo Technologies Inc.,Vendor,3_Supporting,,https://rungalileo.io,"Galileo Technologies Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
garantir-inc,Garantir Inc.,Vendor,3_Supporting,,https://garantir.io,"Garantir Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
gartner,Gartner,Industry_Analyst,3_Supporting,Global,https://www.gartner.com/en/information-technology/insights/quantum-computing,Global IT research and advisory firm; Hype Cycle and strategic guidance on PQC adoption,Verified,2026-05-10,No,Yes,No,No,No,No,No,No,1,2026-05-10,Active,library,Added 2026-05-10: restored library records require valid trust path,url_needs_review,Gartner,Industry_Analyst,gartner.com,2026-05-10,active,,
general-dynamics-mission-systems,General Dynamics Mission Systems,Vendor,3_Supporting,,https://gdmissionsystems.com,"General Dynamics Mission Systems — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
geneva-association,The Geneva Association,Industry_Analyst,3_Supporting,Global,https://www.genevaassociation.org/,Global insurance industry think tank; publishes systemic cyber risk research including quantum threat analysis for the insurance sector,Verified,2026-03-28,No,Yes,No,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
genua-gmbh-bundesdruckerei-group,Genua GmbH (Bundesdruckerei Group),Vendor,3_Supporting,,https://www.genua.de,"Genua GmbH (Bundesdruckerei Group) — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
geomys,Geomys LLC,Vendor,3_Supporting,Americas,https://geomys.org,For-profit US LLC maintaining Go's open-source cryptography packages; CMVP certificate holder for the Go Cryptographic Module,Verified,2026-07-14,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
gfma,GFMA (Global Financial Markets Association),Industry_Workgroup,2_Core,Global,https://www.gfma.org/,"Global industry association of financial markets participants (parent body of SIFMA, AFME and ASIFMA). Publishes cross-market post-quantum migration guidance; its Quantum Migration report maps NIST, FCA, WEF, CMORG and QSFF activity. Tiered 2_Core to match FS-ISAC and Cloud Security Alliance, the closest analogues already in this registry.",verified,2026-07-30,,,,,,,,No,,,,,,url_needs_review,,,,,,,
ghana-cyber-security-authority,Ghana Cyber Security Authority (CSA),Government,3_Supporting,EMEA,https://www.csa.gov.gh/,"Ghana's national cybersecurity regulator, established under the Cybersecurity Act 2020",Verified,2026-07-28,,,,,,,,No,,,,,"Confirmed live via WebFetch. General-purpose national authority, no PQC-specific publication independently verified.",url_authoritative,,,,,active,,
giesecke-devrient-gmbh,Giesecke+Devrient GmbH,Vendor,3_Supporting,,https://gi-de.com,"Giesecke+Devrient GmbH — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
gigamon-inc,Gigamon Inc.,Vendor,3_Supporting,,https://gigamon.com,US network visibility and observability platform vendor; FIPS 140-3 validated crypto module.,Verified,2026-07-27,No,No,No,No,No,No,Yes,No,0,,None,none,"Created 2026-07-27 (review-proposals pass) alongside vendor registration — vendor's own primary website, not independently third-party verified beyond the GLEIF/CNPJ check already done for the vendor row.",url_needs_review,,,,,active,,
gip-acyma,GIP ACYMA,Government,2_Core,EMEA,https://www.cybermalveillance.gouv.fr/,French national cyber awareness platform (Groupement Intérêt Public); coordinated by ANSSI; Dr. Jérôme Notin is executive director,Verified,2026-03-28,Yes,No,No,No,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
github,GitHub,Open_Source_Project,4_Contextual,Global,https://github.com,"Open-source code hosting platform; home to key PQC libraries including PQClean, liboqs forks, and IETF reference implementations",Verified,2026-03-31,No,Yes,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
github-inc-microsoft,GitHub Inc. (Microsoft),Industry_Workgroup,3_Supporting,,https://github.com,"GitHub Inc. (Microsoft) — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Industry_Workgroup's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 0 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
gitlab-inc,GitLab Inc.,Vendor,3_Supporting,,https://gitlab.com,"GitLab Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
globalfoundries-u-s-inc,GlobalFoundries U.S. Inc.,Vendor,3_Supporting,,https://gf.com,US semiconductor foundry; PQC/quantum-computing IP partnership with SEALSQ.,Verified,2026-07-27,No,No,No,No,No,No,No,No,0,,None,none,Created 2026-07-27 alongside vendor-roadmaps registration.,url_needs_review,,,,,active,,
globalsign-ltd,GlobalSign Ltd.,Vendor,3_Supporting,,https://globalsign.com,"GlobalSign Ltd. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
gmu-crypto,George Mason University Crypto,Academic,4_Contextual,Americas,https://csis.gmu.edu/,Hardware implementation and security analysis of PQC candidates,Verified,2026-02-13,No,No,Yes,No,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
gnupg-project,GnuPG Project,Vendor,3_Supporting,,https://gnupg.org,"GnuPG Project — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
gnutls-project,GnuTLS Project,Vendor,3_Supporting,,https://gnutls.org,"GnuTLS Project — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
google,Google,Industry_Workgroup,2_Core,Global,https://cloud.google.com/security/encryption-in-transit,Chrome ML-KEM deployment; Cloud KMS PQC; Android PQC; Tink crypto library,Verified,2026-03-28,Yes,No,Yes,No,Yes,No,Yes,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
google-patents,Google Patents,Vendor,3_Supporting,Global,https://patents.google.com/,"Aggregator/index the PQC patent harvester actually queries (harvest_google_patents.py drives its internal XHR query API with CPC-anchored searches). NOT the issuing authority — it indexes USPTO/EPO/WIPO records. Retrieval path, not the record of grant.",Verified,2026-08-07,No,No,No,No,No,No,No,Yes,,,,,Retrieval path only — harvest_google_patents.py queries its XHR API. Indexes USPTO/EPO/WIPO records; never the record of grant itself.,url_needs_review,,,,2026-08-07,active,,
google-quantum-ai,Google Quantum AI,Industry_Analyst,2_Core,Americas,https://quantumai.google,"Google's quantum computing research division. Relevant for quantum advantage benchmarks, timeline projections, and PQC implementation research.",Verified,2026-05-06,No,Yes,No,No,No,No,No,No,0,,None,none,Added 2026-05-06: orphaned ID found in library.,url_needs_review,,,,2026-05-06,active,,
gopher-security,Gopher Security,Vendor,4_Contextual,Americas,https://www.gopher.security/,Post-quantum security vendor; writing on PQC agility in AI/MCP transport layers,Verified,2026-07-27,No,Yes,No,No,No,No,No,No,0,,None,none,"Merged 2026-07-28: a duplicate row (VND vendor-roadmaps registration, tier 3_Supporting, url without www) was created for the same real vendor on 2026-07-27 -- register_vendor.py's slug-collision check only looked at vendors.csv, not trusted_sources.csv itself, so it missed this already-existing row. Kept this one (has library_csv=Yes, real linkage); duplicate removed.",url_needs_review,,,,2026-07-09,active,,
government-of-chile,Government of Chile,Vendor,3_Supporting,,https://www.gob.cl,"Government of Chile — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
government-of-spain,Government of Spain,Vendor,3_Supporting,,https://www.lamoncloa.gob.es,"Government of Spain — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
gravitational-inc,Gravitational Inc.,Vendor,3_Supporting,,https://goteleport.com,"Gravitational Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
gri,Global Risk Institute,Academic,3_Supporting,Global,https://globalriskinstitute.org/,Global Risk Institute Quantum Threat Timeline; annual CRQC probability assessment,Verified,2026-03-28,No,No,No,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
gs1,GS1 (Global Standards One),Standards_Body,2_Core,Global,https://www.gs1.org/,"GS1 Global Standards for retail, supply chain, and healthcare barcoding",Verified,2026-03-28,No,No,No,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
gsa-us,GSA Federal Acquisition Service,Government,1_Authoritative,Americas,https://www.gsa.gov/,US General Services Administration; federal acquisition vehicles including quantum-safe procurement,Verified,2026-07-12,No,Yes,No,No,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-07-09,active,,
gsma,GSMA,Standards_Body,2_Core,Global,https://www.gsma.com/,GSM Association; Post-Quantum Telco Network Taskforce and eSIM PQC specification,Verified,2026-03-28,No,No,No,Yes,No,Yes,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
hamad-bin-khalifa-university-hbku,Hamad Bin Khalifa University (HBKU),Vendor,3_Supporting,,https://www.hbku.edu.qa,"Hamad Bin Khalifa University (HBKU) — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
haproxy-technologies,HAProxy Technologies,Vendor,3_Supporting,,https://haproxy.org,"HAProxy Technologies — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
hashicorp-inc,HashiCorp Inc.,Vendor,3_Supporting,,https://hashicorp.com,"HashiCorp Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
health-sector-coordinating-cou,Health Sector Coordinating Council (HSCC) Cybersecurity Working Group,Industry_Workgroup,2_Core,Americas,https://healthsectorcouncil.org/wp-content/uploads/2026/04/HSCC-Cyber-Working-Group-Q1-2026-Progress-Report.pdf,Healthcare-sector industry coordinating body (400+ member orgs); Q1 2026 progress report on cryptographic-asset-inventory framework and PQC migration roadmap,Verified,2026-07-28,,,,,,,,No,,,,,Confirmed live via WebFetch. Distinct Industry_Workgroup entity from the companion HHS-run Government program at 405d.hhs.gov (added separately below).,url_needs_review,,,,,active,,
hewlett-packard-enterprise,Hewlett Packard Enterprise,Vendor,3_Supporting,,https://www.hpe.com,"Hewlett Packard Enterprise — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 2 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
hex-trust-ltd,Hex Trust Ltd.,Vendor,3_Supporting,,https://hextrust.com,"Hex Trust Ltd. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
hhs,U.S. Dept of Health and Human Services (OCR),Government,1_Authoritative,North_America,https://www.hhs.gov/hipaa,HIPAA Security Rule enforcement; ePHI cryptographic controls,Verified,2026-03-28,No,No,No,Yes,No,Yes,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
hhs-ocr,HHS / OCR,Vendor,3_Supporting,,https://www.hhs.gov/hipaa,"HHS / OCR — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
hid-global-corporation,HID Global Corporation,Vendor,3_Supporting,,https://www.hidglobal.com,"HID Global Corporation — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
hiddenlayer-inc,HiddenLayer Inc.,Vendor,3_Supporting,,https://hiddenlayer.ai,"HiddenLayer Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
higher-ground-llc,Higher Ground LLC,Vendor,3_Supporting,,https://highergroundcomms.com,US secure communications vendor (CipherLinq); FIPS 140-3 validated crypto module.,Verified,2026-07-27,No,No,No,No,No,No,Yes,No,0,,None,none,"Created 2026-07-27 (review-proposals pass) alongside vendor registration — vendor's own primary website, not independently third-party verified beyond the GLEIF/CNPJ check already done for the vendor row.",url_needs_review,,,,,active,,
hikvision,"Hangzhou Hikvision Digital Technology Co., Ltd.",Vendor,3_Supporting,APAC,https://www.hikvision.com/en/,Chinese video surveillance vendor; ACVP-validated Hikvision FIPS Provider,Verified,2026-07-14,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
hitachi-ltd,Hitachi Ltd.,Vendor,3_Supporting,,https://www.hitachi.com/,"Hitachi Ltd. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
hk-legco,Hong Kong Legislative Council (LegCo),Government,2_Core,APAC,https://www.legco.gov.hk/,Hong Kong legislature; enacted Critical Infrastructure Cybersecurity Ordinance establishing cybersecurity requirements for essential services,Verified,2026-03-28,No,No,No,No,Yes,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
hkma,Hong Kong Monetary Authority,Government,2_Core,APAC,https://www.hkma.gov.hk/,Hong Kong central banking; financial sector PQC readiness guidance,Verified,2026-03-28,No,No,No,Yes,Yes,Yes,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
hoye-technology-co-ltd,"HOYE Technology CO., LTD.",Vendor,3_Supporting,,https://www.hoyetec.com,"HOYE Technology CO., LTD. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
hp-inc,HP Inc.,Vendor,3_Supporting,,https://www.hp.com,"HP Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 2 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
huawei-technologies-co-ltd,Huawei Technologies Co. Ltd.,Vendor,3_Supporting,,https://www.huawei.com,"Huawei Technologies Co. Ltd. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
hycu-inc,"HYCU, Inc.",Vendor,3_Supporting,,https://hycu.com,US backup/disaster-recovery SaaS vendor; FIPS 140-3 validated cryptographic library module.,Verified,2026-07-27,No,No,No,No,No,No,Yes,No,0,,None,none,"Created 2026-07-27 (review-proposals pass) alongside vendor registration — vendor's own primary website, not independently third-party verified beyond the GLEIF/CNPJ check already done for the vendor row.",url_needs_review,,,,,active,,
hyland,Hyland,Vendor,3_Supporting,,https://www.hyland.com,"Hyland — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
hyperledger,Hyperledger Foundation,Open_Source_Project,2_Core,Global,https://www.hyperledger.org/,Linux Foundation open-source enterprise blockchain projects (now LF Decentralized Trust) tracking PQC readiness,Verified,2026-07-12,No,Yes,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-07-09,active,,
hyperledger-foundation,Hyperledger Foundation,Vendor,3_Supporting,,https://hyperledger.org,"Hyperledger Foundation — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
i4p-informatikai,I4P-informatikai Kft. (I4P Informatics Ltd.),Vendor,3_Supporting,EMEA,https://www.i4p.com,Hungarian HSM vendor (Trident product line),Verified,2026-07-14,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
iacr-eprint,IACR Cryptology ePrint,Academic,2_Core,Global,https://eprint.iacr.org/,International Association for Cryptologic Research preprint archive,Verified,2025-12-15,No,Yes,Yes,No,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
ibm-ibv,IBM Institute for Business Value,Industry_Analyst,3_Supporting,Americas,https://www.ibm.com/thought-leadership/institute-business-value,"IBM research arm publishing enterprise quantum readiness surveys, PQC adoption benchmarks, and CxO quantum threat perspectives.",Verified,2026-05-06,No,Yes,No,No,No,No,No,No,0,,None,none,Added 2026-05-06: orphaned ID found in library.,url_needs_review,,,,2026-05-06,active,,
ibm-research,IBM Research Quantum-Safe,Industry_Workgroup,3_Supporting,Global,https://www.ibm.com/quantum/quantum-safe,Leading contributor to NIST PQC standards (ML-KEM ML-DSA SLH-DSA); crypto-agility solutions,Verified,2026-02-13,No,No,Yes,No,Yes,No,Yes,No,3,2026-05-07,Active,none,,url_needs_review,,,,2026-05-06,active,,
